"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","0.13795","0.12537","0.13815","0.12537","196.01M","10.05%"
"Jun 29, 2018","0.12535","0.11840","0.12701","0.11392","146.98M","5.87%"
"Jun 28, 2018","0.11840","0.12763","0.12851","0.11757","109.01M","-7.23%"
"Jun 27, 2018","0.12762","0.12554","0.12821","0.12301","103.44M","1.65%"
"Jun 26, 2018","0.12555","0.13533","0.13576","0.12516","73.76M","-7.22%"
"Jun 25, 2018","0.13533","0.13099","0.13886","0.12709","130.05M","3.31%"
"Jun 24, 2018","0.13099","0.13744","0.13822","0.11997","172.18M","-4.67%"
"Jun 23, 2018","0.13741","0.13838","0.14211","0.13371","100.45M","-0.69%"
"Jun 22, 2018","0.13838","0.15822","0.15871","0.13477","161.45M","-12.56%"
"Jun 21, 2018","0.15825","0.16181","0.16364","0.15697","90.63M","-2.31%"
"Jun 20, 2018","0.16198","0.16700","0.16717","0.15749","119.58M","-3.01%"
"Jun 19, 2018","0.16700","0.16392","0.17118","0.16146","108.47M","1.89%"
"Jun 18, 2018","0.16391","0.16027","0.16817","0.15566","120.63M","2.27%"
"Jun 17, 2018","0.16027","0.16257","0.16409","0.16002","88.70M","-1.28%"
"Jun 16, 2018","0.16235","0.16121","0.16445","0.15841","88.36M","0.70%"
"Jun 15, 2018","0.16122","0.17072","0.17101","0.16026","128.41M","-5.57%"
"Jun 14, 2018","0.17072","0.15804","0.17542","0.15335","239.78M","8.00%"
"Jun 13, 2018","0.15808","0.16347","0.16589","0.14593","151.72M","-3.30%"
"Jun 12, 2018","0.16347","0.17962","0.18119","0.15871","116.57M","-8.95%"
"Jun 11, 2018","0.17953","0.17402","0.18087","0.16488","114.06M","3.17%"
"Jun 10, 2018","0.17402","0.20102","0.20102","0.16898","180.52M","-13.40%"
"Jun 09, 2018","0.20094","0.20482","0.21041","0.20069","84.39M","-1.96%"
"Jun 08, 2018","0.20497","0.21053","0.21101","0.20102","102.35M","-2.85%"
"Jun 07, 2018","0.21098","0.21494","0.21913","0.20876","104.69M","-1.84%"
"Jun 06, 2018","0.21493","0.21896","0.21996","0.20887","113.95M","-1.86%"
"Jun 05, 2018","0.21899","0.21280","0.22148","0.20283","152.50M","2.91%"
"Jun 04, 2018","0.21280","0.22704","0.23120","0.20973","140.21M","-6.28%"
"Jun 03, 2018","0.22705","0.22754","0.23754","0.22347","138.62M","-0.21%"
"Jun 02, 2018","0.22754","0.22093","0.22932","0.21738","129.86M","2.90%"
"Jun 01, 2018","0.22112","0.22400","0.22824","0.21476","139.37M","-1.28%"
"May 31, 2018","0.22400","0.20875","0.22886","0.20413","201.74M","7.30%"
"May 30, 2018","0.20875","0.20190","0.21660","0.19811","201.90M","3.38%"
"May 29, 2018","0.20192","0.17323","0.20854","0.17166","187.91M","16.56%"
"May 28, 2018","0.17323","0.19303","0.19483","0.17235","122.56M","-10.31%"
"May 27, 2018","0.19315","0.19582","0.19601","0.19111","86.32M","-1.36%"
"May 26, 2018","0.19581","0.19894","0.20467","0.19478","92.17M","-1.57%"
"May 25, 2018","0.19894","0.20806","0.20930","0.19497","92.64M","-4.29%"
"May 24, 2018","0.20785","0.19894","0.21115","0.19018","112.11M","4.47%"
"May 23, 2018","0.19895","0.22162","0.22421","0.19338","149.15M","-10.24%"
"May 22, 2018","0.22164","0.24741","0.24862","0.22030","66.40M","-10.41%"
"May 21, 2018","0.24741","0.25647","0.26072","0.24580","55.33M","-3.54%"
"May 20, 2018","0.25647","0.24338","0.26143","0.24025","61.87M","5.39%"
"May 19, 2018","0.24336","0.24427","0.24863","0.23732","42.06M","-0.37%"
"May 18, 2018","0.24427","0.24103","0.24567","0.23227","57.25M","1.35%"
"May 17, 2018","0.24103","0.25302","0.26099","0.23889","61.00M","-4.75%"
"May 16, 2018","0.25304","0.25573","0.25743","0.23983","71.62M","-1.11%"
"May 15, 2018","0.25588","0.26669","0.27541","0.25364","61.06M","-4.05%"
"May 14, 2018","0.26669","0.27740","0.27827","0.25306","123.40M","-3.86%"
"May 13, 2018","0.27740","0.26595","0.28347","0.25750","104.59M","4.38%"
"May 12, 2018","0.26576","0.25643","0.27869","0.23423","193.24M","3.64%"
"May 11, 2018","0.25643","0.29593","0.29686","0.24875","214.87M","-13.35%"
"May 10, 2018","0.29593","0.32187","0.32502","0.29498","66.05M","-7.75%"
"May 09, 2018","0.32079","0.32556","0.32710","0.30216","90.54M","-1.31%"
"May 08, 2018","0.32505","0.34014","0.34100","0.31992","66.12M","-4.37%"
"May 07, 2018","0.33991","0.35001","0.35071","0.31954","88.71M","-2.95%"
"May 06, 2018","0.35023","0.36861","0.37055","0.33847","100.03M","-4.97%"
"May 05, 2018","0.36857","0.36150","0.37882","0.36103","70.72M","1.96%"
"May 04, 2018","0.36150","0.37074","0.37127","0.34999","87.41M","-2.36%"
"May 03, 2018","0.37023","0.37599","0.39347","0.36901","123.33M","-1.54%"
"May 02, 2018","0.37602","0.35775","0.38028","0.34775","104.21M","5.11%"
"May 01, 2018","0.35773","0.34316","0.36151","0.32111","168.66M","4.24%"
"Apr 30, 2018","0.34319","0.36687","0.36770","0.33413","147.25M","-6.29%"
"Apr 29, 2018","0.36624","0.35963","0.39029","0.34465","248.83M","1.95%"
"Apr 28, 2018","0.35924","0.28587","0.36737","0.28378","254.48M","25.66%"
"Apr 27, 2018","0.28587","0.29520","0.30660","0.28493","106.05M","-3.15%"
"Apr 26, 2018","0.29518","0.26988","0.29532","0.25826","101.91M","9.38%"
"Apr 25, 2018","0.26988","0.31438","0.31751","0.25997","189.98M","-14.63%"
"Apr 24, 2018","0.31612","0.29440","0.32481","0.29079","49.39M","8.05%"
"Apr 23, 2018","0.29256","0.28565","0.29450","0.28553","17.35M","2.42%"
"Apr 22, 2018","0.28565","0.28585","0.30039","0.27910","30.91M","-0.07%"
"Apr 21, 2018","0.28585","0.30521","0.30936","0.26828","51.22M","-6.34%"
"Apr 20, 2018","0.30522","0.27141","0.30870","0.24983","57.07M","12.52%"
"Apr 19, 2018","0.27125","0.26316","0.27490","0.26123","38.45M","3.08%"
"Apr 18, 2018","0.26316","0.24365","0.26392","0.24365","24.19M","7.93%"
"Apr 17, 2018","0.24383","0.26236","0.27411","0.24376","100.36M","-7.06%"
"Apr 16, 2018","0.26236","0.22775","0.26353","0.21265","103.48M","15.20%"
"Apr 15, 2018","0.22775","0.20740","0.23051","0.20731","40.13M","9.81%"
"Apr 14, 2018","0.20740","0.20313","0.21498","0.19658","35.88M","2.10%"
"Apr 13, 2018","0.20314","0.21941","0.22603","0.19568","84.00M","-7.42%"
"Apr 12, 2018","0.21941","0.16849","0.22200","0.16764","113.40M","30.22%"
"Apr 11, 2018","0.16849","0.15660","0.16899","0.15496","41.58M","7.60%"
"Apr 10, 2018","0.15660","0.15066","0.15867","0.14762","14.69M","3.94%"
"Apr 09, 2018","0.15066","0.15694","0.16598","0.14556","56.75M","-4.00%"
"Apr 08, 2018","0.15694","0.14666","0.15944","0.14666","15.81M","7.01%"
"Apr 07, 2018","0.14666","0.14258","0.15159","0.14255","37.45M","2.86%"
"Apr 06, 2018","0.14258","0.14843","0.15081","0.14127","23.13M","-3.94%"
"Apr 05, 2018","0.14843","0.15200","0.15426","0.14111","30.18M","-2.35%"
"Apr 04, 2018","0.15200","0.17054","0.17650","0.14889","65.14M","-10.67%"
"Apr 03, 2018","0.17016","0.15305","0.17139","0.15256","44.26M","11.18%"
