"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","1.91288","1.80692","1.93674","1.80506","757.73K","5.86%"
"Jun 29, 2018","1.80692","1.69124","1.86478","1.66233","501.08K","6.84%"
"Jun 28, 2018","1.69124","1.85124","1.86756","1.65947","617.45K","-8.64%"
"Jun 27, 2018","1.85124","1.78225","1.87814","1.73182","664.32K","3.87%"
"Jun 26, 2018","1.78225","1.93242","1.96651","1.77716","802.86K","-7.77%"
"Jun 25, 2018","1.93242","1.80328","2.04129","1.73331","1.21M","7.16%"
"Jun 24, 2018","1.80328","1.93490","1.94732","1.61178","1.56M","-6.80%"
"Jun 23, 2018","1.93486","2.02884","2.08794","1.84071","1.05M","-4.63%"
"Jun 22, 2018","2.02885","2.49990","2.51298","2.00158","1.72M","-18.84%"
"Jun 21, 2018","2.49990","2.58877","2.62664","2.47591","498.31K","-3.43%"
"Jun 20, 2018","2.58877","2.63016","2.64384","2.54051","435.80K","-1.57%"
"Jun 19, 2018","2.63015","2.63616","2.69862","2.54366","535.83K","-0.23%"
"Jun 18, 2018","2.63615","2.57598","2.69322","2.47951","572.20K","2.34%"
"Jun 17, 2018","2.57598","2.60805","2.64462","2.55714","277.35K","-1.23%"
"Jun 16, 2018","2.60805","2.59634","2.64900","2.51626","486.39K","0.45%"
"Jun 15, 2018","2.59642","2.71061","2.71982","2.58502","726.71K","-4.21%"
"Jun 14, 2018","2.71061","2.51024","2.73134","2.46318","1.70M","7.98%"
"Jun 13, 2018","2.51024","2.69977","2.74261","2.32730","1.43M","-7.02%"
"Jun 12, 2018","2.69977","3.01138","3.01138","2.63200","1.03M","-10.34%"
"Jun 11, 2018","3.01108","2.92947","3.09694","2.66311","1.81M","2.79%"
"Jun 10, 2018","2.92945","3.49255","3.49813","2.84162","1.99M","-16.12%"
"Jun 09, 2018","3.49254","3.54402","3.67130","3.45668","732.07K","-1.45%"
"Jun 08, 2018","3.54406","3.73886","3.76862","3.45045","1.28M","-5.21%"
"Jun 07, 2018","3.73888","3.61074","3.96963","3.60117","2.82M","3.55%"
"Jun 06, 2018","3.61074","3.40700","3.73431","3.31167","1.95M","5.98%"
"Jun 05, 2018","3.40700","3.26657","3.40796","3.13184","865.77K","4.30%"
"Jun 04, 2018","3.26660","3.52545","3.56747","3.20743","946.54K","-7.34%"
"Jun 03, 2018","3.52544","3.62843","3.64259","3.49098","1.04M","-2.84%"
"Jun 02, 2018","3.62844","3.16569","3.67124","3.11732","1.80M","14.62%"
