"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","0.98206","0.97530","1.06517","0.94386","-","0.79%"
"Jun 29, 2018","0.97437","0.81130","1.03959","0.81130","-","19.91%"
"Jun 28, 2018","0.81261","0.97309","0.99713","0.78375","-","-16.48%"
"Jun 27, 2018","0.97301","1.00395","1.01644","0.94953","-","-3.45%"
"Jun 26, 2018","1.00773","1.10418","1.12484","1.00696","-","-8.65%"
"Jun 25, 2018","1.10314","1.07218","1.13260","1.05008","-","2.85%"
"Jun 24, 2018","1.07253","1.10827","1.11413","0.97547","-","-3.09%"
"Jun 23, 2018","1.10674","1.11332","1.16164","1.09996","-","-0.59%"
"Jun 22, 2018","1.11334","1.34042","1.34042","1.07620","-","-16.75%"
"Jun 21, 2018","1.33732","1.37769","1.38555","1.32147","-","-2.96%"
"Jun 20, 2018","1.37810","1.41651","1.43495","1.32053","-","-3.42%"
"Jun 19, 2018","1.42687","1.49748","1.49799","1.39502","-","-4.74%"
"Jun 18, 2018","1.49782","1.44002","1.56192","1.37481","-","4.17%"
"Jun 17, 2018","1.43789","1.45667","1.52042","1.43417","-","-1.29%"
"Jun 16, 2018","1.45672","1.45641","1.50298","1.40911","-","0.11%"
"Jun 15, 2018","1.45508","1.62925","1.62925","1.44848","-","-10.52%"
"Jun 14, 2018","1.62613","1.47462","1.65517","1.42648","-","10.39%"
"Jun 13, 2018","1.47313","1.48908","1.73285","1.38744","-","-0.98%"
"Jun 12, 2018","1.48773","1.68770","1.69915","1.45444","-","-12.39%"
"Jun 11, 2018","1.69814","1.69518","1.72012","1.54316","-","0.21%"
"Jun 10, 2018","1.69457","1.96162","1.96162","1.65311","-","-13.66%"
"Jun 09, 2018","1.96258","2.00812","2.04424","1.95749","-","-2.25%"
"Jun 08, 2018","2.00773","2.09129","2.10490","2.00161","-","-3.79%"
"Jun 07, 2018","2.08678","2.13124","2.16099","2.06965","-","-2.06%"
"Jun 06, 2018","2.13075","2.17517","2.19200","2.05236","-","-1.99%"
"Jun 05, 2018","2.17408","2.16995","2.20212","2.02487","-","0.10%"
"Jun 04, 2018","2.17192","2.30114","2.38396","2.15039","-","-5.60%"
"Jun 03, 2018","2.30075","2.20587","2.35757","2.16906","-","4.25%"
"Jun 02, 2018","2.20701","2.08295","2.21133","2.05720","-","6.09%"
"Jun 01, 2018","2.08032","2.09679","2.13159","2.02468","-","-0.78%"
"May 31, 2018","2.09661","2.02300","2.21381","1.99568","-","3.64%"
"May 30, 2018","2.02300","2.05220","2.13856","1.97195","-","-1.61%"
"May 29, 2018","2.05612","1.84353","2.14125","1.82769","-","11.60%"
"May 28, 2018","1.84239","2.00703","2.03743","1.80860","-","-8.24%"
"May 27, 2018","2.00776","2.01733","2.10642","1.98360","-","-0.43%"
"May 26, 2018","2.01651","2.09680","2.17472","2.00902","-","-3.81%"
"May 25, 2018","2.09643","2.24213","2.29762","2.04844","-","-6.46%"
"May 24, 2018","2.24118","2.09831","2.24898","1.96246","-","6.23%"
"May 23, 2018","2.10967","2.17258","2.19918","1.92541","-","-2.70%"
"May 22, 2018","2.16815","2.46800","2.47731","2.14079","-","-12.13%"
"May 21, 2018","2.46739","2.59259","2.62320","2.44497","-","-4.85%"
"May 20, 2018","2.59315","2.50015","2.61885","2.44586","-","3.64%"
"May 19, 2018","2.50206","2.56932","2.66532","2.45071","-","-2.63%"
"May 18, 2018","2.56973","2.44969","2.59152","2.40075","-","4.68%"
"May 17, 2018","2.45490","2.61637","2.74061","2.43247","-","-6.02%"
