"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","0.14586","0.13717","0.14952","0.13706","-","6.31%"
"Jun 29, 2018","0.13720","0.12608","0.13851","0.12324","-","8.52%"
"Jun 28, 2018","0.12643","0.13684","0.13733","0.12596","-","-7.62%"
"Jun 27, 2018","0.13686","0.13713","0.13866","0.13280","-","-0.60%"
"Jun 26, 2018","0.13768","0.14445","0.15168","0.13677","-","-4.71%"
"Jun 25, 2018","0.14448","0.13534","0.14796","0.13132","-","6.70%"
"Jun 24, 2018","0.13541","0.14516","0.14594","0.12520","-","-6.79%"
"Jun 23, 2018","0.14528","0.15046","0.15302","0.14434","-","-3.46%"
"Jun 22, 2018","0.15049","0.17409","0.17488","0.14388","-","-13.55%"
"Jun 21, 2018","0.17408","0.17948","0.18122","0.17121","-","-3.01%"
"Jun 20, 2018","0.17949","0.18100","0.18242","0.16953","-","-1.61%"
"Jun 19, 2018","0.18242","0.18115","0.19217","0.17911","-","0.72%"
"Jun 18, 2018","0.18111","0.17863","0.18367","0.17209","-","1.87%"
"Jun 17, 2018","0.17778","0.18375","0.18562","0.17778","-","-3.65%"
"Jun 16, 2018","0.18452","0.18453","0.18735","0.17830","-","-0.23%"
"Jun 15, 2018","0.18495","0.19441","0.19514","0.18411","-","-4.70%"
"Jun 14, 2018","0.19407","0.18608","0.19662","0.18147","-","4.96%"
"Jun 13, 2018","0.18490","0.18654","0.19152","0.16821","-","-0.73%"
"Jun 12, 2018","0.18626","0.20027","0.21042","0.18395","-","-7.04%"
"Jun 11, 2018","0.20037","0.19087","0.20286","0.18519","-","5.08%"
"Jun 10, 2018","0.19069","0.22871","0.22871","0.18848","-","-16.66%"
"Jun 09, 2018","0.22879","0.23314","0.24514","0.22805","-","-1.94%"
"Jun 08, 2018","0.23333","0.23284","0.23769","0.22759","-","0.17%"
"Jun 07, 2018","0.23294","0.23257","0.23830","0.23133","-","0.45%"
"Jun 06, 2018","0.23190","0.23788","0.23875","0.22411","-","-2.02%"
"Jun 05, 2018","0.23669","0.23677","0.23993","0.22265","-","-0.11%"
"Jun 04, 2018","0.23694","0.25774","0.25940","0.23308","-","-8.04%"
"Jun 03, 2018","0.25767","0.25160","0.26368","0.25068","-","2.33%"
"Jun 02, 2018","0.25179","0.24917","0.25874","0.24535","-","1.11%"
"Jun 01, 2018","0.24902","0.25021","0.25329","0.24050","-","-0.37%"
"May 31, 2018","0.24994","0.25241","0.26511","0.23663","-","-1.15%"
"May 30, 2018","0.25286","0.25781","0.26500","0.24434","-","-1.82%"
"May 29, 2018","0.25755","0.24222","0.26217","0.23910","-","6.36%"
"May 28, 2018","0.24214","0.26933","0.27047","0.24046","-","-10.13%"
"May 27, 2018","0.26944","0.26271","0.29005","0.26184","-","2.58%"
"May 26, 2018","0.26265","0.24916","0.28244","0.24663","-","5.28%"
"May 25, 2018","0.24947","0.25724","0.26264","0.24574","-","-3.04%"
"May 24, 2018","0.25729","0.25012","0.26262","0.23576","-","2.86%"
"May 23, 2018","0.25013","0.28813","0.28981","0.24514","-","-13.00%"
"May 22, 2018","0.28752","0.28981","0.30324","0.28449","-","-0.79%"
"May 21, 2018","0.28981","0.30449","0.30560","0.28740","-","-4.82%"
"May 20, 2018","0.30449","0.29574","0.30815","0.29178","-","2.85%"
"May 19, 2018","0.29606","0.29965","0.30576","0.29326","-","-0.95%"
"May 18, 2018","0.29891","0.28642","0.30433","0.28118","-","4.23%"
"May 17, 2018","0.28679","0.29620","0.30839","0.28471","-","-3.05%"
"May 16, 2018","0.29582","0.30710","0.31823","0.28877","-","-3.66%"
"May 15, 2018","0.30706","0.32434","0.33752","0.30706","-","-5.33%"
"May 14, 2018","0.32436","0.31830","0.33513","0.29542","-","1.91%"
"May 13, 2018","0.31830","0.29823","0.32378","0.29159","-","6.22%"
"May 12, 2018","0.29967","0.29313","0.30827","0.28344","-","2.47%"
"May 11, 2018","0.29243","0.34163","0.34163","0.28886","-","-14.40%"
"May 10, 2018","0.34163","0.36061","0.36687","0.33923","-","-5.26%"
"May 09, 2018","0.36061","0.36261","0.36324","0.33528","-","-0.59%"
"May 08, 2018","0.36274","0.37309","0.37774","0.00004","-","-2.28%"
"May 07, 2018","0.37120","0.38979","0.39013","0.35829","-","-4.77%"
"May 06, 2018","0.38979","0.41353","0.41567","0.38002","-","-5.98%"
"May 05, 2018","0.41457","0.42276","0.43405","0.41107","-","-1.98%"
"May 04, 2018","0.42297","0.44155","0.44155","0.41458","-","-4.21%"
"May 03, 2018","0.44155","0.42099","0.46033","0.41446","-","4.88%"
"May 02, 2018","0.42099","0.39773","0.43567","0.38649","-","5.85%"
"May 01, 2018","0.39773","0.39268","0.40983","0.36530","-","1.29%"
"Apr 30, 2018","0.39268","0.40357","0.42682","0.38701","-","-2.70%"
"Apr 29, 2018","0.40357","0.39614","0.41038","0.37619","-","1.88%"
"Apr 28, 2018","0.39614","0.37477","0.39861","0.37081","-","5.59%"
"Apr 27, 2018","0.37517","0.39417","0.39789","0.37109","-","-4.82%"
"Apr 26, 2018","0.39417","0.36784","0.39455","0.34764","-","7.16%"
"Apr 25, 2018","0.36784","0.41483","0.47013","0.35070","-","-11.33%"
"Apr 24, 2018","0.41483","0.39594","0.42603","0.39217","-","4.77%"
"Apr 23, 2018","0.39594","0.38270","0.40503","0.38248","-","3.46%"
"Apr 22, 2018","0.38270","0.37222","0.39706","0.35886","-","2.88%"
"Apr 21, 2018","0.37199","0.39584","0.39898","0.35175","-","-6.06%"
"Apr 20, 2018","0.39599","0.38159","0.40084","0.35951","-","3.77%"
"Apr 19, 2018","0.38159","0.36068","0.39600","0.35599","-","5.80%"
"Apr 18, 2018","0.36068","0.33123","0.36539","0.32960","-","8.89%"
"Apr 17, 2018","0.33123","0.31096","0.34231","0.30790","-","6.52%"
"Apr 16, 2018","0.31096","0.32450","0.32609","0.29737","-","-4.17%"
"Apr 15, 2018","0.32450","0.30240","0.32933","0.30069","-","7.28%"
"Apr 14, 2018","0.30247","0.28860","0.30931","0.28645","-","4.83%"
"Apr 13, 2018","0.28853","0.29532","0.31087","0.28826","-","-2.30%"
"Apr 12, 2018","0.29532","0.26210","0.30298","0.25014","-","12.67%"
"Apr 11, 2018","0.26210","0.25499","0.26552","0.25126","-","2.79%"
"Apr 10, 2018","0.25499","0.23773","0.25921","0.23478","-","7.26%"
"Apr 09, 2018","0.23773","0.25112","0.25803","0.23295","-","-5.33%"
"Apr 08, 2018","0.25112","0.23914","0.25278","0.23887","-","5.10%"
"Apr 07, 2018","0.23893","0.23469","0.24559","0.23134","-","1.77%"
"Apr 06, 2018","0.23477","0.25269","0.25469","0.22652","-","-7.09%"
"Apr 05, 2018","0.25269","0.29128","0.30487","0.23370","-","-13.25%"
"Apr 04, 2018","0.29128","0.26538","0.36837","0.26181","-","9.76%"
"Apr 03, 2018","0.26538","0.23358","0.28664","0.22863","-","13.61%"
"Apr 02, 2018","0.23358","0.21071","0.24640","0.20782","-","10.86%"
"Apr 01, 2018","0.21071","0.21880","0.22178","0.20021","-","-3.70%"
"Mar 31, 2018","0.21880","0.21732","0.22774","0.21542","-","0.68%"
"Mar 30, 2018","0.21732","0.22280","0.23073","0.20623","-","-2.46%"
"Mar 29, 2018","0.22280","0.25760","0.26048","0.21719","-","-13.51%"
"Mar 28, 2018","0.25760","0.24803","0.28793","0.24613","-","3.86%"
"Mar 27, 2018","0.24803","0.25236","0.26100","0.23960","-","-1.71%"
"Mar 26, 2018","0.25236","0.27396","0.27560","0.24401","-","-7.89%"
"Mar 25, 2018","0.27396","0.26662","0.28162","0.26464","-","3.11%"
"Mar 24, 2018","0.26569","0.27593","0.29736","0.26569","-","-3.68%"
"Mar 23, 2018","0.27584","0.29398","0.29529","0.25972","-","-6.17%"
"Mar 22, 2018","0.29398","0.29508","0.32828","0.28171","-","-0.37%"
"Mar 21, 2018","0.29508","0.29508","0.31504","0.28717","-","0.00%"
"Mar 20, 2018","0.29508","0.28870","0.30444","0.27113","-","2.21%"
"Mar 19, 2018","0.28870","0.26383","0.29082","0.25398","-","9.43%"
"Mar 18, 2018","0.26383","0.25640","0.26443","0.21548","-","2.67%"
"Mar 17, 2018","0.25697","0.29468","0.29911","0.25654","-","-13.23%"
"Mar 16, 2018","0.29614","0.28176","0.32283","0.26984","-","5.11%"
"Mar 15, 2018","0.28176","0.28806","0.30080","0.24936","-","-2.19%"
"Mar 14, 2018","0.28806","0.32141","0.37643","0.27827","-","-10.38%"
"Mar 13, 2018","0.32141","0.28969","0.33287","0.28437","-","10.95%"
"Mar 12, 2018","0.28969","0.28621","0.30676","0.27811","-","1.22%"
"Mar 11, 2018","0.28621","0.27505","0.29581","0.25921","-","4.19%"
"Mar 10, 2018","0.27471","0.28972","0.30263","0.27235","-","-5.40%"
"Mar 09, 2018","0.29038","0.31333","0.31751","0.26680","-","-7.32%"
"Mar 08, 2018","0.31333","0.33681","0.34738","0.30888","-","-6.97%"
"Mar 07, 2018","0.33681","0.37245","0.38779","0.32390","-","-9.57%"
"Mar 06, 2018","0.37245","0.39897","0.40176","0.36761","-","-6.65%"
"Mar 05, 2018","0.39897","0.41381","0.42021","0.39897","-","-3.59%"
"Mar 04, 2018","0.41381","0.42176","0.42244","0.38903","-","-1.90%"
"Mar 03, 2018","0.42184","0.39560","0.43921","0.39052","-","6.63%"
"Mar 02, 2018","0.39560","0.38412","0.40199","0.36828","-","2.99%"
"Mar 01, 2018","0.38412","0.37062","0.39704","0.35093","-","3.64%"
"Feb 28, 2018","0.37062","0.41025","0.42354","0.36910","-","-9.66%"
"Feb 27, 2018","0.41025","0.41665","0.42521","0.39897","-","-1.54%"
"Feb 26, 2018","0.41665","0.40970","0.42195","0.38658","-","1.72%"
"Feb 25, 2018","0.40962","0.39581","0.42070","0.39151","-","3.36%"
"Feb 24, 2018","0.39632","0.42453","0.43522","0.38344","-","-6.09%"
"Feb 23, 2018","0.42204","0.40496","0.43052","0.37903","-","5.08%"
"Feb 22, 2018","0.40165","0.43349","0.45117","0.38686","-","-7.57%"
"Feb 21, 2018","0.43457","0.46477","0.46765","0.41901","-","-6.59%"
"Feb 20, 2018","0.46523","0.51156","0.55727","0.45904","-","-9.93%"
"Feb 19, 2018","0.51653","0.45675","0.51653","0.45675","-","13.36%"
"Feb 18, 2018","0.45568","0.52376","0.52376","0.44500","-","-12.90%"
"Feb 17, 2018","0.52319","0.50655","0.52691","0.49484","-","3.22%"
"Feb 16, 2018","0.50686","0.50170","0.52484","0.47624","-","0.79%"
"Feb 15, 2018","0.50290","0.50463","0.51496","0.47970","-","-0.39%"
"Feb 14, 2018","0.50487","0.46641","0.50731","0.45967","-","8.26%"
"Feb 13, 2018","0.46633","0.49030","0.49249","0.44725","-","-4.84%"
"Feb 12, 2018","0.49004","0.45468","0.49165","0.45110","-","8.52%"
"Feb 11, 2018","0.45156","0.50762","0.52626","0.42283","-","-10.86%"
"Feb 10, 2018","0.50655","0.49118","0.54846","0.43930","-","1.83%"
"Feb 09, 2018","0.49743","0.39646","0.51505","0.38701","-","25.38%"
"Feb 08, 2018","0.39675","0.36217","0.41337","0.35485","-","9.15%"
"Feb 07, 2018","0.36350","0.38763","0.41045","0.34305","-","-6.59%"
"Feb 06, 2018","0.38915","0.36605","0.39852","0.27866","-","10.96%"
"Feb 05, 2018","0.35073","0.42667","0.44821","0.31683","-","-17.87%"
"Feb 04, 2018","0.42702","0.53273","0.58975","0.40047","-","-19.97%"
"Feb 03, 2018","0.53358","0.54150","0.56003","0.44687","-","-1.40%"
"Feb 02, 2018","0.54115","0.59130","0.59130","0.39946","-","-8.53%"
"Feb 01, 2018","0.59162","0.77425","0.78729","0.56044","-","-23.60%"
"Jan 31, 2018","0.77433","0.81490","0.81490","0.68483","-","-5.33%"
"Jan 30, 2018","0.81791","0.97396","0.97396","0.80588","-","-16.10%"
"Jan 29, 2018","0.97486","0.95807","1.00892","0.88367","-","1.90%"
"Jan 28, 2018","0.95667","0.94471","0.97486","0.92581","-","1.25%"
"Jan 27, 2018","0.94481","0.92610","1.01825","0.89012","-","1.90%"
"Jan 26, 2018","0.92720","1.02294","1.06122","0.84444","-","-9.86%"
"Jan 25, 2018","1.02859","1.05808","1.08182","0.98983","-","-3.54%"
"Jan 24, 2018","1.06636","1.00466","1.08154","0.95568","-","6.07%"
"Jan 23, 2018","1.00531","1.01273","1.05561","0.88809","-","-0.62%"
"Jan 22, 2018","1.01153","1.08190","1.30428","0.88806","-","-6.15%"
"Jan 21, 2018","1.07780","1.41039","1.41274","0.97562","-","-23.78%"
"Jan 20, 2018","1.41408","1.41587","1.48078","1.31464","-","-0.07%"
"Jan 19, 2018","1.41506","1.42525","1.60121","1.26999","-","-0.28%"
"Jan 18, 2018","1.41900","1.69533","1.69533","1.34875","-","-16.27%"
"Jan 17, 2018","1.69471","1.30047","2.02789","1.08384","-","30.24%"
"Jan 16, 2018","1.30119","1.59527","1.59527","1.16738","-","-18.30%"
"Jan 15, 2018","1.59267","1.59030","1.68214","1.56340","-","-0.01%"
"Jan 14, 2018","1.59289","1.66591","1.68868","1.51360","-","-4.49%"
