"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","1.32294","1.20498","1.34396","1.19922","0.51K","14.18%"
"Jun 29, 2018","1.15869","1.21506","1.21506","1.12574","0.57K","-4.64%"
"Jun 28, 2018","1.21510","1.25857","1.31980","1.21510","0.19K","-3.45%"
"Jun 27, 2018","1.25857","1.25595","1.25857","1.19303","1.95K","0.21%"
"Jun 26, 2018","1.25595","1.35567","1.39795","1.25595","0.50K","-8.79%"
"Jun 25, 2018","1.37706","1.30282","1.37716","1.29528","0.14K","5.70%"
"Jun 24, 2018","1.30282","1.39948","1.39948","1.26674","0.44K","-6.91%"
"Jun 23, 2018","1.39954","1.39512","1.45349","1.33392","1.03K","0.32%"
"Jun 22, 2018","1.39512","1.64744","1.67161","1.35662","0.31K","-15.32%"
"Jun 21, 2018","1.64749","1.57563","1.64821","1.49683","2.03K","4.74%"
"Jun 20, 2018","1.57298","1.54594","1.73307","1.43899","1.90K","0.34%"
"Jun 19, 2018","1.56770","1.59384","1.61478","1.55431","0.91K","-1.64%"
"Jun 18, 2018","1.59384","1.62311","1.62882","1.54448","0.96K","-1.83%"
"Jun 17, 2018","1.62358","1.59911","1.62358","1.59911","0.11K","1.53%"
"Jun 16, 2018","1.59911","1.65325","1.72168","1.51883","1.23K","-3.27%"
"Jun 15, 2018","1.65317","1.74145","1.75113","1.65317","0.26K","-2.40%"
"Jun 14, 2018","1.69375","1.59372","1.69375","1.58361","0.44K","6.28%"
"Jun 13, 2018","1.59372","1.56768","1.85339","1.55158","2.49K","1.64%"
"Jun 12, 2018","1.56802","1.82823","1.90279","1.55241","0.75K","-14.23%"
"Jun 11, 2018","1.82824","1.86246","1.94884","1.41736","9.46K","-1.84%"
"Jun 10, 2018","1.86249","2.33003","2.33003","1.78399","3.51K","-20.06%"
"Jun 09, 2018","2.33000","2.33722","2.33852","2.30070","0.64K","0.94%"
"Jun 08, 2018","2.30835","2.41244","2.41487","2.11390","2.72K","-4.34%"
"Jun 07, 2018","2.41303","2.42137","2.42402","2.34442","0.36K","2.81%"
"Jun 06, 2018","2.34716","2.44625","2.52128","2.33821","0.44K","-4.05%"
"Jun 05, 2018","2.44625","2.47371","2.58002","2.30000","1.36K","-1.11%"
"Jun 04, 2018","2.47375","2.65411","2.65452","2.36167","0.72K","-6.79%"
"Jun 03, 2018","2.65395","2.53469","2.65395","2.50550","0.77K","4.71%"
"Jun 02, 2018","2.53445","2.42693","2.65822","2.40521","1.04K","4.43%"
"Jun 01, 2018","2.42689","2.41123","3.18269","2.36336","4.18K","-2.47%"
"May 31, 2018","2.48835","2.37759","2.65201","2.00177","7.21K","4.66%"
"May 30, 2018","2.37759","2.35253","2.46696","2.33848","0.04K","0.78%"
"May 29, 2018","2.35928","2.23578","2.40676","2.17283","2.30K","5.52%"
"May 28, 2018","2.23578","2.33722","2.38987","2.15239","0.44K","-4.34%"
"May 27, 2018","2.33722","2.53620","2.53620","2.32807","0.10K","-7.85%"
"May 26, 2018","2.53620","2.41493","2.53620","2.39304","1.31K","5.02%"
"May 25, 2018","2.41493","2.45312","2.49053","2.40776","2.37K","-1.56%"
"May 24, 2018","2.45312","2.44997","2.54505","2.29510","0.43K","0.13%"
"May 23, 2018","2.44997","2.71647","2.73000","2.35626","3.67K","-11.98%"
"May 22, 2018","2.78338","2.92279","2.92288","2.78338","0.69K","-4.77%"
"May 21, 2018","2.92279","3.03763","3.21422","2.89854","9.53K","-3.78%"
"May 20, 2018","3.03763","3.03666","3.18207","2.94356","3.89K","0.03%"
"May 19, 2018","3.03666","3.04870","3.15076","3.01329","9.01K","-0.39%"
"May 18, 2018","3.04870","2.80079","3.09762","2.80035","6.20K","8.85%"
"May 17, 2018","2.80078","3.03358","3.17364","2.80074","5.94K","-7.68%"
"May 16, 2018","3.03361","3.19309","3.93390","3.02204","3.88K","-4.99%"
"May 15, 2018","3.19309","3.57157","4.06051","3.11589","7.33K","-10.60%"
"May 14, 2018","3.57165","3.65127","4.16302","3.47847","13.20K","-2.18%"
"May 13, 2018","3.65127","3.00301","3.78805","3.00301","9.58K","21.59%"
"May 12, 2018","3.00301","3.07359","3.78376","2.64171","10.85K","-2.30%"
"May 11, 2018","3.07359","3.07222","3.20055","2.72086","2.10K","0.04%"
"May 10, 2018","3.07222","3.32815","3.32815","3.07222","1.22K","-7.69%"
"May 09, 2018","3.32815","3.33387","3.36041","2.72384","1.58K","-0.17%"
"May 08, 2018","3.33387","3.30736","3.39038","3.28364","1.77K","0.43%"
"May 07, 2018","3.31969","3.47215","3.58170","3.13375","2.07K","-4.39%"
"May 06, 2018","3.47215","3.60130","3.99740","2.66964","6.17K","-3.59%"
"May 05, 2018","3.60130","3.74051","4.79311","3.50716","37.92K","-3.72%"
"May 04, 2018","3.74051","3.71813","4.93320","3.61359","9.80K","0.60%"
"May 03, 2018","3.71813","3.84704","3.84809","3.58601","0.71K","-3.35%"
"May 02, 2018","3.84704","3.60222","3.84704","3.56355","2.28K","6.80%"
"May 01, 2018","3.60222","3.60404","3.73711","3.16694","3.62K","-0.05%"
"Apr 30, 2018","3.60404","3.71989","3.98287","3.60151","3.20K","-3.11%"
"Apr 29, 2018","3.71989","3.73635","3.97431","3.63053","5.98K","-0.44%"
"Apr 28, 2018","3.73635","3.54261","3.88549","3.38125","6.97K","5.47%"
"Apr 27, 2018","3.54261","3.31612","3.54276","3.30851","0.17K","6.83%"
"Apr 26, 2018","3.31612","3.01906","3.39326","3.01906","0.28K","9.84%"
"Apr 25, 2018","3.01906","3.60000","3.60000","2.87417","2.15K","-16.14%"
"Apr 24, 2018","3.60000","3.48367","3.69014","3.22946","47.87K","3.34%"
"Apr 23, 2018","3.48367","3.26930","3.64032","3.25431","4.45K","6.56%"
"Apr 22, 2018","3.26930","2.98772","3.34083","2.98763","1.01K","9.42%"
"Apr 21, 2018","2.98772","3.07189","3.38447","2.88417","1.31K","-2.74%"
"Apr 20, 2018","3.07189","3.06815","3.18926","2.86986","5.50K","0.12%"
"Apr 19, 2018","3.06815","2.86356","3.65654","2.86356","0.66K","7.14%"
"Apr 18, 2018","2.86356","2.60690","2.89918","2.54982","3.94K","9.85%"
"Apr 17, 2018","2.60690","2.56148","2.71315","2.56134","2.40K","1.77%"
"Apr 16, 2018","2.56148","2.78781","2.79779","2.52807","2.01K","-8.12%"
"Apr 15, 2018","2.78781","2.67014","2.80795","2.60321","5.08K","4.41%"
"Apr 14, 2018","2.67014","2.68054","2.76893","2.50031","2.44K","-0.39%"
"Apr 13, 2018","2.68054","2.48711","2.86401","2.48711","2.58K","7.78%"
"Apr 12, 2018","2.48711","2.23529","2.50468","2.23529","8.18K","11.27%"
"Apr 11, 2018","2.23529","2.16308","2.29687","2.16308","2.08K","3.34%"
"Apr 10, 2018","2.16308","2.05684","2.19375","1.95398","4.16K","5.17%"
"Apr 09, 2018","2.05684","2.14157","2.18242","1.93392","7.19K","-3.96%"
"Apr 08, 2018","2.14157","2.06489","2.14157","2.00000","0.04K","3.71%"
"Apr 07, 2018","2.06489","1.92956","2.06489","1.85000","0.12K","7.01%"
"Apr 06, 2018","1.92956","2.10174","2.31638","1.92652","2.15K","-8.19%"
"Apr 05, 2018","2.10174","2.01606","2.10174","1.97937","1.34K","4.25%"
"Apr 04, 2018","2.01606","2.18728","2.33868","2.01462","0.68K","-7.83%"
"Apr 03, 2018","2.18728","1.93370","2.27576","1.91436","1.60K","13.11%"
"Apr 02, 2018","1.93370","1.85073","2.11341","1.85073","0.42K","4.48%"
"Apr 01, 2018","1.85073","1.98254","2.06110","1.84932","15.54K","-6.65%"
"Mar 31, 2018","1.98254","1.96475","2.19773","1.92873","1.05K","0.91%"
"Mar 30, 2018","1.96475","2.20795","2.20795","1.83475","0.48K","-11.01%"
"Mar 29, 2018","2.20792","2.47770","2.47805","2.03596","2.81K","-10.89%"
"Mar 28, 2018","2.47770","2.47943","2.64969","2.45058","1.74K","-0.07%"
"Mar 27, 2018","2.47943","2.57763","3.10614","2.29651","1.81K","-3.81%"
"Mar 26, 2018","2.57763","2.80684","3.73079","2.56327","3.76K","-8.17%"
"Mar 25, 2018","2.80684","2.77721","3.70734","2.63226","1.67K","1.07%"
"Mar 24, 2018","2.77721","2.77848","2.77848","2.53973","0.44K","-0.05%"
"Mar 23, 2018","2.77848","2.78888","2.78888","2.61045","0.69K","-0.37%"
"Mar 22, 2018","2.78888","2.70012","2.80325","2.55271","0.50K","3.29%"
"Mar 21, 2018","2.70009","2.73380","2.91285","2.69770","1.78K","-1.23%"
"Mar 20, 2018","2.73378","2.65858","2.78647","2.47222","7.27K","2.83%"
"Mar 19, 2018","2.65858","2.38899","2.91065","2.37611","1.07K","11.28%"
"Mar 18, 2018","2.38899","2.59382","2.59382","2.00697","2.09K","-7.90%"
"Mar 17, 2018","2.59382","2.94647","2.94647","2.45056","0.11K","-11.97%"
"Mar 16, 2018","2.94647","2.58687","2.94647","2.50749","0.56K","13.90%"
"Mar 15, 2018","2.58687","2.74644","2.74644","2.52725","0.86K","-5.81%"
"Mar 14, 2018","2.74644","3.40859","3.60482","2.74644","4.03K","-19.43%"
"Mar 13, 2018","3.40859","3.29928","3.42985","3.19689","2.88K","3.31%"
"Mar 12, 2018","3.29928","3.18488","3.60051","3.18488","1.09K","3.59%"
"Mar 11, 2018","3.18485","3.20094","3.20378","2.98664","3.14K","-0.50%"
"Mar 10, 2018","3.20094","3.14688","3.43314","3.12764","1.16K","1.72%"
"Mar 09, 2018","3.14688","3.05670","3.14688","2.81373","0.57K","2.95%"
"Mar 08, 2018","3.05670","3.45758","3.57711","3.05606","1.17K","-11.59%"
"Mar 07, 2018","3.45758","3.75759","3.86453","3.30345","1.15K","-7.98%"
"Mar 06, 2018","3.75759","3.77311","3.98986","3.63791","1.56K","-0.41%"
"Mar 05, 2018","3.77311","4.13586","4.29204","3.61225","2.55K","-8.77%"
"Mar 04, 2018","4.13586","4.46081","5.07070","3.98542","4.54K","-7.28%"
"Mar 03, 2018","4.46081","4.04684","4.53875","4.02269","9.51K","10.23%"
"Mar 02, 2018","4.04684","3.78523","4.04684","3.57228","1.96K","6.91%"
"Mar 01, 2018","3.78523","3.63077","3.86393","3.47221","1.03K","4.25%"
"Feb 28, 2018","3.63077","3.87027","3.91112","3.61991","3.18K","-6.19%"
"Feb 27, 2018","3.87027","3.83967","3.94712","3.73246","0.30K","0.80%"
"Feb 26, 2018","3.83967","3.71049","3.84230","3.45655","0.29K","4.75%"
"Feb 25, 2018","3.66573","3.57931","3.71767","3.51662","-","2.23%"
"Feb 24, 2018","3.58585","3.86437","4.01911","3.44479","-","-7.36%"
"Feb 23, 2018","3.87066","3.70943","3.96135","3.58192","-","4.13%"
"Feb 22, 2018","3.71700","4.04681","4.15310","3.54268","-","-8.30%"
"Feb 21, 2018","4.05331","4.09528","4.24551","3.87439","-","-1.13%"
"Feb 20, 2018","4.09953","4.68985","4.71910","4.07274","-","-12.25%"
"Feb 19, 2018","4.67194","4.52513","4.76517","4.47447","-","3.34%"
"Feb 18, 2018","4.52076","4.99586","5.06075","4.37886","-","-9.50%"
"Feb 17, 2018","4.99553","4.81616","5.20582","4.77858","-","3.52%"
"Feb 16, 2018","4.82587","4.86504","4.88510","4.61718","-","-0.82%"
"Feb 15, 2018","4.86599","4.43035","4.95531","4.40918","-","9.51%"
"Feb 14, 2018","4.44334","4.07787","4.48252","3.99919","-","8.55%"
"Feb 13, 2018","4.09351","4.05649","4.14940","3.86182","-","1.00%"
"Feb 12, 2018","4.05316","3.76921","4.15062","3.76921","-","7.66%"
"Feb 11, 2018","3.76491","4.02470","4.02631","3.55196","-","-6.44%"
"Feb 10, 2018","4.02405","4.22026","4.57219","3.75173","-","-4.66%"
"Feb 09, 2018","4.22096","3.76040","4.42925","3.61596","-","11.95%"
"Feb 08, 2018","3.77029","3.49602","4.04062","3.49602","-","8.39%"
"Feb 07, 2018","3.47860","3.71396","3.97152","3.34000","-","-6.70%"
"Feb 06, 2018","3.72854","3.19714","3.79781","2.53908","-","17.83%"
"Feb 05, 2018","3.16436","4.18093","4.26311","2.93544","-","-24.38%"
"Feb 04, 2018","4.18436","4.97317","5.07633","3.86398","-","-15.82%"
"Feb 03, 2018","4.97097","4.62815","5.14979","4.29620","-","7.55%"
