"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","0.20567","0.19492","0.20591","0.19407","445.73K","5.70%"
"Jun 29, 2018","0.19457","0.18958","0.19840","0.18585","172.27K","2.63%"
"Jun 28, 2018","0.18958","0.19530","0.19564","0.18870","337.62K","-2.93%"
"Jun 27, 2018","0.19529","0.19962","0.19962","0.19079","441.53K","-2.16%"
"Jun 26, 2018","0.19961","0.22364","0.22367","0.19525","471.64K","-10.74%"
"Jun 25, 2018","0.22363","0.21403","0.23347","0.21111","560.89K","4.50%"
"Jun 24, 2018","0.21400","0.23822","0.23833","0.19534","555.17K","-10.16%"
"Jun 23, 2018","0.23822","0.23424","0.23868","0.23320","447.63K","1.74%"
"Jun 22, 2018","0.23415","0.28483","0.28812","0.23016","548.24K","-17.76%"
"Jun 21, 2018","0.28473","0.24192","0.28695","0.24192","657.67K","17.69%"
"Jun 20, 2018","0.24192","0.23297","0.24273","0.22762","449.68K","3.85%"
"Jun 19, 2018","0.23295","0.21766","0.23711","0.21381","453.42K","7.03%"
"Jun 18, 2018","0.21764","0.20937","0.21772","0.20691","489.36K","3.95%"
"Jun 17, 2018","0.20937","0.21246","0.21700","0.20896","505.05K","-1.45%"
"Jun 16, 2018","0.21245","0.21032","0.21512","0.20872","554.18K","1.02%"
"Jun 15, 2018","0.21031","0.20504","0.21397","0.20081","485.42K","2.58%"
"Jun 14, 2018","0.20502","0.19048","0.20641","0.18996","532.90K","7.64%"
"Jun 13, 2018","0.19048","0.19748","0.19845","0.18876","529.17K","-3.54%"
"Jun 12, 2018","0.19748","0.21105","0.21181","0.19500","553.13K","-6.43%"
"Jun 11, 2018","0.21104","0.21757","0.22207","0.20796","483.59K","-3.00%"
"Jun 10, 2018","0.21756","0.24366","0.24376","0.21659","315.74K","-10.71%"
"Jun 09, 2018","0.24365","0.24608","0.25107","0.24359","418.17K","-0.98%"
"Jun 08, 2018","0.24607","0.25471","0.25563","0.24542","515.20K","-3.38%"
"Jun 07, 2018","0.25469","0.25471","0.25757","0.25109","544.01K","-0.01%"
"Jun 06, 2018","0.25471","0.26135","0.26227","0.25221","470.38K","-2.54%"
"Jun 05, 2018","0.26135","0.27223","0.27557","0.25380","474.39K","-3.99%"
"Jun 04, 2018","0.27221","0.25007","0.27759","0.24875","470.84K","8.86%"
"Jun 03, 2018","0.25005","0.24512","0.25065","0.24432","501.43K","2.28%"
"Jun 02, 2018","0.24447","0.23796","0.24768","0.23699","537.19K","2.74%"
"Jun 01, 2018","0.23794","0.24234","0.24380","0.23359","503.30K","-1.80%"
"May 31, 2018","0.24232","0.24164","0.24602","0.23888","536.95K","0.17%"
"May 30, 2018","0.24189","0.24303","0.24956","0.23781","557.63K","-0.45%"
