"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","1.58111","1.55903","1.62698","1.53040","146.35K","1.42%"
"Jun 29, 2018","1.55903","1.57705","1.64703","1.40105","327.33K","-1.14%"
"Jun 28, 2018","1.57706","1.63092","1.69651","1.57606","100.70K","-3.30%"
"Jun 27, 2018","1.63092","1.63359","1.68418","1.59019","79.09K","-0.59%"
"Jun 26, 2018","1.64057","1.72562","1.73060","1.60065","59.61K","-4.93%"
"Jun 25, 2018","1.72562","1.71665","1.80886","1.66124","128.51K","0.52%"
"Jun 24, 2018","1.71665","1.85217","1.86178","1.60932","180.24K","-7.32%"
"Jun 23, 2018","1.85217","1.67314","1.88217","1.56301","135.60K","11.90%"
"Jun 22, 2018","1.65515","1.96862","1.97159","1.61021","144.96K","-15.50%"
"Jun 21, 2018","1.95869","1.98207","2.01079","1.95383","53.68K","-1.18%"
"Jun 20, 2018","1.98207","2.01084","2.04532","1.94427","102.14K","-1.67%"
"Jun 19, 2018","2.01572","2.02806","2.11872","1.99861","115.19K","-0.61%"
"Jun 18, 2018","2.02806","2.00318","2.07708","1.99223","75.78K","1.25%"
"Jun 17, 2018","2.00300","2.06189","2.08875","1.99600","79.80K","-2.86%"
"Jun 16, 2018","2.06192","2.04901","2.12484","1.99864","70.63K","0.63%"
"Jun 15, 2018","2.04900","2.17047","2.19443","2.00310","58.13K","-5.59%"
"Jun 14, 2018","2.17044","2.07894","2.18234","2.00457","125.23K","4.40%"
"Jun 13, 2018","2.07893","2.14680","2.16705","2.00403","96.39K","-3.16%"
"Jun 12, 2018","2.14678","2.21776","2.30609","2.08323","78.25K","-4.78%"
"Jun 11, 2018","2.25463","2.03967","2.26725","1.98975","137.89K","10.54%"
"Jun 10, 2018","2.03967","2.48048","2.49448","1.94879","122.43K","-17.77%"
"Jun 09, 2018","2.48051","2.54402","2.58837","2.47348","73.08K","-2.50%"
"Jun 08, 2018","2.54402","2.60203","2.64226","2.50266","103.83K","-2.23%"
"Jun 07, 2018","2.60204","2.61800","2.70000","2.59104","108.16K","-0.61%"
"Jun 06, 2018","2.61800","2.70400","2.74500","2.57000","136.82K","-3.18%"
"Jun 05, 2018","2.70400","2.75125","2.86425","2.54912","191.80K","-1.43%"
"Jun 04, 2018","2.74326","2.91530","2.99838","2.67167","164.42K","-5.90%"
"Jun 03, 2018","2.91529","2.89894","3.11825","2.80821","246.40K","0.56%"
"Jun 02, 2018","2.89896","2.84162","2.95894","2.77812","159.59K","2.02%"
"Jun 01, 2018","2.84162","2.70092","2.94995","2.64304","238.82K","4.32%"
"May 31, 2018","2.72388","2.72606","2.75595","2.62817","89.44K","-0.08%"
"May 30, 2018","2.72606","2.79344","2.93661","2.60836","125.52K","-1.50%"
"May 29, 2018","2.76752","2.61006","2.84081","2.54463","160.70K","6.03%"
"May 28, 2018","2.61010","2.93863","2.95285","2.56503","120.07K","-10.30%"
"May 27, 2018","2.90966","2.94565","2.97578","2.83950","62.38K","-1.17%"
"May 26, 2018","2.94405","2.91961","3.02619","2.84580","86.04K","0.84%"
"May 25, 2018","2.91962","3.03827","3.09508","2.88973","116.44K","-3.52%"
"May 24, 2018","3.02629","2.97819","3.33737","2.86426","158.39K","0.77%"
"May 23, 2018","3.00317","3.24991","3.25404","2.70388","235.31K","-7.59%"
"May 22, 2018","3.24991","3.53183","3.53183","3.20748","101.21K","-7.98%"
"May 21, 2018","3.53183","3.70226","3.72002","3.47289","122.76K","-4.60%"
"May 20, 2018","3.70226","3.59390","3.77991","3.53460","76.25K","3.02%"
"May 19, 2018","3.59390","3.57431","3.67211","3.50905","103.55K","0.55%"
"May 18, 2018","3.57431","3.50639","3.85334","3.33471","314.97K","1.94%"
"May 17, 2018","3.50639","3.61374","3.78265","3.45763","134.75K","-2.97%"
"May 16, 2018","3.61374","3.76620","3.76620","3.52334","81.28K","-4.05%"
"May 15, 2018","3.76618","3.88587","4.01684","3.75435","120.09K","-3.08%"
"May 14, 2018","3.88586","4.04506","4.04506","3.67023","183.51K","-3.94%"
"May 13, 2018","4.04506","3.74055","4.12052","3.65536","156.59K","8.90%"
"May 12, 2018","3.71458","3.61687","3.80601","3.18419","274.98K","2.70%"
"May 11, 2018","3.61687","4.28160","4.32642","3.35049","343.21K","-15.53%"
"May 10, 2018","4.28160","4.61258","4.71831","4.23970","197.07K","-7.18%"
"May 09, 2018","4.61258","4.77238","4.78536","4.44755","161.72K","-3.35%"
"May 08, 2018","4.77238","4.74092","5.30408","4.66356","464.92K","-0.65%"
"May 07, 2018","4.80351","5.00400","5.07195","4.45179","241.38K","-4.03%"
"May 06, 2018","5.00505","5.47688","5.50797","4.80162","320.67K","-8.54%"
"May 05, 2018","5.47229","5.54145","5.80179","5.45546","231.83K","-1.25%"
"May 04, 2018","5.54145","5.51615","5.65281","5.43328","244.13K","0.46%"
"May 03, 2018","5.51615","5.49553","13.63743","5.36048","442.90K","0.38%"
"May 02, 2018","5.49553","5.41232","5.79352","5.29440","345.00K","1.54%"
"May 01, 2018","5.41232","5.53097","5.57931","5.15488","260.10K","-2.15%"
"Apr 30, 2018","5.53097","5.55089","6.20864","5.26994","461.76K","-0.36%"
"Apr 29, 2018","5.55089","6.00930","6.04069","5.26791","558.75K","-7.63%"
"Apr 28, 2018","6.00930","5.70498","6.32470","5.66109","724.74K","5.30%"
"Apr 27, 2018","5.70697","5.23044","7.27181","5.23044","2.67M","9.11%"
"Apr 26, 2018","5.23059","4.07429","5.87540","3.90670","1.46M","28.38%"
"Apr 25, 2018","4.07429","4.99337","5.02334","3.76846","622.67K","-18.47%"
"Apr 24, 2018","4.99735","4.41795","5.21945","4.30190","893.62K","13.11%"
"Apr 23, 2018","4.41798","4.31867","4.66471","4.21817","363.64K","2.30%"
"Apr 22, 2018","4.31867","3.87181","5.31758","3.74513","1.12M","11.54%"
"Apr 21, 2018","3.87181","4.50204","4.51303","3.49826","622.20K","-14.00%"
"Apr 20, 2018","4.50204","3.69346","4.68141","2.28243","1.14M","21.89%"
"Apr 19, 2018","3.69346","2.65134","3.94853","2.62825","1.52M","39.31%"
"Apr 18, 2018","2.65134","2.52852","2.82336","2.50407","265.36K","4.90%"
"Apr 17, 2018","2.52753","2.45545","2.64404","2.45545","111.51K","2.11%"
"Apr 16, 2018","2.47529","2.58248","2.62599","2.39708","152.03K","-4.15%"
"Apr 15, 2018","2.58248","2.53907","2.65181","2.53360","143.14K","1.71%"
"Apr 14, 2018","2.53907","2.55400","2.69581","2.44578","201.60K","-0.58%"
"Apr 13, 2018","2.55400","2.46839","2.78009","2.35788","383.11K","4.45%"
"Apr 12, 2018","2.44515","2.22954","2.46841","2.18624","248.83K","9.67%"
"Apr 11, 2018","2.22954","2.20567","2.26297","2.14862","121.77K","1.08%"
"Apr 10, 2018","2.20567","2.27941","2.29797","2.16102","114.80K","-3.24%"
"Apr 09, 2018","2.27941","2.34157","2.40435","2.24284","150.59K","-2.64%"
"Apr 08, 2018","2.34127","2.27964","2.41355","2.25218","139.25K","2.70%"
"Apr 07, 2018","2.27969","2.19594","2.46016","2.13494","236.60K","3.81%"
"Apr 06, 2018","2.19595","1.96372","2.56262","1.93164","581.30K","11.83%"
"Apr 05, 2018","1.96372","2.02427","2.03796","1.84074","169.50K","-3.00%"
"Apr 04, 2018","2.02440","2.13800","2.16107","1.99537","113.80K","-5.31%"
"Apr 03, 2018","2.13802","2.08396","2.17169","2.04644","151.92K","2.59%"
"Apr 02, 2018","2.08396","2.11315","2.13040","1.98202","83.98K","-1.38%"
"Apr 01, 2018","2.11313","2.20098","2.24639","1.81658","147.09K","-3.99%"
"Mar 31, 2018","2.20098","2.22446","2.34396","2.13112","62.19K","-1.06%"
"Mar 30, 2018","2.22446","2.22935","2.38211","2.11434","107.57K","-0.22%"
"Mar 29, 2018","2.22935","2.54168","2.54194","2.21051","77.36K","-12.29%"
"Mar 28, 2018","2.54169","2.52400","2.62212","2.44029","117.92K","0.70%"
"Mar 27, 2018","2.52400","2.54349","2.67489","2.41414","91.53K","-0.77%"
"Mar 26, 2018","2.54349","2.64878","2.81520","2.34649","181.09K","-3.98%"
"Mar 25, 2018","2.64878","2.78364","2.78364","2.52602","140.72K","-4.26%"
"Mar 24, 2018","2.76665","2.94817","3.11802","2.75147","207.63K","-6.16%"
"Mar 23, 2018","2.94817","3.01919","3.03337","2.73156","144.03K","-2.35%"
"Mar 22, 2018","3.01919","3.22415","3.33753","2.64000","253.23K","-6.36%"
"Mar 21, 2018","3.22415","2.79990","3.62860","2.79977","543.21K","15.15%"
"Mar 20, 2018","2.79990","2.62039","3.09536","2.48306","252.22K","6.85%"
"Mar 19, 2018","2.62039","2.47131","2.82239","2.40000","120.47K","6.03%"
"Mar 18, 2018","2.47128","2.83338","2.83573","2.19271","136.01K","-12.78%"
"Mar 17, 2018","2.83338","2.91494","2.98923","2.78994","46.22K","-2.80%"
"Mar 16, 2018","2.91494","3.04520","3.15222","2.86634","62.70K","-4.28%"
"Mar 15, 2018","3.04536","2.77307","3.21533","2.61730","134.93K","9.82%"
"Mar 14, 2018","2.77307","3.95528","4.07120","2.77307","113.10K","-29.89%"
"Mar 13, 2018","3.95528","3.47946","4.03118","3.39490","70.67K","13.68%"
"Mar 12, 2018","3.47946","3.60190","3.64299","3.31200","148.84K","-3.40%"
"Mar 11, 2018","3.60189","3.95549","4.07129","3.49306","143.91K","-8.94%"
"Mar 10, 2018","3.95549","3.89829","4.26349","3.69300","124.31K","1.47%"
"Mar 09, 2018","3.89829","4.66783","4.81867","3.69687","177.30K","-16.49%"
"Mar 08, 2018","4.66783","4.84889","5.49678","4.56856","158.22K","-3.73%"
"Mar 07, 2018","4.84889","5.55946","5.85969","4.71344","169.31K","-12.78%"
"Mar 06, 2018","5.55946","6.81688","6.98069","5.49315","306.19K","-18.45%"
"Mar 05, 2018","6.81688","5.37349","6.81688","5.29672","240.24K","26.86%"
"Mar 04, 2018","5.37349","6.36301","6.42882","5.31830","164.48K","-15.55%"
"Mar 03, 2018","6.36301","5.98418","6.63281","5.87792","64.66K","6.33%"
"Mar 02, 2018","5.98418","6.59777","6.80963","5.80900","81.27K","-9.30%"
"Mar 01, 2018","6.59777","6.79769","7.29418","6.33731","73.45K","-2.94%"
"Feb 28, 2018","6.79769","6.77799","7.36888","6.61840","70.64K","0.29%"
"Feb 27, 2018","6.77799","7.28704","7.54029","6.49671","70.50K","-6.99%"
"Feb 26, 2018","7.28704","7.94146","8.12554","6.41663","55.55K","-8.24%"
"Feb 25, 2018","7.94146","8.91305","9.76478","7.68897","58.89K","-10.90%"
"Feb 24, 2018","8.91305","8.43214","9.79852","7.87465","80.60K","5.70%"
"Feb 23, 2018","8.43214","8.03189","8.50691","7.46799","70.40K","4.98%"
"Feb 22, 2018","8.03189","9.70253","11.50082","7.98951","126.24K","-17.22%"
"Feb 21, 2018","9.70253","7.94307","10.25180","7.78036","120.13K","22.15%"
"Feb 20, 2018","7.94307","9.58734","9.67103","7.92948","156.80K","-17.15%"
"Feb 19, 2018","9.58734","9.15309","10.15876","8.48814","205.41K","4.74%"
"Feb 18, 2018","9.15309","7.13981","13.64959","7.01079","738.57K","28.20%"
"Feb 17, 2018","7.13981","6.65243","7.21285","6.33708","130.00K","7.33%"
"Feb 16, 2018","6.65243","7.20133","7.20133","5.66062","259.42K","-7.62%"
"Feb 15, 2018","7.20133","8.71717","8.77170","7.09580","99.99K","-17.39%"
"Feb 14, 2018","8.71717","7.44196","8.85254","7.24596","77.09K","17.14%"
"Feb 13, 2018","7.44196","7.62893","7.71482","7.18244","48.60K","-2.45%"
"Feb 12, 2018","7.62893","7.65253","8.25522","7.24723","60.25K","-0.31%"
"Feb 11, 2018","7.65253","7.52333","8.09530","6.89804","56.15K","1.72%"
"Feb 10, 2018","7.52333","8.23667","8.97506","7.19868","120.77K","-8.66%"
"Feb 09, 2018","8.23667","7.18811","8.49227","6.66586","112.49K","14.59%"
"Feb 08, 2018","7.18811","6.48348","7.27275","6.47092","109.84K","10.87%"
"Feb 07, 2018","6.48348","7.57355","7.87226","6.47101","181.06K","-14.39%"
"Feb 06, 2018","7.57355","6.46205","7.57355","5.34246","198.20K","17.20%"
"Feb 05, 2018","6.46205","7.17128","7.66545","6.32201","182.55K","-9.89%"
"Feb 04, 2018","7.17128","8.35145","9.25505","7.02442","299.61K","-14.13%"
"Feb 03, 2018","8.35145","7.49916","8.38137","7.16809","171.58K","11.37%"
"Feb 02, 2018","7.49916","8.58858","8.62314","6.39166","337.37K","-12.68%"
"Feb 01, 2018","8.58858","9.65809","12.37887","8.04139","430.92K","-11.07%"
"Jan 31, 2018","9.65809","11.26767","11.28285","9.60654","154.62K","-14.28%"
"Jan 30, 2018","11.26767","11.69246","13.42651","11.14101","188.53K","7.89%"
"Jan 29, 2018","10.44400","11.24000","11.44800","10.00000","248.68K","-9.75%"
