"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","748.95","716.71","785.34","716.48","160.36K","4.41%"
"Jun 29, 2018","717.29","660.06","737.77","652.98","153.55K","8.62%"
"Jun 28, 2018","660.34","714.54","723.50","650.84","117.90K","-7.59%"
"Jun 27, 2018","714.54","697.97","722.83","691.24","116.65K","2.37%"
"Jun 26, 2018","697.97","754.78","761.04","695.85","104.00K","-7.53%"
"Jun 25, 2018","754.78","747.40","781.42","736.25","142.83K","0.99%"
"Jun 24, 2018","747.39","763.82","771.92","667.97","246.86K","-2.15%"
"Jun 23, 2018","763.82","753.85","778.70","735.60","110.21K","1.31%"
"Jun 22, 2018","753.91","872.47","902.81","727.71","265.96K","-13.64%"
"Jun 21, 2018","872.95","888.91","905.16","860.05","92.39K","-1.80%"
"Jun 20, 2018","888.91","907.58","908.08","856.99","126.10K","-2.06%"
"Jun 19, 2018","907.56","883.60","928.84","869.93","114.99K","2.72%"
"Jun 18, 2018","883.55","847.62","893.09","824.98","115.87K","4.25%"
"Jun 17, 2018","847.51","851.17","863.93","844.86","77.23K","-0.43%"
"Jun 16, 2018","851.15","844.35","861.24","831.36","78.60K","0.80%"
"Jun 15, 2018","844.35","895.58","898.48","838.75","114.29K","-5.72%"
"Jun 14, 2018","895.59","838.99","906.43","824.75","185.90K","6.75%"
"Jun 13, 2018","838.93","870.57","888.34","802.86","215.23K","-3.63%"
"Jun 12, 2018","870.57","954.29","961.18","852.57","204.83K","-8.77%"
"Jun 11, 2018","954.26","936.42","975.81","898.23","233.45K","1.92%"
"Jun 10, 2018","936.29","1,087.74","1,087.79","897.83","298.57K","-13.92%"
"Jun 09, 2018","1,087.72","1,115.58","1,138.74","1,082.61","121.06K","-2.50%"
"Jun 08, 2018","1,115.59","1,144.43","1,150.39","1,086.87","145.34K","-2.52%"
"Jun 07, 2018","1,144.42","1,129.84","1,169.02","1,129.35","165.78K","1.29%"
"Jun 06, 2018","1,129.84","1,151.02","1,158.39","1,098.48","200.75K","-1.84%"
"Jun 05, 2018","1,151.06","1,098.62","1,159.58","1,049.44","229.04K","4.77%"
"Jun 04, 2018","1,098.62","1,169.35","1,210.89","1,076.19","277.69K","-6.05%"
"Jun 03, 2018","1,169.39","1,084.42","1,194.35","1,072.53","238.73K","7.84%"
"Jun 02, 2018","1,084.42","1,003.28","1,099.67","994.59","188.42K","8.09%"
"Jun 01, 2018","1,003.29","996.97","1,012.15","978.26","155.12K","0.63%"
"May 31, 2018","996.98","984.40","1,033.23","973.01","199.57K","1.28%"
"May 30, 2018","984.36","987.41","1,028.80","951.54","190.07K","-0.23%"
"May 29, 2018","986.62","883.60","1,006.49","871.02","236.48K","11.69%"
"May 28, 2018","883.31","997.62","1,007.94","873.65","175.43K","-11.46%"
"May 27, 2018","997.62","1,008.55","1,010.35","978.95","132.61K","-1.08%"
"May 26, 2018","1,008.50","1,014.07","1,045.55","996.67","116.61K","-0.55%"
"May 25, 2018","1,014.07","1,073.92","1,073.92","988.22","164.16K","-5.52%"
"May 24, 2018","1,073.29","995.00","1,081.00","947.01","214.40K","7.82%"
"May 23, 2018","995.49","1,136.52","1,153.21","969.99","265.57K","-12.41%"
"May 22, 2018","1,136.52","1,229.44","1,230.97","1,123.80","120.83K","-7.55%"
"May 21, 2018","1,229.38","1,288.64","1,297.37","1,220.29","95.33K","-4.60%"
"May 20, 2018","1,288.70","1,177.51","1,305.47","1,166.02","148.52K","9.44%"
"May 19, 2018","1,177.51","1,203.34","1,212.40","1,150.99","107.91K","-2.15%"
"May 18, 2018","1,203.42","1,198.58","1,219.78","1,132.32","204.82K","0.34%"
"May 17, 2018","1,199.29","1,279.81","1,342.17","1,171.66","182.32K","-6.31%"
"May 16, 2018","1,280.00","1,337.45","1,356.18","1,221.53","193.31K","-4.25%"
"May 15, 2018","1,336.79","1,412.56","1,451.97","1,311.86","184.90K","-5.36%"
"May 14, 2018","1,412.51","1,478.73","1,495.23","1,328.78","245.48K","-4.51%"
"May 13, 2018","1,479.23","1,461.14","1,498.02","1,403.10","172.31K","1.59%"
"May 12, 2018","1,456.08","1,366.36","1,502.30","1,267.21","291.85K","6.78%"
"May 11, 2018","1,363.57","1,520.27","1,556.81","1,316.54","329.77K","-10.30%"
"May 10, 2018","1,520.10","1,628.12","1,666.57","1,510.72","172.40K","-6.63%"
"May 09, 2018","1,628.09","1,600.32","1,675.18","1,465.63","196.88K","1.67%"
"May 08, 2018","1,601.36","1,649.83","1,655.30","1,555.34","170.06K","-3.16%"
"May 07, 2018","1,653.55","1,758.30","1,778.80","1,567.45","220.01K","-6.06%"
"May 06, 2018","1,760.31","1,761.37","1,843.84","1,641.50","275.81K","0.20%"
"May 05, 2018","1,756.71","1,515.91","1,756.71","1,511.78","258.65K","15.86%"
"May 04, 2018","1,516.23","1,509.97","1,540.50","1,462.55","146.81K","0.41%"
"May 03, 2018","1,510.03","1,458.87","1,540.71","1,449.44","209.93K","3.51%"
"May 02, 2018","1,458.87","1,353.95","1,488.91","1,325.14","191.38K","7.68%"
"May 01, 2018","1,354.78","1,348.33","1,360.19","1,247.45","138.56K","0.56%"
"Apr 30, 2018","1,347.29","1,440.93","1,446.25","1,333.43","107.95K","-6.49%"
"Apr 29, 2018","1,440.76","1,391.44","1,484.29","1,372.03","167.73K","3.54%"
"Apr 28, 2018","1,391.48","1,333.69","1,416.04","1,323.15","131.64K","4.33%"
"Apr 27, 2018","1,333.68","1,421.93","1,424.02","1,329.85","184.68K","-6.26%"
"Apr 26, 2018","1,422.75","1,289.95","1,424.21","1,244.41","268.40K","10.26%"
"Apr 25, 2018","1,290.32","1,406.36","1,435.56","1,228.75","504.59K","-8.25%"
"Apr 24, 2018","1,406.39","1,439.40","1,568.08","1,393.68","434.69K","-2.26%"
"Apr 23, 2018","1,438.83","1,194.88","1,454.37","1,191.96","397.12K","20.41%"
"Apr 22, 2018","1,195.00","1,155.07","1,258.18","1,111.72","239.78K","3.45%"
"Apr 21, 2018","1,155.17","1,125.91","1,187.07","1,016.69","283.15K","2.63%"
"Apr 20, 2018","1,125.55","966.67","1,148.47","942.43","264.26K","16.42%"
"Apr 19, 2018","966.84","895.72","983.08","879.05","197.16K","7.96%"
"Apr 18, 2018","895.52","759.01","901.53","758.13","197.92K","18.03%"
"Apr 17, 2018","758.74","769.22","788.11","753.86","97.37K","-1.36%"
"Apr 16, 2018","769.22","780.48","799.41","743.43","110.72K","-1.44%"
"Apr 15, 2018","780.49","737.36","787.25","737.24","90.73K","5.85%"
"Apr 14, 2018","737.38","740.60","760.63","718.87","87.49K","-0.41%"
"Apr 13, 2018","740.39","737.12","786.03","722.28","143.28K","0.43%"
"Apr 12, 2018","737.20","669.52","740.08","658.15","173.42K","10.16%"
"Apr 11, 2018","669.21","651.10","670.12","648.95","85.06K","2.78%"
"Apr 10, 2018","651.09","638.18","658.99","627.13","70.77K","1.98%"
"Apr 09, 2018","638.43","655.84","683.19","627.55","88.08K","-2.66%"
"Apr 08, 2018","655.86","642.17","664.38","641.63","48.34K","2.16%"
"Apr 07, 2018","642.01","610.95","656.10","610.51","54.52K","5.03%"
"Apr 06, 2018","611.25","642.74","647.57","603.82","74.50K","-4.90%"
"Apr 05, 2018","642.72","650.64","657.98","620.03","80.36K","-1.16%"
"Apr 04, 2018","650.24","709.39","709.90","638.08","102.04K","-8.34%"
"Apr 03, 2018","709.40","663.71","723.76","659.64","95.96K","6.90%"
"Apr 02, 2018","663.58","644.91","686.94","639.64","90.02K","2.90%"
"Apr 01, 2018","644.91","685.09","699.56","626.86","124.69K","-5.88%"
"Mar 31, 2018","685.23","697.35","736.86","682.24","109.44K","-1.75%"
"Mar 30, 2018","697.43","711.35","772.92","675.37","186.47K","-1.98%"
"Mar 29, 2018","711.53","861.37","869.36","697.93","201.24K","-17.39%"
