"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","14.7360","14.4890","15.1473","14.2999","2.16M","1.59%"
"Jun 29, 2018","14.5049","14.1882","14.6918","13.7535","1.80M","2.62%"
"Jun 28, 2018","14.1340","14.0737","14.9000","13.8102","2.39M","0.38%"
"Jun 27, 2018","14.0800","14.0572","14.3083","13.8501","1.53M","0.16%"
"Jun 26, 2018","14.0572","14.9199","15.0073","13.8439","1.40M","-5.64%"
"Jun 25, 2018","14.8982","14.4174","15.1500","13.7612","2.27M","3.50%"
"Jun 24, 2018","14.3949","15.5762","15.7182","13.3600","3.87M","-7.58%"
"Jun 23, 2018","15.5762","15.5618","16.0300","15.3200","2.10M","0.09%"
"Jun 22, 2018","15.5618","17.0620","17.2485","15.1802","3.36M","-8.85%"
"Jun 21, 2018","17.0727","16.0773","17.3800","15.8775","3.56M","6.32%"
"Jun 20, 2018","16.0582","16.7397","16.8493","15.6111","1.95M","-4.07%"
"Jun 19, 2018","16.7397","16.7862","16.9425","16.1310","2.12M","-0.57%"
"Jun 18, 2018","16.8363","16.6000","17.1700","16.1600","2.85M","1.89%"
"Jun 17, 2018","16.5242","15.7602","17.1899","15.7130","3.24M","4.85%"
"Jun 16, 2018","15.7600","14.9213","15.9584","14.8499","2.45M","5.14%"
"Jun 15, 2018","14.9898","14.8840","15.6250","14.6324","2.57M","1.19%"
"Jun 14, 2018","14.8132","14.5580","15.1989","14.0608","2.69M","1.60%"
"Jun 13, 2018","14.5800","15.2002","15.8000","13.7070","3.15M","-4.46%"
"Jun 12, 2018","15.2599","15.4798","16.1495","14.9200","3.48M","-1.35%"
"Jun 11, 2018","15.4686","14.1708","15.4765","13.7055","2.47M","9.29%"
"Jun 10, 2018","14.1538","16.0188","16.0188","13.4001","2.58M","-11.70%"
"Jun 09, 2018","16.0299","16.3000","16.9009","15.8888","2.34M","-1.23%"
"Jun 08, 2018","16.2303","16.3204","16.6500","15.7500","2.53M","-0.15%"
"Jun 07, 2018","16.2550","17.2748","17.4400","16.1500","3.25M","-5.88%"
"Jun 06, 2018","17.2703","15.6001","17.4006","15.3190","3.87M","10.73%"
"Jun 05, 2018","15.5968","14.2620","15.6999","14.1453","2.61M","9.35%"
"Jun 04, 2018","14.2636","14.6995","14.7324","13.6161","1.58M","-2.85%"
"Jun 03, 2018","14.6824","14.6820","15.0254","14.2969","2.24M","0.03%"
"Jun 02, 2018","14.6785","14.2502","14.8800","14.0007","2.36M","3.01%"
"Jun 01, 2018","14.2502","14.2000","14.4500","13.7643","2.32M","0.25%"
"May 31, 2018","14.2150","12.5852","14.2478","12.4002","2.73M","12.66%"
"May 30, 2018","12.6175","12.5929","12.7927","12.1800","1.30M","0.08%"
"May 29, 2018","12.6073","11.8980","12.6893","11.6867","1.47M","6.01%"
"May 28, 2018","11.8922","12.6046","12.7499","11.6260","938.95K","-5.65%"
"May 27, 2018","12.6046","12.7888","12.7975","12.2900","1.07M","-0.99%"
"May 26, 2018","12.7302","13.0398","13.2550","12.6900","1.21M","-1.97%"
"May 25, 2018","12.9857","13.0399","13.3789","12.5827","1.32M","-0.30%"
"May 24, 2018","13.0248","12.5397","13.1940","12.1000","1.57M","4.47%"
"May 23, 2018","12.4674","13.8540","13.9262","12.2402","2.22M","-10.18%"
"May 22, 2018","13.8802","14.6728","14.8400","13.7134","2.36M","-5.40%"
"May 21, 2018","14.6728","14.1665","14.8000","14.0784","2.55M","3.57%"
"May 20, 2018","14.1665","14.3281","14.3867","13.6862","2.41M","-1.13%"
"May 19, 2018","14.3281","15.1081","15.6500","13.9504","3.39M","-5.16%"
"May 18, 2018","15.1081","12.3651","16.2300","12.0100","5.63M","22.18%"
"May 17, 2018","12.3655","12.3326","12.9496","12.2211","1.71M","0.61%"
"May 16, 2018","12.2901","12.5312","12.5722","11.8800","1.07M","-1.79%"
"May 15, 2018","12.5138","12.8800","13.3285","12.4671","1.29M","-2.41%"
"May 14, 2018","12.8230","13.1466","13.1957","12.2859","1.55M","-2.46%"
"May 13, 2018","13.1466","13.0301","13.5669","12.6530","1.88M","1.65%"
"May 12, 2018","12.9336","12.9768","13.1770","12.1501","1.28M","-0.05%"
"May 11, 2018","12.9403","13.7944","14.1300","12.5301","1.57M","-6.06%"
"May 10, 2018","13.7751","14.6450","15.0400","13.7500","1.66M","-5.94%"
"May 09, 2018","14.6450","13.4981","14.7999","13.0268","2.60M","8.50%"
"May 08, 2018","13.4981","13.7701","13.8183","13.1019","1.44M","-2.04%"
"May 07, 2018","13.7788","14.0118","14.0539","12.9310","1.53M","-1.66%"
"May 06, 2018","14.0118","14.4438","14.9377","13.6396","2.10M","-2.92%"
"May 05, 2018","14.4326","14.3622","14.5699","14.2120","1.88M","0.58%"
"May 04, 2018","14.3500","14.6400","14.7300","14.2501","1.88M","-1.98%"
"May 03, 2018","14.6400","14.4252","14.8395","14.1900","2.50M","1.49%"
"May 02, 2018","14.4252","14.1711","14.4399","13.9001","2.10M","1.89%"
"May 01, 2018","14.1570","14.3187","14.3291","13.5020","1.99M","-1.13%"
"Apr 30, 2018","14.3187","15.0500","15.1500","14.0501","2.06M","-5.02%"
"Apr 29, 2018","15.0748","15.1968","15.4275","14.5284","2.83M","-0.80%"
"Apr 28, 2018","15.1968","14.2943","15.3554","14.1781","3.78M","6.31%"
"Apr 27, 2018","14.2943","14.6312","14.7821","14.1253","2.89M","-2.30%"
"Apr 26, 2018","14.6312","13.3625","14.7396","13.2000","4.22M","9.49%"
"Apr 25, 2018","13.3625","15.1219","15.8989","12.9464","5.20M","-11.63%"
"Apr 24, 2018","15.1219","13.6430","15.6744","13.6200","4.77M","10.84%"
"Apr 23, 2018","13.6430","12.8736","13.8600","12.8202","4.45M","5.98%"
"Apr 22, 2018","12.8736","13.3479","13.3977","12.8000","2.56M","-3.55%"
"Apr 21, 2018","13.3479","12.5740","13.7364","12.3904","4.56M","6.15%"
"Apr 20, 2018","12.5740","12.3500","12.7200","11.8926","2.74M","1.81%"
"Apr 19, 2018","12.3500","12.2999","12.4331","12.0450","2.40M","0.45%"
"Apr 18, 2018","12.2950","11.7449","12.4400","11.5124","2.74M","4.68%"
"Apr 17, 2018","11.7449","12.2290","12.4802","11.6660","2.44M","-3.96%"
"Apr 16, 2018","12.2298","13.0987","13.0987","12.0111","2.71M","-6.63%"
"Apr 15, 2018","13.0987","13.2651","13.6195","12.9000","3.85M","-1.25%"
"Apr 14, 2018","13.2651","13.5200","13.8761","12.9300","3.52M","-1.69%"
"Apr 13, 2018","13.4930","12.9702","13.8000","12.7199","5.34M","4.03%"
"Apr 12, 2018","12.9702","12.2992","13.0184","11.8502","4.90M","5.46%"
"Apr 11, 2018","12.2992","12.0835","12.2992","11.7701","3.39M","1.79%"
"Apr 10, 2018","12.0835","11.8888","12.4318","11.8100","3.45M","1.69%"
"Apr 09, 2018","11.8829","12.1244","12.5500","11.5177","3.01M","-1.99%"
"Apr 08, 2018","12.1244","12.5000","12.5202","12.1101","3.09M","-3.00%"
"Apr 07, 2018","12.5000","12.2586","12.6487","12.2200","3.26M","1.97%"
"Apr 06, 2018","12.2586","12.4888","12.6532","12.0115","3.15M","-1.84%"
"Apr 05, 2018","12.4888","12.2099","12.6397","12.1000","4.29M","2.28%"
"Apr 04, 2018","12.2099","13.3055","13.4500","12.0005","5.11M","-8.23%"
"Apr 03, 2018","13.3055","12.6000","13.9620","12.2203","5.15M","5.60%"
"Apr 02, 2018","12.6000","11.1100","12.6650","10.9831","4.51M","13.51%"
"Apr 01, 2018","11.0999","11.0510","11.3099","10.3195","4.10M","0.50%"
"Mar 31, 2018","11.0448","10.4238","11.4690","10.2515","4.18M","6.46%"
"Mar 30, 2018","10.3745","10.1850","10.8500","9.7083","3.79M","1.86%"
"Mar 29, 2018","10.1850","11.6653","11.7494","10.1200","3.60M","-12.69%"
"Mar 28, 2018","11.6653","11.5327","12.2300","11.3246","3.22M","1.48%"
"Mar 27, 2018","11.4954","11.9715","12.2200","10.8303","4.08M","-3.98%"
"Mar 26, 2018","11.9715","12.9700","13.0100","10.8189","5.49M","-7.70%"
"Mar 25, 2018","12.9700","13.1729","14.2529","12.4896","6.18M","-1.54%"
"Mar 24, 2018","13.1729","11.7500","14.9300","11.5402","8.44M","11.75%"
"Mar 23, 2018","11.7879","10.0713","11.9699","9.5000","5.52M","17.04%"
"Mar 22, 2018","10.0713","9.9729","10.9289","9.4924","4.70M","1.32%"
"Mar 21, 2018","9.9399","9.1797","10.3300","9.0630","4.96M","8.28%"
"Mar 20, 2018","9.1797","9.0350","9.2600","8.6010","3.93M","1.93%"
"Mar 19, 2018","9.0056","8.9390","9.2971","8.4525","3.91M","0.75%"
"Mar 18, 2018","8.9390","8.9231","8.9799","7.8008","3.95M","-0.01%"
"Mar 17, 2018","8.9400","9.0797","9.4681","8.6407","3.96M","-1.54%"
"Mar 16, 2018","9.0797","9.1200","9.3800","8.5599","4.04M","-0.44%"
"Mar 15, 2018","9.1200","8.9145","9.4200","8.3145","4.27M","2.31%"
"Mar 14, 2018","8.9145","10.1530","10.6747","8.5010","5.16M","-12.20%"
"Mar 13, 2018","10.1530","8.0288","10.9749","7.8342","7.22M","26.46%"
"Mar 12, 2018","8.0288","8.2463","8.4988","7.6800","2.53M","-2.88%"
"Mar 11, 2018","8.2667","7.6500","8.4200","7.3308","2.66M","8.06%"
"Mar 10, 2018","7.6500","8.2807","8.3416","7.5719","2.21M","-8.12%"
"Mar 09, 2018","8.3257","8.2554","8.3257","7.0700","1.95M","0.85%"
"Mar 08, 2018","8.2554","9.0111","9.1400","8.0212","1.88M","-8.39%"
"Mar 07, 2018","9.0111","9.3872","10.2100","8.1329","2.93M","-4.01%"
"Mar 06, 2018","9.3872","10.0911","10.1334","9.1129","940.57K","-6.98%"
"Mar 05, 2018","10.0911","10.3935","10.4510","10.0911","470.75K","-2.91%"
"Mar 04, 2018","10.3935","10.2393","10.3980","9.8601","592.20K","1.51%"
