"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","3.0080","2.8670","3.0578","2.8516","170.54K","5.22%"
"Jun 29, 2018","2.8588","2.7862","2.8946","2.6885","198.57K","2.61%"
"Jun 28, 2018","2.7862","2.9117","2.9436","2.7583","218.14K","-4.29%"
"Jun 27, 2018","2.9111","2.8605","2.9529","2.8231","174.95K","0.90%"
"Jun 26, 2018","2.8851","3.0526","3.0557","2.8512","192.95K","-5.39%"
"Jun 25, 2018","3.0494","3.0232","3.2157","2.9313","157.38K","1.44%"
"Jun 24, 2018","3.0060","3.1772","3.1846","2.7928","183.08K","-5.39%"
"Jun 23, 2018","3.1772","3.1162","3.2231","3.0366","142.48K","1.96%"
"Jun 22, 2018","3.1162","3.4595","3.4957","3.0395","144.63K","-10.22%"
"Jun 21, 2018","3.4710","3.5540","3.6027","3.4375","149.26K","-1.91%"
"Jun 20, 2018","3.5385","3.5685","3.6186","3.4124","88.97K","-0.83%"
"Jun 19, 2018","3.5680","3.4439","3.6506","3.4076","158.02K","3.60%"
"Jun 18, 2018","3.4438","3.2778","3.4745","3.2371","152.31K","5.07%"
"Jun 17, 2018","3.2778","3.2936","3.3707","3.2723","152.38K","-0.42%"
"Jun 16, 2018","3.2916","3.2754","3.3536","3.2310","155.47K","0.84%"
"Jun 15, 2018","3.2641","3.4405","3.4597","3.2360","152.72K","-5.13%"
"Jun 14, 2018","3.4405","3.1644","3.4907","3.1283","148.87K","8.50%"
"Jun 13, 2018","3.1709","3.3119","3.4013","3.0609","173.35K","-5.32%"
"Jun 12, 2018","3.3489","3.5748","3.6346","3.3141","141.51K","-6.32%"
"Jun 11, 2018","3.5748","3.5525","3.6228","3.4611","136.56K","0.63%"
"Jun 10, 2018","3.5525","4.0273","4.0324","3.4631","164.01K","-11.39%"
"Jun 09, 2018","4.0091","4.0785","4.1204","4.0091","129.02K","-1.70%"
"Jun 08, 2018","4.0785","4.1141","4.1518","3.9694","159.80K","-1.45%"
"Jun 07, 2018","4.1386","4.1655","4.2614","4.0853","116.12K","-0.64%"
"Jun 06, 2018","4.1655","4.1827","4.2520","4.0621","128.71K","-0.43%"
"Jun 05, 2018","4.1834","4.1021","4.2404","4.0173","152.03K","1.98%"
"Jun 04, 2018","4.1021","4.3282","4.3774","4.0666","148.90K","-5.48%"
"Jun 03, 2018","4.3399","4.1424","4.3620","4.1154","166.79K","4.77%"
"Jun 02, 2018","4.1424","4.0339","4.1849","3.9291","148.96K","2.83%"
"Jun 01, 2018","4.0285","3.9892","4.0719","3.9066","231.75K","1.23%"
"May 31, 2018","3.9794","3.8796","4.0446","3.7162","269.81K","2.57%"
"May 30, 2018","3.8796","3.9050","4.0221","2.3988","72.99K","-0.45%"
"May 29, 2018","3.8970","3.4578","3.9340","3.4260","239.18K","12.57%"
"May 28, 2018","3.4619","3.7707","3.8202","3.4049","198.47K","-8.19%"
"May 27, 2018","3.7707","3.9068","3.9068","3.6855","276.34K","-3.48%"
"May 26, 2018","3.9068","3.8861","4.1885","3.8557","169.70K","0.34%"
"May 25, 2018","3.8934","3.9894","4.1581","3.7987","186.92K","-2.14%"
"May 24, 2018","3.9784","3.8094","4.0620","3.6777","173.59K","4.04%"
"May 23, 2018","3.8240","4.3025","4.3367","3.7672","173.86K","-10.59%"
"May 22, 2018","4.2771","4.6755","4.6912","4.2609","173.30K","-8.52%"
"May 21, 2018","4.6755","4.8320","4.8742","4.6369","135.83K","-3.24%"
"May 20, 2018","4.8320","4.7086","4.8965","4.6683","149.98K","2.62%"
"May 19, 2018","4.7086","4.6493","4.8096","4.5819","157.78K","0.84%"
"May 18, 2018","4.6694","4.4049","4.6725","4.3438","132.99K","5.89%"
"May 17, 2018","4.4099","4.6298","4.7344","4.4099","123.02K","-4.70%"
"May 16, 2018","4.6273","4.6220","4.7332","4.4392","81.30K","0.09%"
