"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","6,391.5","6,208.2","6,518.1","6,195.8","23.86K","2.95%"
"Jun 29, 2018","6,208.1","5,848.1","6,273.0","5,782.9","33.93K","6.12%"
"Jun 28, 2018","5,850.0","6,133.1","6,167.7","5,829.9","17.94K","-4.62%"
"Jun 27, 2018","6,133.1","6,073.5","6,181.4","5,989.0","18.27K","0.90%"
"Jun 26, 2018","6,078.5","6,250.8","6,273.7","6,050.2","18.83K","-2.69%"
"Jun 25, 2018","6,246.6","6,146.1","6,334.2","6,082.1","27.91K","1.60%"
"Jun 24, 2018","6,148.0","6,151.9","6,249.7","5,762.9","45.50K","-0.06%"
"Jun 23, 2018","6,152.0","6,041.0","6,253.9","6,014.0","20.70K","1.81%"
"Jun 22, 2018","6,042.6","6,715.2","6,730.7","5,929.1","55.25K","-9.99%"
"Jun 21, 2018","6,713.5","6,760.0","6,787.1","6,680.1","10.65K","-0.69%"
"Jun 20, 2018","6,760.4","6,732.7","6,818.2","6,560.0","18.71K","0.34%"
"Jun 19, 2018","6,737.5","6,711.6","6,832.9","6,666.2","17.38K","0.42%"
"Jun 18, 2018","6,709.2","6,443.5","6,826.8","6,378.6","26.37K","4.25%"
"Jun 17, 2018","6,435.7","6,491.0","6,573.0","6,426.9","9.44K","-0.77%"
"Jun 16, 2018","6,485.9","6,386.2","6,557.2","6,330.0","13.70K","1.58%"
"Jun 15, 2018","6,385.0","6,638.0","6,655.5","6,360.3","21.29K","-3.75%"
"Jun 14, 2018","6,633.7","6,295.1","6,703.4","6,269.5","33.06K","5.38%"
"Jun 13, 2018","6,295.2","6,543.1","6,611.7","6,125.7","45.58K","-3.80%"
"Jun 12, 2018","6,543.9","6,873.2","6,873.2","6,441.0","32.01K","-4.79%"
"Jun 11, 2018","6,873.3","6,757.3","6,897.0","6,631.0","22.38K","1.72%"
"Jun 10, 2018","6,757.3","7,498.1","7,498.1","6,633.9","57.82K","-9.89%"
"Jun 09, 2018","7,498.6","7,615.2","7,684.9","7,467.7","7.22K","-1.53%"
"Jun 08, 2018","7,615.1","7,685.7","7,697.0","7,544.0","12.20K","-0.96%"
"Jun 07, 2018","7,688.9","7,653.9","7,756.1","7,645.8","11.04K","0.46%"
"Jun 06, 2018","7,654.0","7,621.9","7,698.0","7,495.2","18.27K","0.42%"
"Jun 05, 2018","7,621.7","7,487.9","7,669.0","7,372.9","16.84K","1.78%"
"Jun 04, 2018","7,488.3","7,718.0","7,761.5","7,457.5","18.13K","-2.98%"
"Jun 03, 2018","7,718.0","7,639.0","7,777.4","7,600.0","13.80K","1.05%"
"Jun 02, 2018","7,638.1","7,521.1","7,691.2","7,445.5","17.36K","1.56%"
"Jun 01, 2018","7,521.0","7,485.9","7,599.8","7,344.8","19.04K","0.47%"
"May 31, 2018","7,485.8","7,375.1","7,599.7","7,338.0","19.46K","1.50%"
"May 30, 2018","7,375.1","7,465.3","7,557.5","7,279.6","22.08K","-1.14%"
"May 29, 2018","7,460.0","7,104.0","7,527.9","7,048.6","27.90K","5.10%"
"May 28, 2018","7,097.9","7,339.6","7,434.8","7,062.4","26.68K","-3.29%"
"May 27, 2018","7,339.7","7,330.8","7,411.5","7,220.1","16.17K","0.13%"
"May 26, 2018","7,330.3","7,456.7","7,621.7","7,286.1","13.81K","-1.71%"
"May 25, 2018","7,458.0","7,576.0","7,654.1","7,323.1","25.87K","-1.57%"
"May 24, 2018","7,576.7","7,503.3","7,718.0","7,260.9","38.86K","1.09%"
"May 23, 2018","7,494.8","7,978.0","8,020.0","7,442.1","41.68K","-6.05%"
"May 22, 2018","7,977.3","8,399.6","8,406.5","7,947.2","20.53K","-4.96%"
"May 21, 2018","8,393.4","8,523.7","8,586.9","8,317.7","17.22K","-1.53%"
"May 20, 2018","8,523.7","8,230.9","8,580.0","8,171.5","15.50K","3.54%"
"May 19, 2018","8,232.3","8,238.9","8,400.1","8,142.0","14.15K","-0.08%"
"May 18, 2018","8,239.0","8,054.8","8,276.6","7,927.8","23.44K","2.32%"
"May 17, 2018","8,051.8","8,349.7","8,466.9","7,986.8","25.19K","-3.41%"
"May 16, 2018","8,336.1","8,467.0","8,488.7","8,103.6","32.76K","-1.55%"
