"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","26.265","24.417","26.486","24.411","86.71K","7.49%"
"Jun 29, 2018","24.436","23.475","24.738","23.185","77.25K","4.07%"
"Jun 28, 2018","23.481","24.812","24.991","23.334","83.58K","-5.31%"
"Jun 27, 2018","24.798","24.396","24.909","23.665","61.64K","1.65%"
"Jun 26, 2018","24.396","25.690","26.270","24.326","83.47K","-5.04%"
"Jun 25, 2018","25.690","24.082","25.706","23.846","73.10K","6.71%"
"Jun 24, 2018","24.075","25.784","25.925","22.339","132.12K","-6.63%"
"Jun 23, 2018","25.784","26.157","26.743","24.705","80.34K","-1.59%"
"Jun 22, 2018","26.199","31.652","31.684","25.126","125.07K","-17.23%"
"Jun 21, 2018","31.652","31.533","32.611","30.921","77.00K","0.38%"
"Jun 20, 2018","31.534","33.065","33.298","31.019","70.42K","-4.63%"
"Jun 19, 2018","33.065","32.052","33.648","31.797","73.21K","3.07%"
"Jun 18, 2018","32.080","31.813","33.374","30.992","90.98K","0.84%"
"Jun 17, 2018","31.813","32.533","33.383","31.697","54.53K","-2.20%"
"Jun 16, 2018","32.528","32.255","33.197","31.773","57.29K","0.84%"
"Jun 15, 2018","32.258","34.231","34.545","32.123","72.73K","-5.65%"
"Jun 14, 2018","34.191","32.617","35.152","31.721","89.51K","4.89%"
"Jun 13, 2018","32.596","34.671","34.887","31.153","79.89K","-5.97%"
"Jun 12, 2018","34.665","37.290","38.492","34.054","99.17K","-7.04%"
"Jun 11, 2018","37.290","36.141","37.290","35.187","62.25K","3.16%"
"Jun 10, 2018","36.146","43.324","43.396","35.294","144.50K","-16.65%"
"Jun 09, 2018","43.364","43.720","44.097","43.259","36.41K","-0.81%"
"Jun 08, 2018","43.720","44.946","44.979","43.291","46.14K","-2.73%"
"Jun 07, 2018","44.946","44.932","45.799","44.786","41.68K","0.03%"
"Jun 06, 2018","44.933","45.531","45.715","44.077","50.43K","-1.34%"
"Jun 05, 2018","45.544","44.124","46.090","43.488","50.13K","3.22%"
"Jun 04, 2018","44.124","46.676","47.323","41.971","63.65K","-5.45%"
"Jun 03, 2018","46.668","45.242","47.678","44.718","53.20K","3.15%"
"Jun 02, 2018","45.243","43.765","45.743","43.203","36.07K","3.41%"
"Jun 01, 2018","43.751","44.427","44.696","42.580","44.60K","-1.51%"
"May 31, 2018","44.421","41.857","45.506","41.184","77.92K","6.12%"
"May 30, 2018","41.859","43.051","44.814","41.097","39.18K","-2.77%"
"May 29, 2018","43.053","40.257","43.945","40.081","76.79K","6.95%"
"May 28, 2018","40.257","44.245","44.681","40.203","62.59K","-9.07%"
"May 27, 2018","44.274","44.453","44.513","43.865","34.87K","-0.40%"
"May 26, 2018","44.453","44.957","46.004","44.338","35.69K","-1.20%"
"May 25, 2018","44.995","46.851","47.166","44.239","44.40K","-3.97%"
"May 24, 2018","46.854","44.996","47.527","43.770","66.62K","4.13%"
"May 23, 2018","44.993","50.258","50.423","44.298","99.66K","-10.43%"
"May 22, 2018","50.231","53.521","53.570","50.226","47.73K","-6.15%"
"May 21, 2018","53.521","55.874","56.061","53.005","51.88K","-4.21%"
"May 20, 2018","55.872","52.932","56.654","52.744","50.50K","5.56%"
"May 19, 2018","52.932","54.266","54.361","51.777","43.07K","-2.46%"
"May 18, 2018","54.266","52.820","54.355","51.874","57.07K","2.57%"
"May 17, 2018","52.909","59.408","59.532","52.272","83.30K","-11.03%"
"May 16, 2018","59.465","57.733","59.751","54.262","67.65K","3.00%"
"May 15, 2018","57.732","57.834","64.624","56.745","115.49K","-0.18%"
"May 14, 2018","57.835","59.106","59.878","54.937","86.18K","-2.15%"
"May 13, 2018","59.106","56.739","59.939","55.332","45.40K","4.59%"
"May 12, 2018","56.510","56.503","59.052","52.853","84.62K","0.01%"
"May 11, 2018","56.503","64.353","65.129","54.750","141.01K","-12.20%"
"May 10, 2018","64.353","69.837","70.523","64.325","58.61K","-7.85%"
"May 09, 2018","69.837","71.304","71.304","65.918","67.97K","-1.99%"
"May 08, 2018","71.257","73.744","73.948","69.684","72.49K","-3.05%"
"May 07, 2018","73.502","77.363","77.637","70.602","72.25K","-4.99%"
"May 06, 2018","77.361","80.573","84.407","74.126","139.06K","-3.67%"
"May 05, 2018","80.307","75.185","82.148","74.963","129.66K","6.81%"
"May 04, 2018","75.185","76.828","77.153","73.430","64.62K","-2.11%"
"May 03, 2018","76.803","75.828","77.743","73.344","90.56K","1.29%"
"May 02, 2018","75.826","71.418","76.866","70.316","76.03K","6.17%"
"May 01, 2018","71.418","72.836","73.150","68.298","72.26K","-1.95%"
"Apr 30, 2018","72.836","78.516","79.165","72.498","71.89K","-7.21%"
"Apr 29, 2018","78.498","77.078","82.105","73.594","125.19K","1.83%"
"Apr 28, 2018","77.089","72.947","77.884","72.554","81.75K","5.66%"
"Apr 27, 2018","72.961","78.818","78.842","72.364","94.70K","-7.35%"
"Apr 26, 2018","78.752","70.786","79.257","68.836","146.20K","11.25%"
"Apr 25, 2018","70.786","83.596","84.655","67.343","274.82K","-15.48%"
"Apr 24, 2018","83.752","77.857","90.141","76.919","259.74K","7.51%"
"Apr 23, 2018","77.905","65.765","78.913","64.986","207.84K","18.46%"
"Apr 22, 2018","65.765","66.774","69.151","64.286","79.00K","-1.51%"
"Apr 21, 2018","66.775","69.619","70.491","60.089","155.09K","-4.08%"
"Apr 20, 2018","69.616","59.635","71.947","57.559","175.80K","16.71%"
"Apr 19, 2018","59.647","55.557","59.705","54.719","99.95K","7.36%"
"Apr 18, 2018","55.557","50.873","56.310","50.857","71.22K","9.21%"
"Apr 17, 2018","50.873","53.294","53.445","50.774","80.67K","-4.54%"
"Apr 16, 2018","53.294","49.459","55.203","49.018","143.12K","7.75%"
"Apr 15, 2018","49.459","45.867","50.022","45.866","62.29K","7.83%"
"Apr 14, 2018","45.867","44.882","47.313","44.711","41.27K","2.19%"
"Apr 13, 2018","44.882","46.776","48.882","44.839","106.83K","-4.05%"
"Apr 12, 2018","46.776","42.332","47.044","40.402","177.34K","10.50%"
"Apr 11, 2018","42.332","40.821","42.827","40.552","61.18K","3.70%"
"Apr 10, 2018","40.821","40.798","41.172","39.941","27.46K","0.05%"
"Apr 09, 2018","40.798","42.196","43.826","39.945","35.00K","-3.57%"
"Apr 08, 2018","42.308","40.935","42.373","40.935","17.77K","3.35%"
"Apr 07, 2018","40.935","39.399","41.850","39.399","29.45K","3.90%"
"Apr 06, 2018","39.399","41.354","41.866","38.639","32.93K","-4.73%"
"Apr 05, 2018","41.354","41.761","44.517","39.527","58.94K","-0.98%"
"Apr 04, 2018","41.761","46.383","46.546","41.218","47.36K","-9.96%"
"Apr 03, 2018","46.383","42.293","48.512","41.939","65.50K","9.67%"
"Apr 02, 2018","42.293","40.973","43.051","40.651","32.22K","3.14%"
"Apr 01, 2018","41.004","43.642","44.315","38.432","50.93K","-6.04%"
"Mar 31, 2018","43.642","43.590","45.920","43.265","30.75K","0.09%"
"Mar 30, 2018","43.602","45.290","46.663","42.053","60.23K","-3.73%"
"Mar 29, 2018","45.290","52.710","52.892","44.222","97.08K","-14.08%"
"Mar 28, 2018","52.710","52.029","55.766","51.606","66.79K","1.31%"
"Mar 27, 2018","52.029","55.710","56.220","51.756","59.67K","-6.61%"
"Mar 26, 2018","55.710","60.013","61.407","52.184","83.99K","-7.16%"
"Mar 25, 2018","60.006","32.628","62.353","28.813","44.10K","0.80%"
"Mar 24, 2018","59.528","58.676","64.271","34.550","56.73K","1.50%"
"Mar 23, 2018","58.651","59.834","60.467","55.669","73.59K","-1.98%"
"Mar 22, 2018","59.834","63.293","66.027","56.882","70.52K","-5.45%"
"Mar 21, 2018","63.283","64.599","67.459","61.387","81.16K","-2.04%"
"Mar 20, 2018","64.599","67.373","68.773","60.225","124.06K","-4.12%"
"Mar 19, 2018","67.373","57.173","68.240","55.666","98.09K","18.07%"
"Mar 18, 2018","57.061","58.192","58.192","29.647","94.35K","-1.94%"
"Mar 17, 2018","58.192","61.552","65.782","36.615","54.73K","-5.46%"
"Mar 16, 2018","61.552","63.947","67.883","38.489","101.56K","-3.74%"
"Mar 15, 2018","63.947","66.530","67.037","59.815","97.67K","-3.88%"
"Mar 14, 2018","66.530","77.887","79.785","63.811","83.26K","-14.58%"
"Mar 13, 2018","77.887","32.661","116.949","30.309","37.14K","138.56%"
"Mar 12, 2018","32.649","34.421","34.421","28.315","96.31K","-5.15%"
"Mar 11, 2018","34.421","31.162","36.875","25.837","95.23K","10.46%"
"Mar 10, 2018","31.162","38.696","49.560","26.760","114.12K","-19.59%"
"Mar 09, 2018","38.753","35.121","38.753","31.248","128.93K","10.34%"
"Mar 08, 2018","35.122","50.988","50.988","34.940","88.88K","-31.12%"
"Mar 07, 2018","50.987","36.410","50.987","32.611","104.76K","40.04%"
"Mar 06, 2018","36.410","37.119","37.119","32.429","120.29K","-1.90%"
"Mar 05, 2018","37.116","75.402","75.402","37.041","81.23K","-50.78%"
"Mar 04, 2018","75.402","45.803","79.816","35.285","43.50K","64.62%"
"Mar 03, 2018","45.803","70.304","125.192","45.786","75.60K","-34.87%"
"Mar 02, 2018","70.330","85.019","115.931","67.882","62.49K","-17.28%"
"Mar 01, 2018","85.019","75.381","87.078","67.051","47.71K","12.78%"
"Feb 28, 2018","75.382","94.927","124.942","74.952","62.91K","-20.59%"
"Feb 27, 2018","94.927","78.153","96.412","72.917","44.95K","21.41%"
"Feb 26, 2018","78.185","82.459","119.764","67.074","50.18K","-5.18%"
"Feb 25, 2018","82.460","84.395","107.495","67.800","29.86K","-2.28%"
"Feb 24, 2018","84.382","99.632","117.195","83.535","47.29K","-15.31%"
"Feb 23, 2018","99.632","96.038","99.976","84.962","49.73K","3.77%"
"Feb 22, 2018","96.008","82.609","113.564","77.793","58.16K","16.22%"
"Feb 21, 2018","82.609","102.771","102.771","74.689","69.77K","-19.66%"
"Feb 20, 2018","102.825","102.453","137.194","100.003","52.46K","0.36%"
"Feb 19, 2018","102.453","128.681","139.117","89.515","40.91K","-20.41%"
"Feb 18, 2018","128.723","142.664","147.597","125.260","46.24K","-9.77%"
"Feb 17, 2018","142.664","139.783","144.170","137.631","32.18K","2.06%"
"Feb 16, 2018","139.783","130.459","143.886","128.554","50.92K","7.15%"
"Feb 15, 2018","130.454","129.277","131.511","123.165","43.90K","0.91%"
"Feb 14, 2018","129.277","119.454","130.184","118.853","49.03K","8.27%"
"Feb 13, 2018","119.405","117.413","123.390","108.440","41.64K","1.61%"
"Feb 12, 2018","117.509","109.095","119.743","108.897","31.15K","7.65%"
"Feb 11, 2018","109.161","117.213","122.401","104.071","38.68K","-6.87%"
"Feb 10, 2018","117.213","125.620","130.583","111.549","56.42K","-6.69%"
"Feb 09, 2018","125.620","111.186","128.678","105.854","59.84K","12.98%"
"Feb 08, 2018","111.186","89.410","116.623","89.405","69.25K","24.36%"
"Feb 07, 2018","89.410","96.951","106.425","87.667","62.47K","-7.78%"
"Feb 06, 2018","96.951","87.004","99.074","72.632","85.50K","11.43%"
"Feb 05, 2018","87.004","110.453","112.277","81.421","63.92K","-20.89%"
"Feb 04, 2018","109.983","128.606","133.596","105.383","52.33K","-14.48%"
"Feb 03, 2018","128.606","122.755","134.387","109.833","40.23K","4.77%"
"Feb 02, 2018","122.755","131.543","131.543","99.988","83.13K","-6.68%"
"Feb 01, 2018","131.543","158.284","160.318","124.922","62.63K","-16.89%"
"Jan 31, 2018","158.284","160.705","162.441","151.357","44.33K","-1.51%"
"Jan 30, 2018","160.705","183.873","184.256","158.697","47.27K","-12.50%"
"Jan 29, 2018","183.660","194.290","197.180","180.340","19.09K","-3.26%"
"Jan 27, 2018","189.840","179.320","189.910","173.430","18.01K","2.06%"
"Jan 25, 2018","186.000","189.880","193.290","179.570","13.88K","0.96%"
"Jan 23, 2018","184.230","187.760","199.770","170.450","35.30K","-6.34%"
"Jan 21, 2018","196.700","229.940","231.220","187.710","66.41K","-9.63%"
"Jan 19, 2018","217.650","190.600","241.500","188.000","87.42K","17.47%"
"Jan 17, 2018","185.280","185.700","206.000","144.850","117.77K","-31.04%"
"Jan 15, 2018","268.670","276.070","338.390","259.710","179.46K","-17.84%"
"Jan 13, 2018","327.000","221.010","355.000","218.330","276.46K","47.96%"
"Jan 12, 2018","221.010","209.770","225.960","204.220","30.41K","5.36%"
"Jan 11, 2018","209.770","244.000","245.720","200.000","44.84K","-14.03%"
"Jan 10, 2018","244.000","239.400","244.000","219.290","48.76K","1.92%"
"Jan 09, 2018","239.400","238.290","254.500","225.100","80.22K","0.47%"
"Jan 08, 2018","238.290","248.390","249.850","210.340","83.13K","-4.07%"
"Jan 07, 2018","248.390","254.000","273.000","239.000","76.26K","-2.21%"
"Jan 06, 2018","254.000","232.080","259.000","231.000","63.27K","9.45%"
"Jan 05, 2018","232.080","234.330","267.000","229.000","77.69K","-0.96%"
"Jan 04, 2018","234.330","245.630","254.000","224.360","40.12K","-4.60%"
"Jan 03, 2018","245.630","253.450","260.000","240.200","55.30K","-3.09%"
"Jan 02, 2018","253.450","233.910","261.000","230.750","55.22K","8.35%"
"Jan 01, 2018","233.910","241.200","261.260","229.050","57.08K","-3.02%"
"Dec 31, 2017","241.200","216.810","248.000","212.260","43.50K","11.25%"
"Dec 30, 2017","216.810","253.430","256.140","207.220","51.86K","-14.45%"
"Dec 29, 2017","253.430","247.570","274.900","240.040","38.42K","2.37%"
"Dec 28, 2017","247.570","270.090","271.310","225.140","25.20K","-8.34%"
"Dec 27, 2017","270.090","274.920","296.220","260.000","35.14K","-1.76%"
"Dec 26, 2017","274.920","266.870","280.180","255.300","36.46K","3.02%"
"Dec 25, 2017","266.870","256.430","290.000","247.000","33.56K","4.07%"
"Dec 24, 2017","256.430","263.680","292.900","216.030","60.81K","-2.75%"
"Dec 23, 2017","263.680","250.090","296.980","246.460","33.17K","5.43%"
"Dec 22, 2017","250.090","341.950","349.900","193.450","102.33K","-26.86%"
"Dec 21, 2017","341.950","390.000","394.590","319.990","88.85K","-12.32%"
"Dec 20, 2017","390.000","316.990","422.790","294.010","164.92K","23.03%"
"Dec 19, 2017","316.990","311.060","344.800","289.090","91.21K","1.91%"
