"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","0.37327","0.35951","0.38044","0.35876","7.93M","3.83%"
"Jun 29, 2018","0.35951","0.33905","0.36481","0.33531","7.58M","6.03%"
"Jun 28, 2018","0.33905","0.36895","0.37188","0.33138","7.13M","-8.09%"
"Jun 27, 2018","0.36889","0.33040","0.37659","0.32757","13.72M","11.58%"
"Jun 26, 2018","0.33060","0.37074","0.38958","0.32986","8.88M","-10.83%"
"Jun 25, 2018","0.37074","0.36750","0.39225","0.34552","10.87M","0.88%"
"Jun 24, 2018","0.36750","0.40933","0.40990","0.32056","15.00M","-10.21%"
"Jun 23, 2018","0.40927","0.42038","0.43248","0.39197","9.32M","-2.64%"
"Jun 22, 2018","0.42038","0.50414","0.50468","0.41643","12.91M","-16.65%"
"Jun 21, 2018","0.50438","0.52137","0.52547","0.50142","9.27M","-3.23%"
"Jun 20, 2018","0.52120","0.53572","0.53822","0.50679","9.95M","-2.71%"
"Jun 19, 2018","0.53572","0.55557","0.56177","0.52645","11.69M","-3.57%"
"Jun 18, 2018","0.55557","0.56169","0.56538","0.52979","8.41M","-1.29%"
"Jun 17, 2018","0.56282","0.57380","0.57663","0.54918","6.98M","-1.85%"
"Jun 16, 2018","0.57340","0.55657","0.59133","0.55535","10.02M","2.76%"
"Jun 15, 2018","0.55802","0.52923","0.59112","0.51222","16.31M","5.46%"
"Jun 14, 2018","0.52915","0.51276","0.54111","0.50000","10.94M","3.00%"
"Jun 13, 2018","0.51375","0.48539","0.55669","0.47123","18.95M","5.95%"
"Jun 12, 2018","0.48492","0.53081","0.53213","0.48119","7.75M","-8.64%"
"Jun 11, 2018","0.53081","0.51948","0.53509","0.48889","13.48M","2.42%"
"Jun 10, 2018","0.51829","0.62054","0.62235","0.49848","13.16M","-16.53%"
"Jun 09, 2018","0.62090","0.63069","0.63780","0.62090","6.86M","-1.55%"
"Jun 08, 2018","0.63069","0.63379","0.64488","0.61854","7.39M","-0.49%"
"Jun 07, 2018","0.63380","0.64563","0.65790","0.62423","7.26M","-1.83%"
"Jun 06, 2018","0.64563","0.65626","0.65803","0.63613","6.39M","-1.59%"
"Jun 05, 2018","0.65604","0.64906","0.66785","0.62454","8.23M","1.07%"
"Jun 04, 2018","0.64910","0.69729","0.71638","0.63629","11.40M","-6.96%"
"Jun 03, 2018","0.69765","0.66004","0.72482","0.65716","15.16M","5.60%"
"Jun 02, 2018","0.66065","0.63443","0.67487","0.62830","11.73M","4.13%"
"Jun 01, 2018","0.63443","0.64142","0.64294","0.62240","7.03M","-1.13%"
"May 31, 2018","0.64170","0.62403","0.65516","0.62154","8.72M","2.73%"
"May 30, 2018","0.62465","0.63296","0.65407","0.61315","7.88M","-1.31%"
"May 29, 2018","0.63296","0.61099","0.64528","0.60144","8.39M","3.60%"
"May 28, 2018","0.61099","0.67641","0.67754","0.60334","14.11M","-9.64%"
"May 27, 2018","0.67617","0.62844","0.68335","0.60672","13.49M","7.40%"
"May 26, 2018","0.62957","0.61735","0.65911","0.60947","8.00M","1.94%"
"May 25, 2018","0.61756","0.63097","0.63245","0.59720","8.47M","-2.13%"
"May 24, 2018","0.63103","0.57591","0.63660","0.57078","13.35M","9.57%"
"May 23, 2018","0.57591","0.64301","0.65047","0.57110","16.23M","-10.43%"
"May 22, 2018","0.64301","0.71822","0.72195","0.64078","13.84M","-10.47%"
"May 21, 2018","0.71822","0.73668","0.77822","0.70952","23.78M","-2.57%"
"May 20, 2018","0.73714","0.62032","0.78065","0.60747","28.99M","18.82%"
"May 19, 2018","0.62038","0.62524","0.63443","0.60455","9.00M","-0.78%"
"May 18, 2018","0.62524","0.62043","0.62699","0.59761","8.50M","0.74%"
"May 17, 2018","0.62062","0.64813","0.66381","0.61284","9.76M","-4.61%"
"May 16, 2018","0.65063","0.66431","0.66839","0.61477","10.09M","-2.06%"
"May 15, 2018","0.66431","0.67461","0.70794","0.64763","10.85M","-1.75%"
"May 14, 2018","0.67615","0.70013","0.71702","0.63875","16.16M","-3.42%"
"May 13, 2018","0.70013","0.63277","0.71867","0.60794","14.64M","10.28%"
"May 12, 2018","0.63488","0.66027","0.68447","0.55166","21.72M","-3.85%"
"May 11, 2018","0.66027","0.75864","0.78575","0.64096","18.26M","-12.80%"
"May 10, 2018","0.75719","0.77499","0.82373","0.75719","14.21M","-2.09%"
"May 09, 2018","0.77337","0.78967","0.79049","0.74977","9.94M","-2.04%"
"May 08, 2018","0.78949","0.82559","0.82559","0.76873","13.59M","-6.85%"
"May 07, 2018","0.84756","0.80360","0.87657","0.71779","24.12M","5.47%"
"May 06, 2018","0.80360","0.87011","0.87116","0.76466","28.93M","-8.51%"
"May 05, 2018","0.87840","0.92341","0.95116","0.86126","16.97M","-4.87%"
"May 04, 2018","0.92341","0.92633","0.98087","0.90297","16.15M","-0.30%"
"May 03, 2018","0.92617","0.97047","0.97254","0.90280","23.93M","-4.46%"
"May 02, 2018","0.96945","1.00195","1.00416","0.96184","14.05M","-3.25%"
"May 01, 2018","1.00197","1.00180","1.00730","0.93983","20.10M","0.02%"
"Apr 30, 2018","1.00180","1.05207","1.13060","0.98763","36.95M","-4.91%"
"Apr 29, 2018","1.05357","1.02355","1.07692","0.95230","37.75M","2.88%"
"Apr 28, 2018","1.02410","0.95808","1.06345","0.95000","33.43M","7.06%"
"Apr 27, 2018","0.95656","1.02298","1.09190","0.95595","42.40M","-6.49%"
"Apr 26, 2018","1.02298","0.93562","1.03033","0.90121","25.69M","9.34%"
"Apr 25, 2018","0.93562","1.07366","1.07626","0.88892","50.57M","-12.86%"
"Apr 24, 2018","1.07366","1.19084","1.19084","0.97646","64.67M","-9.72%"
"Apr 23, 2018","1.18933","0.91007","1.25176","0.90660","77.02M","30.69%"
"Apr 22, 2018","0.91007","0.89131","0.92984","0.86201","26.55M","2.10%"
"Apr 21, 2018","0.89131","0.95066","0.95359","0.85460","33.34M","-6.39%"
"Apr 20, 2018","0.95212","0.93016","0.98221","0.92375","26.72M","2.55%"
"Apr 19, 2018","0.92846","0.94198","0.95626","0.92288","21.47M","-1.39%"
"Apr 18, 2018","0.94152","0.85348","0.98392","0.84952","38.47M","10.32%"
"Apr 17, 2018","0.85348","0.84204","0.89517","0.84128","22.31M","1.36%"
"Apr 16, 2018","0.84204","0.89918","0.90641","0.80681","24.74M","-6.35%"
"Apr 15, 2018","0.89918","0.89267","0.94403","0.88333","20.65M","0.73%"
"Apr 14, 2018","0.89267","0.95534","0.98724","0.80207","49.08M","-6.56%"
"Apr 13, 2018","0.95534","0.83609","1.05140","0.79836","61.65M","13.99%"
"Apr 12, 2018","0.83807","0.66556","0.85517","0.64256","46.89M","25.92%"
"Apr 11, 2018","0.66556","0.59586","0.66678","0.58345","18.24M","11.70%"
"Apr 10, 2018","0.59586","0.52534","0.59793","0.52032","13.14M","13.43%"
"Apr 09, 2018","0.52534","0.51873","0.53337","0.49978","10.56M","1.37%"
"Apr 08, 2018","0.51824","0.52935","0.53266","0.50978","7.90M","-2.52%"
"Apr 07, 2018","0.53162","0.48866","0.54493","0.48768","15.94M","8.79%"
"Apr 06, 2018","0.48866","0.48610","0.48866","0.46463","6.48M","0.27%"
"Apr 05, 2018","0.48736","0.46586","0.48916","0.45060","10.49M","4.76%"
"Apr 04, 2018","0.46523","0.49019","0.49397","0.45660","10.65M","-5.09%"
"Apr 03, 2018","0.49019","0.49179","0.49747","0.47779","11.00M","-0.32%"
"Apr 02, 2018","0.49179","0.47609","0.50061","0.46020","11.76M","3.30%"
"Apr 01, 2018","0.47609","0.52900","0.52916","0.42118","26.91M","-10.00%"
"Mar 31, 2018","0.52900","0.54188","0.56421","0.50255","24.80M","-2.38%"
"Mar 30, 2018","0.54188","0.43420","0.54357","0.41400","26.96M","24.42%"
"Mar 29, 2018","0.43551","0.44186","0.50071","0.41490","33.82M","-1.44%"
"Mar 28, 2018","0.44186","0.39102","0.45416","0.38544","22.12M","13.00%"
"Mar 27, 2018","0.39102","0.38642","0.40952","0.36623","9.88M","1.25%"
"Mar 26, 2018","0.38619","0.37583","0.41742","0.36511","19.38M","2.76%"
"Mar 25, 2018","0.37583","0.37700","0.38710","0.36545","8.23M","-0.31%"
"Mar 24, 2018","0.37700","0.38566","0.39231","0.35956","17.17M","-2.24%"
"Mar 23, 2018","0.38566","0.35342","0.38566","0.33536","10.99M","9.12%"
"Mar 22, 2018","0.35342","0.35298","0.37139","0.33760","11.32M","0.13%"
"Mar 21, 2018","0.35298","0.34827","0.37285","0.34378","10.40M","1.35%"
"Mar 20, 2018","0.34827","0.34884","0.35598","0.32630","7.89M","0.03%"
"Mar 19, 2018","0.34816","0.32567","0.34884","0.30841","10.43M","6.90%"
"Mar 18, 2018","0.32567","0.33583","0.33583","0.26778","16.25M","-3.02%"
"Mar 17, 2018","0.33583","0.35628","0.35812","0.33168","5.22M","-5.74%"
"Mar 16, 2018","0.35628","0.35370","0.36570","0.34088","5.49M","0.73%"
"Mar 15, 2018","0.35370","0.34447","0.35629","0.32094","10.73M","2.68%"
"Mar 14, 2018","0.34447","0.37291","0.39203","0.33576","10.79M","-7.63%"
"Mar 13, 2018","0.37291","0.35998","0.37679","0.35801","5.94M","3.59%"
"Mar 12, 2018","0.35998","0.37300","0.37998","0.34896","6.05M","-3.49%"
"Mar 11, 2018","0.37300","0.34642","0.37324","0.33474","7.79M","7.67%"
"Mar 10, 2018","0.34642","0.36419","0.37261","0.34512","7.44M","-4.69%"
"Mar 09, 2018","0.36346","0.35161","0.36545","0.30964","12.75M","3.37%"
"Mar 08, 2018","0.35161","0.37054","0.39916","0.34484","12.96M","-4.92%"
"Mar 07, 2018","0.36982","0.40904","0.42956","0.36425","11.24M","-9.56%"
"Mar 06, 2018","0.40890","0.46372","0.46372","0.39997","11.57M","-11.82%"
"Mar 05, 2018","0.46372","0.42418","0.47057","0.42330","12.07M","9.32%"
"Mar 04, 2018","0.42418","0.39966","0.42576","0.39363","5.55M","6.13%"
"Mar 03, 2018","0.39966","0.39407","0.40636","0.37633","6.30M","1.67%"
"Mar 02, 2018","0.39311","0.35075","0.41289","0.34656","13.37M","12.08%"
"Mar 01, 2018","0.35075","0.34004","0.35357","0.33851","3.27M","3.15%"
"Feb 28, 2018","0.34004","0.34878","0.35821","0.33968","3.93M","-2.51%"
"Feb 27, 2018","0.34878","0.34544","0.35619","0.34047","4.32M","0.95%"
"Feb 26, 2018","0.34550","0.32574","0.34862","0.31941","4.33M","6.07%"
"Feb 25, 2018","0.32574","0.33268","0.33640","0.31398","3.34M","-2.09%"
"Feb 24, 2018","0.33268","0.34435","0.35215","0.32760","4.02M","-3.39%"
"Feb 23, 2018","0.34435","0.32705","0.35560","0.32000","4.48M","5.29%"
"Feb 22, 2018","0.32705","0.34121","0.35902","0.31633","5.28M","-4.15%"
"Feb 21, 2018","0.34121","0.36601","0.36740","0.33179","5.40M","-6.78%"
"Feb 20, 2018","0.36601","0.38507","0.38801","0.36557","3.77M","-4.95%"
"Feb 19, 2018","0.38507","0.37018","0.38851","0.36999","3.67M","4.02%"
"Feb 18, 2018","0.37018","0.40128","0.40169","0.36241","6.26M","-7.75%"
"Feb 17, 2018","0.40128","0.38616","0.40147","0.38346","5.50M","3.91%"
"Feb 16, 2018","0.38616","0.38328","0.38905","0.36966","3.82M","0.75%"
"Feb 15, 2018","0.38328","0.38843","0.39398","0.37109","5.94M","-1.33%"
"Feb 14, 2018","0.38843","0.35720","0.38900","0.35635","5.69M","8.74%"
"Feb 13, 2018","0.35720","0.37175","0.37226","0.34733","6.89M","-3.91%"
"Feb 12, 2018","0.37175","0.34983","0.37445","0.34871","5.69M","6.26%"
"Feb 11, 2018","0.34983","0.35289","0.37213","0.32167","7.67M","-0.87%"
"Feb 10, 2018","0.35289","0.34911","0.38284","0.33403","10.07M","1.08%"
"Feb 09, 2018","0.34911","0.29889","0.35355","0.28000","15.76M","16.80%"
"Feb 08, 2018","0.29889","0.27110","0.30898","0.27110","5.23M","10.25%"
"Feb 07, 2018","0.27110","0.29203","0.31498","0.26004","12.02M","-7.17%"
"Feb 06, 2018","0.29203","0.25120","0.29225","0.20430","19.67M","16.25%"
"Feb 05, 2018","0.25120","0.30599","0.30918","0.23696","12.17M","-17.91%"
"Feb 04, 2018","0.30599","0.35419","0.35787","0.30065","7.98M","-13.61%"
"Feb 03, 2018","0.35419","0.33471","0.36236","0.31710","5.22M","5.82%"
"Feb 02, 2018","0.33471","0.35358","0.35454","0.29706","14.68M","-5.34%"
"Feb 01, 2018","0.35358","0.39465","0.40173","0.33671","11.60M","-10.41%"
