"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","0.13852","0.13378","0.14099","0.13346","2.95M","3.54%"
"Jun 29, 2018","0.13378","0.12705","0.13546","0.12528","4.74M","5.30%"
"Jun 28, 2018","0.12705","0.13612","0.13635","0.12594","1.44M","-6.67%"
"Jun 27, 2018","0.13612","0.13078","0.13674","0.12920","3.96M","4.09%"
"Jun 26, 2018","0.13078","0.13947","0.14191","0.13016","4.84M","-6.23%"
"Jun 25, 2018","0.13947","0.13497","0.14422","0.13272","4.96M","3.33%"
"Jun 24, 2018","0.13497","0.13778","0.13850","0.12000","11.48M","-2.04%"
"Jun 23, 2018","0.13778","0.13893","0.14078","0.13050","8.20M","-0.63%"
"Jun 22, 2018","0.13865","0.15968","0.15983","0.13384","19.27M","-13.17%"
"Jun 21, 2018","0.15968","0.16346","0.16511","0.15879","5.62M","-2.31%"
"Jun 20, 2018","0.16346","0.16248","0.16349","0.15597","5.48M","0.82%"
"Jun 19, 2018","0.16212","0.16306","0.16529","0.15867","5.40M","-0.15%"
"Jun 18, 2018","0.16236","0.15963","0.16761","0.15538","5.76M","1.95%"
"Jun 17, 2018","0.15926","0.16049","0.16375","0.15859","3.11M","-0.77%"
"Jun 16, 2018","0.16049","0.15636","0.16250","0.15618","4.18M","2.64%"
"Jun 15, 2018","0.15637","0.16571","0.16571","0.15563","11.29M","-5.63%"
"Jun 14, 2018","0.16571","0.15622","0.16889","0.15312","14.68M","5.89%"
"Jun 13, 2018","0.15649","0.15612","0.15948","0.14858","19.04M","0.36%"
"Jun 12, 2018","0.15594","0.17521","0.17730","0.15151","18.25M","-11.00%"
"Jun 11, 2018","0.17522","0.17163","0.18006","0.15245","21.45M","2.09%"
"Jun 10, 2018","0.17164","0.20680","0.20680","0.16397","24.14M","-17.00%"
"Jun 09, 2018","0.20680","0.21233","0.21641","0.20680","7.05M","-2.61%"
"Jun 08, 2018","0.21234","0.21994","0.22112","0.21026","6.16M","-3.46%"
"Jun 07, 2018","0.21994","0.21896","0.22602","0.21521","6.87M","0.43%"
"Jun 06, 2018","0.21901","0.22748","0.23077","0.21274","8.61M","-3.73%"
"Jun 05, 2018","0.22748","0.21648","0.22984","0.20500","14.70M","4.61%"
"Jun 04, 2018","0.21746","0.23249","0.23693","0.21330","16.33M","-6.43%"
"Jun 03, 2018","0.23241","0.22505","0.24673","0.22470","25.28M","3.19%"
"Jun 02, 2018","0.22522","0.20731","0.22680","0.20569","16.69M","8.50%"
"Jun 01, 2018","0.20758","0.19863","0.20991","0.19734","13.20M","4.28%"
"May 31, 2018","0.19905","0.19672","0.20459","0.19353","8.65M","1.14%"
"May 30, 2018","0.19681","0.19887","0.20684","0.18863","8.63M","-1.04%"
"May 29, 2018","0.19887","0.18547","0.20217","0.18347","10.97M","7.17%"
"May 28, 2018","0.18556","0.20270","0.20737","0.18473","12.20M","-8.46%"
"May 27, 2018","0.20270","0.20091","0.20591","0.19058","8.35M","1.19%"
"May 26, 2018","0.20031","0.19394","0.20423","0.19135","6.62M","3.29%"
"May 25, 2018","0.19394","0.20552","0.20758","0.19009","10.04M","-5.63%"
"May 24, 2018","0.20552","0.19429","0.20791","0.18022","28.05M","6.17%"
"May 23, 2018","0.19358","0.22668","0.23223","0.18605","25.94M","-14.65%"
"May 22, 2018","0.22679","0.25270","0.25297","0.22507","10.33M","-10.25%"
"May 21, 2018","0.25270","0.26650","0.26668","0.24815","6.54M","-5.18%"
"May 20, 2018","0.26650","0.25710","0.27056","0.25350","5.98M","3.66%"
"May 19, 2018","0.25710","0.25362","0.27037","0.24683","7.37M","1.41%"
"May 18, 2018","0.25353","0.24508","0.25649","0.23660","6.91M","3.45%"
"May 17, 2018","0.24508","0.24866","0.26699","0.24023","14.68M","-1.44%"
"May 16, 2018","0.24865","0.25045","0.25218","0.23770","11.07M","-0.72%"
"May 15, 2018","0.25045","0.25013","0.26979","0.24446","16.35M","0.24%"
"May 14, 2018","0.24986","0.25517","0.25773","0.23508","18.23M","-2.08%"
"May 13, 2018","0.25517","0.24906","0.25771","0.23286","20.37M","4.76%"
"May 12, 2018","0.24358","0.23899","0.25315","0.21224","29.90M","1.92%"
"May 11, 2018","0.23899","0.27023","0.27545","0.23046","34.12M","-11.59%"
"May 10, 2018","0.27031","0.30722","0.32302","0.26909","14.24M","-12.01%"
"May 09, 2018","0.30722","0.31243","0.31322","0.28856","10.82M","-1.84%"
"May 08, 2018","0.31298","0.32027","0.32312","0.30330","9.58M","-1.14%"
