"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","0.15183","0.14222","0.16665","0.14111","-","6.73%"
"Jun 29, 2018","0.14225","0.12970","0.15701","0.12654","-","9.29%"
"Jun 28, 2018","0.13017","0.13989","0.14199","0.13004","-","-6.96%"
"Jun 27, 2018","0.13990","0.13442","0.14066","0.12900","-","3.86%"
"Jun 26, 2018","0.13470","0.14426","0.16186","0.13422","-","-6.62%"
"Jun 25, 2018","0.14425","0.13672","0.16497","0.13085","-","5.53%"
"Jun 24, 2018","0.13670","0.14820","0.14889","0.12152","-","-7.77%"
"Jun 23, 2018","0.14822","0.15808","0.16247","0.14214","-","-6.21%"
"Jun 22, 2018","0.15804","0.19608","0.19703","0.15475","-","-19.39%"
"Jun 21, 2018","0.19604","0.20607","0.21084","0.19307","-","-4.87%"
"Jun 20, 2018","0.20608","0.20949","0.21165","0.20091","-","-1.75%"
"Jun 19, 2018","0.20974","0.21169","0.22516","0.20813","-","-1.17%"
"Jun 18, 2018","0.21223","0.20586","0.21310","0.19432","-","3.34%"
"Jun 17, 2018","0.20537","0.21005","0.21526","0.20534","-","-2.24%"
"Jun 16, 2018","0.21007","0.20796","0.21825","0.20503","-","1.01%"
"Jun 15, 2018","0.20796","0.22460","0.22613","0.20425","-","-6.74%"
"Jun 14, 2018","0.22300","0.20575","0.22438","0.20115","-","8.53%"
"Jun 13, 2018","0.20548","0.22134","0.23234","0.19416","-","-6.67%"
"Jun 12, 2018","0.22015","0.25377","0.26163","0.21187","-","-13.28%"
"Jun 11, 2018","0.25388","0.22237","0.25946","0.20677","-","14.22%"
"Jun 10, 2018","0.22228","0.28211","0.28215","0.21752","-","-21.21%"
"Jun 09, 2018","0.28211","0.30308","0.31249","0.28045","-","-7.09%"
"Jun 08, 2018","0.30363","0.31563","0.31639","0.28236","-","-3.94%"
"Jun 07, 2018","0.31609","0.31140","0.32495","0.30618","-","1.87%"
"Jun 06, 2018","0.31028","0.33005","0.33133","0.30083","-","-5.73%"
"Jun 05, 2018","0.32914","0.34698","0.36172","0.31418","-","-5.14%"
"Jun 04, 2018","0.34699","0.33255","0.35781","0.29867","-","4.60%"
"Jun 03, 2018","0.33174","0.33251","0.34533","0.32701","-","-0.16%"
"Jun 02, 2018","0.33226","0.33326","0.35591","0.32206","-","-0.29%"
"Jun 01, 2018","0.33323","0.34822","0.36346","0.31424","-","-4.51%"
"May 31, 2018","0.34897","0.36953","0.39358","0.33374","-","-5.63%"
"May 30, 2018","0.36979","0.40923","0.41543","0.35983","-","-9.18%"
"May 29, 2018","0.40718","0.37014","0.46317","0.35238","-","10.23%"
"May 28, 2018","0.36940","0.33112","0.38532","0.30341","-","11.56%"
"May 27, 2018","0.33111","0.31522","0.33976","0.31099","-","5.04%"
"May 26, 2018","0.31522","0.33525","0.35067","0.31190","-","-6.81%"
"May 25, 2018","0.33824","0.30642","0.35276","0.29901","-","10.84%"
"May 24, 2018","0.30517","0.27572","0.30964","0.26071","-","10.85%"
"May 23, 2018","0.27530","0.31994","0.32493","0.26886","-","-14.04%"
"May 22, 2018","0.32026","0.32731","0.35097","0.30993","-","-2.05%"
"May 21, 2018","0.32696","0.29300","0.33060","0.28713","-","11.67%"
"May 20, 2018","0.29280","0.28430","0.30889","0.27485","-","2.60%"
"May 19, 2018","0.28538","0.30057","0.30930","0.28058","-","-5.03%"
"May 18, 2018","0.30049","0.28806","0.30665","0.28373","-","4.14%"
"May 17, 2018","0.28856","0.29902","0.32914","0.28591","-","-3.39%"
"May 16, 2018","0.29869","0.30967","0.31364","0.28679","-","-3.55%"
"May 15, 2018","0.30968","0.32039","0.34045","0.30487","-","-3.34%"
"May 14, 2018","0.32039","0.29394","0.33275","0.26683","-","8.86%"
"May 13, 2018","0.29431","0.25108","0.30280","0.24339","-","17.35%"
"May 12, 2018","0.25080","0.25014","0.27169","0.22717","-","0.60%"
"May 11, 2018","0.24930","0.29477","0.29477","0.24084","-","-15.46%"
"May 10, 2018","0.29489","0.31296","0.31621","0.29461","-","-5.78%"
"May 09, 2018","0.31298","0.30741","0.31918","0.29090","-","1.76%"
"May 08, 2018","0.30756","0.31791","0.33422","0.00042","-","-2.53%"
"May 07, 2018","0.31555","0.33680","0.33907","0.28745","-","-6.37%"
"May 06, 2018","0.33703","0.36542","0.36678","0.31045","-","-7.77%"
"May 05, 2018","0.36542","0.27516","0.36542","0.27489","-","32.93%"
"May 04, 2018","0.27490","0.30680","0.31004","0.26133","-","-10.39%"
"May 03, 2018","0.30679","0.28252","0.31622","0.27891","-","8.59%"
"May 02, 2018","0.28252","0.27107","0.28554","0.26166","-","4.38%"
"May 01, 2018","0.27067","0.24596","0.27945","0.22075","-","10.05%"
"Apr 30, 2018","0.24595","0.24678","0.29656","0.24184","-","-0.25%"
"Apr 29, 2018","0.24656","0.20242","0.25175","0.19522","-","21.88%"
"Apr 28, 2018","0.20231","0.17353","0.22205","0.17272","-","16.47%"
"Apr 27, 2018","0.17370","0.16500","0.18697","0.16421","-","5.12%"
"Apr 26, 2018","0.16523","0.15109","0.16553","0.14323","-","9.23%"
"Apr 25, 2018","0.15128","0.17242","0.17868","0.14163","-","-12.19%"
"Apr 24, 2018","0.17227","0.15502","0.18645","0.15502","-","11.56%"
"Apr 23, 2018","0.15442","0.14503","0.15599","0.14485","-","6.47%"
"Apr 22, 2018","0.14504","0.13954","0.15577","0.13636","-","3.98%"
"Apr 21, 2018","0.13948","0.15050","0.15050","0.12544","-","-7.09%"
"Apr 20, 2018","0.15012","0.13074","0.15334","0.13059","-","14.81%"
"Apr 19, 2018","0.13076","0.12141","0.13199","0.11734","-","7.90%"
"Apr 18, 2018","0.12119","0.10578","0.12185","0.10447","-","14.59%"
"Apr 17, 2018","0.10576","0.10124","0.10867","0.10013","-","4.48%"
"Apr 16, 2018","0.10122","0.11099","0.11099","0.09968","-","-8.31%"
"Apr 15, 2018","0.11039","0.10252","0.11095","0.10252","-","7.68%"
"Apr 14, 2018","0.10252","0.10477","0.10818","0.10023","-","-1.85%"
"Apr 13, 2018","0.10445","0.10240","0.11172","0.09809","-","1.93%"
