"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 24, 2018","4.0000","4.0000","4.0000","4.0000","-","0.00%"
"Jun 23, 2018","4.0000","3.0000","4.0000","3.0000","0.00K","0.00%"
"Jun 19, 2018","4.0000","4.0000","4.0000","4.0000","-","0.00%"
"Jun 16, 2018","4.0000","4.0000","4.0000","4.0000","-","0.00%"
"Jun 15, 2018","4.0000","4.0000","4.0000","4.0000","-","0.00%"
"Jun 04, 2018","4.0000","4.0000","4.0000","4.0000","-","0.00%"
"Jun 03, 2018","4.0000","4.0000","4.0000","4.0000","-","-40.30%"
"Jun 02, 2018","6.7000","0.0000","6.7000","0.0000","-","0.00%"
"May 31, 2018","6.7000","6.7000","6.7000","6.7000","-","0.00%"
"May 29, 2018","6.7000","6.7000","6.7000","6.7000","-","0.00%"
"May 28, 2018","6.7000","6.7000","6.7000","6.7000","-","48.89%"
"May 27, 2018","4.5000","4.5000","4.5000","4.5000","-","0.00%"
"May 26, 2018","4.5000","4.5999","4.5999","4.5000","-","-2.17%"
"May 25, 2018","4.5999","4.5999","4.5999","0.0000","-","0.00%"
"May 24, 2018","0.0000","4.5999","4.5999","0.0000","-","-100.00%"
"May 22, 2018","4.7000","4.7000","4.7000","4.7000","-","0.00%"
"May 21, 2018","4.7000","4.7000","4.7000","4.7000","-","0.00%"
"May 20, 2018","4.7000","4.7000","4.7000","4.7000","-","0.00%"
"May 19, 2018","4.7000","4.7000","4.7000","4.7000","-","0.00%"
"May 18, 2018","4.7000","4.7000","4.7000","4.7000","-","0.00%"
"May 17, 2018","4.7000","4.7000","4.7000","4.7000","-","-29.85%"
"May 16, 2018","6.7000","6.7000","6.7000","6.7000","-","0.00%"
"May 15, 2018","6.7000","6.6869","6.7000","4.5999","0.01K","0.20%"
"May 14, 2018","6.6869","6.6869","6.6869","6.6869","-","4.48%"
"May 13, 2018","6.4000","6.4000","6.4000","6.4000","-","0.00%"
"May 12, 2018","6.4000","6.4000","6.4000","6.4000","-","0.00%"
"May 11, 2018","6.4000","6.4000","6.4000","6.4000","-","0.00%"
"May 10, 2018","6.4000","6.4000","6.4000","6.4000","-","0.00%"
"May 09, 2018","6.4000","6.5000","6.5000","6.4000","0.00K","-1.54%"
"May 08, 2018","6.5000","6.5000","6.5000","6.5000","-","-2.99%"
"May 07, 2018","6.7000","6.7000","6.7000","6.7000","-","0.00%"
"May 06, 2018","6.7000","6.7000","6.7000","6.7000","-","0.00%"
"May 05, 2018","6.7000","6.6000","6.7000","6.6000","-","1.52%"
"May 04, 2018","6.6000","4.4000","6.6000","4.4000","0.01K","50.00%"
"May 03, 2018","4.4000","6.7000","6.7000","4.4000","0.01K","-34.33%"
"May 02, 2018","6.7000","6.7000","6.7000","6.7000","-","0.00%"
"May 01, 2018","6.7000","4.6000","6.7000","4.6000","0.01K","45.65%"
"Apr 30, 2018","4.6000","5.5500","5.5500","4.6000","-","-17.12%"
"Apr 29, 2018","5.5500","5.5500","5.5500","5.5500","-","0.00%"
"Apr 28, 2018","5.5500","4.4700","6.8000","4.4700","0.00K","24.16%"
"Apr 27, 2018","4.4700","4.4700","4.4700","4.4700","-","0.00%"
"Apr 26, 2018","4.4700","4.4700","4.4700","4.4700","-","0.00%"
"Apr 25, 2018","4.4700","6.8108","6.8109","4.4700","0.03K","-34.37%"
"Apr 24, 2018","6.8108","6.8109","6.8109","6.8108","0.00K","0.00%"
"Apr 23, 2018","6.8109","6.8109","6.8109","6.8109","-","0.00%"
"Apr 22, 2018","6.8109","4.4000","6.8109","4.4000","-","54.79%"
"Apr 21, 2018","4.4000","6.8108","6.8108","4.4000","0.00K","-35.40%"
"Apr 20, 2018","6.8108","5.9700","6.8108","5.9700","0.02K","14.08%"
"Apr 19, 2018","5.9700","5.5601","5.9700","4.3200","0.00K","7.37%"
"Apr 18, 2018","5.5601","5.9700","5.9700","4.3001","0.00K","-6.87%"
"Apr 17, 2018","5.9700","5.9800","5.9800","5.9700","-","-0.17%"
"Apr 16, 2018","5.9800","5.9800","5.9800","5.9800","-","0.00%"
"Apr 15, 2018","5.9800","5.9800","5.9800","5.9800","-","0.00%"
"Apr 14, 2018","5.9800","5.9800","5.9800","5.9800","-","0.00%"
"Apr 13, 2018","5.9800","4.3000","5.9800","4.3000","0.01K","39.07%"
"Apr 12, 2018","4.3000","5.1150","5.1150","4.3000","-","-15.93%"
"Apr 11, 2018","5.1150","4.3000","5.1150","4.3000","0.04K","18.95%"
"Apr 10, 2018","4.3000","5.9980","5.9980","4.3000","-","-28.31%"
"Apr 09, 2018","5.9980","5.9980","5.9980","5.9980","-","0.00%"
"Apr 08, 2018","5.9980","5.9980","5.9980","5.9980","-","0.00%"
"Apr 07, 2018","5.9980","5.0000","5.9980","5.0000","-","19.96%"
"Apr 06, 2018","5.0000","5.0000","5.0000","5.0000","-","0.00%"
"Apr 05, 2018","5.0000","6.8109","6.8109","5.0000","0.04K","-26.59%"
"Apr 04, 2018","6.8109","4.3000","6.8109","4.3000","0.04K","58.39%"
"Apr 03, 2018","4.3000","4.3000","4.3000","4.3000","-","0.00%"
"Apr 02, 2018","4.3000","5.0000","5.0000","4.3000","0.00K","-14.00%"
"Apr 01, 2018","5.0000","5.0000","5.0000","5.0000","-","0.00%"
"Mar 31, 2018","5.0000","5.0000","6.8109","5.0000","0.00K","0.00%"
"Mar 30, 2018","5.0000","5.3700","6.8109","5.0000","0.09K","-6.89%"
"Mar 29, 2018","5.3700","5.4000","5.4000","5.3700","0.08K","-0.56%"
"Mar 28, 2018","5.4000","6.2600","6.2600","5.4000","0.09K","-13.74%"
"Mar 27, 2018","6.2600","5.7300","6.2600","5.0001","0.05K","9.25%"
"Mar 26, 2018","5.7300","5.8500","5.9800","5.7300","0.04K","-2.05%"
"Mar 25, 2018","5.8500","6.2500","6.2500","5.8500","0.07K","-6.40%"
"Mar 24, 2018","6.2500","5.0000","6.2600","5.0000","0.09K","25.00%"
"Mar 23, 2018","5.0000","6.2579","6.2579","5.0000","0.19K","-20.10%"
"Mar 22, 2018","6.2579","6.2579","6.2579","6.2579","-","0.00%"
"Mar 21, 2018","6.2579","6.0815","6.2579","6.0815","0.15K","2.90%"
"Mar 20, 2018","6.0815","5.9000","6.0815","5.7000","0.00K","3.08%"
"Mar 19, 2018","5.9000","5.0000","5.9000","5.0000","0.20K","18.00%"
"Mar 18, 2018","5.0000","5.5743","5.5743","5.0000","0.01K","-10.30%"
"Mar 17, 2018","5.5743","5.8000","6.1441","5.0000","0.01K","-3.89%"
"Mar 16, 2018","5.8000","5.8000","5.8000","5.8000","-","0.00%"
"Mar 15, 2018","5.8000","6.0000","6.0000","5.0000","0.04K","-3.33%"
"Mar 14, 2018","6.0000","6.1109","6.7000","6.0000","0.02K","-1.81%"
"Mar 13, 2018","6.1109","6.1109","6.5400","6.1109","0.02K","0.00%"
"Mar 12, 2018","6.1109","6.0300","7.0469","6.0300","0.01K","1.34%"
"Mar 11, 2018","6.0300","7.0787","7.0787","6.0300","0.01K","-14.81%"
"Mar 10, 2018","7.0787","6.6705","7.0787","6.6705","-","6.12%"
"Mar 09, 2018","6.6705","6.6705","6.6705","6.6705","-","0.00%"
"Mar 08, 2018","6.6705","8.5743","8.5743","6.6705","0.16K","-22.20%"
"Mar 07, 2018","8.5743","6.0300","8.6116","6.0300","0.03K","42.19%"
"Mar 06, 2018","6.0300","8.9000","8.9000","6.0300","0.03K","-32.25%"
"Mar 05, 2018","8.9000","8.4000","8.9158","6.0300","0.03K","5.95%"
"Mar 04, 2018","8.4000","9.0000","9.0000","8.4000","0.12K","-6.67%"
"Mar 03, 2018","9.0000","9.0000","9.0000","9.0000","-","0.00%"
"Mar 02, 2018","9.0000","7.7000","9.0000","5.0000","0.04K","16.88%"
"Mar 01, 2018","7.7000","8.8214","8.8214","3.0500","0.03K","-12.71%"
"Feb 28, 2018","8.8214","8.8214","8.8214","8.8214","-","0.00%"
"Feb 27, 2018","8.8214","9.0000","9.0000","6.7527","0.03K","-1.98%"
"Feb 26, 2018","9.0000","7.0460","9.0000","2.5000","2.32K","27.73%"
"Feb 25, 2018","7.0460","7.0460","7.0460","7.0460","-","0.00%"
"Feb 24, 2018","7.0460","7.2500","7.2500","6.1700","0.02K","-2.81%"
"Feb 23, 2018","7.2500","8.1000","8.1000","7.2500","0.07K","-10.49%"
"Feb 22, 2018","8.1000","6.1750","8.1000","6.1750","0.08K","31.17%"
"Feb 21, 2018","6.1750","9.0000","9.0000","6.1750","0.06K","-31.39%"
"Feb 20, 2018","9.0000","8.0000","9.0000","8.0000","0.41K","12.50%"
"Feb 19, 2018","8.0000","7.9913","8.0000","6.1700","0.01K","0.11%"
"Feb 18, 2018","7.9913","8.0000","8.0000","7.7200","0.00K","-0.11%"
"Feb 17, 2018","8.0000","7.7200","8.0000","7.7200","0.03K","3.63%"
"Feb 16, 2018","7.7200","7.0000","7.7200","6.0000","0.38K","10.29%"
"Feb 15, 2018","7.0000","5.6667","7.7200","5.6667","0.33K","23.53%"
"Feb 14, 2018","5.6667","6.0000","7.0000","5.6667","0.03K","-5.56%"
"Feb 13, 2018","6.0000","7.0000","7.7333","6.0000","0.04K","-14.29%"
"Feb 12, 2018","7.0000","6.5328","7.0000","6.0000","0.10K","7.15%"
"Feb 11, 2018","6.5328","6.0000","7.7333","6.0000","0.20K","8.88%"
"Feb 10, 2018","6.0000","6.6460","7.0000","6.0000","0.02K","0.00%"
"Feb 06, 2018","6.0000","6.0000","6.0000","6.0000","-","-7.69%"
"Feb 05, 2018","6.5000","6.0000","6.5000","0.0000","0.05K","-15.02%"
"Feb 04, 2018","7.6486","6.0000","7.6486","6.0000","0.01K","0.00%"
"Feb 03, 2018","0.0000","6.0000","7.8590","0.0000","-","-100.00%"
"Feb 02, 2018","6.0000","7.0095","8.0168","6.0000","0.05K","-14.40%"
"Feb 01, 2018","7.0095","7.0000","9.4410","7.0000","1.06K","0.14%"
"Jan 31, 2018","7.0000","10.1000","10.1000","7.0000","0.01K","-30.69%"
"Jan 30, 2018","10.1000","8.8000","10.2600","6.0000","0.03K","14.77%"
"Jan 29, 2018","8.8000","10.5125","10.5125","7.5000","0.01K","-16.29%"
"Jan 28, 2018","10.5125","9.9000","10.5460","7.1610","0.04K","6.19%"
