"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","0.97520","0.97510","0.99210","0.97510","0.57K","-1.70%"
"Jun 29, 2018","0.99210","0.98000","0.99440","0.97500","3.43K","1.23%"
"Jun 28, 2018","0.98000","0.98000","0.98000","0.98000","-","0.00%"
"Jun 27, 2018","0.98000","0.99550","0.99550","0.98000","1.63K","-1.56%"
"Jun 26, 2018","0.99550","0.99000","0.99560","0.99000","1.62K","-0.03%"
"Jun 25, 2018","0.99580","0.99150","0.99580","0.99000","11.34K","0.43%"
"Jun 24, 2018","0.99150","0.99000","0.99150","0.98520","17.28K","0.01%"
"Jun 23, 2018","0.99140","0.99000","0.99250","0.99000","1.89K","0.14%"
"Jun 22, 2018","0.99000","0.99580","0.99590","0.99000","2.81K","-0.58%"
"Jun 21, 2018","0.99580","0.98750","0.99580","0.98750","8.01K","0.84%"
"Jun 20, 2018","0.98750","0.99580","0.99580","0.98750","5.07K","-0.83%"
"Jun 19, 2018","0.99580","0.99000","0.99580","0.98500","1.93K","0.71%"
"Jun 18, 2018","0.98880","0.98880","0.99580","0.98500","1.43K","0.00%"
"Jun 17, 2018","0.98880","0.99580","0.99580","0.98880","6.16K","-0.37%"
"Jun 16, 2018","0.99250","0.99500","0.99580","0.99250","7.33K","-0.25%"
"Jun 15, 2018","0.99500","0.99100","0.99550","0.99000","27.36K","0.40%"
"Jun 14, 2018","0.99100","0.98990","0.99300","0.98000","16.54K","0.11%"
"Jun 13, 2018","0.98990","0.98990","0.98990","0.98000","13.66K","0.00%"
"Jun 12, 2018","0.98990","0.99000","0.99000","0.97500","5.59K","-0.01%"
"Jun 11, 2018","0.99000","0.99000","0.99000","0.96010","37.78K","0.74%"
"Jun 10, 2018","0.98270","0.99000","0.99550","0.97510","3.40K","-1.27%"
"Jun 09, 2018","0.99530","0.99250","0.99530","0.97510","1.26K","2.06%"
"Jun 08, 2018","0.97520","0.99540","0.99550","0.97500","2.86K","-2.03%"
"Jun 07, 2018","0.99540","0.99460","0.99550","0.97600","3.00K","0.08%"
"Jun 06, 2018","0.99460","0.99210","0.99480","0.97500","1.31K","0.23%"
"Jun 05, 2018","0.99230","0.97800","0.99230","0.97500","1.41K","1.46%"
"Jun 04, 2018","0.97800","0.98620","0.99080","0.97800","4.40K","-0.83%"
"Jun 03, 2018","0.98620","0.99520","0.99520","0.93400","0.44K","-0.90%"
"Jun 02, 2018","0.99520","0.98070","0.99520","0.91070","1.67K","0.10%"
"Jun 01, 2018","0.99420","0.99550","0.99550","0.98060","34.15K","-0.13%"
"May 31, 2018","0.99550","0.99450","0.99550","0.98640","29.58K","0.10%"
"May 30, 2018","0.99450","0.98640","0.99980","0.98630","5.96K","0.82%"
"May 29, 2018","0.98640","0.99000","0.99980","0.98510","6.93K","-0.36%"
"May 28, 2018","0.99000","1.00200","1.00200","0.95000","36.05K","-1.20%"
"May 27, 2018","1.00200","0.99250","1.00200","0.99000","4.44K","0.96%"
"May 26, 2018","0.99250","0.99890","1.00200","0.99250","1.73K","0.00%"
"May 25, 2018","0.99250","0.99500","0.99500","0.99250","5.52K","-0.25%"
"May 24, 2018","0.99500","0.98780","0.99880","0.91390","5.30K","1.02%"
"May 23, 2018","0.98500","0.99900","1.00870","0.98500","128.52K","-1.40%"
"May 22, 2018","0.99900","0.99920","1.01230","0.99850","30.93K","-0.02%"
"May 21, 2018","0.99920","0.99910","1.01700","0.99900","28.99K","0.01%"
"May 20, 2018","0.99910","1.00600","1.03000","0.99850","16.46K","-0.69%"
"May 19, 2018","1.00600","1.00800","1.01400","0.99850","8.44K","-0.20%"
"May 18, 2018","1.00800","0.99810","1.01780","0.99810","29.46K","0.99%"
"May 17, 2018","0.99810","0.99900","1.01000","0.99800","21.59K","-0.69%"
"May 16, 2018","1.00500","0.99820","1.01220","0.99800","31.74K","0.68%"
"May 15, 2018","0.99820","0.99820","1.01340","0.99820","19.65K","0.00%"
"May 14, 2018","0.99820","0.99810","1.02270","0.99800","28.94K","-0.18%"
"May 13, 2018","1.00000","0.99810","1.00890","0.99800","19.88K","0.18%"
"May 12, 2018","0.99820","1.02630","1.05000","0.99800","119.76K","-2.74%"
"May 11, 2018","1.02630","0.99820","1.07900","0.99800","191.06K","2.82%"
"May 10, 2018","0.99820","0.99800","1.00000","0.99800","49.10K","-0.06%"
"May 09, 2018","0.99880","0.99800","1.00300","0.99800","35.97K","0.08%"
"May 08, 2018","0.99800","1.00000","1.01600","0.99800","64.12K","-0.36%"
"May 07, 2018","1.00160","1.00000","1.04000","0.99540","117.49K","0.16%"
"May 06, 2018","1.00000","0.99800","1.08880","0.99800","198.10K","0.20%"
"May 05, 2018","0.99800","1.00100","1.00910","0.99800","30.65K","-0.30%"
"May 04, 2018","1.00100","0.99990","1.00920","0.99800","48.48K","0.11%"
"May 03, 2018","0.99990","1.00000","1.01030","0.99800","57.65K","-0.01%"
"May 02, 2018","1.00000","0.99800","1.00900","0.99800","47.44K","0.20%"
"May 01, 2018","0.99800","0.98710","0.99840","0.98710","12.09K","0.58%"
"Apr 30, 2018","0.99220","0.98710","0.99880","0.98700","34.82K","0.52%"
"Apr 29, 2018","0.98710","0.99992","1.00002","0.98700","42.78K","-1.28%"
"Apr 28, 2018","0.99992","0.98732","0.99992","0.98702","39.38K","1.28%"
"Apr 27, 2018","0.98732","0.98812","1.00041","0.97772","52.43K","-0.08%"
"Apr 26, 2018","0.98812","0.98501","0.98952","0.97763","49.25K","0.32%"
"Apr 25, 2018","0.98501","1.00001","1.00041","0.98501","78.30K","-1.50%"
"Apr 24, 2018","1.00001","0.99891","1.00931","0.98492","68.64K","0.11%"
"Apr 23, 2018","0.99891","0.98131","1.01490","0.98101","67.33K","1.79%"
"Apr 22, 2018","0.98131","0.98130","1.06200","0.97660","217.01K","0.00%"
"Apr 21, 2018","0.98130","0.99392","1.99972","0.98130","313.74K","-1.27%"
