"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","239.97","236.41","246.92","232.32","30.41K","1.52%"
"Jun 29, 2018","236.39","221.76","239.38","218.89","32.06K","6.60%"
"Jun 28, 2018","221.76","229.90","230.48","219.24","21.17K","-3.54%"
"Jun 27, 2018","229.90","232.13","232.25","225.48","21.26K","-0.97%"
"Jun 26, 2018","232.16","242.15","242.32","223.50","28.32K","-4.12%"
"Jun 25, 2018","242.15","237.99","247.53","219.75","120.44K","1.72%"
"Jun 24, 2018","238.06","245.60","246.73","227.83","119.13K","-3.07%"
"Jun 23, 2018","245.60","238.13","249.64","237.39","29.97K","3.16%"
"Jun 22, 2018","238.07","262.48","262.64","234.02","38.73K","-9.28%"
"Jun 21, 2018","262.42","266.49","270.11","259.89","20.42K","-1.51%"
"Jun 20, 2018","266.44","262.20","266.72","254.72","23.36K","1.62%"
"Jun 19, 2018","262.20","265.84","272.04","259.43","33.56K","-1.36%"
"Jun 18, 2018","265.83","267.08","268.79","252.96","29.82K","-0.47%"
"Jun 17, 2018","267.08","268.50","273.37","264.86","25.56K","-0.53%"
"Jun 16, 2018","268.50","257.35","270.51","257.17","26.53K","4.34%"
"Jun 15, 2018","257.33","269.52","271.64","256.42","26.65K","-4.47%"
"Jun 14, 2018","269.38","247.63","273.86","247.21","34.42K","8.80%"
"Jun 13, 2018","247.59","262.07","263.58","242.76","32.81K","-5.56%"
"Jun 12, 2018","262.15","272.07","277.87","260.31","37.85K","-3.64%"
"Jun 11, 2018","272.06","271.09","276.79","258.05","29.99K","0.36%"
"Jun 10, 2018","271.09","299.65","299.72","269.45","46.40K","-9.53%"
"Jun 09, 2018","299.65","312.89","314.64","298.70","27.97K","-4.36%"
"Jun 08, 2018","313.31","316.70","318.15","304.79","23.35K","-1.06%"
"Jun 07, 2018","316.68","315.72","319.71","314.65","28.52K","0.35%"
"Jun 06, 2018","315.57","319.09","320.09","308.65","31.70K","-1.07%"
"Jun 05, 2018","318.97","318.36","322.30","308.83","34.21K","0.19%"
"Jun 04, 2018","318.36","330.77","334.85","312.46","34.32K","-3.77%"
"Jun 03, 2018","330.84","323.16","336.92","323.12","27.75K","2.40%"
"Jun 02, 2018","323.10","316.81","327.80","311.51","36.92K","1.98%"
"Jun 01, 2018","316.83","306.83","317.62","303.21","31.98K","3.25%"
"May 31, 2018","306.87","307.16","316.62","303.15","28.68K","-0.10%"
"May 30, 2018","307.16","318.12","321.92","299.51","26.48K","-3.43%"
"May 29, 2018","318.09","289.03","322.56","286.75","39.12K","10.08%"
"May 28, 2018","288.96","318.23","324.24","287.78","32.29K","-9.20%"
"May 27, 2018","318.22","325.26","325.43","315.73","30.16K","-2.20%"
"May 26, 2018","325.39","340.69","341.91","325.19","26.65K","-4.47%"
"May 25, 2018","340.63","346.62","348.73","331.69","31.22K","-1.71%"
"May 24, 2018","346.54","342.66","351.53","328.80","29.80K","1.13%"
"May 23, 2018","342.67","359.86","360.60","333.82","32.57K","-4.78%"
"May 22, 2018","359.86","385.76","386.73","358.21","26.80K","-6.72%"
"May 21, 2018","385.76","402.24","403.22","385.22","24.38K","-4.08%"
"May 20, 2018","402.18","386.02","404.83","383.94","40.24K","4.17%"
"May 19, 2018","386.07","395.08","404.22","383.83","53.13K","-2.29%"
"May 18, 2018","395.11","389.18","397.07","374.75","46.63K","1.53%"
"May 17, 2018","389.14","413.48","419.66","386.84","40.70K","-5.89%"
"May 16, 2018","413.48","428.32","428.64","397.47","33.72K","-3.46%"
"May 15, 2018","428.32","433.11","453.06","423.51","40.51K","-1.11%"
"May 14, 2018","433.13","418.15","452.20","389.99","44.23K","3.58%"
"May 13, 2018","418.15","406.74","422.72","396.54","34.92K","2.88%"
"May 12, 2018","406.43","393.54","412.20","380.16","25.97K","3.28%"
"May 11, 2018","393.52","419.95","431.86","388.93","47.86K","-6.30%"
"May 10, 2018","419.96","443.71","462.40","419.00","46.21K","-5.39%"
"May 09, 2018","443.86","443.40","447.75","413.73","46.97K","0.05%"
"May 08, 2018","443.64","463.79","465.46","437.50","40.43K","-4.21%"
"May 07, 2018","463.14","486.51","487.19","447.75","48.32K","-4.79%"
"May 06, 2018","486.45","509.33","525.47","481.22","39.26K","-4.51%"
"May 05, 2018","509.44","488.27","512.74","486.40","48.18K","4.33%"
"May 04, 2018","488.27","504.58","504.58","478.88","51.05K","-3.28%"
"May 03, 2018","504.83","487.99","514.54","482.40","52.63K","3.45%"
"May 02, 2018","487.99","479.17","489.10","466.69","45.31K","1.83%"
"May 01, 2018","479.20","473.64","486.58","456.04","39.07K","1.18%"
"Apr 30, 2018","473.64","499.20","501.25","471.52","42.05K","-5.13%"
"Apr 29, 2018","499.27","497.42","509.93","477.60","36.85K","0.37%"
"Apr 28, 2018","497.42","471.94","504.61","470.60","40.72K","5.35%"
"Apr 27, 2018","472.17","504.45","505.12","469.86","52.18K","-6.45%"
"Apr 26, 2018","504.74","463.44","504.98","450.22","55.99K","8.91%"
"Apr 25, 2018","463.44","525.43","526.12","448.93","63.55K","-11.78%"
"Apr 24, 2018","525.34","506.09","543.24","505.53","69.45K","3.81%"
"Apr 23, 2018","506.05","468.21","527.42","461.85","81.55K","8.03%"
"Apr 22, 2018","468.42","445.09","481.01","439.76","49.77K","5.26%"
"Apr 21, 2018","445.03","461.63","462.91","426.60","50.64K","-3.62%"
"Apr 20, 2018","461.76","432.79","464.78","425.99","71.00K","6.77%"
"Apr 19, 2018","432.48","422.23","435.80","409.18","73.10K","2.43%"
"Apr 18, 2018","422.20","365.23","424.21","363.75","88.64K","15.59%"
"Apr 17, 2018","365.25","364.93","380.08","360.37","60.97K","0.08%"
"Apr 16, 2018","364.94","382.53","382.70","354.67","63.24K","-4.60%"
"Apr 15, 2018","382.53","357.80","387.53","357.80","71.90K","6.91%"
"Apr 14, 2018","357.80","353.36","376.14","351.79","63.08K","1.26%"
