"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","0.000391","0.000369","0.000396","0.000366","40.32M","5.68%"
"Jun 29, 2018","0.000370","0.000352","0.000370","0.000327","38.34M","5.11%"
"Jun 28, 2018","0.000352","0.000371","0.000385","0.000341","41.12M","-5.63%"
"Jun 27, 2018","0.000373","0.000376","0.000383","0.000360","20.28M","-1.06%"
"Jun 26, 2018","0.000377","0.000399","0.000399","0.000376","16.77M","-1.82%"
"Jun 25, 2018","0.000384","0.000362","0.000450","0.000361","52.54M","5.49%"
"Jun 24, 2018","0.000364","0.000390","0.000396","0.000354","61.00M","-7.38%"
"Jun 23, 2018","0.000393","0.000373","0.000399","0.000373","17.32M","5.36%"
"Jun 22, 2018","0.000373","0.000430","0.000434","0.000364","86.90M","-13.66%"
"Jun 21, 2018","0.000432","0.000461","0.000461","0.000411","45.13M","-6.29%"
"Jun 20, 2018","0.000461","0.000465","0.000474","0.000433","22.37M","-0.86%"
"Jun 19, 2018","0.000465","0.000460","0.000518","0.000439","59.62M","1.09%"
"Jun 18, 2018","0.000460","0.000415","0.000495","0.000413","53.26M","10.84%"
"Jun 17, 2018","0.000415","0.000419","0.000434","0.000410","8.45M","-0.95%"
"Jun 16, 2018","0.000419","0.000427","0.000442","0.000409","15.18M","-1.87%"
"Jun 15, 2018","0.000427","0.000452","0.000470","0.000427","15.49M","-6.56%"
"Jun 14, 2018","0.000457","0.000402","0.000467","0.000402","80.65M","13.68%"
"Jun 13, 2018","0.000402","0.000447","0.000465","0.000402","37.07M","-10.07%"
"Jun 12, 2018","0.000447","0.000483","0.000497","0.000431","40.05M","-7.07%"
"Jun 11, 2018","0.000481","0.000497","0.000543","0.000453","26.12M","3.44%"
"Jun 10, 2018","0.000465","0.000566","0.000574","0.000421","61.71M","-17.84%"
"Jun 09, 2018","0.000566","0.000583","0.000587","0.000559","18.81M","-1.74%"
"Jun 08, 2018","0.000576","0.000618","0.000620","0.000574","36.86M","-6.80%"
"Jun 07, 2018","0.000618","0.000602","0.000639","0.000596","28.76M","2.32%"
"Jun 06, 2018","0.000604","0.000623","0.000630","0.000590","26.60M","-3.05%"
"Jun 05, 2018","0.000623","0.000630","0.000644","0.000590","67.93M","-1.42%"
"Jun 04, 2018","0.000632","0.000666","0.000670","0.000622","33.15M","-5.11%"
"Jun 03, 2018","0.000666","0.000663","0.000692","0.000651","35.29M","0.45%"
"Jun 02, 2018","0.000663","0.000652","0.000704","0.000649","54.50M","1.69%"
"Jun 01, 2018","0.000652","0.000644","0.000669","0.000636","38.50M","1.24%"
"May 31, 2018","0.000644","0.000677","0.000677","0.000613","44.10M","-4.87%"
"May 30, 2018","0.000677","0.000657","0.000689","0.000613","11.64M","3.04%"
"May 29, 2018","0.000657","0.000602","0.000694","0.000596","68.52M","7.88%"
"May 28, 2018","0.000609","0.000604","0.000758","0.000590","164.80M","-0.81%"
"May 27, 2018","0.000614","0.000655","0.000659","0.000595","49.65M","-6.26%"
"May 26, 2018","0.000655","0.000693","0.000700","0.000639","52.44M","-5.48%"
"May 25, 2018","0.000693","0.000696","0.000715","0.000680","47.38M","-1.14%"
"May 24, 2018","0.000701","0.000661","0.000701","0.000605","65.51M","6.05%"
"May 23, 2018","0.000661","0.000742","0.000756","0.000640","92.01M","-10.92%"
"May 22, 2018","0.000742","0.000787","0.000813","0.000736","69.82M","-5.72%"
"May 21, 2018","0.000787","0.000831","0.000837","0.000777","73.12M","-5.29%"
"May 20, 2018","0.000831","0.000849","0.000855","0.000815","38.63M","-2.12%"
"May 19, 2018","0.000849","0.000866","0.000894","0.000810","80.74M","-1.96%"
"May 18, 2018","0.000866","0.000858","0.000935","0.000803","142.95M","0.93%"
"May 17, 2018","0.000858","0.000927","0.000952","0.000850","109.38M","-7.04%"
"May 16, 2018","0.000923","0.000927","0.000985","0.000850","91.16M","-0.43%"
"May 15, 2018","0.000927","0.001013","0.001097","0.000927","130.19M","-8.49%"
"May 14, 2018","0.001013","0.001058","0.001155","0.000991","230.22M","-4.25%"
"May 13, 2018","0.001058","0.000942","0.001164","0.000923","213.25M","12.43%"
"May 12, 2018","0.000941","0.000969","0.001040","0.000850","335.76M","-2.99%"
"May 11, 2018","0.000970","0.001229","0.001249","0.000910","797.22M","-20.49%"
"May 10, 2018","0.001220","0.001032","0.001480","0.001003","1.13B","18.22%"
"May 09, 2018","0.001032","0.000763","0.001076","0.000701","569.51M","33.68%"
"May 08, 2018","0.000772","0.000740","0.000818","0.000689","176.31M","6.48%"
"May 07, 2018","0.000725","0.000719","0.000734","0.000646","81.62M","0.83%"
"May 06, 2018","0.000719","0.000762","0.000811","0.000686","82.50M","-6.50%"
"May 05, 2018","0.000769","0.000802","0.000830","0.000754","123.92M","-4.11%"
"May 04, 2018","0.000802","0.000826","0.000846","0.000792","79.21M","-2.91%"
"May 03, 2018","0.000826","0.000799","0.000890","0.000722","177.85M","3.38%"
"May 02, 2018","0.000799","0.000766","0.000826","0.000761","61.44M","4.31%"
"May 01, 2018","0.000766","0.000762","0.000813","0.000666","130.91M","0.52%"
"Apr 30, 2018","0.000762","0.000837","0.000839","0.000726","178.62M","-8.96%"
"Apr 29, 2018","0.000837","0.000848","0.000930","0.000811","130.31M","-1.30%"
"Apr 28, 2018","0.000848","0.000850","0.000920","0.000820","216.38M","-0.24%"
"Apr 27, 2018","0.000850","0.000907","0.000967","0.000830","184.63M","-6.28%"
"Apr 26, 2018","0.000907","0.000833","0.001000","0.000770","233.51M","8.88%"
"Apr 25, 2018","0.000833","0.000941","0.000980","0.000771","322.32M","-11.48%"
"Apr 24, 2018","0.000941","0.000979","0.001097","0.000849","469.81M","-3.88%"
"Apr 23, 2018","0.000979","0.001122","0.001150","0.000800","629.28M","-12.75%"
"Apr 22, 2018","0.001122","0.000815","0.001300","0.000775","841.50M","37.67%"
"Apr 21, 2018","0.000815","0.000739","0.000860","0.000682","354.99M","10.28%"
"Apr 20, 2018","0.000739","0.000588","0.000748","0.000563","284.29M","25.68%"
"Apr 19, 2018","0.000588","0.000536","0.000594","0.000514","105.68M","11.36%"
"Apr 18, 2018","0.000528","0.000555","0.000592","0.000450","156.89M","-4.86%"
"Apr 17, 2018","0.000555","0.000424","0.000645","0.000407","434.89M","30.90%"
"Apr 16, 2018","0.000424","0.000376","0.000474","0.000342","78.86M","12.77%"
"Apr 15, 2018","0.000376","0.000350","0.000385","0.000334","38.42M","7.43%"
"Apr 14, 2018","0.000350","0.000366","0.000380","0.000330","23.72M","-4.37%"
"Apr 13, 2018","0.000366","0.000365","0.000410","0.000341","55.29M","0.27%"
"Apr 12, 2018","0.000365","0.000323","0.000400","0.000315","65.35M","13.00%"
"Apr 11, 2018","0.000323","0.000312","0.000324","0.000303","33.70M","3.53%"
"Apr 10, 2018","0.000312","0.000301","0.000328","0.000293","47.12M","3.65%"
"Apr 09, 2018","0.000301","0.000307","0.000334","0.000299","55.21M","-1.95%"
"Apr 08, 2018","0.000307","0.000299","0.000314","0.000292","25.11M","2.68%"
"Apr 07, 2018","0.000299","0.000299","0.000306","0.000292","23.98M","0.00%"
"Apr 06, 2018","0.000299","0.000286","0.000308","0.000279","56.02M","4.55%"
"Apr 05, 2018","0.000286","0.000302","0.000304","0.000285","27.98M","-5.30%"
"Apr 04, 2018","0.000302","0.000327","0.000335","0.000295","97.88M","-7.65%"
"Apr 03, 2018","0.000327","0.000286","0.000340","0.000284","46.83M","14.34%"
"Apr 02, 2018","0.000286","0.000289","0.000295","0.000279","17.35M","-1.04%"
"Apr 01, 2018","0.000289","0.000298","0.000300","0.000267","25.62M","-3.02%"
"Mar 31, 2018","0.000298","0.000290","0.000319","0.000284","49.17M","2.76%"
"Mar 30, 2018","0.000290","0.000278","0.000307","0.000276","76.83M","4.32%"
"Mar 29, 2018","0.000278","0.000349","0.000356","0.000278","121.69M","-20.34%"
"Mar 28, 2018","0.000349","0.000331","0.000365","0.000314","112.37M","5.12%"
"Mar 27, 2018","0.000332","0.000374","0.000374","0.000329","27.73M","-11.23%"
"Mar 26, 2018","0.000374","0.000387","0.000415","0.000335","63.40M","-3.36%"
"Mar 25, 2018","0.000387","0.000395","0.000400","0.000379","37.02M","-2.03%"
"Mar 24, 2018","0.000395","0.000404","0.000439","0.000395","72.69M","-2.23%"
"Mar 23, 2018","0.000404","0.000391","0.000475","0.000371","127.94M","3.32%"
"Mar 22, 2018","0.000391","0.000411","0.000485","0.000375","96.98M","-4.87%"
"Mar 21, 2018","0.000411","0.000408","0.000422","0.000391","58.85M","0.74%"
"Mar 20, 2018","0.000408","0.000409","0.000428","0.000390","69.05M","-0.24%"
"Mar 19, 2018","0.000409","0.000425","0.000446","0.000381","63.73M","-3.76%"
"Mar 18, 2018","0.000425","0.000416","0.000427","0.000351","80.98M","2.16%"
"Mar 17, 2018","0.000416","0.000446","0.000468","0.000410","34.39M","-6.73%"
"Mar 16, 2018","0.000446","0.000480","0.000559","0.000440","137.18M","-7.08%"
"Mar 15, 2018","0.000480","0.000480","0.000559","0.000432","90.48M","0.00%"
"Mar 14, 2018","0.000480","0.000515","0.000535","0.000450","59.11M","-6.80%"
"Mar 13, 2018","0.000515","0.000530","0.000559","0.000507","42.57M","-2.83%"
"Mar 12, 2018","0.000530","0.000583","0.000593","0.000518","88.68M","-9.09%"
"Mar 11, 2018","0.000583","0.000530","0.000605","0.000508","89.13M","10.00%"
"Mar 10, 2018","0.000530","0.000502","0.000798","0.000502","366.63M","5.58%"
"Mar 09, 2018","0.000502","0.000454","0.000510","0.000426","92.07M","10.57%"
