"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","68.903","67.234","71.034","67.234","0.01K","3.72%"
"Jun 29, 2018","66.433","64.001","66.433","59.526","0.00K","3.80%"
"Jun 28, 2018","64.001","69.729","70.137","64.001","0.00K","-8.21%"
"Jun 27, 2018","69.729","71.775","71.775","69.089","0.00K","-2.85%"
"Jun 26, 2018","71.775","73.599","73.599","71.374","-","-2.48%"
"Jun 25, 2018","73.599","70.651","74.137","70.113","0.01K","4.17%"
"Jun 24, 2018","70.651","73.118","73.118","66.000","0.00K","-3.37%"
"Jun 23, 2018","73.118","78.457","78.457","71.255","0.00K","-2.39%"
"Jun 22, 2018","74.905","91.467","91.467","74.905","0.01K","-18.11%"
"Jun 21, 2018","91.467","90.837","92.032","90.837","0.01K","0.69%"
"Jun 20, 2018","90.837","94.486","94.565","89.923","0.03K","-3.92%"
"Jun 19, 2018","94.539","90.799","94.877","90.007","-","4.16%"
"Jun 18, 2018","90.767","88.001","91.230","88.001","-","3.14%"
"Jun 17, 2018","88.001","90.147","94.286","88.001","0.00K","-2.38%"
"Jun 16, 2018","90.147","93.681","93.889","89.103","0.00K","-3.77%"
"Jun 15, 2018","93.681","96.261","96.261","90.844","0.01K","-4.57%"
"Jun 14, 2018","98.165","88.706","99.336","88.706","0.01K","19.77%"
"Jun 13, 2018","81.962","89.941","90.121","81.962","0.01K","-1.62%"
"Jun 12, 2018","83.315","93.800","93.800","83.315","0.01K","-11.18%"
"Jun 11, 2018","93.800","92.826","94.362","78.000","0.01K","-0.25%"
"Jun 10, 2018","94.032","103.430","103.979","92.537","0.01K","-10.47%"
"Jun 09, 2018","105.025","108.000","109.000","104.475","0.01K","-2.75%"
"Jun 08, 2018","108.000","106.746","108.000","102.338","0.01K","1.38%"
"Jun 07, 2018","106.529","98.703","106.529","98.703","0.01K","7.93%"
"Jun 06, 2018","98.703","100.365","100.798","95.000","0.00K","-1.66%"
"Jun 05, 2018","100.365","99.793","102.086","94.739","0.00K","1.18%"
"Jun 04, 2018","99.198","98.079","99.198","93.890","0.01K","1.14%"
"Jun 03, 2018","98.078","101.961","101.961","97.808","-","-5.52%"
