"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","0.024873","0.024455","0.026235","0.024455","1.99M","0.79%"
"Jun 29, 2018","0.024677","0.021612","0.024773","0.021164","1.80M","14.72%"
"Jun 28, 2018","0.021511","0.021343","0.024783","0.021340","1.51M","0.78%"
"Jun 27, 2018","0.021345","0.019855","0.021482","0.017568","1.64M","7.15%"
"Jun 26, 2018","0.019920","0.020701","0.020816","0.019534","1.21M","-3.77%"
"Jun 25, 2018","0.020701","0.020101","0.020718","0.019224","736.13K","2.84%"
"Jun 24, 2018","0.020130","0.020425","0.020459","0.017480","1.87M","-1.46%"
"Jun 23, 2018","0.020428","0.018839","0.021390","0.018648","1.25M","8.89%"
"Jun 22, 2018","0.018760","0.020741","0.021137","0.018760","1.09M","-9.55%"
"Jun 21, 2018","0.020741","0.019853","0.021444","0.018361","1.14M","4.47%"
"Jun 20, 2018","0.019853","0.025127","0.025127","0.018868","3.19M","-20.26%"
"Jun 19, 2018","0.024898","0.024350","0.025539","0.023462","465.75K","2.30%"
"Jun 18, 2018","0.024338","0.023400","0.024811","0.022510","892.70K","4.00%"
"Jun 17, 2018","0.023401","0.023623","0.026689","0.022992","596.79K","-0.92%"
"Jun 16, 2018","0.023620","0.023669","0.024323","0.021393","1.21M","0.25%"
"Jun 15, 2018","0.023562","0.025579","0.025659","0.023562","508.21K","-8.09%"
"Jun 14, 2018","0.025635","0.023386","0.025973","0.023386","866.70K","9.39%"
"Jun 13, 2018","0.023434","0.024484","0.026163","0.022835","1.41M","-4.29%"
"Jun 12, 2018","0.024484","0.031131","0.033291","0.023459","6.28M","-21.78%"
"Jun 11, 2018","0.031304","0.028953","0.031418","0.028726","1.39M","8.12%"
"Jun 10, 2018","0.028953","0.034147","0.034154","0.028403","1.66M","-17.41%"
"Jun 09, 2018","0.035054","0.035787","0.036117","0.033789","961.94K","-2.05%"
"Jun 08, 2018","0.035787","0.034257","0.036043","0.033295","1.23M","4.47%"
