"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","95.651","94.108","98.846","93.743","0.31K","1.64%"
"Jun 29, 2018","94.106","88.865","94.246","87.995","0.31K","5.90%"
"Jun 28, 2018","88.865","97.514","97.749","88.574","0.28K","-8.86%"
"Jun 27, 2018","97.508","89.792","97.609","87.980","0.47K","8.58%"
"Jun 26, 2018","89.800","95.417","97.318","89.123","0.57K","-5.92%"
"Jun 25, 2018","95.451","90.435","96.839","89.013","0.43K","5.29%"
"Jun 24, 2018","90.655","101.464","101.948","87.007","0.40K","-10.65%"
"Jun 23, 2018","101.464","98.008","101.813","97.970","0.25K","3.53%"
"Jun 22, 2018","98.006","112.685","113.446","97.632","0.83K","-13.02%"
"Jun 21, 2018","112.680","113.767","118.150","112.425","0.19K","-1.02%"
"Jun 20, 2018","113.843","114.454","114.746","109.903","0.13K","-0.72%"
"Jun 19, 2018","114.670","113.297","117.078","111.375","0.23K","2.95%"
"Jun 18, 2018","111.384","109.909","111.816","106.539","0.18K","1.33%"
"Jun 17, 2018","109.922","110.700","114.555","109.922","0.16K","-0.70%"
"Jun 16, 2018","110.693","114.901","115.266","108.679","0.40K","-3.69%"
"Jun 15, 2018","114.939","117.364","118.928","111.625","0.31K","-2.07%"
"Jun 14, 2018","117.367","109.016","120.494","109.002","0.37K","7.67%"
"Jun 13, 2018","109.007","109.615","131.849","100.804","0.47K","-0.55%"
"Jun 12, 2018","109.611","123.883","123.932","109.404","0.38K","-11.52%"
"Jun 11, 2018","123.888","125.719","130.046","116.633","0.58K","-1.46%"
"Jun 10, 2018","125.718","156.280","157.219","125.260","0.51K","-19.68%"
"Jun 09, 2018","156.522","164.910","165.159","156.144","0.67K","-5.09%"
"Jun 08, 2018","164.916","160.695","167.962","158.579","0.71K","2.75%"
"Jun 07, 2018","160.504","158.805","165.642","155.132","0.78K","1.07%"
"Jun 06, 2018","158.805","154.761","173.981","151.529","1.20K","2.62%"
"Jun 05, 2018","154.756","167.040","171.027","148.203","1.84K","-7.35%"
"Jun 04, 2018","167.041","142.174","187.344","138.322","3.02K","17.49%"
"Jun 03, 2018","142.173","136.921","142.237","136.831","0.39K","3.83%"
"Jun 02, 2018","136.928","132.946","138.557","132.188","0.48K","2.99%"
"Jun 01, 2018","132.951","133.976","135.242","130.612","0.48K","-0.76%"
"May 31, 2018","133.973","131.368","137.154","131.050","0.36K","2.23%"
"May 30, 2018","131.047","134.652","141.783","130.724","0.41K","-2.68%"
"May 29, 2018","134.650","121.106","135.032","120.861","0.33K","11.18%"
"May 28, 2018","121.106","138.514","139.877","121.106","0.48K","-12.57%"
"May 27, 2018","138.513","142.485","143.698","137.161","0.30K","-2.79%"
"May 26, 2018","142.490","144.701","151.383","142.341","0.50K","-1.53%"
"May 25, 2018","144.699","148.676","152.947","144.236","0.34K","-2.51%"
"May 24, 2018","148.419","148.818","153.919","142.970","0.35K","-0.27%"
"May 23, 2018","148.821","169.786","172.007","143.611","0.45K","-12.34%"
"May 22, 2018","169.777","188.411","188.411","169.749","0.38K","-9.89%"
"May 21, 2018","188.411","191.050","192.271","187.113","0.43K","-1.38%"
"May 20, 2018","191.050","186.427","194.533","184.194","0.56K","2.48%"
"May 19, 2018","186.427","190.623","193.813","184.939","0.53K","-2.20%"
"May 18, 2018","190.623","198.364","211.272","177.532","0.87K","-3.92%"
"May 17, 2018","198.410","186.294","217.911","186.247","0.43K","6.82%"
"May 16, 2018","185.747","196.579","197.995","185.041","0.27K","-5.51%"
"May 15, 2018","196.585","196.348","206.043","195.155","0.25K","0.13%"
"May 14, 2018","196.337","203.905","203.905","190.127","0.30K","-3.71%"
"May 13, 2018","203.905","192.912","209.744","184.035","0.38K","5.83%"
"May 12, 2018","192.667","200.327","202.364","180.724","0.53K","-3.82%"
"May 11, 2018","200.327","227.715","232.470","200.327","0.48K","-12.03%"
"May 10, 2018","227.715","231.384","241.576","224.913","0.34K","-1.59%"
"May 09, 2018","231.384","244.880","244.917","230.169","0.26K","-5.51%"
"May 08, 2018","244.875","258.330","258.666","238.567","0.29K","-3.30%"
"May 07, 2018","253.231","260.225","272.804","245.955","0.38K","-2.78%"
"May 06, 2018","260.466","255.296","278.618","250.147","0.45K","2.37%"
"May 05, 2018","254.440","263.607","264.220","254.292","0.42K","-3.48%"
"May 04, 2018","263.607","271.695","273.695","253.285","0.30K","-2.98%"
"May 03, 2018","271.695","271.503","278.082","256.647","0.31K","0.22%"
"May 02, 2018","271.094","268.477","271.694","265.112","0.41K","0.97%"
"May 01, 2018","268.477","267.261","274.281","258.784","0.29K","0.46%"
"Apr 30, 2018","267.261","276.265","276.265","265.293","0.24K","-3.26%"
"Apr 29, 2018","276.265","274.482","294.717","265.515","0.33K","0.65%"
"Apr 28, 2018","274.482","260.921","282.137","260.046","0.52K","5.19%"
"Apr 27, 2018","260.929","267.281","275.738","260.929","0.30K","-2.38%"
"Apr 26, 2018","267.281","257.288","267.866","251.390","0.39K","3.88%"
"Apr 25, 2018","257.288","288.406","294.270","251.426","0.65K","-10.79%"
"Apr 24, 2018","288.406","280.097","291.667","272.584","0.60K","2.97%"
"Apr 23, 2018","280.097","264.448","282.775","260.945","0.38K","5.92%"
"Apr 22, 2018","264.448","270.236","297.769","264.448","1.18K","-2.14%"
"Apr 21, 2018","270.236","251.584","281.806","247.289","1.01K","7.41%"
"Apr 20, 2018","251.584","246.894","259.783","217.447","0.84K","1.90%"
"Apr 19, 2018","246.894","240.932","253.905","238.814","0.41K","2.33%"
"Apr 18, 2018","241.271","237.359","241.653","227.027","0.41K","1.65%"
"Apr 17, 2018","237.359","245.092","248.678","237.359","0.33K","-3.16%"
"Apr 16, 2018","245.093","246.893","259.168","233.326","1.03K","-0.73%"
"Apr 15, 2018","246.893","236.788","248.956","234.776","0.38K","4.27%"
"Apr 14, 2018","236.788","232.714","241.286","226.914","0.49K","1.75%"
"Apr 13, 2018","232.714","231.420","262.508","221.626","0.95K","0.56%"
"Apr 12, 2018","231.425","207.601","234.873","204.951","1.35K","11.47%"
"Apr 11, 2018","207.608","206.762","214.219","205.871","0.72K","0.41%"
"Apr 10, 2018","206.766","209.645","210.778","201.329","0.69K","-1.37%"
"Apr 09, 2018","209.644","213.732","226.258","206.603","1.50K","-1.92%"
"Apr 08, 2018","213.743","214.437","222.967","211.512","0.77K","-0.32%"
"Apr 07, 2018","214.438","216.388","221.464","207.881","1.40K","-0.90%"
"Apr 06, 2018","216.385","207.303","288.880","199.371","2.93K","4.38%"
"Apr 05, 2018","207.301","206.852","217.766","194.762","1.40K","0.22%"
"Apr 04, 2018","206.848","233.929","235.703","199.460","0.85K","-11.58%"
"Apr 03, 2018","233.929","228.832","236.385","225.686","0.24K","2.23%"
"Apr 02, 2018","228.825","218.844","234.682","218.038","0.23K","4.56%"
"Apr 01, 2018","218.844","243.026","245.509","209.451","0.29K","-9.95%"
"Mar 31, 2018","243.026","238.319","269.148","229.894","0.45K","1.98%"
"Mar 30, 2018","238.319","247.749","256.214","224.792","0.37K","-3.81%"
"Mar 29, 2018","247.749","294.765","297.116","244.909","0.68K","-15.95%"
"Mar 28, 2018","294.765","300.737","306.304","293.265","0.43K","-1.99%"
"Mar 27, 2018","300.749","323.342","323.671","300.749","0.48K","-6.99%"
"Mar 26, 2018","323.342","325.471","360.942","307.053","0.74K","-0.65%"
"Mar 25, 2018","325.471","338.397","342.509","313.702","0.31K","-3.82%"
"Mar 24, 2018","338.397","341.986","347.877","336.508","0.22K","-1.05%"
"Mar 23, 2018","341.986","325.327","341.986","321.155","0.24K","5.12%"
"Mar 22, 2018","325.327","351.299","372.935","325.132","0.56K","-7.39%"
"Mar 21, 2018","351.299","351.714","368.699","319.869","0.67K","-0.12%"
"Mar 20, 2018","351.714","339.677","359.959","336.746","0.57K","3.54%"
"Mar 19, 2018","339.677","342.743","353.483","325.808","0.39K","-0.89%"
"Mar 18, 2018","342.743","357.744","358.289","286.288","0.52K","-4.19%"
"Mar 17, 2018","357.744","400.257","403.707","348.904","0.39K","-10.62%"
"Mar 16, 2018","400.257","364.289","407.909","355.700","0.59K","9.87%"
"Mar 15, 2018","364.292","292.572","417.485","292.572","1.11K","24.51%"
"Mar 14, 2018","292.572","320.348","324.165","276.658","0.69K","-8.67%"
"Mar 13, 2018","320.348","323.175","354.779","309.745","0.32K","-0.87%"
"Mar 12, 2018","323.175","351.993","415.647","310.067","0.77K","-8.19%"
"Mar 11, 2018","351.993","336.388","361.758","321.498","0.37K","4.64%"
"Mar 10, 2018","336.388","379.153","395.314","335.835","0.84K","-11.28%"
"Mar 09, 2018","379.150","324.243","379.150","277.604","0.83K","16.93%"
"Mar 08, 2018","324.243","412.506","419.067","324.219","0.82K","-21.40%"
"Mar 07, 2018","412.512","477.873","485.320","391.923","0.57K","-13.68%"
"Mar 06, 2018","477.873","497.429","518.360","477.746","0.74K","-3.93%"
"Mar 05, 2018","497.429","469.749","499.398","469.659","0.73K","5.89%"
