"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","0.002543","0.002415","0.002562","0.002395","197.76M","5.35%"
"Jun 29, 2018","0.002414","0.002314","0.002456","0.002279","154.47M","4.03%"
"Jun 28, 2018","0.002321","0.002469","0.002483","0.002309","197.70M","-5.99%"
"Jun 27, 2018","0.002468","0.002450","0.002477","0.002409","169.24M","0.74%"
"Jun 26, 2018","0.002450","0.002539","0.002565","0.002446","202.35M","-3.51%"
"Jun 25, 2018","0.002539","0.002509","0.002595","0.002479","203.74M","1.25%"
"Jun 24, 2018","0.002508","0.002654","0.002656","0.002311","215.27M","-5.50%"
"Jun 23, 2018","0.002654","0.002607","0.002721","0.002587","168.58M","1.83%"
"Jun 22, 2018","0.002606","0.002982","0.002989","0.002592","244.67M","-12.58%"
"Jun 21, 2018","0.002982","0.002993","0.003035","0.002966","173.42M","-0.37%"
"Jun 20, 2018","0.002993","0.003017","0.003030","0.002936","117.77M","-0.81%"
"Jun 19, 2018","0.003017","0.003002","0.003060","0.002983","155.51M","0.79%"
"Jun 18, 2018","0.002993","0.002887","0.003046","0.002844","165.58M","3.69%"
"Jun 17, 2018","0.002887","0.002904","0.002916","0.002849","151.63M","-0.70%"
"Jun 16, 2018","0.002907","0.002870","0.002936","0.002843","174.44M","1.29%"
"Jun 15, 2018","0.002870","0.002968","0.002974","0.002853","156.68M","-3.29%"
"Jun 14, 2018","0.002968","0.002792","0.002996","0.002758","183.90M","6.29%"
"Jun 13, 2018","0.002792","0.003096","0.003116","0.002721","164.75M","-9.68%"
"Jun 12, 2018","0.003091","0.003235","0.003265","0.003069","146.34M","-4.44%"
"Jun 11, 2018","0.003235","0.003132","0.003261","0.003098","166.95M","3.15%"
"Jun 10, 2018","0.003136","0.003572","0.003572","0.003097","234.12M","-12.20%"
"Jun 09, 2018","0.003572","0.003662","0.003690","0.003571","133.66M","-2.50%"
"Jun 08, 2018","0.003664","0.003714","0.003736","0.003617","141.23M","-1.35%"
