"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","0.95807","0.87681","0.96034","0.86613","22.72K","10.79%"
"Jun 29, 2018","0.86480","0.82720","0.87673","0.82500","24.51K","4.57%"
"Jun 28, 2018","0.82701","0.87880","0.89447","0.82701","28.60K","-5.89%"
"Jun 27, 2018","0.87880","0.88500","0.88813","0.83413","18.83K","-0.70%"
"Jun 26, 2018","0.88500","0.92378","0.92378","0.85760","14.48K","-4.20%"
"Jun 25, 2018","0.92378","0.88020","0.92500","0.86130","39.38K","4.96%"
"Jun 24, 2018","0.88010","0.94976","0.94976","0.81010","150.08K","-7.33%"
"Jun 23, 2018","0.94976","0.99435","1.01860","0.93482","70.15K","-3.11%"
"Jun 22, 2018","0.98020","1.09250","1.11240","0.98020","195.79K","-10.29%"
"Jun 21, 2018","1.09260","1.07500","1.11000","1.06500","71.67K","1.64%"
"Jun 20, 2018","1.07500","1.09980","1.09980","1.04620","25.89K","-2.25%"
"Jun 19, 2018","1.09980","1.07170","1.09990","1.06280","20.50K","2.62%"
"Jun 18, 2018","1.07170","1.05010","1.09570","1.02650","54.58K","2.07%"
"Jun 17, 2018","1.05000","1.08060","1.09930","1.05000","11.16K","-2.83%"
"Jun 16, 2018","1.08060","1.12160","1.12160","1.05000","132.83K","-3.66%"
"Jun 15, 2018","1.12160","1.14000","1.16590","1.08100","32.85K","-3.91%"
"Jun 14, 2018","1.16720","1.09300","1.16950","1.07100","65.27K","9.05%"
"Jun 13, 2018","1.07030","1.08700","1.09380","1.05000","150.72K","-1.54%"
"Jun 12, 2018","1.08700","1.15320","1.17750","1.07000","73.22K","-7.68%"
"Jun 11, 2018","1.17740","1.20000","1.20000","1.11200","35.48K","-2.21%"
"Jun 10, 2018","1.20400","1.40150","1.44650","1.12000","261.54K","-14.09%"
"Jun 09, 2018","1.40150","1.43510","1.48220","1.40150","20.02K","-3.97%"
"Jun 08, 2018","1.45950","1.53190","1.53190","1.42630","19.17K","-4.73%"
"Jun 07, 2018","1.53190","1.48030","1.54040","1.47530","31.57K","3.84%"
"Jun 06, 2018","1.47530","1.46950","1.51210","1.43310","32.08K","-2.58%"
"Jun 05, 2018","1.51430","1.46230","1.51480","1.38030","86.73K","4.69%"
"Jun 04, 2018","1.44640","1.54420","1.58600","1.44200","38.73K","-6.33%"
"Jun 03, 2018","1.54420","1.56100","1.60470","1.54260","44.66K","-1.08%"
"Jun 02, 2018","1.56100","1.52540","1.58720","1.50640","89.47K","2.33%"
"Jun 01, 2018","1.52540","1.55400","1.55400","1.47020","37.73K","-0.36%"
"May 31, 2018","1.53090","1.39120","1.59700","1.37150","152.47K","10.04%"
"May 30, 2018","1.39120","1.45150","1.50030","1.39110","18.46K","-5.60%"
"May 29, 2018","1.47370","1.34100","1.47520","1.31000","96.48K","9.90%"
"May 28, 2018","1.34100","1.42510","1.45520","1.31000","56.94K","-5.90%"
"May 27, 2018","1.42510","1.41130","1.43020","1.40000","26.48K","-0.31%"
"May 26, 2018","1.42960","1.45030","1.49870","1.41030","40.54K","-1.43%"
"May 25, 2018","1.45030","1.50030","1.51530","1.42540","67.27K","-3.31%"
"May 24, 2018","1.50000","1.40050","1.50000","1.37000","88.72K","6.94%"
"May 23, 2018","1.40260","1.60580","1.64870","1.40000","291.92K","-12.65%"
"May 22, 2018","1.60580","1.76330","1.76420","1.55700","171.63K","-8.93%"
"May 21, 2018","1.76330","1.87030","1.87520","1.76260","149.24K","-5.72%"
"May 20, 2018","1.87030","1.79030","1.90000","1.76660","420.06K","4.47%"
"May 19, 2018","1.79030","1.76210","1.80390","1.73550","71.47K","1.60%"
"May 18, 2018","1.76210","1.67370","1.78900","1.62030","70.10K","5.28%"
"May 17, 2018","1.67370","1.80750","1.86070","1.67370","96.97K","-7.40%"
"May 16, 2018","1.80750","1.87470","1.87470","1.73930","68.39K","-3.36%"
"May 15, 2018","1.87030","1.98600","2.07440","1.85030","107.07K","-5.83%"
"May 14, 2018","1.98600","1.94310","2.09900","1.82620","163.51K","2.21%"
"May 13, 2018","1.94310","1.87980","1.96480","1.78000","631.55K","3.64%"
"May 12, 2018","1.87480","1.79500","1.92200","1.70860","189.33K","4.45%"
"May 11, 2018","1.79500","2.00610","2.00610","1.74040","279.85K","-10.52%"
"May 10, 2018","2.00610","2.22320","2.22320","1.98050","139.06K","-9.77%"
"May 09, 2018","2.22320","2.25680","2.28470","2.12000","138.07K","-1.49%"
"May 08, 2018","2.25680","2.38960","2.43480","2.12760","851.63K","-7.99%"
"May 07, 2018","2.45290","2.51980","2.54020","2.25300","343.24K","-2.65%"
"May 06, 2018","2.51980","2.63760","2.69540","2.44220","53.55K","-4.47%"
"May 05, 2018","2.63760","2.65480","2.69600","2.59310","90.31K","-0.65%"
"May 04, 2018","2.65480","2.70550","2.74400","2.50520","199.52K","-1.87%"
"May 03, 2018","2.70550","2.75700","2.80000","2.70550","92.26K","-1.87%"
"May 02, 2018","2.75700","2.70250","2.79190","2.63010","127.77K","2.02%"
"May 01, 2018","2.70250","2.65480","2.74530","2.51840","179.85K","1.80%"
"Apr 30, 2018","2.65480","2.70840","2.87700","2.52820","424.13K","-1.98%"
"Apr 29, 2018","2.70840","2.43600","2.81000","2.43600","378.32K","11.18%"
"Apr 28, 2018","2.43600","2.25000","2.50910","2.24960","276.18K","8.21%"
"Apr 27, 2018","2.25110","2.34700","2.34700","2.21600","204.49K","-4.09%"
"Apr 26, 2018","2.34700","2.13100","2.36770","2.08270","635.97K","10.14%"
"Apr 25, 2018","2.13100","2.56280","2.56280","2.06000","403.87K","-16.46%"
"Apr 24, 2018","2.55100","2.31940","2.58470","2.29760","263.99K","9.99%"
"Apr 23, 2018","2.31940","2.26910","2.40000","2.23920","145.54K","2.22%"
"Apr 22, 2018","2.26910","2.08920","2.51930","2.03390","797.90K","8.61%"
"Apr 21, 2018","2.08920","2.16000","2.19370","1.88530","215.12K","-3.28%"
"Apr 20, 2018","2.16000","2.07990","2.25000","1.98170","288.97K","3.85%"
"Apr 19, 2018","2.07990","1.96040","2.13030","1.94040","270.26K","6.10%"
"Apr 18, 2018","1.96040","1.83310","1.99490","1.81330","133.15K","6.94%"
"Apr 17, 2018","1.83310","1.84010","1.89890","1.78740","110.06K","-0.38%"
"Apr 16, 2018","1.84010","1.89930","1.92800","1.76050","131.33K","-2.57%"
"Apr 15, 2018","1.88870","1.77430","1.89920","1.76050","105.18K","6.45%"
"Apr 14, 2018","1.77430","1.71000","1.81000","1.66000","127.26K","3.76%"
