"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","0.62705","0.54033","0.62812","0.53935","3.05M","16.09%"
"Jun 29, 2018","0.54012","0.49144","0.54737","0.47442","2.23M","9.93%"
"Jun 28, 2018","0.49135","0.54283","0.55093","0.48487","1.90M","-9.48%"
"Jun 27, 2018","0.54283","0.50602","0.56432","0.49166","2.63M","7.31%"
"Jun 26, 2018","0.50584","0.51900","0.56669","0.50412","2.63M","-2.40%"
"Jun 25, 2018","0.51828","0.50237","0.56255","0.48439","2.72M","3.45%"
"Jun 24, 2018","0.50102","0.53337","0.53741","0.44765","3.00M","-6.33%"
"Jun 23, 2018","0.53487","0.53225","0.56927","0.50847","2.08M","0.49%"
"Jun 22, 2018","0.53225","0.65184","0.65961","0.51257","3.31M","-18.28%"
"Jun 21, 2018","0.65128","0.68530","0.70518","0.64527","2.04M","-4.76%"
"Jun 20, 2018","0.68382","0.68381","0.70856","0.64995","1.96M","0.00%"
"Jun 19, 2018","0.68381","0.70834","0.71861","0.67087","3.27M","-3.54%"
"Jun 18, 2018","0.70890","0.67383","0.70936","0.62781","1.82M","5.37%"
"Jun 17, 2018","0.67279","0.70466","0.71611","0.67075","1.63M","-4.45%"
"Jun 16, 2018","0.70410","0.67833","0.72385","0.67516","1.93M","3.80%"
"Jun 15, 2018","0.67833","0.68480","0.74576","0.66460","2.25M","-0.81%"
"Jun 14, 2018","0.68384","0.65611","0.71052","0.64005","2.35M","4.17%"
"Jun 13, 2018","0.65647","0.67727","0.69617","0.60957","2.41M","-3.07%"
"Jun 12, 2018","0.67727","0.78729","0.79112","0.66132","2.41M","-13.76%"
"Jun 11, 2018","0.78533","0.78753","0.79626","0.72007","2.44M","-0.30%"
"Jun 10, 2018","0.78770","0.92893","0.92893","0.74292","3.04M","-15.20%"
"Jun 09, 2018","0.92893","0.99839","1.01459","0.92893","1.97M","-6.95%"
"Jun 08, 2018","0.99835","1.04465","1.06691","0.98521","2.24M","-4.43%"
"Jun 07, 2018","1.04465","1.02332","1.08323","1.02114","2.04M","2.08%"
"Jun 06, 2018","1.02336","1.05943","1.06360","0.99404","2.49M","-3.31%"
"Jun 05, 2018","1.05844","1.02505","1.07167","0.98014","2.52M","3.18%"
"Jun 04, 2018","1.02583","1.12277","1.14825","1.00181","2.64M","-8.63%"
"Jun 03, 2018","1.12277","1.11672","1.16605","1.10789","2.50M","0.46%"
"Jun 02, 2018","1.11766","1.07123","1.17236","1.05530","3.19M","4.33%"
"Jun 01, 2018","1.07123","1.03228","1.07765","1.01079","2.31M","4.16%"
"May 31, 2018","1.02844","1.00130","1.07308","0.98426","2.44M","2.66%"
"May 30, 2018","1.00174","0.97699","1.02173","0.93618","2.39M","2.53%"
"May 29, 2018","0.97699","0.88033","1.01382","0.85519","2.89M","10.65%"
"May 28, 2018","0.88292","1.00768","1.04475","0.88034","2.44M","-12.12%"
"May 27, 2018","1.00466","1.01298","1.01939","0.98763","1.84M","-0.82%"
"May 26, 2018","1.01298","1.01730","1.05794","1.00202","2.13M","-0.42%"
"May 25, 2018","1.01730","1.06179","1.06179","0.98976","2.32M","-4.19%"
"May 24, 2018","1.06179","0.97580","1.07803","0.95483","3.44M","8.81%"
"May 23, 2018","0.97580","1.15554","1.17811","0.96433","3.34M","-15.93%"
"May 22, 2018","1.16074","1.28607","1.28607","1.14812","2.45M","-9.57%"
"May 21, 2018","1.28363","1.36322","1.36708","1.24809","3.95M","-5.84%"
"May 20, 2018","1.36322","1.31458","1.42316","1.30208","4.20M","3.69%"
"May 19, 2018","1.31465","1.17558","1.39032","1.13760","6.84M","11.83%"
"May 18, 2018","1.17558","1.17107","1.21231","1.11317","2.65M","0.29%"
"May 17, 2018","1.17216","1.27753","1.35144","1.15912","3.29M","-8.25%"
"May 16, 2018","1.27753","1.36467","1.40546","1.24493","3.14M","-6.41%"
"May 15, 2018","1.36502","1.39917","1.60289","1.33771","4.15M","-2.37%"
"May 14, 2018","1.39813","1.44108","1.44977","1.29360","2.86M","-2.98%"
"May 13, 2018","1.44108","1.30267","1.49155","1.26702","3.03M","10.92%"
"May 12, 2018","1.29920","1.39203","1.45079","1.18137","5.07M","-6.67%"
"May 11, 2018","1.39203","1.59943","1.75843","1.38524","5.68M","-12.97%"
"May 10, 2018","1.59943","1.58603","1.84746","1.55602","4.51M","1.18%"
"May 09, 2018","1.58085","1.53219","1.66156","1.40395","3.11M","2.97%"
"May 08, 2018","1.53523","1.59232","1.60097","1.49308","2.53M","-5.14%"
"May 07, 2018","1.61841","1.72259","1.72265","1.49794","3.40M","-5.80%"
"May 06, 2018","1.71804","1.81298","1.81407","1.53424","3.52M","-6.82%"
"May 05, 2018","1.84388","1.71750","1.86015","1.67155","3.66M","7.29%"
"May 04, 2018","1.71865","1.85253","1.85253","1.65170","3.64M","-6.96%"
"May 03, 2018","1.84716","1.99507","2.00332","1.78644","3.80M","-7.06%"
"May 02, 2018","1.98741","2.09018","2.12212","1.90269","4.85M","-4.92%"
"May 01, 2018","2.09018","1.88660","2.13503","1.62072","9.47M","10.79%"
"Apr 30, 2018","1.88660","1.79583","2.11988","1.79583","10.39M","5.05%"
"Apr 29, 2018","1.79583","1.53852","1.79984","1.45204","7.96M","16.72%"
"Apr 28, 2018","1.53852","1.16025","1.60168","1.14098","7.29M","32.60%"
"Apr 27, 2018","1.16025","1.15506","1.21309","1.12826","3.02M","0.45%"
"Apr 26, 2018","1.15506","1.01928","1.16913","0.98657","3.12M","13.13%"
"Apr 25, 2018","1.02098","1.20973","1.21601","1.00083","3.51M","-15.60%"
"Apr 24, 2018","1.20973","1.16092","1.27923","1.15689","4.23M","4.20%"
"Apr 23, 2018","1.16092","1.17472","1.21159","1.15345","2.42M","-1.17%"
"Apr 22, 2018","1.17472","1.08463","1.28628","1.06588","2.77M","8.31%"
"Apr 21, 2018","1.08463","1.18764","1.18935","1.00227","2.78M","-8.67%"
"Apr 20, 2018","1.18764","1.14660","1.19731","1.09509","3.13M","3.58%"
"Apr 19, 2018","1.14660","1.06331","1.17136","1.06331","2.69M","7.83%"
"Apr 18, 2018","1.06331","0.99231","1.06504","0.98914","1.40M","7.15%"
"Apr 17, 2018","0.99231","1.02211","1.05863","0.98285","1.52M","-2.92%"
"Apr 16, 2018","1.02211","1.00357","1.03656","0.97047","1.60M","1.85%"
"Apr 15, 2018","1.00357","0.96037","1.02884","0.96035","1.44M","4.02%"
"Apr 14, 2018","0.96474","0.99395","1.03807","0.92653","1.90M","-2.94%"
"Apr 13, 2018","0.99395","1.05264","1.18130","0.98309","3.94M","-5.26%"
"Apr 12, 2018","1.04915","0.89183","1.27919","0.88915","4.88M","17.64%"
"Apr 11, 2018","0.89183","0.84788","0.92528","0.78233","2.33M","5.18%"
"Apr 10, 2018","0.84788","0.58776","0.88458","0.58558","2.79M","44.26%"
"Apr 09, 2018","0.58776","0.61428","0.65648","0.58011","1.67M","-4.32%"
"Apr 08, 2018","0.61428","0.61301","0.66067","0.61284","1.49M","0.21%"
"Apr 07, 2018","0.61301","0.52685","0.63987","0.52685","1.77M","16.35%"
"Apr 06, 2018","0.52685","0.53243","0.56183","0.51181","1.28M","-1.05%"
