"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","8.1191","7.7582","8.2867","7.7582","25.27M","4.65%"
"Jun 29, 2018","7.7582","7.3798","7.9039","7.1013","26.33M","5.13%"
"Jun 28, 2018","7.3798","7.9930","8.0483","7.3190","22.82M","-7.68%"
"Jun 27, 2018","7.9934","7.3781","8.2427","7.2797","27.08M","8.27%"
"Jun 26, 2018","7.3828","8.1763","8.2550","7.3617","26.82M","-9.70%"
"Jun 25, 2018","8.1761","7.9975","8.4856","7.6815","30.84M","2.23%"
"Jun 24, 2018","7.9980","8.3482","8.4034","6.9217","62.31M","-4.19%"
"Jun 23, 2018","8.3477","8.5355","8.7508","8.0274","23.49M","-2.21%"
"Jun 22, 2018","8.5363","10.4088","10.4354","8.2785","45.29M","-18.00%"
"Jun 21, 2018","10.4099","10.4203","10.8354","10.2370","14.45M","-0.13%"
"Jun 20, 2018","10.4230","10.7064","10.7700","10.1985","16.06M","-2.67%"
"Jun 19, 2018","10.7091","10.6851","10.8661","10.4436","14.75M","0.23%"
"Jun 18, 2018","10.6845","10.3244","10.8534","10.1399","16.09M","3.50%"
"Jun 17, 2018","10.3229","10.5373","10.7037","10.2830","11.63M","-2.03%"
"Jun 16, 2018","10.5373","10.5104","10.7933","10.1941","19.12M","0.25%"
"Jun 15, 2018","10.5108","11.2100","11.2294","10.3750","26.56M","-6.17%"
"Jun 14, 2018","11.2020","10.0094","11.5889","9.4657","42.37M","11.92%"
"Jun 13, 2018","10.0093","10.0156","10.3187","9.1316","40.35M","-0.06%"
"Jun 12, 2018","10.0156","11.3228","11.3385","9.6797","31.96M","-11.55%"
"Jun 11, 2018","11.3235","11.0376","11.4589","10.3890","42.39M","2.59%"
"Jun 10, 2018","11.0376","14.0521","14.0521","10.0892","67.48M","-21.45%"
"Jun 09, 2018","14.0517","13.9827","14.9481","13.9518","23.80M","0.50%"
"Jun 08, 2018","13.9823","14.6355","14.8067","13.5495","24.54M","-4.40%"
"Jun 07, 2018","14.6266","13.9024","14.6480","13.6644","19.03M","5.20%"
"Jun 06, 2018","13.9030","14.1584","14.2626","13.3622","19.04M","-1.76%"
"Jun 05, 2018","14.1527","13.4674","14.2198","12.8215","30.99M","5.09%"
"Jun 04, 2018","13.4678","14.5358","14.8411","13.2411","28.13M","-7.35%"
"Jun 03, 2018","14.5355","14.7661","15.4215","14.2845","29.96M","-1.56%"
"Jun 02, 2018","14.7664","12.2155","15.5607","12.1232","58.64M","20.88%"
"Jun 01, 2018","12.2159","12.2479","12.4096","11.9060","21.73M","-0.24%"
"May 31, 2018","12.2458","11.8942","12.7209","11.8463","22.22M","2.96%"
"May 30, 2018","11.8932","12.1206","12.5644","11.7226","24.41M","-1.82%"
"May 29, 2018","12.1139","11.5023","12.4465","10.7153","42.80M","5.32%"
"May 28, 2018","11.5018","12.4343","12.9129","11.3400","34.78M","-7.50%"
"May 27, 2018","12.4341","12.2271","12.5158","11.9685","18.31M","1.69%"
"May 26, 2018","12.2271","12.1732","12.8163","11.8360","22.41M","0.44%"
"May 25, 2018","12.1737","12.7482","12.7732","11.5812","34.49M","-4.54%"
"May 24, 2018","12.7528","10.6646","12.8899","10.3400","48.52M","19.59%"
"May 23, 2018","10.6634","12.1142","12.3367","10.4980","46.39M","-11.98%"
"May 22, 2018","12.1153","13.4111","13.4498","12.0224","21.74M","-9.66%"
"May 21, 2018","13.4113","13.9485","14.1402","13.1947","17.89M","-3.85%"
"May 20, 2018","13.9483","13.1162","14.1891","12.9317","20.33M","6.26%"
"May 19, 2018","13.1264","12.8928","13.4037","12.4677","20.44M","1.81%"
"May 18, 2018","12.8935","12.2446","13.1543","11.9368","31.25M","5.30%"
"May 17, 2018","12.2448","12.6572","13.9119","12.0327","37.76M","-3.26%"
"May 16, 2018","12.6571","12.8345","13.0746","11.8666","33.04M","-1.38%"
"May 15, 2018","12.8344","13.7945","14.3388","12.4558","28.04M","-6.90%"
"May 14, 2018","13.7861","14.6084","14.7262","12.9860","35.37M","-5.63%"
"May 13, 2018","14.6092","13.9764","15.0568","13.4691","30.65M","4.26%"
"May 12, 2018","14.0118","14.7911","15.1036","12.0712","66.81M","-4.96%"
"May 11, 2018","14.7423","17.3352","17.6548","14.2883","62.48M","-15.00%"
"May 10, 2018","17.3446","17.7981","18.7319","17.3347","20.59M","-2.52%"
"May 09, 2018","17.7935","17.9744","18.0663","17.0597","15.92M","-0.95%"
"May 08, 2018","17.9648","18.2877","18.8263","17.7003","19.14M","0.34%"
"May 07, 2018","17.9035","17.3928","18.4842","16.6551","27.58M","2.94%"
"May 06, 2018","17.3916","17.7033","17.9001","16.6019","19.73M","-2.17%"
"May 05, 2018","17.7768","17.0492","18.6161","17.0279","21.93M","4.22%"
"May 04, 2018","17.0572","17.6667","18.0206","16.3223","26.30M","-3.49%"
"May 03, 2018","17.6743","19.2400","19.3432","16.8886","34.79M","-8.13%"
"May 02, 2018","19.2378","18.7409","19.5115","18.1986","32.03M","2.61%"
"May 01, 2018","18.7492","17.4544","19.0428","15.9420","43.65M","7.42%"
"Apr 30, 2018","17.4544","21.4721","21.6421","16.5599","55.90M","-18.50%"
"Apr 29, 2018","21.4178","18.7787","22.9794","18.7722","57.98M","13.99%"
"Apr 28, 2018","18.7888","16.5866","19.4881","16.4608","40.17M","13.36%"
"Apr 27, 2018","16.5749","15.4229","17.8702","14.9278","40.89M","7.21%"
"Apr 26, 2018","15.4596","14.4356","15.5112","13.8888","30.67M","7.12%"
"Apr 25, 2018","14.4316","15.1329","15.4762","13.3912","65.03M","-4.68%"
"Apr 24, 2018","15.1404","11.6093","16.0038","11.6021","62.97M","30.43%"
"Apr 23, 2018","11.6078","11.3038","11.8681","11.2516","16.24M","2.69%"
"Apr 22, 2018","11.3038","11.1064","11.8509","10.7488","29.74M","1.78%"
"Apr 21, 2018","11.1064","11.4446","11.6050","10.2381","32.66M","-2.95%"
"Apr 20, 2018","11.4445","9.4823","11.6448","9.4823","43.20M","20.92%"
"Apr 19, 2018","9.4645","9.0491","9.4645","8.9405","16.43M","4.60%"
"Apr 18, 2018","9.0483","8.4894","9.3255","8.4620","17.59M","6.49%"
"Apr 17, 2018","8.4971","8.1155","9.0679","8.0866","26.81M","4.70%"
"Apr 16, 2018","8.1156","8.5215","8.5252","7.8121","17.30M","-4.76%"
"Apr 15, 2018","8.5216","8.7225","8.8082","7.8428","26.89M","-2.28%"
"Apr 14, 2018","8.7201","8.8177","9.0475","8.1058","25.37M","-1.06%"
"Apr 13, 2018","8.8134","8.8316","9.5062","8.6259","31.97M","-0.21%"
"Apr 12, 2018","8.8316","8.5272","9.2502","7.8693","57.17M","3.42%"
"Apr 11, 2018","8.5392","5.9877","8.8652","5.9758","58.97M","42.61%"
"Apr 10, 2018","5.9878","5.8578","6.0669","5.7686","9.02M","2.22%"
"Apr 09, 2018","5.8578","5.9783","6.0716","5.7699","9.65M","-1.90%"
"Apr 08, 2018","5.9709","5.8877","6.0117","5.8371","5.23M","1.41%"
"Apr 07, 2018","5.8877","5.8306","5.9956","5.7917","7.55M","0.98%"
"Apr 06, 2018","5.8307","6.3138","6.3613","5.6912","17.16M","-7.60%"
"Apr 05, 2018","6.3100","5.6608","6.3981","5.4298","20.22M","11.38%"
"Apr 04, 2018","5.6653","6.0272","6.0568","5.5215","10.57M","-6.01%"
"Apr 03, 2018","6.0274","5.8134","6.1256","5.7344","11.07M","3.68%"
"Apr 02, 2018","5.8134","5.5956","5.8827","5.4948","12.83M","3.89%"
"Apr 01, 2018","5.5956","5.9305","5.9982","5.1493","21.43M","-5.58%"
"Mar 31, 2018","5.9264","6.0168","6.1488","5.8852","10.23M","-1.50%"
"Mar 30, 2018","6.0168","5.8821","6.1660","5.7389","22.62M","2.29%"
"Mar 29, 2018","5.8821","6.1996","6.2857","5.7974","24.80M","-5.12%"
"Mar 28, 2018","6.1996","5.8026","6.4546","5.6500","21.81M","6.78%"
"Mar 27, 2018","5.8061","5.7944","6.4842","5.2071","36.58M","0.20%"
"Mar 26, 2018","5.7946","6.4410","6.5015","5.2994","28.57M","-10.04%"
"Mar 25, 2018","6.4410","6.5146","6.6694","6.3746","11.34M","-1.17%"
"Mar 24, 2018","6.5170","6.9411","7.0493","6.4996","12.96M","-6.11%"
"Mar 23, 2018","6.9411","6.8959","7.0302","6.2671","23.44M","0.66%"
"Mar 22, 2018","6.8956","6.8749","7.2233","6.1576","30.83M","0.21%"
"Mar 21, 2018","6.8808","5.9449","7.1868","5.8796","30.92M","15.70%"
"Mar 20, 2018","5.9470","6.1535","6.3175","5.3765","32.73M","-3.37%"
"Mar 19, 2018","6.1546","4.6056","6.2135","4.5181","30.70M","33.75%"
"Mar 18, 2018","4.6018","4.6315","4.7204","3.8953","24.53M","-0.69%"
"Mar 17, 2018","4.6336","5.0417","5.0932","4.5834","9.19M","-8.15%"
"Mar 16, 2018","5.0448","5.1181","5.3320","4.8962","11.67M","-1.44%"
"Mar 15, 2018","5.1184","5.2752","5.3133","4.8074","19.91M","-2.88%"
"Mar 14, 2018","5.2702","5.7973","5.9280","5.1655","13.17M","-9.08%"
"Mar 13, 2018","5.7966","5.7403","5.9330","5.5973","11.26M","0.98%"
"Mar 12, 2018","5.7404","6.0319","6.1545","5.6011","10.65M","-4.83%"
"Mar 11, 2018","6.0319","5.6854","6.1749","5.4802","14.33M","6.10%"
"Mar 10, 2018","5.6854","5.9992","6.4147","5.6649","14.95M","-5.39%"
"Mar 09, 2018","6.0090","6.0894","6.1550","5.2656","24.07M","-1.32%"
"Mar 08, 2018","6.0894","6.3899","6.6746","5.9482","16.05M","-4.60%"
"Mar 07, 2018","6.3827","7.1492","7.2820","5.9960","21.60M","-10.72%"
"Mar 06, 2018","7.1492","7.9617","7.9617","7.0190","10.58M","-10.22%"
"Mar 05, 2018","7.9634","8.1529","8.2676","7.9630","4.87M","-2.27%"
"Mar 04, 2018","8.1480","7.9200","8.1570","7.7312","5.73M","2.88%"
"Mar 03, 2018","7.9200","8.0068","8.2537","7.8741","4.18M","-1.26%"
"Mar 02, 2018","8.0215","8.5456","8.6556","7.9294","6.96M","-6.05%"
"Mar 01, 2018","8.5383","8.2077","8.5383","8.1395","6.10M","4.03%"
"Feb 28, 2018","8.2075","8.3782","9.1053","8.1934","11.23M","-2.10%"
"Feb 27, 2018","8.3839","7.9798","8.8003","7.8699","12.25M","5.09%"
"Feb 26, 2018","7.9780","7.7126","8.3570","7.4588","9.83M","3.44%"
"Feb 25, 2018","7.7123","7.9343","7.9785","7.5203","7.11M","-2.85%"
"Feb 24, 2018","7.9387","8.2590","8.4720","7.7011","9.15M","-3.91%"
"Feb 23, 2018","8.2620","7.7967","8.5213","7.6609","10.26M","5.97%"
"Feb 22, 2018","7.7967","8.3135","8.6429","7.6408","11.88M","-6.22%"
"Feb 21, 2018","8.3138","8.8888","8.9387","8.0899","10.58M","-6.58%"
"Feb 20, 2018","8.8995","9.4800","9.8254","8.7893","7.53M","-6.12%"
"Feb 19, 2018","9.4800","9.0774","9.6412","9.0583","5.94M","4.43%"
"Feb 18, 2018","9.0775","9.9797","10.0483","8.9243","11.22M","-9.04%"
"Feb 17, 2018","9.9798","9.8333","10.0169","9.7300","7.29M","1.51%"
"Feb 16, 2018","9.8315","9.8628","9.9504","9.3623","6.98M","-0.38%"
"Feb 15, 2018","9.8692","9.8277","10.0632","9.3694","10.56M","0.35%"
"Feb 14, 2018","9.8348","8.9293","9.8830","8.9177","12.25M","10.14%"
"Feb 13, 2018","8.9294","9.1170","9.1698","8.6367","7.59M","-2.06%"
"Feb 12, 2018","9.1169","8.3334","9.2503","8.3334","10.16M","9.40%"
"Feb 11, 2018","8.3334","8.9259","8.9444","8.0200","11.02M","-6.64%"
"Feb 10, 2018","8.9259","9.5135","9.8672","8.4566","14.03M","-6.14%"
"Feb 09, 2018","9.5095","8.3564","9.5708","7.9822","13.05M","13.78%"
"Feb 08, 2018","8.3581","7.6881","8.7234","7.6881","13.23M","8.64%"
"Feb 07, 2018","7.6936","8.2833","8.9788","7.5150","21.06M","-7.12%"
"Feb 06, 2018","8.2833","7.0674","8.4253","5.8914","38.46M","16.98%"
"Feb 05, 2018","7.0812","8.9420","9.2968","6.9107","22.75M","-20.78%"
"Feb 04, 2018","8.9385","10.6254","10.8599","8.6698","13.65M","-15.78%"
"Feb 03, 2018","10.6134","10.3069","11.2573","9.2747","12.04M","3.06%"
"Feb 02, 2018","10.2983","10.1395","11.0993","8.6002","24.02M","1.57%"
"Feb 01, 2018","10.1395","12.0082","12.1831","9.8407","16.96M","-15.56%"
"Jan 31, 2018","12.0082","11.3712","12.1794","10.3804","13.30M","5.60%"
"Jan 30, 2018","11.3710","13.5652","13.5954","11.0405","15.19M","-16.08%"
"Jan 29, 2018","13.5500","14.7580","14.8500","13.3200","6.30M","-8.19%"
"Jan 28, 2018","14.7590","14.3800","14.9600","14.1300","6.03M","2.58%"
"Jan 27, 2018","14.3880","14.2410","14.7000","13.8660","5.02M","1.05%"
"Jan 26, 2018","14.2390","14.2510","14.7670","12.8810","10.38M","-0.08%"
"Jan 25, 2018","14.2510","13.9500","15.1000","13.4860","12.58M","2.03%"
"Jan 24, 2018","13.9680","12.8760","13.9680","12.5000","8.35M","8.46%"
