"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","16.1832","15.2815","16.7987","15.2815","3.29M","5.90%"
"Jun 29, 2018","15.2818","14.5745","15.5360","14.2734","2.71M","4.78%"
"Jun 28, 2018","14.5852","15.4805","15.6795","14.4301","2.32M","-5.78%"
"Jun 27, 2018","15.4794","14.8789","15.6157","14.2085","3.29M","4.04%"
"Jun 26, 2018","14.8789","15.8267","15.9079","14.8148","2.85M","-5.99%"
"Jun 25, 2018","15.8271","14.8178","16.0130","14.6280","3.75M","6.81%"
"Jun 24, 2018","14.8178","14.7972","15.2478","13.1950","4.94M","0.14%"
"Jun 23, 2018","14.7971","14.4926","15.1045","14.1770","2.68M","2.14%"
"Jun 22, 2018","14.4877","17.5802","17.6120","14.1598","7.73M","-17.60%"
"Jun 21, 2018","17.5812","17.2977","17.8280","16.5940","4.67M","1.64%"
"Jun 20, 2018","17.2977","15.5900","17.3786","14.8507","3.91M","10.96%"
"Jun 19, 2018","15.5890","15.1052","15.8923","15.0270","3.11M","3.20%"
"Jun 18, 2018","15.1052","14.2272","15.4703","14.0233","2.68M","6.16%"
"Jun 17, 2018","14.2286","14.4364","14.6081","14.1608","1.19M","-1.46%"
"Jun 16, 2018","14.4390","13.8398","14.7951","13.7887","2.65M","4.33%"
"Jun 15, 2018","13.8397","14.0390","14.0835","13.6049","1.98M","-1.42%"
"Jun 14, 2018","14.0390","13.8220","14.3215","13.1993","3.72M","1.53%"
"Jun 13, 2018","13.8268","14.7641","14.8687","12.9284","5.17M","-6.33%"
"Jun 12, 2018","14.7611","12.9085","16.2506","12.7743","10.65M","14.36%"
"Jun 11, 2018","12.9081","12.5935","13.0110","12.2239","1.93M","2.50%"
"Jun 10, 2018","12.5935","15.0265","15.0350","12.0890","3.19M","-16.27%"
"Jun 09, 2018","15.0398","15.3675","15.4969","14.9776","734.42K","-2.14%"
"Jun 08, 2018","15.3694","15.2225","15.5809","15.0675","1.07M","0.97%"
"Jun 07, 2018","15.2222","15.1720","15.4482","15.0907","799.60K","0.34%"
"Jun 06, 2018","15.1712","15.4869","15.7612","14.9250","906.22K","-2.03%"
"Jun 05, 2018","15.4858","15.2390","15.5521","14.8153","989.39K","1.62%"
"Jun 04, 2018","15.2390","16.2010","16.3556","15.1126","1.43M","-5.93%"
"Jun 03, 2018","16.2004","15.7851","16.4016","15.7648","1.31M","2.60%"
"Jun 02, 2018","15.7903","15.4694","16.0717","15.3026","1.37M","2.09%"
"Jun 01, 2018","15.4676","15.2988","15.5061","15.1139","1.03M","1.11%"
"May 31, 2018","15.2982","15.1797","15.5175","15.0121","1.01M","0.78%"
"May 30, 2018","15.1795","15.1613","15.4749","14.7233","1.08M","0.15%"
"May 29, 2018","15.1570","14.3146","15.4524","14.0961","1.35M","5.90%"
"May 28, 2018","14.3129","15.1878","15.5156","14.1958","1.39M","-5.75%"
"May 27, 2018","15.1864","15.2718","15.3621","14.9950","881.12K","-0.55%"
"May 26, 2018","15.2709","15.1312","15.7520","14.9941","861.49K","0.92%"
"May 25, 2018","15.1312","15.7525","15.9073","14.7463","1.01M","-3.94%"
"May 24, 2018","15.7524","14.7980","15.7565","14.3199","1.66M","6.46%"
"May 23, 2018","14.7967","16.4415","16.6215","14.4832","2.12M","-9.99%"
"May 22, 2018","16.4389","17.5775","17.6450","16.3599","1.06M","-6.48%"
"May 21, 2018","17.5781","18.1801","18.2339","17.5273","753.91K","-3.31%"
"May 20, 2018","18.1801","17.6803","18.3354","17.5183","1.06M","2.83%"
"May 19, 2018","17.6793","17.9633","18.1005","17.4831","1.30M","-1.65%"
"May 18, 2018","17.9763","16.9391","18.1456","16.6580","1.95M","6.15%"
"May 17, 2018","16.9345","17.6410","18.3268","16.6685","1.79M","-4.00%"
"May 16, 2018","17.6410","18.1050","18.2594","16.9011","2.22M","-2.57%"
"May 15, 2018","18.1072","18.6596","19.8195","18.0768","2.49M","-2.96%"
"May 14, 2018","18.6602","18.6713","19.1246","17.3835","2.35M","-0.06%"
