"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","0.010701","0.009900","0.010820","0.009663","2.05M","10.74%"
"Jun 29, 2018","0.009663","0.009150","0.011879","0.008801","1.86M","5.60%"
"Jun 28, 2018","0.009150","0.009068","0.009523","0.008709","968.20K","0.91%"
"Jun 27, 2018","0.009068","0.009550","0.009795","0.008973","1.31M","-4.48%"
"Jun 26, 2018","0.009493","0.009756","0.009990","0.009174","2.43M","-3.67%"
"Jun 25, 2018","0.009854","0.010196","0.010241","0.009504","1.07M","0.32%"
"Jun 24, 2018","0.009823","0.010158","0.010380","0.008294","4.10M","-3.02%"
"Jun 23, 2018","0.010129","0.010033","0.013000","0.009871","1.76M","0.96%"
"Jun 22, 2018","0.010033","0.012180","0.012334","0.009650","3.33M","-17.63%"
"Jun 21, 2018","0.012180","0.012299","0.012707","0.012100","890.35K","-0.97%"
"Jun 20, 2018","0.012299","0.012000","0.012900","0.010900","2.35M","2.64%"
"Jun 19, 2018","0.011983","0.013108","0.013380","0.011700","1.56M","-9.90%"
"Jun 18, 2018","0.013300","0.012914","0.013442","0.012500","796.56K","2.26%"
"Jun 17, 2018","0.013007","0.013000","0.013534","0.012870","189.74K","0.05%"
"Jun 16, 2018","0.013000","0.013000","0.013900","0.012700","750.79K","0.00%"
"Jun 15, 2018","0.013000","0.014473","0.014473","0.013000","868.31K","-7.14%"
"Jun 14, 2018","0.014000","0.012851","0.014900","0.012851","1.37M","8.94%"
"Jun 13, 2018","0.012851","0.014206","0.014877","0.012000","2.89M","-9.53%"
"Jun 12, 2018","0.014206","0.015747","0.015809","0.014000","3.63M","-8.66%"
"Jun 11, 2018","0.015552","0.015762","0.017000","0.015327","1.31M","-1.33%"
"Jun 10, 2018","0.015762","0.018880","0.018889","0.014343","3.74M","-16.60%"
"Jun 09, 2018","0.018900","0.019850","0.020000","0.018900","1.34M","-4.64%"
"Jun 08, 2018","0.019820","0.020503","0.020793","0.019800","904.71K","-3.33%"
"Jun 07, 2018","0.020503","0.021340","0.021457","0.020500","449.72K","-3.73%"
"Jun 06, 2018","0.021297","0.020599","0.021945","0.020000","944.58K","3.39%"
"Jun 05, 2018","0.020599","0.019881","0.020750","0.019545","484.79K","4.64%"
"Jun 04, 2018","0.019686","0.020527","0.020790","0.019000","1.69M","-4.10%"
"Jun 03, 2018","0.020527","0.020695","0.021114","0.020500","1.04M","-0.81%"
"Jun 02, 2018","0.020695","0.020986","0.021100","0.020306","496.50K","-1.39%"
"Jun 01, 2018","0.020986","0.020985","0.021097","0.020200","826.80K","0.01%"
"May 31, 2018","0.020985","0.021515","0.021900","0.020985","761.75K","-2.47%"
"May 30, 2018","0.021515","0.022500","0.023400","0.021200","1.51M","-2.65%"
"May 29, 2018","0.022101","0.021640","0.023010","0.020241","2.75M","1.60%"
"May 28, 2018","0.021754","0.022334","0.022542","0.020024","2.89M","-2.60%"
"May 27, 2018","0.022334","0.021200","0.023500","0.021050","3.48M","5.35%"
"May 26, 2018","0.021200","0.019961","0.022222","0.019615","1.32M","6.20%"
"May 25, 2018","0.019961","0.020000","0.020400","0.019300","1.26M","-0.69%"
"May 24, 2018","0.020100","0.019600","0.020961","0.018129","1.38M","2.55%"
"May 23, 2018","0.019600","0.021069","0.022990","0.018820","4.27M","-6.67%"
"May 22, 2018","0.021000","0.022500","0.022519","0.021000","1.15M","-6.67%"
"May 21, 2018","0.022500","0.023299","0.023498","0.022267","1.50M","-3.43%"
"May 20, 2018","0.023299","0.022646","0.023667","0.022419","1.12M","2.88%"
"May 19, 2018","0.022646","0.023000","0.023500","0.022100","1.22M","-1.54%"
"May 18, 2018","0.023000","0.022021","0.023000","0.021520","1.84M","4.45%"
"May 17, 2018","0.022021","0.023340","0.023604","0.022000","1.09M","-5.41%"
"May 16, 2018","0.023280","0.023028","0.023374","0.022148","1.24M","1.09%"
"May 15, 2018","0.023028","0.023700","0.024000","0.022110","2.41M","-2.83%"
"May 14, 2018","0.023700","0.024200","0.024200","0.022500","2.60M","-2.07%"
"May 13, 2018","0.024200","0.024300","0.024700","0.023315","1.50M","-0.41%"
"May 12, 2018","0.024300","0.023912","0.025973","0.023200","2.73M","1.62%"
"May 11, 2018","0.023912","0.027700","0.027700","0.023516","5.03M","-13.67%"
"May 10, 2018","0.027700","0.028400","0.029000","0.027700","1.45M","-2.46%"
"May 09, 2018","0.028400","0.027601","0.028424","0.026953","1.41M","2.89%"
"May 08, 2018","0.027601","0.028864","0.029280","0.027600","1.84M","-3.50%"
"May 07, 2018","0.028601","0.029560","0.030000","0.027000","2.47M","-3.24%"
"May 06, 2018","0.029560","0.031100","0.031594","0.027000","5.21M","-4.95%"
"May 05, 2018","0.031100","0.031899","0.033400","0.031100","2.98M","-2.50%"
"May 04, 2018","0.031899","0.035180","0.035500","0.031310","4.62M","-9.33%"
"May 03, 2018","0.035180","0.026800","0.035570","0.026350","9.36M","32.26%"
"May 02, 2018","0.026600","0.025200","0.026826","0.024610","3.56M","5.56%"
"May 01, 2018","0.025200","0.024993","0.025200","0.023808","1.88M","0.83%"
"Apr 30, 2018","0.024993","0.024523","0.025300","0.024270","1.13M","1.91%"
"Apr 29, 2018","0.024523","0.025301","0.025900","0.024270","2.80M","-3.08%"
"Apr 28, 2018","0.025301","0.025100","0.026500","0.024660","1.85M","0.80%"
"Apr 27, 2018","0.025100","0.025396","0.026000","0.024800","1.79M","-1.16%"
"Apr 26, 2018","0.025396","0.024600","0.025396","0.024000","1.99M","3.23%"
"Apr 25, 2018","0.024600","0.029300","0.029300","0.024000","5.97M","-16.04%"
"Apr 24, 2018","0.029300","0.023369","0.029500","0.023032","4.63M","25.38%"
"Apr 23, 2018","0.023369","0.023650","0.024000","0.022500","2.67M","-1.19%"
"Apr 22, 2018","0.023650","0.024001","0.024550","0.023650","2.36M","-1.46%"
"Apr 21, 2018","0.024001","0.024900","0.025000","0.023772","2.99M","-3.61%"
"Apr 20, 2018","0.024900","0.022662","0.025299","0.022662","4.69M","9.87%"
"Apr 19, 2018","0.022662","0.022800","0.023098","0.022101","1.50M","-0.60%"
"Apr 18, 2018","0.022800","0.021811","0.023400","0.021521","2.28M","4.53%"
"Apr 17, 2018","0.021811","0.022501","0.023245","0.021510","2.78M","-3.07%"
"Apr 16, 2018","0.022501","0.024500","0.024800","0.022450","6.76M","-8.16%"
"Apr 15, 2018","0.024500","0.024300","0.025200","0.024040","2.29M","0.82%"
"Apr 14, 2018","0.024300","0.024609","0.025350","0.023830","1.73M","-1.26%"
"Apr 13, 2018","0.024609","0.023618","0.025990","0.022699","4.21M","4.20%"
"Apr 12, 2018","0.023618","0.021258","0.024000","0.020860","4.64M","11.10%"
"Apr 11, 2018","0.021258","0.021379","0.021600","0.020701","1.32M","-0.56%"
"Apr 10, 2018","0.021379","0.021447","0.021803","0.020800","1.66M","-0.32%"
"Apr 09, 2018","0.021447","0.022000","0.023000","0.021000","1.33M","-2.51%"
"Apr 08, 2018","0.022000","0.022577","0.023299","0.021600","1.46M","-2.55%"
"Apr 07, 2018","0.022577","0.022000","0.023400","0.021989","2.30M","2.62%"
"Apr 06, 2018","0.022000","0.020000","0.023900","0.019000","3.82M","10.00%"
"Apr 05, 2018","0.020000","0.019740","0.020300","0.019500","3.18M","1.32%"
"Apr 04, 2018","0.019740","0.023333","0.023794","0.019540","4.37M","-15.40%"
"Apr 03, 2018","0.023333","0.019750","0.023333","0.019500","3.82M","18.14%"
"Apr 02, 2018","0.019750","0.019510","0.020258","0.019300","1.60M","1.23%"
"Apr 01, 2018","0.019510","0.020599","0.020900","0.019100","1.73M","-5.29%"
"Mar 31, 2018","0.020599","0.020900","0.021648","0.020000","1.68M","-1.44%"
"Mar 30, 2018","0.020900","0.020000","0.021600","0.018022","4.83M","4.50%"
"Mar 29, 2018","0.020000","0.024700","0.025051","0.019000","3.50M","-19.03%"
"Mar 28, 2018","0.024700","0.025000","0.025800","0.024000","1.40M","-1.20%"
"Mar 27, 2018","0.025000","0.025603","0.026000","0.023880","2.07M","-2.36%"
"Mar 26, 2018","0.025603","0.028126","0.028918","0.024200","3.25M","-8.97%"
"Mar 25, 2018","0.028126","0.028700","0.029172","0.028000","1.40M","-2.00%"
"Mar 24, 2018","0.028700","0.029500","0.031000","0.028700","1.75M","-2.71%"
"Mar 23, 2018","0.029500","0.029600","0.029886","0.027210","2.69M","-0.34%"
"Mar 22, 2018","0.029600","0.032400","0.033000","0.028700","3.79M","-8.64%"
"Mar 21, 2018","0.032400","0.034309","0.035464","0.029900","3.57M","-5.56%"
"Mar 20, 2018","0.034309","0.034800","0.036000","0.032230","3.26M","-1.41%"
"Mar 19, 2018","0.034800","0.034000","0.035900","0.031810","3.75M","2.35%"
"Mar 18, 2018","0.034000","0.031000","0.034480","0.025200","6.68M","9.68%"
"Mar 17, 2018","0.031000","0.036691","0.037000","0.031000","2.50M","-15.51%"
"Mar 16, 2018","0.036691","0.039000","0.039000","0.033258","3.65M","-5.92%"
"Mar 15, 2018","0.039000","0.041990","0.042228","0.037500","4.15M","-7.12%"
"Mar 14, 2018","0.041990","0.051407","0.053006","0.040500","4.94M","-18.32%"
"Mar 13, 2018","0.051407","0.048078","0.054000","0.045000","4.92M","6.92%"
"Mar 12, 2018","0.048078","0.052553","0.053697","0.046300","2.80M","-8.52%"
"Mar 11, 2018","0.052553","0.049000","0.054000","0.047700","1.91M","7.25%"
"Mar 10, 2018","0.049000","0.052120","0.054995","0.048817","2.42M","-5.99%"
"Mar 09, 2018","0.052120","0.053852","0.054570","0.045200","6.31M","-3.22%"
"Mar 08, 2018","0.053852","0.058154","0.060000","0.051927","2.91M","-7.40%"
"Mar 07, 2018","0.058154","0.064668","0.066000","0.055000","4.02M","-10.07%"
"Mar 06, 2018","0.064668","0.076100","0.076100","0.061295","5.36M","-15.47%"
"Mar 05, 2018","0.076500","0.077250","0.080000","0.074200","3.79M","-0.97%"
"Mar 04, 2018","0.077250","0.073280","0.077250","0.068900","3.18M","5.42%"
"Mar 03, 2018","0.073280","0.071354","0.074000","0.069000","3.27M","2.70%"
"Mar 02, 2018","0.071354","0.074500","0.075617","0.047950","8.91M","-4.22%"
"Mar 01, 2018","0.074500","0.067000","0.076680","0.065002","3.68M","11.19%"
"Feb 28, 2018","0.067000","0.079000","0.080000","0.067000","5.74M","-15.19%"
"Feb 27, 2018","0.079000","0.080086","0.081500","0.077000","3.61M","-1.36%"
"Feb 26, 2018","0.080086","0.088782","0.090900","0.076800","6.94M","-9.80%"
"Feb 25, 2018","0.088782","0.073990","0.090000","0.072800","4.33M","19.99%"
"Feb 24, 2018","0.073990","0.076000","0.078400","0.069000","3.27M","-2.64%"
"Feb 23, 2018","0.076000","0.073145","0.079100","0.070500","3.23M","3.90%"
"Feb 22, 2018","0.073145","0.079700","0.082000","0.071100","5.33M","-8.22%"
"Feb 21, 2018","0.079700","0.081800","0.083400","0.076000","5.67M","-2.57%"
"Feb 20, 2018","0.081800","0.086821","0.088799","0.081000","4.86M","-5.78%"
"Feb 19, 2018","0.086821","0.082160","0.088200","0.082000","4.92M","5.67%"
"Feb 18, 2018","0.082160","0.088000","0.090000","0.078221","7.93M","-6.64%"
"Feb 17, 2018","0.088000","0.081080","0.088390","0.080000","4.40M","8.53%"
"Feb 16, 2018","0.081080","0.073800","0.082000","0.070000","8.32M","9.86%"
"Feb 15, 2018","0.073800","0.075000","0.078353","0.073000","6.94M","-0.87%"
"Feb 14, 2018","0.074451","0.067500","0.075000","0.067450","7.50M","10.30%"
"Feb 13, 2018","0.067500","0.070809","0.071583","0.067010","6.22M","-4.67%"
"Feb 12, 2018","0.070809","0.063700","0.071520","0.063481","7.31M","11.16%"
"Feb 11, 2018","0.063700","0.068200","0.068300","0.060000","8.50M","-6.60%"
"Feb 10, 2018","0.068200","0.071700","0.073002","0.064130","9.13M","-4.88%"
"Feb 09, 2018","0.071700","0.068965","0.072992","0.063000","9.99M","3.97%"
