"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","0.58408","0.54955","0.59952","0.53226","344.38K","8.21%"
"Jun 29, 2018","0.53977","0.50666","0.53977","0.49504","144.30K","7.90%"
"Jun 28, 2018","0.50024","0.52878","0.53896","0.48279","134.54K","-5.40%"
"Jun 27, 2018","0.52880","0.52471","0.53345","0.50143","123.53K","-0.30%"
"Jun 26, 2018","0.53039","0.55600","0.57701","0.53039","142.43K","-4.61%"
"Jun 25, 2018","0.55600","0.53591","0.58778","0.53223","156.37K","3.75%"
"Jun 24, 2018","0.53591","0.61148","0.61151","0.46051","581.45K","-9.92%"
"Jun 23, 2018","0.59495","0.61139","0.61995","0.58248","86.05K","-2.69%"
"Jun 22, 2018","0.61139","0.66756","0.67123","0.59987","344.28K","-8.42%"
"Jun 21, 2018","0.66756","0.67613","0.67945","0.64963","109.06K","-1.27%"
"Jun 20, 2018","0.67613","0.70369","0.70369","0.65038","137.42K","-2.76%"
"Jun 19, 2018","0.69533","0.69366","0.72187","0.68272","149.21K","1.61%"
"Jun 18, 2018","0.68432","0.65899","0.71773","0.64982","58.78K","3.82%"
"Jun 17, 2018","0.65913","0.69100","0.74336","0.64077","307.25K","-4.61%"
"Jun 16, 2018","0.69100","0.67310","0.69655","0.64906","42.89K","2.66%"
"Jun 15, 2018","0.67311","0.67182","0.69362","0.65436","63.97K","-2.83%"
"Jun 14, 2018","0.69270","0.67502","0.71129","0.63483","314.93K","2.62%"
"Jun 13, 2018","0.67503","0.66536","0.67937","0.60701","530.11K","1.45%"
"Jun 12, 2018","0.66536","0.70507","0.72913","0.64993","414.03K","-4.92%"
"Jun 11, 2018","0.69977","0.72487","0.72487","0.64147","348.57K","-6.41%"
"Jun 10, 2018","0.74766","0.83125","0.83125","0.72193","700.38K","-11.72%"
"Jun 09, 2018","0.84696","0.85271","0.86180","0.83070","106.10K","-0.68%"
"Jun 08, 2018","0.85273","0.85275","0.86927","0.83015","133.67K","0.06%"
"Jun 07, 2018","0.85225","0.87924","0.89973","0.84398","189.94K","-2.09%"
"Jun 06, 2018","0.87042","0.86583","0.88166","0.82467","266.63K","2.41%"
"Jun 05, 2018","0.84993","0.83644","0.87708","0.82490","237.95K","1.60%"
"Jun 04, 2018","0.83654","0.85534","0.88511","0.81729","318.53K","-2.39%"
"Jun 03, 2018","0.85705","0.90797","0.91991","0.83950","383.80K","-5.61%"
"Jun 02, 2018","0.90796","0.89012","0.91627","0.86271","224.74K","2.09%"
"Jun 01, 2018","0.88933","0.88471","0.90158","0.84021","313.12K","0.52%"
"May 31, 2018","0.88471","0.79032","0.93411","0.78812","442.13K","11.42%"
"May 30, 2018","0.79402","0.82374","0.83986","0.78936","229.70K","-3.28%"
"May 29, 2018","0.82096","0.75118","0.82290","0.75016","210.83K","9.29%"
"May 28, 2018","0.75118","0.79520","0.81594","0.75013","225.62K","-5.54%"
"May 27, 2018","0.79520","0.80046","0.80883","0.77261","166.13K","-0.66%"
"May 26, 2018","0.80046","0.79626","0.83228","0.78213","235.68K","1.75%"
"May 25, 2018","0.78671","0.83081","0.85292","0.78014","363.01K","-5.06%"
"May 24, 2018","0.82860","0.77221","0.86954","0.75439","486.35K","7.30%"
"May 23, 2018","0.77221","0.80204","0.85090","0.72660","687.16K","-3.48%"
"May 22, 2018","0.80005","0.86039","0.87953","0.80005","545.74K","-7.01%"
"May 21, 2018","0.86039","0.88992","0.93690","0.86027","1.04M","-3.32%"
"May 20, 2018","0.88992","0.79193","0.88992","0.78841","348.29K","12.37%"
"May 19, 2018","0.79193","0.78997","0.82618","0.77542","340.03K","0.25%"
"May 18, 2018","0.78997","0.73667","0.79984","0.71792","468.79K","5.83%"
"May 17, 2018","0.74642","0.81138","0.84013","0.73445","585.91K","-7.41%"
"May 16, 2018","0.80618","0.83796","0.85483","0.77602","460.40K","-3.80%"
"May 15, 2018","0.83802","0.86397","0.93064","0.82079","521.47K","-3.00%"
"May 14, 2018","0.86397","0.89989","0.91570","0.78005","971.71K","-3.99%"
"May 13, 2018","0.89989","0.86309","0.93979","0.82972","832.30K","2.81%"
"May 12, 2018","0.87533","0.79506","0.89957","0.70038","1.27M","10.10%"
"May 11, 2018","0.79506","0.86020","0.90966","0.74075","1.79M","-9.09%"
"May 10, 2018","0.87458","0.98442","1.02285","0.83026","829.36K","-11.16%"
"May 09, 2018","0.98442","1.03630","1.03790","0.90021","1.19M","-5.01%"
"May 08, 2018","1.03630","1.09521","1.10265","1.00021","534.60K","-3.27%"
"May 07, 2018","1.07139","1.09660","1.09930","1.03304","488.67K","-2.30%"
"May 06, 2018","1.09660","1.14010","1.15989","1.02910","1.01M","-3.81%"
"May 05, 2018","1.14010","1.15239","1.19492","1.12004","662.19K","-1.07%"
"May 04, 2018","1.15239","1.25004","1.25485","1.07008","1.39M","-7.81%"
"May 03, 2018","1.25004","1.20008","1.31097","1.14520","1.02M","4.16%"
"May 02, 2018","1.20008","1.10995","1.23262","1.06049","918.00K","8.12%"
"May 01, 2018","1.10995","1.07501","1.11187","1.00409","571.24K","3.25%"
"Apr 30, 2018","1.07501","1.18125","1.18978","1.06307","526.02K","-8.99%"
"Apr 29, 2018","1.18125","1.11368","1.19173","1.08018","721.65K","6.07%"
"Apr 28, 2018","1.11368","1.04558","1.15823","1.02910","774.94K","6.51%"
"Apr 27, 2018","1.04558","1.07509","1.13702","1.01501","692.06K","-2.74%"
"Apr 26, 2018","1.07509","1.00002","1.09006","0.98142","864.16K","7.51%"
"Apr 25, 2018","1.00002","1.25182","1.26181","0.93289","2.79M","-20.12%"
"Apr 24, 2018","1.25182","1.11104","1.27002","1.10705","1.84M","12.67%"
"Apr 23, 2018","1.11104","1.07892","1.13031","1.04845","806.29K","2.98%"
"Apr 22, 2018","1.07892","1.11732","1.14580","1.06244","926.94K","-3.44%"
"Apr 21, 2018","1.11732","1.13704","1.16958","1.02009","1.38M","-1.73%"
"Apr 20, 2018","1.13704","1.07961","1.15747","0.97241","1.92M","5.32%"
"Apr 19, 2018","1.07961","1.01347","1.08066","0.94500","1.26M","6.53%"
"Apr 18, 2018","1.01347","0.91572","1.04989","0.90303","1.01M","10.67%"
"Apr 17, 2018","0.91572","0.93303","0.99991","0.88340","808.60K","-1.85%"
"Apr 16, 2018","0.93303","1.02610","1.03100","0.83656","1.25M","-9.07%"
"Apr 15, 2018","1.02610","0.88202","1.06508","0.88202","965.17K","16.33%"
"Apr 14, 2018","0.88202","0.83482","0.93992","0.82521","695.34K","5.65%"
"Apr 13, 2018","0.83482","0.81000","0.97799","0.79001","1.48M","3.06%"
"Apr 12, 2018","0.81000","0.72216","0.82604","0.68100","1.26M","12.16%"
"Apr 11, 2018","0.72216","0.61420","0.73497","0.61420","851.09K","17.58%"
"Apr 10, 2018","0.61420","0.61993","0.62005","0.59962","234.24K","-0.92%"
"Apr 09, 2018","0.61993","0.61839","0.65154","0.59873","657.23K","0.25%"
"Apr 08, 2018","0.61839","0.61819","0.65214","0.60001","462.87K","0.03%"
"Apr 07, 2018","0.61819","0.59194","0.64800","0.58351","505.49K","4.44%"
"Apr 06, 2018","0.59194","0.60956","0.62567","0.57141","397.26K","-2.89%"
"Apr 05, 2018","0.60956","0.58964","0.63025","0.57003","508.78K","3.38%"
"Apr 04, 2018","0.58964","0.68037","0.68741","0.57575","577.84K","-13.34%"
"Apr 03, 2018","0.68037","0.64926","0.70988","0.59453","735.34K","4.79%"
"Apr 02, 2018","0.64926","0.62806","0.67488","0.62187","377.11K","3.37%"
