"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","0.024552","0.023036","0.025816","0.022797","5.60M","6.56%"
"Jun 29, 2018","0.023040","0.022191","0.023102","0.021196","5.00M","3.78%"
"Jun 28, 2018","0.022200","0.023401","0.023942","0.022200","2.01M","-5.30%"
"Jun 27, 2018","0.023443","0.022859","0.023769","0.022576","2.53M","2.52%"
"Jun 26, 2018","0.022866","0.023866","0.023866","0.022612","2.54M","-4.19%"
"Jun 25, 2018","0.023866","0.023321","0.024046","0.023093","4.53M","2.51%"
"Jun 24, 2018","0.023281","0.024545","0.024641","0.021858","7.62M","-5.15%"
"Jun 23, 2018","0.024545","0.023721","0.024742","0.023153","8.48M","2.95%"
"Jun 22, 2018","0.023841","0.029382","0.029769","0.023686","27.08M","-18.71%"
"Jun 21, 2018","0.029327","0.025000","0.030600","0.023582","18.01M","17.31%"
"Jun 20, 2018","0.025000","0.025320","0.025618","0.023404","12.48M","-1.27%"
"Jun 19, 2018","0.025320","0.025600","0.025825","0.023704","23.01M","-0.84%"
"Jun 18, 2018","0.025534","0.024372","0.026766","0.022989","11.27M","4.75%"
"Jun 17, 2018","0.024376","0.024831","0.024938","0.024085","4.94M","-1.85%"
"Jun 16, 2018","0.024834","0.025199","0.025546","0.023761","7.24M","-1.45%"
"Jun 15, 2018","0.025199","0.026960","0.027301","0.024744","8.38M","-6.67%"
"Jun 14, 2018","0.027001","0.024664","0.027041","0.024007","12.49M","9.46%"
"Jun 13, 2018","0.024667","0.025288","0.026284","0.023207","6.89M","-2.47%"
"Jun 12, 2018","0.025291","0.028698","0.028698","0.024902","8.57M","-11.88%"
"Jun 11, 2018","0.028702","0.026993","0.028702","0.026620","7.81M","6.32%"
"Jun 10, 2018","0.026995","0.032731","0.032731","0.026495","13.97M","-17.54%"
"Jun 09, 2018","0.032738","0.033644","0.034068","0.032675","5.20M","-2.71%"
"Jun 08, 2018","0.033650","0.033493","0.034000","0.032295","6.72M","0.45%"
"Jun 07, 2018","0.033498","0.033640","0.034237","0.033493","6.69M","-0.42%"
"Jun 06, 2018","0.033641","0.034852","0.034996","0.033158","7.85M","-3.47%"
"Jun 05, 2018","0.034852","0.033950","0.035095","0.032884","8.87M","2.66%"
"Jun 04, 2018","0.033950","0.035374","0.035600","0.032862","11.85M","-3.82%"
"Jun 03, 2018","0.035300","0.035497","0.036448","0.034898","21.03M","-0.44%"
"Jun 02, 2018","0.035457","0.035835","0.036438","0.034833","16.36M","-1.40%"
"Jun 01, 2018","0.035960","0.034060","0.035960","0.033705","19.41M","5.58%"
"May 31, 2018","0.034060","0.034146","0.034615","0.033089","10.35M","-0.25%"
"May 30, 2018","0.034146","0.034098","0.035400","0.032386","18.17M","0.13%"
"May 29, 2018","0.034100","0.031369","0.035540","0.030777","16.65M","8.70%"
"May 28, 2018","0.031371","0.035080","0.036703","0.030708","17.41M","-10.59%"
"May 27, 2018","0.035086","0.034998","0.035600","0.034328","7.20M","0.24%"
"May 26, 2018","0.035000","0.035140","0.037345","0.034518","15.48M","-0.41%"
"May 25, 2018","0.035144","0.036791","0.037946","0.034132","13.04M","-3.93%"
"May 24, 2018","0.036582","0.035044","0.037338","0.031801","30.18M","4.39%"
"May 23, 2018","0.035044","0.041457","0.042026","0.033400","26.26M","-15.47%"
"May 22, 2018","0.041457","0.046800","0.047009","0.041144","20.26M","-11.42%"
"May 21, 2018","0.046800","0.048435","0.048892","0.045758","22.97M","-3.38%"
"May 20, 2018","0.048435","0.047980","0.049305","0.047306","18.56M","0.57%"
"May 19, 2018","0.048160","0.046400","0.050272","0.046096","33.61M","3.79%"
"May 18, 2018","0.046400","0.046346","0.051781","0.043757","50.04M","0.12%"
"May 17, 2018","0.046346","0.044188","0.052054","0.043698","45.91M","4.88%"
"May 16, 2018","0.044188","0.045600","0.045600","0.041868","18.31M","-3.10%"
"May 15, 2018","0.045600","0.046998","0.049444","0.045139","25.35M","-2.55%"
"May 14, 2018","0.046794","0.048077","0.048998","0.042726","53.08M","-2.67%"
"May 13, 2018","0.048077","0.045931","0.052036","0.042658","61.92M","5.29%"
"May 12, 2018","0.045663","0.044356","0.047885","0.035879","63.25M","2.95%"
"May 11, 2018","0.044356","0.054107","0.054361","0.041557","63.26M","-18.02%"
"May 10, 2018","0.054107","0.053872","0.059523","0.053559","79.18M","0.55%"
"May 09, 2018","0.053809","0.055855","0.056044","0.051729","49.46M","-3.54%"
"May 08, 2018","0.055784","0.060226","0.060454","0.053630","92.86M","-4.04%"
"May 07, 2018","0.058132","0.057152","0.064811","0.050505","200.78M","2.64%"
"May 06, 2018","0.056634","0.051873","0.061983","0.049150","45.78M","8.95%"
"May 05, 2018","0.051982","0.051686","0.053200","0.050223","18.20M","0.57%"
"May 04, 2018","0.051686","0.053460","0.057164","0.049478","22.61M","-3.32%"
"May 03, 2018","0.053460","0.050575","0.055557","0.050229","16.83M","5.70%"
"May 02, 2018","0.050575","0.046638","0.054867","0.046144","25.53M","8.44%"
"May 01, 2018","0.046638","0.048057","0.048469","0.044154","4.55M","-2.95%"
"Apr 30, 2018","0.048057","0.047797","0.058153","0.045467","10.81M","0.54%"
"Apr 29, 2018","0.047797","0.046686","0.050887","0.044770","8.74M","2.38%"
"Apr 28, 2018","0.046686","0.043767","0.050370","0.042605","6.08M","6.67%"
"Apr 27, 2018","0.043767","0.046886","0.055574","0.043766","7.64M","-6.65%"
"Apr 26, 2018","0.046886","0.044296","0.047855","0.040700","3.53M","5.85%"
"Apr 25, 2018","0.044296","0.050273","0.053475","0.040832","4.12M","-11.89%"
"Apr 24, 2018","0.050273","0.047589","0.053156","0.045885","3.85M","5.64%"
"Apr 23, 2018","0.047589","0.049132","0.049732","0.046686","2.67M","-3.14%"
"Apr 22, 2018","0.049132","0.044619","0.050986","0.043883","3.94M","10.11%"
"Apr 21, 2018","0.044619","0.050569","0.050998","0.039371","4.87M","-11.77%"
"Apr 20, 2018","0.050569","0.046121","0.053473","0.041650","7.42M","9.64%"
"Apr 19, 2018","0.046121","0.043816","0.046917","0.041689","1.77M","5.26%"
"Apr 18, 2018","0.043816","0.039982","0.043881","0.038394","483.98K","9.59%"
"Apr 17, 2018","0.039982","0.039909","0.041359","0.039622","258.85K","0.18%"
"Apr 16, 2018","0.039909","0.042282","0.042448","0.037374","537.85K","-5.61%"
"Apr 15, 2018","0.042282","0.041288","0.043499","0.040673","719.22K","2.41%"
"Apr 14, 2018","0.041288","0.037152","0.043420","0.035915","1.02M","11.13%"
"Apr 13, 2018","0.037152","0.035775","0.040762","0.035431","2.23M","3.67%"
"Apr 12, 2018","0.035835","0.032135","0.036224","0.030774","793.68K","11.52%"
"Apr 11, 2018","0.032135","0.029169","0.037585","0.029135","443.44K","10.17%"
"Apr 10, 2018","0.029169","0.028930","0.030658","0.028653","124.94K","0.82%"
"Apr 09, 2018","0.028930","0.030185","0.031374","0.028498","200.29K","-4.16%"
"Apr 08, 2018","0.030185","0.029603","0.030400","0.028758","193.50K","1.97%"
"Apr 07, 2018","0.029603","0.028507","0.030639","0.028222","319.06K","3.85%"
"Apr 06, 2018","0.028507","0.030352","0.030372","0.027873","164.20K","-6.08%"
"Apr 05, 2018","0.030352","0.029014","0.030770","0.028110","483.52K","4.61%"
"Apr 04, 2018","0.029014","0.032590","0.032590","0.029014","244.32K","-10.97%"
"Apr 03, 2018","0.032590","0.030190","0.033716","0.028441","494.80K","7.95%"
"Apr 02, 2018","0.030190","0.029502","0.034040","0.029191","503.79K","2.33%"
"Apr 01, 2018","0.029502","0.030327","0.033486","0.028413","186.16K","-2.72%"
"Mar 31, 2018","0.030327","0.029903","0.032643","0.029586","161.31K","1.42%"
"Mar 30, 2018","0.029903","0.032648","0.033855","0.027765","790.19K","-8.41%"
"Mar 29, 2018","0.032648","0.037937","0.038301","0.031828","169.55K","-13.94%"
"Mar 28, 2018","0.037937","0.037046","0.039719","0.035171","145.12K","2.40%"
"Mar 27, 2018","0.037046","0.037031","0.040411","0.035536","296.07K","0.04%"
"Mar 26, 2018","0.037031","0.043678","0.043721","0.036371","159.60K","-15.22%"
"Mar 25, 2018","0.043678","0.042446","0.043952","0.039812","222.76K","2.90%"
"Mar 24, 2018","0.042446","0.039786","0.045306","0.039786","724.99K","6.68%"
"Mar 23, 2018","0.039786","0.038707","0.042692","0.036532","148.60K","2.79%"
"Mar 22, 2018","0.038707","0.040118","0.042242","0.037626","392.19K","-3.52%"
"Mar 21, 2018","0.040118","0.036902","0.045994","0.036881","351.00K","8.62%"
"Mar 20, 2018","0.036936","0.038473","0.040857","0.036423","170.41K","-4.00%"
"Mar 19, 2018","0.038473","0.032588","0.042858","0.032164","242.33K","18.06%"
"Mar 18, 2018","0.032588","0.034958","0.034958","0.027598","304.52K","-6.78%"
"Mar 17, 2018","0.034958","0.037218","0.039007","0.034958","81.67K","-6.07%"
"Mar 16, 2018","0.037218","0.037228","0.042408","0.035299","88.77K","-0.03%"
"Mar 15, 2018","0.037228","0.036317","0.042888","0.034169","252.61K","2.51%"
"Mar 14, 2018","0.036317","0.042856","0.046714","0.036317","140.98K","-15.26%"
"Mar 13, 2018","0.042856","0.044555","0.048292","0.042533","216.80K","-3.81%"
"Mar 12, 2018","0.044554","0.047315","0.049155","0.044369","265.75K","-5.84%"
"Mar 11, 2018","0.047315","0.043771","0.048370","0.040132","162.12K","8.10%"
"Mar 10, 2018","0.043771","0.046034","0.047530","0.043449","568.20K","-4.92%"
"Mar 09, 2018","0.046034","0.042753","0.046034","0.037956","113.47K","7.67%"
"Mar 08, 2018","0.042753","0.049229","0.051319","0.042675","290.85K","-13.15%"
"Mar 07, 2018","0.049229","0.054735","0.054861","0.045486","362.85K","-10.06%"
"Mar 06, 2018","0.054735","0.062545","0.064954","0.053940","306.19K","-12.49%"
"Mar 05, 2018","0.062545","0.058828","0.072485","0.052254","856.94K","6.32%"
"Mar 04, 2018","0.058828","0.063481","0.063839","0.058828","286.92K","-7.33%"
"Mar 03, 2018","0.063481","0.066491","0.074162","0.055836","2.26M","-4.53%"
"Mar 02, 2018","0.066491","0.057324","0.066491","0.057129","2.12M","15.99%"
"Mar 01, 2018","0.057324","0.052323","0.062291","0.050911","1.12M","9.56%"
"Feb 28, 2018","0.052323","0.051921","0.056348","0.050061","341.93K","0.77%"
"Feb 27, 2018","0.051921","0.051309","0.054059","0.050888","344.95K","1.19%"
"Feb 26, 2018","0.051309","0.050874","0.052880","0.048950","234.86K","0.86%"
"Feb 25, 2018","0.050874","0.050997","0.053405","0.049797","172.75K","-0.24%"
"Feb 24, 2018","0.050997","0.052529","0.055618","0.048516","474.12K","-2.92%"
"Feb 23, 2018","0.052529","0.048779","0.054991","0.047349","1.32M","7.69%"
"Feb 22, 2018","0.048779","0.051251","0.055039","0.046397","800.43K","-4.82%"
"Feb 21, 2018","0.051251","0.057362","0.057720","0.047865","482.81K","-10.65%"
"Feb 20, 2018","0.057362","0.062696","0.064418","0.057359","430.49K","-8.51%"
"Feb 19, 2018","0.062696","0.060014","0.062816","0.058592","429.64K","4.47%"
"Feb 18, 2018","0.060014","0.065354","0.065873","0.056873","741.04K","-8.17%"
"Feb 17, 2018","0.065354","0.059902","0.065978","0.058853","1.60M","9.10%"
"Feb 16, 2018","0.059902","0.058419","0.060120","0.056267","642.04K","2.54%"
"Feb 15, 2018","0.058419","0.056697","0.059233","0.052527","1.26M","3.60%"
"Feb 14, 2018","0.056390","0.051983","0.059989","0.051623","725.18K","8.48%"
"Feb 13, 2018","0.051983","0.055480","0.055697","0.050080","611.09K","-6.30%"
"Feb 12, 2018","0.055480","0.052698","0.055602","0.051144","712.27K","5.28%"
"Feb 11, 2018","0.052698","0.057536","0.060332","0.048792","560.51K","-8.41%"
"Feb 10, 2018","0.057536","0.060756","0.065383","0.054445","953.52K","-5.30%"
"Feb 09, 2018","0.060756","0.058351","0.062190","0.051045","2.98M","4.12%"
"Feb 08, 2018","0.058351","0.059445","0.067602","0.055754","1.31M","-0.86%"
"Feb 07, 2018","0.058856","0.052538","0.073998","0.048932","3.17M","12.03%"
"Feb 06, 2018","0.052538","0.039058","0.053355","0.030893","868.71K","34.51%"
"Feb 05, 2018","0.039058","0.050086","0.051996","0.034823","701.56K","-22.02%"
"Feb 04, 2018","0.050086","0.059328","0.065446","0.048065","377.30K","-15.58%"
"Feb 03, 2018","0.059328","0.056452","0.069949","0.049072","1.60M","5.09%"
"Feb 02, 2018","0.056452","0.069751","0.069894","0.047203","1.07M","-25.23%"
"Feb 01, 2018","0.075500","0.086800","0.089000","0.066200","222.69K","-13.02%"
