"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","0.33870","0.29807","0.33870","0.29687","2.81M","13.63%"
"Jun 29, 2018","0.29807","0.27298","0.30272","0.26302","2.05M","9.19%"
"Jun 28, 2018","0.27298","0.29528","0.31346","0.26959","2.04M","-7.55%"
"Jun 27, 2018","0.29528","0.29042","0.30053","0.28259","1.28M","2.23%"
"Jun 26, 2018","0.28883","0.33937","0.33965","0.28487","3.06M","-14.73%"
"Jun 25, 2018","0.33873","0.28164","0.34660","0.27421","3.77M","20.03%"
"Jun 24, 2018","0.28221","0.30792","0.31137","0.25910","2.71M","-8.19%"
"Jun 23, 2018","0.30737","0.30797","0.31489","0.29941","1.02M","-0.22%"
"Jun 22, 2018","0.30806","0.36075","0.36388","0.29906","1.83M","-14.60%"
"Jun 21, 2018","0.36075","0.36708","0.37679","0.35731","686.60K","-1.67%"
"Jun 20, 2018","0.36689","0.38428","0.38617","0.35768","1.40M","-4.78%"
"Jun 19, 2018","0.38532","0.38446","0.39116","0.37537","1.09M","0.24%"
"Jun 18, 2018","0.38438","0.37782","0.38662","0.36509","650.88K","1.62%"
"Jun 17, 2018","0.37827","0.37953","0.38388","0.37274","706.39K","-0.28%"
"Jun 16, 2018","0.37935","0.37596","0.39198","0.37005","1.16M","0.90%"
"Jun 15, 2018","0.37596","0.39011","0.41109","0.37275","1.93M","-3.63%"
"Jun 14, 2018","0.39011","0.36394","0.39324","0.35865","2.34M","7.19%"
"Jun 13, 2018","0.36394","0.39508","0.41067","0.34316","2.55M","-8.07%"
"Jun 12, 2018","0.39589","0.44739","0.45952","0.39083","2.14M","-11.47%"
"Jun 11, 2018","0.44720","0.42606","0.45133","0.40397","1.83M","4.96%"
"Jun 10, 2018","0.42606","0.51707","0.51707","0.40829","2.25M","-17.60%"
"Jun 09, 2018","0.51708","0.54191","0.55225","0.51505","972.33K","-4.58%"
"Jun 08, 2018","0.54191","0.56502","0.56553","0.53145","1.64M","-4.09%"
"Jun 07, 2018","0.56502","0.57384","0.58831","0.56096","1.26M","-1.37%"
"Jun 06, 2018","0.57287","0.58058","0.59421","0.55910","1.71M","-1.41%"
"Jun 05, 2018","0.58104","0.57739","0.58813","0.54975","2.19M","0.42%"
"Jun 04, 2018","0.57861","0.62010","0.64930","0.56134","4.19M","-6.69%"
"Jun 03, 2018","0.62010","0.61291","0.62778","0.60380","4.36M","1.17%"
"Jun 02, 2018","0.61291","0.61094","0.63415","0.60040","3.94M","0.32%"
"Jun 01, 2018","0.61094","0.60286","0.63798","0.59067","5.49M","1.34%"
"May 31, 2018","0.60286","0.63305","0.66425","0.58558","8.22M","-4.84%"
"May 30, 2018","0.63352","0.52391","0.64951","0.52391","7.25M","21.10%"
"May 29, 2018","0.52314","0.45833","0.54956","0.45782","4.49M","14.14%"
"May 28, 2018","0.45833","0.47522","0.49658","0.44791","3.41M","-3.56%"
"May 27, 2018","0.47522","0.46029","0.48240","0.45004","2.31M","3.24%"
"May 26, 2018","0.46030","0.46661","0.48043","0.45632","2.22M","-1.35%"
"May 25, 2018","0.46661","0.50327","0.53175","0.45761","3.34M","-7.23%"
"May 24, 2018","0.50298","0.47694","0.51083","0.45319","2.60M","5.46%"
"May 23, 2018","0.47694","0.50950","0.52990","0.45591","3.78M","-6.80%"
"May 22, 2018","0.51174","0.52766","0.55374","0.49666","1.98M","-2.76%"
"May 21, 2018","0.52628","0.54397","0.55593","0.52225","1.71M","-3.21%"
"May 20, 2018","0.54371","0.52621","0.55769","0.51452","1.47M","3.33%"
"May 19, 2018","0.52621","0.52721","0.53558","0.51113","1.38M","-0.40%"
"May 18, 2018","0.52830","0.52897","0.53505","0.50790","2.03M","-0.13%"
"May 17, 2018","0.52897","0.56584","0.59244","0.52254","2.54M","-6.52%"
"May 16, 2018","0.56583","0.57965","0.60609","0.53359","2.31M","-2.38%"
"May 15, 2018","0.57965","0.62083","0.63145","0.57012","1.93M","-6.63%"
"May 14, 2018","0.62083","0.62304","0.65779","0.58096","3.32M","-0.35%"
"May 13, 2018","0.62304","0.57943","0.63879","0.55713","2.64M","7.86%"
"May 12, 2018","0.57764","0.58167","0.61821","0.51499","4.10M","-0.69%"
"May 11, 2018","0.58167","0.64088","0.69244","0.55720","4.23M","-9.24%"
"May 10, 2018","0.64088","0.69764","0.71671","0.64070","3.01M","-8.19%"
"May 09, 2018","0.69809","0.72619","0.72852","0.66710","2.02M","-3.88%"
"May 08, 2018","0.72628","0.76962","0.77175","0.71297","3.05M","-9.00%"
"May 07, 2018","0.79814","0.74467","0.81973","0.73152","4.72M","7.13%"
"May 06, 2018","0.74502","0.79501","0.79760","0.71982","2.12M","-6.51%"
"May 05, 2018","0.79689","0.79062","0.80894","0.77584","2.90M","1.15%"
"May 04, 2018","0.78782","0.80458","0.86204","0.75214","5.35M","-1.74%"
"May 03, 2018","0.80179","0.70312","0.92641","0.69794","12.88M","15.15%"
"May 02, 2018","0.69631","0.57462","0.76618","0.55618","8.32M","21.18%"
"May 01, 2018","0.57462","0.55188","0.59648","0.54019","4.93M","4.12%"
"Apr 30, 2018","0.55188","0.59097","0.59246","0.54673","4.38M","-6.61%"
"Apr 29, 2018","0.59097","0.60242","0.61576","0.56127","6.54M","-1.90%"
"Apr 28, 2018","0.60242","0.57625","0.63554","0.57488","6.72M","4.54%"
