"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","4.9657","4.6729","4.9771","4.6224","1.19M","6.21%"
"Jun 29, 2018","4.6755","4.3339","4.7507","4.2764","1.19M","7.88%"
"Jun 28, 2018","4.3339","4.6830","4.7520","4.2962","1.24M","-7.41%"
"Jun 27, 2018","4.6808","4.5365","4.7432","4.4733","1.28M","3.22%"
"Jun 26, 2018","4.5348","4.8010","4.8894","4.5229","1.24M","-5.51%"
"Jun 25, 2018","4.7991","4.6066","4.9393","4.5432","1.20M","4.18%"
"Jun 24, 2018","4.6066","4.8178","4.8525","4.1183","1.66M","-4.35%"
"Jun 23, 2018","4.8162","4.8970","5.0334","4.6929","1.07M","-1.66%"
"Jun 22, 2018","4.8975","5.5675","5.5880","4.7710","1.44M","-12.05%"
"Jun 21, 2018","5.5688","5.7280","5.8016","5.5079","1.08M","-2.77%"
"Jun 20, 2018","5.7275","5.7995","5.8210","5.5656","1.28M","-1.23%"
"Jun 19, 2018","5.7991","5.7154","5.8885","5.6593","1.07M","1.44%"
"Jun 18, 2018","5.7168","5.6368","5.8235","5.4904","989.02K","1.50%"
"Jun 17, 2018","5.6324","5.7724","5.8175","5.5399","942.78K","-2.42%"
"Jun 16, 2018","5.7723","5.6272","5.7940","5.5382","994.80K","2.18%"
"Jun 15, 2018","5.6492","5.8464","5.9264","5.5567","1.12M","-3.32%"
"Jun 14, 2018","5.8430","5.5210","5.9602","5.4079","1.25M","5.76%"
"Jun 13, 2018","5.5247","5.6013","5.7762","5.1584","1.27M","-1.38%"
"Jun 12, 2018","5.6022","6.0182","6.1810","5.4679","1.26M","-6.92%"
"Jun 11, 2018","6.0186","5.8399","6.0747","5.5981","1.42M","3.12%"
"Jun 10, 2018","5.8364","7.0617","7.0736","5.5750","1.94M","-17.38%"
"Jun 09, 2018","7.0641","7.1128","7.2797","7.0578","1.52M","-0.71%"
"Jun 08, 2018","7.1149","7.3907","7.5019","7.0830","1.09M","-3.75%"
"Jun 07, 2018","7.3920","7.4425","7.5717","7.2133","1.28M","-0.68%"
"Jun 06, 2018","7.4429","7.7254","7.7493","7.2783","1.26M","-3.73%"
"Jun 05, 2018","7.7316","7.5217","7.8105","7.2010","1.27M","2.74%"
"Jun 04, 2018","7.5254","8.2354","8.3225","7.3898","1.48M","-8.60%"
"Jun 03, 2018","8.2338","8.1955","8.4816","8.0762","1.50M","0.47%"
"Jun 02, 2018","8.1952","7.9363","8.4857","7.8366","1.50M","3.28%"
"Jun 01, 2018","7.9350","7.3252","8.2611","7.3252","1.99M","8.32%"
"May 31, 2018","7.3252","7.1206","7.5044","7.0756","1.31M","2.86%"
"May 30, 2018","7.1217","7.2263","7.3803","6.9565","1.23M","-1.53%"
"May 29, 2018","7.2323","6.7023","7.4323","6.5947","1.47M","8.44%"
"May 28, 2018","6.6696","7.1376","7.3303","6.6459","1.41M","-6.58%"
"May 27, 2018","7.1392","7.2157","7.2329","7.0208","1.14M","-1.05%"
"May 26, 2018","7.2151","7.0973","7.5153","7.0629","1.20M","1.54%"
"May 25, 2018","7.1060","7.4604","7.4607","6.9644","1.58M","-4.71%"
"May 24, 2018","7.4573","6.8513","7.6696","6.5848","2.20M","9.08%"
"May 23, 2018","6.8366","8.3780","8.4388","6.6468","2.58M","-18.47%"
"May 22, 2018","8.3857","9.1162","9.1383","8.3535","1.43M","-8.01%"
"May 21, 2018","9.1162","9.3754","9.3839","8.9816","1.70M","-2.78%"
"May 20, 2018","9.3767","8.9778","9.5450","8.8747","1.26M","4.48%"
"May 19, 2018","8.9750","9.1636","9.5599","8.8260","1.26M","-2.06%"
"May 18, 2018","9.1636","8.9927","9.2702","8.5820","1.44M","1.86%"
"May 17, 2018","8.9963","9.2442","9.7550","8.8187","1.61M","-2.86%"
"May 16, 2018","9.2611","9.8136","9.8136","8.8874","1.65M","-5.54%"
"May 15, 2018","9.8039","9.6536","11.0328","9.4690","2.10M","1.59%"
"May 14, 2018","9.6509","9.7773","9.9079","8.9655","1.91M","-1.29%"
"May 13, 2018","9.7773","9.5771","10.0694","8.9441","1.78M","2.09%"
"May 12, 2018","9.5770","9.2881","9.8397","8.0488","2.43M","3.14%"
"May 11, 2018","9.2856","11.0534","11.0534","8.8027","2.10M","-15.99%"
"May 10, 2018","11.0527","11.4871","11.6936","10.9089","1.39M","-3.67%"
"May 09, 2018","11.4740","11.8274","11.8571","11.1141","1.40M","-2.99%"
"May 08, 2018","11.8276","12.3857","12.4649","11.6267","1.48M","-2.25%"
"May 07, 2018","12.1000","12.3617","12.4485","11.1212","2.10M","-2.12%"
"May 06, 2018","12.3617","13.4396","13.4898","11.9943","2.03M","-7.98%"
"May 05, 2018","13.4340","13.4732","14.0677","13.1893","1.82M","-0.40%"
"May 04, 2018","13.4878","14.5368","14.6008","12.8522","2.39M","-7.35%"
"May 03, 2018","14.5581","12.8612","16.0950","12.5701","5.07M","13.38%"
"May 02, 2018","12.8402","11.3637","13.4329","11.0205","1.71M","12.99%"
"May 01, 2018","11.3637","11.1036","11.4268","10.1425","1.26M","3.08%"
"Apr 30, 2018","11.0244","12.4026","13.0365","10.7543","1.62M","-11.19%"
"Apr 29, 2018","12.4128","13.3884","13.7247","11.7600","2.15M","-7.29%"
"Apr 28, 2018","13.3884","11.2337","13.6684","11.1658","2.41M","18.84%"
"Apr 27, 2018","11.2661","10.6356","12.6014","10.2543","2.95M","5.97%"
"Apr 26, 2018","10.6315","8.9981","10.6821","8.7285","3.19M","18.16%"
"Apr 25, 2018","8.9973","10.5994","10.6132","8.6187","3.43M","-14.98%"
"Apr 24, 2018","10.5821","8.2309","10.9647","8.2074","3.48M","28.57%"
"Apr 23, 2018","8.2308","7.7781","8.2557","7.7599","1.52M","5.82%"
"Apr 22, 2018","7.7781","7.6337","8.1591","7.4489","1.50M","1.89%"
"Apr 21, 2018","7.6337","8.2996","8.4419","7.2744","1.59M","-8.02%"
"Apr 20, 2018","8.2996","7.5172","8.4261","7.2349","1.88M","10.52%"
"Apr 19, 2018","7.5096","7.0520","7.5286","7.0046","1.34M","6.53%"
"Apr 18, 2018","7.0495","6.6049","7.1100","6.5858","966.38K","6.78%"
"Apr 17, 2018","6.6021","6.6507","6.9074","6.5801","527.46K","-0.73%"
"Apr 16, 2018","6.6507","6.9846","7.0333","6.4627","572.75K","-4.85%"
"Apr 15, 2018","6.9895","6.5723","7.1173","6.5723","655.60K","6.28%"
"Apr 14, 2018","6.5764","6.6219","6.8986","6.3254","732.52K","-0.69%"
"Apr 13, 2018","6.6219","7.2262","7.5484","6.5323","1.17M","-8.38%"
"Apr 12, 2018","7.2276","5.5661","7.2520","5.4005","1.66M","29.85%"
"Apr 11, 2018","5.5661","5.2330","5.5706","5.2140","612.43K","6.40%"
"Apr 10, 2018","5.2313","5.2592","5.3154","5.1854","376.75K","-0.54%"
"Apr 09, 2018","5.2597","5.3264","5.6161","5.1240","540.28K","-1.18%"
"Apr 08, 2018","5.3225","5.2454","5.3558","5.1788","396.72K","1.61%"
"Apr 07, 2018","5.2382","5.1506","5.3739","5.1294","303.33K","1.70%"
