"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","0.000418","0.000366","0.000419","0.000366","-","14.22%"
"Jun 29, 2018","0.000366","0.000379","0.000397","0.000340","-","-3.54%"
"Jun 28, 2018","0.000379","0.000371","0.000438","0.000307","-","2.33%"
"Jun 27, 2018","0.000371","0.000379","0.000389","0.000364","-","-2.10%"
"Jun 26, 2018","0.000379","0.000414","0.000431","0.000375","-","-8.36%"
"Jun 25, 2018","0.000413","0.000408","0.000426","0.000401","-","0.73%"
"Jun 24, 2018","0.000410","0.000427","0.000428","0.000379","-","-3.81%"
"Jun 23, 2018","0.000426","0.000416","0.000433","0.000409","-","2.58%"
"Jun 22, 2018","0.000416","0.000421","0.000464","0.000404","-","-1.34%"
"Jun 21, 2018","0.000421","0.000483","0.000611","0.000418","-","-12.70%"
"Jun 20, 2018","0.000483","0.000538","0.000694","0.000465","-","-10.39%"
"Jun 19, 2018","0.000538","0.000565","0.000657","0.000530","-","-4.53%"
"Jun 18, 2018","0.000564","0.000582","0.000611","0.000530","-","-2.79%"
"Jun 17, 2018","0.000580","0.000596","0.000635","0.000577","-","-2.68%"
"Jun 16, 2018","0.000596","0.000711","0.000714","0.000552","-","-16.17%"
"Jun 15, 2018","0.000711","0.000676","0.000714","0.000624","-","5.50%"
"Jun 14, 2018","0.000674","0.000796","0.000840","0.000647","-","-15.23%"
"Jun 13, 2018","0.000795","0.000834","0.000847","0.000756","-","-4.66%"
"Jun 12, 2018","0.000834","0.000727","0.000897","0.000719","-","14.75%"
"Jun 11, 2018","0.000727","0.000916","0.000942","0.000700","-","-20.64%"
"Jun 10, 2018","0.000916","0.001046","0.001046","0.000712","-","-12.77%"
"Jun 09, 2018","0.001050","0.000912","0.001067","0.000900","-","15.14%"
"Jun 08, 2018","0.000912","0.001082","0.001089","0.000901","-","-15.86%"
"Jun 07, 2018","0.001084","0.000912","0.001100","0.000907","-","19.08%"
"Jun 06, 2018","0.000910","0.001110","0.001112","0.000890","-","-17.86%"
"Jun 05, 2018","0.001108","0.000890","0.001112","0.000864","-","24.95%"
"Jun 04, 2018","0.000887","0.001141","0.001155","0.000870","-","-22.20%"
"Jun 03, 2018","0.001140","0.000798","0.001143","0.000797","-","42.94%"
"Jun 02, 2018","0.000797","0.000866","0.001101","0.000792","-","-7.61%"
"Jun 01, 2018","0.000863","0.001061","0.001069","0.000813","-","-18.85%"
"May 31, 2018","0.001064","0.000952","0.001079","0.000947","-","11.60%"
"May 30, 2018","0.000953","0.001106","0.001141","0.000821","-","-13.44%"
"May 29, 2018","0.001101","0.000748","0.001114","0.000721","-","48.33%"
"May 28, 2018","0.000742","0.001138","0.001161","0.000735","-","-29.10%"
"May 27, 2018","0.001047","0.001265","0.001684","0.001000","-","-17.23%"
"May 26, 2018","0.001265","0.001227","0.010774","0.001048","-","3.07%"
"May 25, 2018","0.001227","0.001802","0.004760","0.001094","-","-31.91%"
"May 24, 2018","0.001802","0.001110","0.001808","0.000810","-","62.66%"
"May 23, 2018","0.001108","0.001121","0.002610","0.001010","-","-1.27%"
