"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","3.8306","3.9332","4.1581","3.7500","16.54M","-2.45%"
"Jun 29, 2018","3.9269","3.7300","4.0180","3.6400","9.88M","5.24%"
"Jun 28, 2018","3.7314","3.9401","4.1120","3.6800","10.06M","-5.30%"
"Jun 27, 2018","3.9402","3.7282","3.9529","3.6393","8.80M","5.91%"
"Jun 26, 2018","3.7202","3.9631","4.2294","3.7122","14.31M","-6.12%"
"Jun 25, 2018","3.9629","3.8099","4.1729","3.6695","15.52M","3.98%"
"Jun 24, 2018","3.8112","4.2086","4.2197","3.3788","26.73M","-9.17%"
"Jun 23, 2018","4.1961","4.3000","4.4581","4.0611","11.76M","-2.42%"
"Jun 22, 2018","4.3001","4.9417","4.9669","4.2166","22.38M","-13.04%"
"Jun 21, 2018","4.9450","5.0092","5.0553","4.7915","9.07M","-1.25%"
"Jun 20, 2018","5.0078","5.1888","5.1901","4.8006","13.64M","-3.53%"
"Jun 19, 2018","5.1911","4.3780","5.2235","4.2318","20.30M","18.63%"
"Jun 18, 2018","4.3759","4.3712","4.4219","4.1840","5.65M","0.50%"
"Jun 17, 2018","4.3543","4.3495","4.4293","4.3000","3.31M","0.15%"
"Jun 16, 2018","4.3479","4.3152","4.4098","4.1895","4.30M","0.66%"
"Jun 15, 2018","4.3195","4.5378","4.5539","4.3020","6.72M","-4.81%"
"Jun 14, 2018","4.5380","4.3754","4.5871","4.2170","10.69M","3.73%"
"Jun 13, 2018","4.3748","4.5157","4.5723","4.0250","14.38M","-2.87%"
"Jun 12, 2018","4.5040","4.9636","4.9693","4.4006","11.42M","-9.28%"
"Jun 11, 2018","4.9647","4.8240","4.9771","4.5159","17.54M","2.94%"
"Jun 10, 2018","4.8228","5.4199","5.4295","4.5437","22.08M","-10.99%"
"Jun 09, 2018","5.4180","5.6700","5.7600","5.3310","8.10M","-4.45%"
"Jun 08, 2018","5.6701","5.6669","5.8987","5.5215","9.29M","0.16%"
"Jun 07, 2018","5.6611","5.2800","5.8299","5.2800","13.93M","6.98%"
"Jun 06, 2018","5.2915","5.9700","6.1000","5.0674","34.24M","-11.31%"
"Jun 05, 2018","5.9666","5.5212","6.0560","5.5212","22.19M","8.04%"
"Jun 04, 2018","5.5227","5.3230","5.6999","5.0000","22.71M","3.73%"
"Jun 03, 2018","5.3243","4.7101","5.4200","4.6836","18.86M","13.04%"
