"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","1.56042","1.52360","1.62361","1.51643","452.92K","2.42%"
"Jun 29, 2018","1.52360","1.41524","1.55627","1.37335","437.38K","7.58%"
"Jun 28, 2018","1.41621","1.51975","1.58247","1.40306","452.68K","-6.81%"
"Jun 27, 2018","1.51975","1.47157","1.53886","1.44611","435.45K","3.00%"
"Jun 26, 2018","1.47549","1.62335","1.63764","1.46325","474.21K","-8.90%"
"Jun 25, 2018","1.61963","1.56594","1.68411","1.54557","471.94K","3.15%"
"Jun 24, 2018","1.57012","1.75004","1.75562","1.45605","505.33K","-10.28%"
"Jun 23, 2018","1.75004","1.77700","1.81854","1.70711","423.63K","-1.36%"
"Jun 22, 2018","1.77411","1.98937","1.99458","1.69646","513.05K","-10.82%"
"Jun 21, 2018","1.98937","2.08092","2.10323","1.97863","445.22K","-4.60%"
"Jun 20, 2018","2.08533","2.10065","2.12617","2.00851","448.20K","-0.90%"
"Jun 19, 2018","2.10434","2.11409","2.19299","2.05653","489.05K","-0.22%"
"Jun 18, 2018","2.10904","1.98029","2.16379","1.93910","433.33K","6.50%"
"Jun 17, 2018","1.98029","2.02513","2.09272","1.97565","433.01K","-2.08%"
"Jun 16, 2018","2.02240","1.98911","2.05006","1.87016","530.75K","1.34%"
"Jun 15, 2018","1.99575","2.27823","2.29287","1.98613","500.26K","-12.39%"
"Jun 14, 2018","2.27786","1.98542","2.36791","1.96067","660.22K","14.73%"
"Jun 13, 2018","1.98543","1.88260","2.07154","1.80626","723.93K","5.17%"
"Jun 12, 2018","1.88774","2.14782","2.15574","1.83651","438.77K","-12.16%"
"Jun 11, 2018","2.14917","2.11343","2.15478","2.02463","428.77K","1.80%"
"Jun 10, 2018","2.11121","2.45216","2.45255","2.04534","459.85K","-13.71%"
"Jun 09, 2018","2.44662","2.59125","2.60492","2.44069","397.68K","-5.73%"
"Jun 08, 2018","2.59529","2.59348","2.63566","2.50860","448.09K","0.02%"
"Jun 07, 2018","2.59467","2.65660","2.72227","2.58325","428.60K","-2.34%"
"Jun 06, 2018","2.65689","2.67850","2.69552","2.58303","423.75K","-1.12%"
"Jun 05, 2018","2.68707","2.61489","2.73625","2.50740","421.42K","2.56%"
"Jun 04, 2018","2.62011","2.82052","2.85856","2.56457","462.67K","-6.82%"
"Jun 03, 2018","2.81196","2.76994","2.90748","2.74458","425.76K","1.52%"
"Jun 02, 2018","2.76994","2.71547","2.84750","2.67057","467.78K","1.92%"
"Jun 01, 2018","2.71772","2.76548","2.80873","2.65325","437.83K","-1.73%"
"May 31, 2018","2.76548","2.65263","2.83993","2.58215","474.25K","4.06%"
"May 30, 2018","2.65751","2.59573","2.79821","2.52034","564.21K","2.60%"
"May 29, 2018","2.59015","2.20273","2.69676","2.17848","615.97K","18.07%"
"May 28, 2018","2.19380","2.51255","2.54408","2.17522","473.24K","-12.63%"
"May 27, 2018","2.51089","2.59711","2.59771","2.44136","431.03K","-3.15%"
"May 26, 2018","2.59254","2.63331","2.98663","2.58331","638.50K","-1.83%"
"May 25, 2018","2.64098","2.81477","2.83872","2.57590","430.04K","-6.07%"
"May 24, 2018","2.81179","2.65755","2.82003","2.51726","475.27K","5.73%"
"May 23, 2018","2.65929","3.02763","3.07224","2.60130","492.68K","-12.17%"
"May 22, 2018","3.02792","3.44387","3.46239","2.99322","481.69K","-12.08%"
"May 21, 2018","3.44387","3.62059","3.64403","3.39658","443.51K","-4.88%"
"May 20, 2018","3.62059","3.49961","3.70264","3.46002","416.02K","3.46%"
"May 19, 2018","3.49961","3.60054","3.61054","3.45586","402.35K","-2.80%"
"May 18, 2018","3.60054","3.51131","3.60965","3.37649","475.78K","2.66%"
"May 17, 2018","3.50727","3.79933","3.90087","3.45712","448.19K","-7.69%"
"May 16, 2018","3.79933","3.92366","3.93825","3.62588","490.90K","-3.20%"
"May 15, 2018","3.92511","3.90665","4.29907","3.90665","489.23K","0.40%"
"May 14, 2018","3.90950","3.97278","4.04367","3.68102","485.05K","-1.59%"
"May 13, 2018","3.97278","3.83173","4.13060","3.71643","467.03K","3.73%"
"May 12, 2018","3.82991","3.99728","4.13816","3.52113","544.72K","-4.19%"
"May 11, 2018","3.99728","3.81994","4.21775","3.49351","640.48K","4.64%"
"May 10, 2018","3.81994","4.18151","4.29365","3.81517","445.32K","-8.56%"
"May 09, 2018","4.17738","4.41483","4.41883","4.04782","468.83K","-5.82%"
"May 08, 2018","4.43551","4.28678","4.47927","4.10470","506.15K","2.94%"
"May 07, 2018","4.30893","4.25098","4.31753","3.90768","464.86K","1.36%"
"May 06, 2018","4.25098","4.41176","4.42064","4.03774","437.79K","-4.05%"
"May 05, 2018","4.43063","4.53371","4.53407","4.35238","433.24K","-2.27%"
"May 04, 2018","4.53371","4.37874","4.53437","4.17910","523.39K","3.54%"
"May 03, 2018","4.37873","4.37111","4.60984","4.22893","341.81K","0.17%"
"May 02, 2018","4.37111","4.37405","4.41871","4.25220","118.42K","-0.07%"
"May 01, 2018","4.37405","4.28762","4.39791","3.95963","132.39K","2.02%"
"Apr 30, 2018","4.28762","4.70240","4.71371","4.20390","316.87K","-8.82%"
"Apr 29, 2018","4.70240","4.83014","4.88125","4.35613","490.20K","-2.64%"
"Apr 28, 2018","4.83014","4.25241","4.88817","4.23382","347.59K","13.59%"
"Apr 27, 2018","4.25241","4.25994","4.74456","4.10748","497.67K","-0.18%"
"Apr 26, 2018","4.25994","3.66027","4.28620","3.58592","245.53K","16.38%"
"Apr 25, 2018","3.66027","4.24202","4.35940","3.51319","331.28K","-13.71%"
"Apr 24, 2018","4.24202","3.87621","4.41225","3.86463","375.99K","9.44%"
"Apr 23, 2018","3.87621","3.54696","3.90952","3.51415","706.24K","9.28%"
"Apr 22, 2018","3.54696","3.49241","3.66134","3.40286","135.85K","1.56%"
"Apr 21, 2018","3.49241","3.59173","3.69828","3.23090","152.23K","-2.77%"
"Apr 20, 2018","3.59173","3.38512","3.62365","3.21009","134.72K","6.10%"
"Apr 19, 2018","3.38512","3.27699","3.44368","3.18973","110.27K","3.30%"
"Apr 18, 2018","3.27699","2.85095","3.29535","2.83030","63.29K","14.94%"
"Apr 17, 2018","2.85095","2.85230","2.98322","2.80117","85.82K","-0.05%"
"Apr 16, 2018","2.85230","2.85495","2.94918","2.69830","316.89K","-0.09%"
"Apr 15, 2018","2.85495","2.62879","2.86281","2.61083","82.13K","8.60%"
"Apr 14, 2018","2.62879","2.58721","2.71974","2.50843","96.86K","1.61%"
"Apr 13, 2018","2.58721","2.74481","2.86103","2.48956","418.57K","-5.74%"
"Apr 12, 2018","2.74481","2.30278","3.07292","2.06865","209.94K","19.20%"
"Apr 11, 2018","2.30278","2.12654","2.42889","2.08198","133.74K","8.29%"
"Apr 10, 2018","2.12654","1.98064","2.17103","1.95235","76.21K","7.37%"
"Apr 09, 2018","1.98064","2.07769","2.19120","1.93625","61.62K","-4.67%"
"Apr 08, 2018","2.07769","2.08239","2.16555","2.04856","32.33K","-0.22%"
"Apr 07, 2018","2.08236","1.91272","2.22296","1.91272","114.83K","8.87%"
"Apr 06, 2018","1.91272","2.05314","2.08175","1.86176","45.58K","-6.84%"
"Apr 05, 2018","2.05314","2.07100","2.13208","1.93948","44.74K","-0.86%"
"Apr 04, 2018","2.07100","2.35988","2.36509","2.05631","83.63K","-12.24%"
"Apr 03, 2018","2.35987","2.15065","2.36434","2.13384","74.19K","9.73%"
"Apr 02, 2018","2.15065","2.16409","2.20611","2.01765","23.70K","-0.62%"
"Apr 01, 2018","2.16409","2.18162","2.18857","1.86601","75.14K","-0.80%"
"Mar 31, 2018","2.18156","2.25039","2.37398","2.17730","72.73K","-3.06%"
"Mar 30, 2018","2.25049","2.30947","2.65645","2.09209","98.01K","-2.55%"
"Mar 29, 2018","2.30947","2.86102","2.87558","2.22845","75.68K","-19.28%"
"Mar 28, 2018","2.86096","2.82763","3.02015","2.79114","45.12K","1.18%"
"Mar 27, 2018","2.82762","3.05586","3.09513","2.73585","174.78K","-7.47%"
"Mar 26, 2018","3.05586","3.42789","3.81852","2.81214","180.84K","-10.85%"
"Mar 25, 2018","3.42790","3.51581","3.66092","3.27915","94.02K","-2.50%"
"Mar 24, 2018","3.51581","4.04201","4.05113","3.51581","100.92K","-13.02%"
"Mar 23, 2018","4.04201","3.58408","4.05850","3.10871","335.35K","12.78%"
"Mar 22, 2018","3.58408","3.39727","4.38686","3.27575","305.33K","5.50%"
"Mar 21, 2018","3.39728","2.57797","3.66058","2.57797","570.10K","31.78%"
"Mar 20, 2018","2.57797","2.29436","2.65426","2.14770","51.10K","12.36%"
"Mar 19, 2018","2.29436","2.03891","2.44763","1.96504","54.54K","12.53%"
"Mar 18, 2018","2.03891","1.95858","2.05900","1.58370","86.64K","4.10%"
"Mar 17, 2018","1.95858","2.28347","2.28347","1.91148","21.04K","-14.23%"
"Mar 16, 2018","2.28347","2.29869","2.45688","2.20182","27.28K","-0.66%"
"Mar 15, 2018","2.29869","2.41096","2.48182","2.19484","28.91K","-4.66%"
"Mar 14, 2018","2.41096","2.70827","3.09636","2.35453","43.86K","-10.98%"
"Mar 13, 2018","2.70827","2.54644","2.86577","2.52425","29.85K","6.36%"
"Mar 12, 2018","2.54644","2.75674","2.86891","2.49678","18.36K","-7.63%"
"Mar 11, 2018","2.75674","2.51871","2.94866","2.38444","17.26K","9.45%"
"Mar 10, 2018","2.51871","2.75071","2.82585","2.44599","20.05K","-8.43%"
"Mar 09, 2018","2.75066","2.62334","2.78266","2.23074","71.08K","4.85%"
"Mar 08, 2018","2.62333","2.91347","3.08462","2.57546","46.30K","-9.96%"
"Mar 07, 2018","2.91348","3.32557","3.39947","2.66309","63.84K","-12.39%"
"Mar 06, 2018","3.32557","3.45055","3.57380","3.20284","23.99K","-3.62%"
"Mar 05, 2018","3.45055","3.62710","3.62749","3.44875","12.79K","-4.87%"
"Mar 04, 2018","3.62710","3.68611","3.71542","3.52709","11.95K","-1.60%"
"Mar 03, 2018","3.68611","3.57279","3.83698","3.55311","28.48K","3.17%"
"Mar 02, 2018","3.57279","3.80923","3.83472","3.45729","21.84K","-6.21%"
"Mar 01, 2018","3.80923","3.57842","3.81263","3.52110","12.75K","6.45%"
"Feb 28, 2018","3.57842","4.01515","4.03933","3.57786","39.95K","-10.88%"
"Feb 27, 2018","4.01515","4.05094","4.29937","3.87762","22.28K","-0.88%"
"Feb 26, 2018","4.05094","3.77008","4.26412","3.77008","36.82K","7.33%"
"Feb 25, 2018","3.77414","3.56589","3.82936","3.54614","19.99K","5.84%"
"Feb 24, 2018","3.56589","3.98661","4.12690","3.51697","22.93K","-10.55%"
"Feb 23, 2018","3.98661","3.87392","4.48368","3.64009","120.47K","2.91%"
"Feb 22, 2018","3.87392","4.03423","4.37577","3.64276","32.08K","-3.97%"
"Feb 21, 2018","4.03423","4.24223","4.49230","3.90458","64.78K","-4.90%"
"Feb 20, 2018","4.24218","4.79369","5.51052","4.16502","77.35K","-11.50%"
"Feb 19, 2018","4.79369","4.72591","4.96521","4.69238","12.71K","1.43%"
"Feb 18, 2018","4.72591","5.38461","5.39208","4.58963","49.32K","-12.23%"
"Feb 17, 2018","5.38461","4.82109","5.72785","4.74752","66.24K","11.69%"
"Feb 16, 2018","4.82109","4.77318","4.85227","4.46431","49.73K","1.00%"
"Feb 15, 2018","4.77318","4.46942","4.77343","4.33398","67.78K","6.79%"
"Feb 14, 2018","4.46949","3.92124","4.51391","3.87080","66.65K","13.98%"
"Feb 13, 2018","3.92124","4.25140","4.25140","3.85996","38.70K","-7.77%"
"Feb 12, 2018","4.25140","3.85693","4.45341","3.85427","29.07K","10.23%"
"Feb 11, 2018","3.85693","4.05612","4.12736","3.47738","68.35K","-4.91%"
