"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","0.024617","0.023009","0.024738","0.022935","429.10M","6.99%"
"Jun 29, 2018","0.023009","0.020914","0.023533","0.020814","413.98M","9.98%"
"Jun 28, 2018","0.020922","0.022843","0.023626","0.020615","459.88M","-8.40%"
"Jun 27, 2018","0.022841","0.022118","0.023311","0.021359","490.32M","3.05%"
"Jun 26, 2018","0.022165","0.023006","0.024754","0.021938","568.99M","-3.61%"
"Jun 25, 2018","0.022996","0.023096","0.024578","0.021510","698.04M","-0.33%"
"Jun 24, 2018","0.023073","0.024225","0.024425","0.019533","1.00B","-4.65%"
"Jun 23, 2018","0.024199","0.024168","0.025911","0.022409","547.04M","0.05%"
"Jun 22, 2018","0.024188","0.030655","0.030730","0.023401","827.24M","-21.05%"
"Jun 21, 2018","0.030639","0.032165","0.032699","0.029544","451.12M","-4.71%"
"Jun 20, 2018","0.032152","0.028695","0.033501","0.026764","814.41M","12.21%"
"Jun 19, 2018","0.028653","0.027549","0.028890","0.026800","357.45M","4.00%"
"Jun 18, 2018","0.027550","0.026655","0.027983","0.025828","234.46M","3.64%"
"Jun 17, 2018","0.026583","0.027198","0.027600","0.026516","153.75M","-2.32%"
"Jun 16, 2018","0.027214","0.026542","0.027887","0.026411","188.91M","2.41%"
"Jun 15, 2018","0.026574","0.028555","0.028555","0.026299","363.51M","-6.94%"
"Jun 14, 2018","0.028555","0.026821","0.029000","0.025604","563.34M","6.45%"
"Jun 13, 2018","0.026824","0.026671","0.027301","0.023373","574.95M","0.54%"
"Jun 12, 2018","0.026681","0.030646","0.030694","0.025726","419.56M","-12.99%"
"Jun 11, 2018","0.030665","0.030978","0.031224","0.027701","626.47M","-1.17%"
"Jun 10, 2018","0.031028","0.038114","0.038114","0.029108","817.43M","-18.66%"
"Jun 09, 2018","0.038146","0.039247","0.041148","0.038000","208.14M","-2.72%"
"Jun 08, 2018","0.039213","0.040616","0.041568","0.037905","279.62M","-3.51%"
"Jun 07, 2018","0.040638","0.041883","0.043172","0.040480","221.17M","-2.87%"
"Jun 06, 2018","0.041837","0.043351","0.043646","0.040594","247.77M","-3.49%"
"Jun 05, 2018","0.043349","0.042398","0.044000","0.039931","287.13M","2.46%"
"Jun 04, 2018","0.042310","0.046799","0.047500","0.041300","314.64M","-9.36%"
"Jun 03, 2018","0.046678","0.046350","0.048351","0.046031","257.48M","0.70%"
"Jun 02, 2018","0.046355","0.044779","0.047365","0.044261","285.23M","3.54%"
"Jun 01, 2018","0.044772","0.044260","0.045687","0.042580","329.46M","0.93%"
"May 31, 2018","0.044360","0.041165","0.045000","0.040670","418.42M","7.75%"
"May 30, 2018","0.041170","0.041500","0.043259","0.039560","346.24M","-0.42%"
"May 29, 2018","0.041342","0.037637","0.042599","0.036087","435.12M","9.86%"
"May 28, 2018","0.037630","0.039000","0.042599","0.037500","570.13M","-3.38%"
"May 27, 2018","0.038947","0.039006","0.039812","0.037817","166.70M","-0.17%"
"May 26, 2018","0.039015","0.039359","0.040386","0.037928","148.91M","-0.92%"
"May 25, 2018","0.039378","0.040627","0.041224","0.037650","251.68M","-3.18%"
"May 24, 2018","0.040671","0.036081","0.041900","0.035000","579.99M","12.54%"
"May 23, 2018","0.036138","0.043178","0.044400","0.035400","687.19M","-16.00%"
"May 22, 2018","0.043019","0.049942","0.050000","0.042403","340.45M","-13.83%"
"May 21, 2018","0.049926","0.053701","0.054672","0.049312","243.92M","-7.03%"
"May 20, 2018","0.053701","0.049538","0.054963","0.048102","211.07M","7.92%"
"May 19, 2018","0.049760","0.050000","0.051799","0.047429","221.57M","-0.42%"
"May 18, 2018","0.049970","0.049921","0.050900","0.047136","316.43M","-0.06%"
"May 17, 2018","0.050000","0.053110","0.056282","0.048876","377.91M","-5.90%"
"May 16, 2018","0.053134","0.055749","0.056504","0.049749","426.80M","-4.68%"
"May 15, 2018","0.055743","0.058824","0.062157","0.054480","351.42M","-5.49%"
"May 14, 2018","0.058980","0.060751","0.062803","0.053972","639.22M","-2.74%"
"May 13, 2018","0.060642","0.055359","0.063300","0.052417","539.41M","9.97%"
"May 12, 2018","0.055145","0.059660","0.061578","0.030000","1.48B","-7.57%"
"May 11, 2018","0.059660","0.068644","0.071222","0.058271","763.50M","-13.33%"
"May 10, 2018","0.068839","0.070001","0.078421","0.068801","684.18M","-1.93%"
"May 09, 2018","0.070195","0.070139","0.072799","0.062555","543.73M","0.26%"
"May 08, 2018","0.070011","0.057951","0.071800","0.057700","791.54M","20.55%"
"May 07, 2018","0.058078","0.060492","0.061220","0.053299","509.52M","-4.03%"
"May 06, 2018","0.060516","0.066376","0.066500","0.057300","426.82M","-8.89%"
"May 05, 2018","0.066419","0.066600","0.068800","0.065010","228.68M","-0.42%"
"May 04, 2018","0.066697","0.064001","0.069670","0.062748","400.48M","4.11%"
"May 03, 2018","0.064067","0.063886","0.067331","0.060579","433.73M","0.20%"
"May 02, 2018","0.063940","0.056950","0.065000","0.055200","505.32M","12.18%"
"May 01, 2018","0.057000","0.058900","0.059099","0.051200","477.83M","-3.22%"
"Apr 30, 2018","0.058899","0.058560","0.064253","0.057338","585.05M","0.58%"
"Apr 29, 2018","0.058560","0.056711","0.059800","0.052347","621.05M","3.26%"
"Apr 28, 2018","0.056712","0.048169","0.058800","0.047708","489.20M","17.74%"
"Apr 27, 2018","0.048169","0.051999","0.052099","0.048001","424.22M","-7.37%"
"Apr 26, 2018","0.051999","0.044600","0.052200","0.043000","756.26M","16.44%"
"Apr 25, 2018","0.044659","0.054193","0.054584","0.042900","1.05B","-17.47%"
"Apr 24, 2018","0.054111","0.048111","0.056890","0.048110","677.32M","12.47%"
"Apr 23, 2018","0.048112","0.046800","0.052000","0.045605","566.36M","2.80%"
"Apr 22, 2018","0.046800","0.040925","0.052800","0.039672","935.10M","14.35%"
"Apr 21, 2018","0.040926","0.041350","0.043479","0.037990","554.04M","-1.12%"
"Apr 20, 2018","0.041391","0.039616","0.042600","0.039200","540.25M","4.60%"
"Apr 19, 2018","0.039571","0.036965","0.040177","0.036300","376.93M","7.15%"
"Apr 18, 2018","0.036929","0.034430","0.037400","0.034228","232.56M","7.26%"
"Apr 17, 2018","0.034430","0.036226","0.036542","0.034324","295.72M","-4.99%"
"Apr 16, 2018","0.036240","0.038333","0.038699","0.033822","444.20M","-5.34%"
"Apr 15, 2018","0.038286","0.037719","0.038959","0.036500","438.33M","1.73%"
"Apr 14, 2018","0.037635","0.033945","0.038700","0.033388","593.48M","11.05%"
"Apr 13, 2018","0.033891","0.034901","0.036750","0.033147","634.08M","-2.89%"
"Apr 12, 2018","0.034900","0.030614","0.035417","0.029260","718.88M","14.00%"
"Apr 11, 2018","0.030614","0.029200","0.031400","0.028676","468.73M","4.87%"
"Apr 10, 2018","0.029191","0.029765","0.030878","0.027900","497.13M","-1.93%"
"Apr 09, 2018","0.029765","0.034839","0.035326","0.028761","870.70M","-14.57%"
"Apr 08, 2018","0.034843","0.033497","0.036055","0.033003","526.11M","3.81%"
"Apr 07, 2018","0.033564","0.027057","0.035188","0.027038","1.01B","24.05%"
"Apr 06, 2018","0.027056","0.028781","0.028943","0.026200","249.12M","-6.06%"
"Apr 05, 2018","0.028800","0.029465","0.029850","0.026610","478.74M","-2.39%"
"Apr 04, 2018","0.029504","0.025392","0.032209","0.024388","1.24B","16.19%"
"Apr 03, 2018","0.025392","0.023099","0.026500","0.022601","490.62M","9.92%"
"Apr 02, 2018","0.023100","0.021900","0.023587","0.021486","350.69M","5.26%"
"Apr 01, 2018","0.021945","0.024100","0.024700","0.019420","558.07M","-8.95%"
"Mar 31, 2018","0.024101","0.025641","0.026431","0.024100","294.52M","-6.00%"
"Mar 30, 2018","0.025638","0.024612","0.026400","0.023101","566.90M","4.21%"
"Mar 29, 2018","0.024602","0.027109","0.028300","0.023835","660.67M","-9.21%"
"Mar 28, 2018","0.027098","0.023621","0.027359","0.023621","474.82M","14.80%"
"Mar 27, 2018","0.023605","0.025340","0.025967","0.022700","319.67M","-7.40%"
"Mar 26, 2018","0.025492","0.027920","0.028375","0.022800","509.57M","-8.70%"
"Mar 25, 2018","0.027922","0.024464","0.030300","0.024196","541.50M","14.35%"
"Mar 24, 2018","0.024417","0.024935","0.028888","0.024180","447.66M","-1.94%"
"Mar 23, 2018","0.024899","0.021260","0.025188","0.018579","460.77M","16.65%"
"Mar 22, 2018","0.021345","0.021046","0.023222","0.019580","463.57M","1.89%"
"Mar 21, 2018","0.020950","0.018678","0.021351","0.018435","396.54M","12.19%"
"Mar 20, 2018","0.018674","0.018721","0.019300","0.017100","294.91M","-0.21%"
"Mar 19, 2018","0.018714","0.016588","0.018714","0.016154","385.53M","12.78%"
"Mar 18, 2018","0.016594","0.016725","0.016782","0.013510","409.32M","-0.74%"
"Mar 17, 2018","0.016717","0.018381","0.018770","0.016600","187.90M","-9.45%"
"Mar 16, 2018","0.018461","0.017918","0.019486","0.016901","278.18M","3.00%"
"Mar 15, 2018","0.017923","0.018639","0.018900","0.016301","407.28M","-3.90%"
"Mar 14, 2018","0.018650","0.020591","0.022052","0.017764","435.56M","-9.50%"
"Mar 13, 2018","0.020608","0.019480","0.021500","0.018674","308.73M","5.79%"
"Mar 12, 2018","0.019480","0.021400","0.023300","0.018100","382.94M","-8.97%"
"Mar 11, 2018","0.021400","0.017688","0.022491","0.016669","399.55M","21.59%"
"Mar 10, 2018","0.017600","0.018900","0.019700","0.017411","361.43M","-7.37%"
"Mar 09, 2018","0.019000","0.019700","0.020000","0.015800","900.49M","-3.55%"
"Mar 08, 2018","0.019700","0.023800","0.025000","0.018800","817.22M","-17.23%"
"Mar 07, 2018","0.023800","0.031100","0.032000","0.022900","417.44M","-23.47%"
