"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","2.0329","1.9010","2.0476","1.9000","106.91K","6.94%"
"Jun 29, 2018","1.9010","1.8436","2.0050","1.7425","144.22K","2.99%"
"Jun 28, 2018","1.8459","2.1090","2.1671","1.8395","118.72K","-12.48%"
"Jun 27, 2018","2.1090","2.1472","2.1505","2.0821","150.27K","-1.74%"
"Jun 26, 2018","2.1462","2.2417","2.2938","2.1440","138.89K","-4.03%"
"Jun 25, 2018","2.2365","2.2125","2.2845","2.0900","172.92K","1.08%"
"Jun 24, 2018","2.2125","2.4248","2.4323","2.0410","291.82K","-8.90%"
"Jun 23, 2018","2.4287","2.3972","2.4691","2.3325","189.47K","1.37%"
"Jun 22, 2018","2.3959","2.7621","2.7624","2.3500","183.93K","-13.17%"
"Jun 21, 2018","2.7592","2.5974","2.8000","2.5974","110.97K","6.23%"
"Jun 20, 2018","2.5974","2.5885","2.5974","2.4618","97.03K","0.34%"
"Jun 19, 2018","2.5885","2.5895","2.6438","2.5146","169.42K","-0.08%"
"Jun 18, 2018","2.5905","2.4844","2.6020","2.4027","161.38K","4.20%"
"Jun 17, 2018","2.4862","2.5049","2.5504","2.4793","155.34K","-0.44%"
"Jun 16, 2018","2.4970","2.4358","2.5336","2.4100","156.45K","2.46%"
"Jun 15, 2018","2.4371","2.5419","2.6000","2.4300","174.23K","-4.12%"
"Jun 14, 2018","2.5419","2.2601","2.5813","2.2509","169.59K","13.25%"
"Jun 13, 2018","2.2446","2.3427","2.4002","2.1691","187.89K","-4.18%"
"Jun 12, 2018","2.3427","2.5094","2.5153","2.3132","159.65K","-6.64%"
"Jun 11, 2018","2.5094","2.3566","2.5493","2.3030","151.36K","6.30%"
"Jun 10, 2018","2.3606","2.7691","2.7691","2.3202","118.98K","-14.56%"
"Jun 09, 2018","2.7629","2.6833","2.9020","2.6272","75.03K","2.94%"
"Jun 08, 2018","2.6839","2.9910","3.0343","2.6635","42.74K","-10.27%"
"Jun 07, 2018","2.9910","3.1000","3.2000","2.9666","13.14K","-3.52%"
"Jun 06, 2018","3.1000","3.0520","3.1417","3.0103","14.64K","1.57%"
"Jun 05, 2018","3.0520","2.9372","3.0800","2.8610","16.47K","4.97%"
"Jun 04, 2018","2.9074","3.1640","3.2239","2.8960","13.32K","-8.11%"
"Jun 03, 2018","3.1640","3.2000","3.2503","3.1096","18.35K","-1.13%"
"Jun 02, 2018","3.2000","3.0871","3.3063","3.0800","16.53K","3.66%"
"Jun 01, 2018","3.0871","3.1173","3.1600","3.0000","11.25K","-0.97%"
"May 31, 2018","3.1173","2.9000","3.1600","2.8771","16.32K","7.49%"
"May 30, 2018","2.9000","2.9700","3.0467","2.8346","36.25K","-2.36%"
"May 29, 2018","2.9700","2.7569","3.0531","2.7500","29.00K","7.73%"
"May 28, 2018","2.7569","3.1141","3.1141","2.7569","37.79K","-11.47%"
"May 27, 2018","3.1141","3.1389","3.1389","3.0000","16.53K","0.44%"
"May 26, 2018","3.1003","3.0996","3.1811","3.0110","8.89K","0.02%"
"May 25, 2018","3.0996","3.2328","3.2328","3.0110","17.46K","-4.12%"
"May 24, 2018","3.2328","3.1419","3.2992","3.0000","27.38K","2.89%"
"May 23, 2018","3.1419","3.4687","3.5287","3.0000","52.32K","-9.43%"
"May 22, 2018","3.4690","3.8654","3.8696","3.4500","23.81K","-10.26%"
"May 21, 2018","3.8654","3.9346","3.9895","3.7209","25.05K","-1.76%"
"May 20, 2018","3.9346","3.8304","3.9346","3.6614","35.79K","2.72%"
"May 19, 2018","3.8304","3.9819","4.5000","3.8300","67.38K","-3.80%"
"May 18, 2018","3.9819","3.5690","4.0182","3.4802","56.13K","10.82%"
"May 17, 2018","3.5930","3.6595","3.7300","3.5600","25.24K","-1.82%"
"May 16, 2018","3.6595","3.6600","3.7300","3.5000","33.02K","-0.01%"
"May 15, 2018","3.6600","3.6600","3.8143","3.6600","43.63K","0.00%"
"May 14, 2018","3.6600","3.8689","3.9039","3.6600","487.81K","-5.40%"
"May 13, 2018","3.8689","3.7585","3.9533","3.7091","216.84K","2.90%"
"May 12, 2018","3.7598","3.7024","3.9100","3.7020","230.00K","1.55%"
"May 11, 2018","3.7024","4.1347","4.1700","3.5859","150.71K","-10.45%"
"May 10, 2018","4.1347","4.2100","4.2900","4.1159","66.21K","-1.79%"
"May 09, 2018","4.2100","4.2617","4.2940","4.1151","37.20K","-1.21%"
"May 08, 2018","4.2617","4.3480","4.3927","4.1500","38.08K","-1.22%"
"May 07, 2018","4.3143","4.4150","4.4697","4.1000","26.64K","-2.28%"
"May 06, 2018","4.4150","4.7218","4.7900","4.3300","35.14K","-6.49%"
"May 05, 2018","4.7216","4.7350","4.9000","4.5350","26.27K","-0.28%"
"May 04, 2018","4.7350","4.5890","4.8100","4.3546","28.66K","3.18%"
"May 03, 2018","4.5890","4.1381","4.6300","3.9536","56.15K","10.90%"
"May 02, 2018","4.1381","4.0908","4.1423","3.8499","16.87K","1.16%"
"May 01, 2018","4.0908","4.0793","4.0998","3.8600","27.78K","0.28%"
"Apr 30, 2018","4.0793","4.3520","4.4000","4.0000","26.80K","-6.27%"
"Apr 29, 2018","4.3520","4.4421","4.5388","4.2599","30.85K","-2.03%"
"Apr 28, 2018","4.4421","4.3299","4.4900","4.2212","19.21K","2.59%"
"Apr 27, 2018","4.3299","4.5338","4.6000","4.2000","55.83K","-4.50%"
"Apr 26, 2018","4.5338","4.2100","4.5388","4.0601","46.47K","7.69%"
"Apr 25, 2018","4.2100","5.1000","5.1000","3.8000","173.17K","-17.61%"
