"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","1.55762","1.46571","1.60846","1.46206","-","6.24%"
"Jun 29, 2018","1.46609","1.36635","1.48507","1.33273","-","6.77%"
"Jun 28, 2018","1.37309","1.56555","1.60349","1.34518","-","-12.32%"
"Jun 27, 2018","1.56601","1.55663","1.59802","1.49989","-","0.36%"
"Jun 26, 2018","1.56041","1.61895","1.63130","1.54808","-","-3.59%"
"Jun 25, 2018","1.61848","1.58817","1.64357","1.55174","-","1.88%"
"Jun 24, 2018","1.58869","1.70898","1.71842","1.46920","-","-7.10%"
"Jun 23, 2018","1.71015","1.64466","1.73914","1.59586","-","3.96%"
"Jun 22, 2018","1.64508","1.79693","1.98282","1.50514","-","-8.72%"
"Jun 21, 2018","1.80216","1.86650","1.88873","1.78183","-","-3.45%"
"Jun 20, 2018","1.86663","1.94867","1.95078","1.80835","-","-4.32%"
"Jun 19, 2018","1.95087","1.93623","1.96200","1.84462","-","0.69%"
"Jun 18, 2018","1.93743","1.88859","1.97749","1.83640","-","2.67%"
"Jun 17, 2018","1.88706","1.93175","1.95666","1.88041","-","-2.31%"
"Jun 16, 2018","1.93175","1.89413","1.97357","1.88116","-","2.03%"
"Jun 15, 2018","1.89324","2.01650","2.05364","1.88885","-","-5.93%"
"Jun 14, 2018","2.01264","1.84439","2.05742","1.80388","-","8.77%"
"Jun 13, 2018","1.85033","1.95968","1.98086","1.74197","-","-5.60%"
"Jun 12, 2018","1.96006","2.11366","2.15473","1.89176","-","-7.33%"
"Jun 11, 2018","2.11502","2.12426","2.14632","2.01765","-","-0.32%"
"Jun 10, 2018","2.12185","2.43437","2.43908","2.10715","-","-12.80%"
"Jun 09, 2018","2.43344","2.44553","2.49087","2.43144","-","-0.49%"
"Jun 08, 2018","2.44545","2.51301","2.53014","2.36123","-","-2.73%"
"Jun 07, 2018","2.51406","2.52814","2.60585","2.49650","-","-0.55%"
"Jun 06, 2018","2.52796","2.59746","2.60222","2.45069","-","-2.56%"
"Jun 05, 2018","2.59449","2.50936","2.62770","2.46257","-","3.31%"
"Jun 04, 2018","2.51131","2.68388","2.70031","2.49317","-","-6.12%"
"Jun 03, 2018","2.67492","2.61782","2.71607","2.60202","-","2.10%"
"Jun 02, 2018","2.61981","2.52211","2.67238","2.48914","-","3.89%"
"Jun 01, 2018","2.52162","2.57158","2.58533","2.47195","-","-1.95%"
"May 31, 2018","2.57178","2.50650","2.63549","2.49647","-","2.56%"
"May 30, 2018","2.50759","2.55782","2.65248","2.40595","-","-1.86%"
"May 29, 2018","2.55506","2.29862","2.59491","2.25347","-","11.23%"
"May 28, 2018","2.29720","2.52396","2.58852","2.29720","-","-8.92%"
"May 27, 2018","2.52212","2.57922","2.57922","2.46958","-","-2.14%"
"May 26, 2018","2.57732","2.58811","2.63983","2.47780","-","-0.46%"
"May 25, 2018","2.58914","2.70124","2.73607","2.54901","-","-4.11%"
"May 24, 2018","2.70010","2.70342","2.78786","2.49328","-","-0.20%"
"May 23, 2018","2.70547","2.94253","3.00281","2.59155","-","-8.18%"
"May 22, 2018","2.94640","3.30223","3.30514","2.94600","-","-10.78%"
"May 21, 2018","3.30223","3.51365","3.54425","3.20525","-","-6.02%"
"May 20, 2018","3.51365","3.34189","3.55378","3.27963","-","4.73%"
"May 19, 2018","3.35481","3.13130","3.40166","3.11950","-","7.14%"
"May 18, 2018","3.13130","2.93500","3.25674","2.83888","-","6.55%"
"May 17, 2018","2.93882","3.01759","3.32606","2.90035","-","-2.97%"
"May 16, 2018","3.02875","3.09375","3.10312","2.85291","-","-1.79%"
"May 15, 2018","3.08410","3.16950","3.40343","3.07075","-","-2.75%"
"May 14, 2018","3.17132","3.18895","3.29408","2.98279","-","-0.55%"
"May 13, 2018","3.18895","3.06849","3.21579","2.91737","-","3.51%"
"May 12, 2018","3.08080","2.84299","3.77459","2.82386","-","8.59%"
"May 11, 2018","2.83703","3.24815","3.33228","2.80575","-","-12.66%"
"May 10, 2018","3.24815","3.38813","3.57711","3.24323","-","-4.13%"
"May 09, 2018","3.38813","3.50739","3.55835","3.26146","-","-3.58%"
"May 08, 2018","3.51387","3.77117","3.77205","0.00039","-","-5.27%"
"May 07, 2018","3.70946","3.88704","3.91651","3.51845","-","-4.57%"
"May 06, 2018","3.88704","4.15557","4.17972","3.73928","-","-6.44%"
"May 05, 2018","4.15470","4.25558","4.31555","4.09090","-","-2.42%"
"May 04, 2018","4.25764","4.30044","4.56580","4.13660","-","-1.00%"
"May 03, 2018","4.30044","4.00397","4.46173","3.91043","-","7.40%"
"May 02, 2018","4.00397","3.91691","4.01189","3.81982","-","2.22%"
"May 01, 2018","3.91691","3.95045","3.95881","3.64543","-","-0.85%"
"Apr 30, 2018","3.95045","4.17251","4.26345","3.88963","-","-5.32%"
"Apr 29, 2018","4.17251","3.91272","4.27306","3.81101","-","6.64%"
"Apr 28, 2018","3.91272","3.67871","3.98470","3.66117","-","6.28%"
"Apr 27, 2018","3.68149","3.79913","3.93517","3.67149","-","-3.10%"
"Apr 26, 2018","3.79913","3.59115","3.85359","3.42145","-","5.79%"
"Apr 25, 2018","3.59115","4.21950","4.24321","3.43219","-","-14.89%"
"Apr 24, 2018","4.21950","4.03920","4.30568","4.01105","-","4.46%"
"Apr 23, 2018","4.03920","3.87632","4.08623","3.85677","-","4.20%"
"Apr 22, 2018","3.87632","3.83423","4.03988","3.75871","-","1.17%"
"Apr 21, 2018","3.83143","3.99193","4.08792","3.49516","-","-4.04%"
"Apr 20, 2018","3.99255","3.81072","4.09890","3.68878","-","4.77%"
"Apr 19, 2018","3.81072","3.73111","4.09524","3.68705","-","2.13%"
"Apr 18, 2018","3.73111","3.46457","3.76025","3.45802","-","7.69%"
"Apr 17, 2018","3.46457","3.53484","3.56929","3.36742","-","-1.99%"
"Apr 16, 2018","3.53484","3.76964","3.79245","3.40635","-","-6.23%"
"Apr 15, 2018","3.76964","3.55478","3.81582","3.54608","-","6.31%"
"Apr 14, 2018","3.54595","3.19194","4.01785","3.15985","-","11.12%"
"Apr 13, 2018","3.19118","3.10365","3.42988","3.05702","-","2.82%"
"Apr 12, 2018","3.10365","2.82468","3.24669","2.64740","-","9.88%"
"Apr 11, 2018","2.82468","2.60068","2.84032","2.60022","-","8.61%"
"Apr 10, 2018","2.60068","2.49655","2.68951","2.45113","-","4.17%"
"Apr 09, 2018","2.49655","2.64668","2.76938","2.44450","-","-5.67%"
"Apr 08, 2018","2.64668","2.54425","2.66909","2.53701","-","4.28%"
"Apr 07, 2018","2.53816","2.41725","2.68693","2.41255","-","4.98%"
"Apr 06, 2018","2.41775","2.49462","2.59600","2.35705","-","-3.08%"
"Apr 05, 2018","2.49462","2.50495","2.76537","2.37100","-","-0.41%"
"Apr 04, 2018","2.50495","2.88086","3.08347","2.44005","-","-13.05%"
"Apr 03, 2018","2.88086","2.64215","3.14831","2.56821","-","9.03%"
"Apr 02, 2018","2.64215","2.31664","2.67126","2.30461","-","14.05%"
"Apr 01, 2018","2.31664","2.36222","2.40979","2.17320","-","-1.42%"
"Mar 31, 2018","2.35007","2.37660","2.44256","2.29333","-","-1.12%"
"Mar 30, 2018","2.37660","2.37610","2.47078","2.21762","-","0.02%"
"Mar 29, 2018","2.37610","2.75288","2.76804","2.33093","-","-13.69%"
"Mar 28, 2018","2.75288","2.73056","2.82397","2.65470","-","0.82%"
"Mar 27, 2018","2.73056","2.83356","2.93924","2.64584","-","-3.64%"
"Mar 26, 2018","2.83356","3.08361","3.14897","2.71475","-","-8.11%"
"Mar 25, 2018","3.08361","2.99855","3.21713","2.92782","-","2.86%"
"Mar 24, 2018","2.99787","2.89890","3.31290","2.85925","-","3.48%"
"Mar 23, 2018","2.89718","3.00061","3.00061","2.78057","-","-3.45%"
"Mar 22, 2018","3.00061","3.06234","3.16479","2.83244","-","-2.02%"
"Mar 21, 2018","3.06234","3.09190","3.30930","3.03335","-","-0.96%"
"Mar 20, 2018","3.09190","2.82800","3.12398","2.69631","-","9.33%"
"Mar 19, 2018","2.82800","2.63563","2.98368","2.54280","-","7.30%"
"Mar 18, 2018","2.63563","2.52851","2.65393","2.14532","-","3.88%"
"Mar 17, 2018","2.53707","2.84447","2.87288","2.52385","-","-11.26%"
"Mar 16, 2018","2.85908","2.96265","3.03049","2.77502","-","-3.50%"
"Mar 15, 2018","2.96265","3.09470","3.12501","2.74798","-","-4.27%"
"Mar 14, 2018","3.09470","3.42962","3.62442","3.03229","-","-9.77%"
"Mar 13, 2018","3.42962","3.55303","3.72241","3.35726","-","-3.47%"
"Mar 12, 2018","3.55303","3.51812","3.81208","3.36830","-","0.99%"
"Mar 11, 2018","3.51812","3.25940","3.60043","3.15392","-","8.06%"
"Mar 10, 2018","3.25558","3.34023","3.58236","3.22025","-","-2.31%"
"Mar 09, 2018","3.33252","3.31863","3.38539","2.88777","-","0.42%"
"Mar 08, 2018","3.31863","3.60128","3.76963","3.29810","-","-7.85%"
"Mar 07, 2018","3.60128","3.86227","3.93913","3.26111","-","-6.76%"
"Mar 06, 2018","3.86227","4.23802","4.28957","3.77212","-","-8.87%"
"Mar 05, 2018","4.23802","4.46053","4.52129","4.22469","-","-4.99%"
"Mar 04, 2018","4.46053","4.60730","4.61427","4.22263","-","-3.31%"
"Mar 03, 2018","4.61315","4.07722","4.84138","4.01856","-","13.16%"
"Mar 02, 2018","4.07651","3.83949","4.19164","3.73123","-","6.17%"
"Mar 01, 2018","3.83949","3.58287","4.01177","3.40217","-","7.16%"
"Feb 28, 2018","3.58287","3.82909","3.91173","3.56647","-","-6.43%"
"Feb 27, 2018","3.82909","3.94012","3.99168","3.79059","-","-2.82%"
"Feb 26, 2018","3.94012","3.82299","3.97090","3.63348","-","3.06%"
"Feb 25, 2018","3.82299","3.96632","3.96632","3.61071","-","-3.60%"
