"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","0.22150","0.18380","0.22350","0.18380","42.78K","34.49%"
"Jun 29, 2018","0.16470","0.16010","0.16470","0.16010","31.08K","-5.29%"
"Jun 28, 2018","0.17390","0.16840","0.18400","0.16620","30.31K","2.60%"
"Jun 27, 2018","0.16950","0.17260","0.18040","0.16910","5.36K","-1.80%"
"Jun 26, 2018","0.17260","0.17530","0.18300","0.16080","19.99K","-1.54%"
"Jun 25, 2018","0.17530","0.17810","0.18390","0.17530","8.75K","-1.57%"
"Jun 24, 2018","0.17810","0.19490","0.19490","0.16610","13.26K","-8.62%"
"Jun 23, 2018","0.19490","0.18660","0.19490","0.18350","17.47K","6.21%"
"Jun 22, 2018","0.18350","0.22020","0.22020","0.18000","31.95K","-16.67%"
"Jun 21, 2018","0.22020","0.22530","0.23350","0.20990","17.85K","-2.26%"
"Jun 20, 2018","0.22530","0.22000","0.25900","0.20820","45.95K","2.41%"
"Jun 19, 2018","0.22000","0.21390","0.22150","0.20520","23.87K","2.85%"
"Jun 18, 2018","0.21390","0.21380","0.21450","0.19530","59.70K","1.28%"
"Jun 17, 2018","0.21120","0.22200","0.22280","0.20820","8.37K","-4.86%"
"Jun 16, 2018","0.22200","0.23060","0.23060","0.21070","9.47K","-3.73%"
"Jun 15, 2018","0.23060","0.24120","0.24130","0.22810","12.20K","-4.43%"
"Jun 14, 2018","0.24130","0.21490","0.24150","0.20920","18.71K","12.28%"
"Jun 13, 2018","0.21490","0.22650","0.23200","0.19710","32.53K","-5.12%"
"Jun 12, 2018","0.22650","0.26410","0.27620","0.22000","43.82K","-12.18%"
"Jun 11, 2018","0.25790","0.23820","0.25790","0.23460","28.92K","8.27%"
"Jun 10, 2018","0.23820","0.29570","0.29570","0.23820","65.89K","-20.23%"
"Jun 09, 2018","0.29860","0.30000","0.31100","0.29560","20.99K","-0.47%"
"Jun 08, 2018","0.30000","0.30100","0.32130","0.30000","42.11K","-3.78%"
"Jun 07, 2018","0.31180","0.32900","0.33250","0.31000","43.29K","-5.23%"
"Jun 06, 2018","0.32900","0.33710","0.35610","0.32440","35.63K","-5.43%"
"Jun 05, 2018","0.34790","0.32930","0.36900","0.31300","12.00K","5.65%"
"Jun 04, 2018","0.32930","0.36980","0.36980","0.32930","22.25K","-9.66%"
"Jun 03, 2018","0.36450","0.36000","0.37770","0.36000","23.96K","1.25%"
"Jun 02, 2018","0.36000","0.35300","0.38080","0.34370","11.81K","1.98%"
"Jun 01, 2018","0.35300","0.34600","0.37000","0.34230","13.59K","3.07%"
"May 31, 2018","0.34250","0.34200","0.38750","0.32480","12.30K","0.74%"
"May 30, 2018","0.34000","0.35330","0.36230","0.32960","10.89K","-1.99%"
"May 29, 2018","0.34690","0.31720","0.36600","0.29670","15.88K","9.09%"
"May 28, 2018","0.31800","0.34200","0.34200","0.31800","8.73K","-7.02%"
"May 27, 2018","0.34200","0.37270","0.37270","0.33980","4.22K","-8.36%"
"May 26, 2018","0.37320","0.34440","0.39140","0.34440","13.08K","8.36%"
"May 25, 2018","0.34440","0.36250","0.37420","0.33190","12.95K","-4.99%"
"May 24, 2018","0.36250","0.34590","0.40510","0.31810","7.55K","11.95%"
"May 23, 2018","0.32380","0.37360","0.37910","0.31800","23.81K","-13.33%"
"May 22, 2018","0.37360","0.42560","0.42890","0.37360","42.43K","-12.22%"
"May 21, 2018","0.42560","0.45760","0.47390","0.42060","30.33K","-6.99%"
"May 20, 2018","0.45760","0.45560","0.46850","0.44900","20.80K","0.44%"
"May 19, 2018","0.45560","0.45580","0.53440","0.44050","16.91K","-0.04%"
"May 18, 2018","0.45580","0.44140","0.45580","0.43160","20.38K","3.26%"
"May 17, 2018","0.44140","0.47780","0.48240","0.44140","12.84K","-7.62%"
"May 16, 2018","0.47780","0.50770","0.50880","0.47090","26.08K","0.80%"
"May 15, 2018","0.47400","0.50200","0.55450","0.47400","20.79K","-8.83%"
"May 14, 2018","0.51990","0.50230","0.51990","0.45440","23.67K","3.50%"
"May 13, 2018","0.50230","0.46820","0.50270","0.45320","13.75K","7.28%"
"May 12, 2018","0.46820","0.47760","0.49540","0.44150","18.00K","-1.97%"
"May 11, 2018","0.47760","0.54270","0.54600","0.40000","54.39K","-12.00%"
