"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","0.35570","0.33487","0.36890","0.33009","7.30M","7.10%"
"Jun 29, 2018","0.33212","0.31555","0.33866","0.31003","6.00M","5.25%"
"Jun 28, 2018","0.31555","0.32832","0.34393","0.31555","5.35M","-3.89%"
"Jun 27, 2018","0.32832","0.32128","0.33210","0.31511","5.38M","2.19%"
"Jun 26, 2018","0.32128","0.33804","0.34713","0.30725","5.83M","-4.95%"
"Jun 25, 2018","0.33800","0.31400","0.34906","0.31135","6.67M","7.64%"
"Jun 24, 2018","0.31400","0.32215","0.32785","0.28128","8.58M","-2.53%"
"Jun 23, 2018","0.32215","0.30739","0.32881","0.29656","6.10M","4.95%"
"Jun 22, 2018","0.30695","0.36252","0.36351","0.29292","8.39M","-15.33%"
"Jun 21, 2018","0.36252","0.37815","0.39585","0.36157","6.55M","-4.29%"
"Jun 20, 2018","0.37876","0.38259","0.38391","0.36189","6.21M","-0.96%"
"Jun 19, 2018","0.38242","0.37668","0.39523","0.36766","6.32M","1.33%"
"Jun 18, 2018","0.37741","0.36278","0.38439","0.35628","5.24M","4.09%"
"Jun 17, 2018","0.36259","0.37574","0.37912","0.36137","4.46M","-3.26%"
"Jun 16, 2018","0.37482","0.35948","0.38320","0.35848","5.28M","4.27%"
"Jun 15, 2018","0.35948","0.37819","0.38160","0.35777","5.90M","-5.24%"
"Jun 14, 2018","0.37938","0.35092","0.38766","0.35091","7.31M","8.00%"
"Jun 13, 2018","0.35126","0.36630","0.41226","0.34095","8.00M","-3.72%"
"Jun 12, 2018","0.36483","0.41898","0.41898","0.35950","6.08M","-12.93%"
"Jun 11, 2018","0.41898","0.40480","0.42579","0.38668","7.88M","3.55%"
"Jun 10, 2018","0.40462","0.48789","0.48862","0.39154","8.21M","-17.11%"
"Jun 09, 2018","0.48817","0.51331","0.51514","0.48725","5.52M","-4.64%"
"Jun 08, 2018","0.51190","0.51844","0.52255","0.49539","5.61M","-1.21%"
"Jun 07, 2018","0.51817","0.53877","0.55099","0.51301","6.42M","-3.63%"
"Jun 06, 2018","0.53768","0.54483","0.55852","0.51984","7.27M","-1.30%"
"Jun 05, 2018","0.54474","0.50225","0.55475","0.48193","6.41M","8.59%"
"Jun 04, 2018","0.50167","0.54831","0.55177","0.49342","6.79M","-8.51%"
"Jun 03, 2018","0.54831","0.51953","0.57149","0.51896","7.95M","5.53%"
"Jun 02, 2018","0.51959","0.50372","0.53879","0.50086","7.31M","2.75%"
"Jun 01, 2018","0.50570","0.51981","0.54669","0.49193","7.51M","-2.72%"
"May 31, 2018","0.51984","0.47511","0.54273","0.47251","6.78M","9.55%"
"May 30, 2018","0.47452","0.48453","0.49886","0.46974","6.94M","-1.96%"
"May 29, 2018","0.48402","0.45089","0.49728","0.44054","6.81M","7.35%"
"May 28, 2018","0.45089","0.49882","0.50242","0.44960","7.51M","-9.61%"
"May 27, 2018","0.49882","0.50076","0.50847","0.49043","5.79M","-0.38%"
"May 26, 2018","0.50072","0.49150","0.51939","0.48756","5.49M","1.98%"
"May 25, 2018","0.49098","0.52392","0.52787","0.48832","6.70M","-6.34%"
"May 24, 2018","0.52423","0.49558","0.52889","0.46730","8.59M","5.78%"
"May 23, 2018","0.49558","0.57579","0.57650","0.46618","9.85M","-13.80%"
"May 22, 2018","0.57494","0.63765","0.64096","0.57002","6.51M","-9.83%"
"May 21, 2018","0.63765","0.66843","0.68792","0.62865","7.51M","-4.61%"
"May 20, 2018","0.66843","0.63181","0.68646","0.62793","7.31M","5.80%"
"May 19, 2018","0.63181","0.63996","0.64986","0.62420","7.16M","-1.27%"
"May 18, 2018","0.63996","0.64424","0.67653","0.62707","6.31M","-0.22%"
"May 17, 2018","0.64136","0.65327","0.68196","0.60953","8.49M","-1.82%"
"May 16, 2018","0.65327","0.70584","0.74564","0.63242","14.01M","-7.32%"
"May 15, 2018","0.70488","0.65230","0.71045","0.64291","8.08M","7.72%"
"May 14, 2018","0.65438","0.68407","0.68561","0.61975","7.78M","-4.11%"
"May 13, 2018","0.68245","0.62715","0.69731","0.60936","7.32M","8.43%"
"May 12, 2018","0.62938","0.64307","0.74157","0.54003","11.35M","-2.13%"
"May 11, 2018","0.64307","0.75428","0.75634","0.60432","12.13M","-14.74%"
"May 10, 2018","0.75428","0.82393","0.82530","0.75256","8.14M","-8.45%"
"May 09, 2018","0.82393","0.85466","0.85486","0.78932","7.28M","-3.38%"
"May 08, 2018","0.85272","0.85562","0.86671","0.80491","7.48M","0.72%"
"May 07, 2018","0.84664","0.86305","0.88027","0.79583","8.67M","-1.90%"
"May 06, 2018","0.86305","0.94146","0.94587","0.81690","11.21M","-8.11%"
"May 05, 2018","0.93921","0.90720","0.96004","0.90124","9.51M","3.53%"
"May 04, 2018","0.90720","0.90896","0.94405","0.87358","9.45M","-0.19%"
"May 03, 2018","0.90896","0.95139","1.00948","0.90340","8.65M","-4.46%"
"May 02, 2018","0.95139","0.95037","1.05208","0.91280","7.37M","0.11%"
"May 01, 2018","0.95037","0.93920","0.97271","0.85339","13.01M","1.20%"
"Apr 30, 2018","0.93906","1.01376","1.12350","0.89903","13.63M","-7.37%"
"Apr 29, 2018","1.01376","0.84322","1.06902","0.84298","19.30M","20.23%"
"Apr 28, 2018","0.84322","0.76023","0.87266","0.74926","11.27M","10.91%"
"Apr 27, 2018","0.76024","0.78919","0.81062","0.75240","8.65M","-3.67%"
"Apr 26, 2018","0.78919","0.72010","0.79642","0.69294","8.21M","9.59%"
"Apr 25, 2018","0.72010","0.85646","0.85646","0.68046","13.93M","-15.96%"
"Apr 24, 2018","0.85690","0.80663","0.85690","0.80034","10.46M","6.23%"
"Apr 23, 2018","0.80663","0.74124","0.81465","0.74005","10.04M","8.82%"
"Apr 22, 2018","0.74124","0.73258","0.79730","0.71764","8.38M","1.20%"
"Apr 21, 2018","0.73244","0.81236","0.83201","0.70005","11.76M","-10.78%"
"Apr 20, 2018","0.82089","0.75056","0.82557","0.66708","8.36M","9.37%"
"Apr 19, 2018","0.75056","0.67861","0.76308","0.67061","6.24M","10.60%"
"Apr 18, 2018","0.67861","0.63408","0.67907","0.62969","4.44M","7.02%"
"Apr 17, 2018","0.63408","0.64782","0.69143","0.62970","6.08M","-2.12%"
"Apr 16, 2018","0.64782","0.63368","0.65560","0.58319","6.56M","2.23%"
"Apr 15, 2018","0.63368","0.61596","0.65089","0.61570","3.60M","2.88%"
"Apr 14, 2018","0.61596","0.57830","0.68654","0.55180","7.14M","5.56%"
"Apr 13, 2018","0.58350","0.56850","0.70426","0.55758","7.39M","2.44%"
"Apr 12, 2018","0.56958","0.45640","0.56958","0.44604","8.01M","24.80%"
"Apr 11, 2018","0.45640","0.41379","0.45853","0.41379","2.32M","10.30%"
"Apr 10, 2018","0.41379","0.41361","0.43283","0.39392","1.74M","0.04%"
"Apr 09, 2018","0.41361","0.40911","0.44450","0.39332","3.19M","1.10%"
"Apr 08, 2018","0.40911","0.38704","0.40926","0.37925","1.98M","5.70%"
"Apr 07, 2018","0.38704","0.35235","0.40938","0.35098","2.18M","9.85%"
"Apr 06, 2018","0.35235","0.36746","0.37976","0.35014","919.33K","-4.11%"
"Apr 05, 2018","0.36746","0.36962","0.37247","0.35128","1.02M","-0.58%"
"Apr 04, 2018","0.36962","0.40753","0.41250","0.36285","1.53M","-9.30%"
"Apr 03, 2018","0.40753","0.36829","0.41699","0.36071","2.19M","10.66%"
"Apr 02, 2018","0.36829","0.37157","0.39035","0.35635","995.29K","-0.88%"
"Apr 01, 2018","0.37157","0.38684","0.39141","0.33464","1.90M","-3.95%"
"Mar 31, 2018","0.38684","0.38670","0.41440","0.38252","1.57M","0.04%"
"Mar 30, 2018","0.38670","0.38240","0.41720","0.36677","2.58M","1.13%"
"Mar 29, 2018","0.38240","0.43752","0.44947","0.37875","2.47M","-12.60%"
"Mar 28, 2018","0.43752","0.40408","0.46487","0.40241","1.66M","8.27%"
"Mar 27, 2018","0.40408","0.42463","0.44205","0.39295","2.42M","-4.84%"
"Mar 26, 2018","0.42463","0.47201","0.47500","0.38627","3.03M","-10.04%"
"Mar 25, 2018","0.47201","0.50021","0.50419","0.45587","1.98M","-5.62%"
"Mar 24, 2018","0.50012","0.45852","0.53150","0.45311","3.31M","9.07%"
"Mar 23, 2018","0.45852","0.44049","0.46221","0.42096","3.18M","4.09%"
"Mar 22, 2018","0.44049","0.41170","0.47860","0.39286","3.44M","6.82%"
"Mar 21, 2018","0.41239","0.34340","0.48129","0.34280","4.36M","20.09%"
"Mar 20, 2018","0.34340","0.31718","0.34341","0.30671","1.76M","8.27%"
