"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","5.4312","5.1238","5.5420","5.1090","4.00K","5.38%"
"Jun 29, 2018","5.1541","5.0653","5.3142","4.7924","2.44K","1.73%"
"Jun 28, 2018","5.0663","5.5335","5.5534","5.0544","3.21K","-8.45%"
"Jun 27, 2018","5.5339","5.4622","5.6090","5.2939","3.74K","0.94%"
"Jun 26, 2018","5.4823","5.7110","5.7110","5.3331","6.97K","-2.69%"
"Jun 25, 2018","5.6338","5.5986","5.7279","5.3638","3.44K","0.63%"
"Jun 24, 2018","5.5986","5.8386","5.8555","5.3024","5.12K","-4.10%"
"Jun 23, 2018","5.8377","5.5083","5.8536","5.4623","2.39K","5.99%"
"Jun 22, 2018","5.5076","6.2943","6.3552","5.3288","7.16K","-13.37%"
"Jun 21, 2018","6.3578","6.9534","7.0811","6.2047","1.69K","-8.56%"
"Jun 20, 2018","6.9534","6.5733","7.1333","6.4025","2.29K","5.79%"
"Jun 19, 2018","6.5731","6.9193","6.9941","6.4785","6.94K","-4.27%"
"Jun 18, 2018","6.8662","6.4736","6.9654","6.3880","3.06K","4.91%"
"Jun 17, 2018","6.5451","7.0562","7.2098","6.5436","1.01K","-7.27%"
"Jun 16, 2018","7.0580","6.9970","7.2038","6.7578","2.87K","0.87%"
"Jun 15, 2018","6.9970","7.7473","7.7907","6.9970","2.42K","-10.27%"
"Jun 14, 2018","7.7977","6.9451","7.8380","6.7987","8.18K","12.28%"
"Jun 13, 2018","6.9451","7.6032","7.6891","6.3000","2.55K","-8.66%"
"Jun 12, 2018","7.6032","7.9264","7.9544","7.4898","3.28K","-4.08%"
"Jun 11, 2018","7.9264","7.5717","8.2857","7.5158","3.06K","4.70%"
"Jun 10, 2018","7.5707","8.4517","8.4517","7.4222","5.10K","-10.23%"
"Jun 09, 2018","8.4337","8.5606","8.6673","8.3648","1.07K","-1.47%"
"Jun 08, 2018","8.5593","8.9140","8.9511","8.1448","2.69K","-4.08%"
"Jun 07, 2018","8.9230","8.8441","9.0173","8.7799","2.79K","0.89%"
"Jun 06, 2018","8.8440","9.1974","9.3348","8.7457","3.24K","-2.50%"
"Jun 05, 2018","9.0710","9.2223","9.3951","8.8595","6.07K","-1.64%"
"Jun 04, 2018","9.2221","10.3266","10.5316","8.9475","11.98K","-10.70%"
"Jun 03, 2018","10.3266","9.8348","11.1624","9.4466","17.21K","5.00%"
"Jun 02, 2018","9.8348","8.9329","9.8350","8.8852","6.57K","10.18%"
"Jun 01, 2018","8.9261","8.8270","9.1875","8.6350","7.77K","1.20%"
"May 31, 2018","8.8199","8.7395","9.2109","8.7357","2.38K","0.92%"
"May 30, 2018","8.7395","9.0968","9.2121","8.4542","3.85K","-3.91%"
"May 29, 2018","9.0955","8.3441","9.1958","8.2407","4.25K","9.00%"
"May 28, 2018","8.3443","9.0424","9.2519","8.3443","3.73K","-7.72%"
"May 27, 2018","9.0422","9.3485","9.3556","8.8259","0.72K","-3.28%"
"May 26, 2018","9.3489","9.3960","9.8843","9.2024","3.94K","-0.50%"
"May 25, 2018","9.3957","9.6380","9.8765","9.3775","4.12K","-2.52%"
"May 24, 2018","9.6385","9.2829","10.0064","8.9557","1.76K","3.83%"
"May 23, 2018","9.2834","10.3374","10.3374","8.9515","5.65K","-10.62%"
"May 22, 2018","10.3858","11.0354","11.0551","10.3372","1.67K","-5.89%"
"May 21, 2018","11.0354","11.2847","11.7542","10.8308","5.67K","-2.21%"
"May 20, 2018","11.2847","10.9311","11.4356","10.8665","4.35K","3.24%"
"May 19, 2018","10.9311","10.8717","11.2239","10.7462","8.51K","0.55%"
"May 18, 2018","10.8717","10.5971","10.8998","10.2981","5.67K","2.59%"
"May 17, 2018","10.5972","10.6875","11.4461","10.5678","3.87K","-0.35%"
"May 16, 2018","10.6339","10.9347","10.9432","10.2389","4.03K","-2.77%"
"May 15, 2018","10.9367","11.2570","11.6144","10.8608","5.85K","-3.18%"
"May 14, 2018","11.2957","11.0736","11.6663","10.3599","9.10K","2.01%"
"May 13, 2018","11.0736","10.4531","11.1922","10.3473","3.68K","4.84%"
"May 12, 2018","10.5625","10.5013","11.5547","9.9543","5.24K","0.58%"
"May 11, 2018","10.5013","11.4432","11.4432","9.8994","5.65K","-8.23%"
"May 10, 2018","11.4432","12.1155","12.9098","11.1170","10.39K","-5.55%"
"May 09, 2018","12.1155","12.3426","12.3426","11.4866","4.85K","-1.84%"
"May 08, 2018","12.3430","13.0884","13.1067","12.1915","3.55K","-3.41%"
"May 07, 2018","12.7793","13.0659","13.3340","11.9940","5.89K","-3.05%"
"May 06, 2018","13.1813","13.7092","13.7092","12.4309","7.34K","-3.82%"
"May 05, 2018","13.7041","14.0409","14.1081","13.4325","5.85K","-2.40%"
"May 04, 2018","14.0409","14.1438","14.7090","13.1669","10.54K","-0.73%"
"May 03, 2018","14.1438","14.7462","14.9702","13.7422","14.11K","-4.09%"
"May 02, 2018","14.7462","13.6687","15.0589","13.3636","17.00K","7.88%"
"May 01, 2018","13.6687","12.6434","13.8939","11.9989","7.19K","8.11%"
"Apr 30, 2018","12.6434","13.2325","13.3131","12.2457","7.99K","-4.45%"
"Apr 29, 2018","13.2325","12.4486","13.2325","12.0424","6.64K","6.30%"
"Apr 28, 2018","12.4486","11.4724","12.5096","11.4134","9.40K","8.51%"
"Apr 27, 2018","11.4725","11.6400","12.1884","11.2521","9.54K","-1.44%"
"Apr 26, 2018","11.6400","11.0977","11.6400","10.8269","10.02K","4.89%"
"Apr 25, 2018","11.0977","13.3502","13.3502","10.6667","11.65K","-16.87%"
"Apr 24, 2018","13.3502","12.4875","13.5366","12.4514","11.12K","7.22%"
"Apr 23, 2018","12.4512","11.5470","12.8694","11.5470","6.47K","7.97%"
"Apr 22, 2018","11.5315","11.5817","11.9711","11.2712","3.05K","-0.43%"
"Apr 21, 2018","11.5817","12.4414","12.4414","10.7197","6.86K","-6.91%"
"Apr 20, 2018","12.4414","11.8163","12.7197","11.3880","7.57K","5.29%"
"Apr 19, 2018","11.8163","11.4474","11.9273","11.1551","4.34K","3.22%"
"Apr 18, 2018","11.4474","10.6354","11.4474","10.3477","5.50K","7.64%"
"Apr 17, 2018","10.6352","10.6346","11.2596","10.2968","7.17K","0.00%"
"Apr 16, 2018","10.6346","10.4815","10.8767","9.9978","5.93K","1.46%"
