"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","81.272","79.015","83.921","79.007","1.76M","2.86%"
"Jun 29, 2018","79.015","74.318","80.461","72.672","1.65M","6.31%"
"Jun 28, 2018","74.326","80.778","81.418","74.272","1.57M","-7.99%"
"Jun 27, 2018","80.783","75.842","81.720","75.147","1.10M","6.51%"
"Jun 26, 2018","75.843","81.486","82.458","75.523","1.77M","-6.93%"
"Jun 25, 2018","81.491","80.528","87.945","78.594","2.95M","1.15%"
"Jun 24, 2018","80.565","82.815","83.656","73.428","2.92M","-2.72%"
"Jun 23, 2018","82.816","84.806","86.551","81.661","3.19M","-2.33%"
"Jun 22, 2018","84.791","96.817","96.918","80.528","2.75M","-12.42%"
"Jun 21, 2018","96.815","97.789","99.197","96.132","982.06K","-1.00%"
"Jun 20, 2018","97.789","98.803","98.986","95.498","864.26K","-1.04%"
"Jun 19, 2018","98.813","98.755","101.452","97.083","988.71K","0.06%"
"Jun 18, 2018","98.756","95.071","99.714","93.189","1.08M","3.88%"
"Jun 17, 2018","95.065","96.716","98.106","94.811","813.89K","-1.71%"
"Jun 16, 2018","96.718","95.706","97.567","92.967","911.61K","1.06%"
"Jun 15, 2018","95.705","100.951","100.984","94.853","1.06M","-5.20%"
"Jun 14, 2018","100.950","93.700","102.715","92.830","1.46M","7.72%"
"Jun 13, 2018","93.713","100.043","100.444","89.354","1.69M","-6.33%"
"Jun 12, 2018","100.050","107.174","107.810","97.907","1.26M","-6.64%"
"Jun 11, 2018","107.160","106.699","108.514","103.164","1.11M","0.43%"
"Jun 10, 2018","106.698","117.601","117.606","103.122","1.64M","-9.27%"
"Jun 09, 2018","117.598","120.004","120.986","117.306","604.70K","-2.01%"
"Jun 08, 2018","120.004","121.584","122.273","118.225","840.22K","-1.29%"
"Jun 07, 2018","121.575","121.394","123.662","119.576","1.40M","0.15%"
"Jun 06, 2018","121.393","122.208","122.706","118.429","1.11M","-0.66%"
"Jun 05, 2018","122.205","119.879","122.489","116.310","888.05K","1.94%"
"Jun 04, 2018","119.879","125.200","126.857","118.414","843.45K","-4.23%"
"Jun 03, 2018","125.168","123.484","127.863","122.400","890.99K","1.36%"
"Jun 02, 2018","123.485","120.332","124.323","118.952","881.17K","2.62%"
"Jun 01, 2018","120.334","118.463","120.472","117.086","803.17K","1.58%"
"May 31, 2018","118.462","117.472","120.909","116.502","879.34K","0.84%"
"May 30, 2018","117.473","119.542","122.695","115.413","886.61K","-1.73%"
"May 29, 2018","119.536","111.174","122.640","110.033","1.13M","7.52%"
"May 28, 2018","111.177","117.966","119.180","110.586","994.42K","-5.75%"
"May 27, 2018","117.965","118.629","119.075","116.981","763.81K","-0.56%"
"May 26, 2018","118.625","119.096","122.321","117.642","786.15K","-0.40%"
"May 25, 2018","119.096","122.980","124.455","117.085","921.10K","-3.16%"
"May 24, 2018","122.986","118.547","124.835","115.181","1.19M","3.69%"
"May 23, 2018","118.614","128.155","129.420","116.672","1.32M","-7.45%"
"May 22, 2018","128.161","134.134","135.904","127.745","793.63K","-4.45%"
"May 21, 2018","134.134","139.719","140.255","134.034","754.40K","-4.04%"
"May 20, 2018","139.786","135.163","140.567","132.774","892.22K","3.42%"
"May 19, 2018","135.162","136.065","137.656","133.075","885.65K","-0.66%"
"May 18, 2018","136.064","132.647","137.515","129.180","1.17M","2.59%"
"May 17, 2018","132.629","139.259","141.436","131.644","1.02M","-4.76%"
"May 16, 2018","139.260","139.493","140.916","134.720","1.03M","-0.17%"
"May 15, 2018","139.497","147.401","149.552","137.952","1.22M","-5.36%"
"May 14, 2018","147.398","144.462","152.628","134.676","1.92M","2.03%"
"May 13, 2018","144.462","141.799","146.773","136.790","1.14M","2.06%"
"May 12, 2018","141.540","136.308","144.509","131.066","1.34M","3.91%"
"May 11, 2018","136.210","148.417","148.613","133.704","1.87M","-8.24%"
"May 10, 2018","148.445","156.910","160.617","148.055","1.15M","-5.39%"
"May 09, 2018","156.902","159.086","160.094","151.175","1.20M","-1.37%"
"May 08, 2018","159.080","166.333","166.709","157.547","1.31M","-4.18%"
"May 07, 2018","166.019","172.187","172.562","157.852","1.65M","-3.61%"
"May 06, 2018","172.239","178.610","183.877","165.404","1.70M","-3.52%"
"May 05, 2018","178.526","169.139","183.507","168.255","1.89M","5.61%"
"May 04, 2018","169.042","161.247","171.296","157.607","1.75M","4.83%"
"May 03, 2018","161.252","151.723","164.609","150.772","1.76M","6.28%"
"May 02, 2018","151.718","148.162","153.519","146.478","846.02K","2.37%"
"May 01, 2018","148.207","148.304","148.723","142.923","1.01M","-0.08%"
"Apr 30, 2018","148.327","153.505","154.478","147.290","943.45K","-3.36%"
"Apr 29, 2018","153.483","152.143","156.390","148.052","1.13M","0.88%"
"Apr 28, 2018","152.143","146.023","153.420","144.976","1.04M","4.22%"
"Apr 27, 2018","145.984","153.637","153.702","145.366","1.34M","-5.00%"
"Apr 26, 2018","153.667","144.830","154.422","142.338","1.32M","6.09%"
"Apr 25, 2018","144.847","164.708","164.737","141.789","2.49M","-12.03%"
"Apr 24, 2018","164.652","152.594","166.026","152.529","2.08M","7.90%"
"Apr 23, 2018","152.594","146.549","153.219","146.298","1.12M","4.11%"
"Apr 22, 2018","146.575","148.612","152.945","144.847","1.06M","-1.42%"
"Apr 21, 2018","148.686","155.651","156.822","141.028","1.68M","-4.48%"
"Apr 20, 2018","155.657","146.440","156.298","143.444","1.61M","6.29%"
"Apr 19, 2018","146.441","140.431","147.475","138.868","1.31M","4.28%"
"Apr 18, 2018","140.425","132.202","141.337","132.105","1.32M","6.13%"
"Apr 17, 2018","132.309","128.773","140.324","128.743","1.99M","2.79%"
"Apr 16, 2018","128.719","132.522","133.233","125.176","1.10M","-2.87%"
"Apr 15, 2018","132.525","126.518","132.713","126.518","1.01M","4.75%"
"Apr 14, 2018","126.514","125.388","129.651","124.476","973.59K","0.90%"
"Apr 13, 2018","125.391","129.679","133.649","124.105","2.10M","-3.30%"
"Apr 12, 2018","129.665","118.327","130.845","113.272","2.70M","9.58%"
"Apr 11, 2018","118.325","114.321","119.753","113.217","880.50K","3.50%"
"Apr 10, 2018","114.321","114.987","115.350","111.733","850.22K","-0.57%"
"Apr 09, 2018","114.977","117.840","122.891","112.935","1.28M","-2.43%"
"Apr 08, 2018","117.839","116.087","118.533","115.651","693.31K","1.51%"
"Apr 07, 2018","116.087","113.085","119.678","112.800","896.24K","2.65%"
"Apr 06, 2018","113.087","118.653","120.358","112.108","1.02M","-4.69%"
"Apr 05, 2018","118.658","118.307","122.417","114.023","1.33M","0.32%"
"Apr 04, 2018","118.275","134.254","134.640","115.610","1.89M","-11.91%"
"Apr 03, 2018","134.260","119.178","137.024","118.379","1.54M","12.66%"
"Apr 02, 2018","119.178","115.103","121.565","114.416","1.11M","3.48%"
"Apr 01, 2018","115.174","116.333","118.099","109.881","1.22M","-1.00%"
"Mar 31, 2018","116.340","118.519","124.543","115.777","1.28M","-1.84%"
"Mar 30, 2018","118.517","114.665","126.342","109.975","2.33M","3.36%"
"Mar 29, 2018","114.666","131.632","132.552","112.916","2.43M","-12.89%"
"Mar 28, 2018","131.632","134.971","139.669","130.469","1.20M","-2.23%"
"Mar 27, 2018","134.640","148.240","149.480","134.460","1.50M","-10.67%"
"Mar 26, 2018","150.722","160.383","160.748","144.731","1.93M","-6.03%"
"Mar 25, 2018","160.391","159.245","162.079","154.557","1.12M","0.73%"
"Mar 24, 2018","159.229","167.079","167.670","159.042","1.31M","-4.73%"
"Mar 23, 2018","167.136","163.473","178.699","158.314","1.53M","2.24%"
"Mar 22, 2018","163.468","168.299","171.008","160.577","1.71M","-2.87%"
"Mar 21, 2018","168.303","169.264","176.182","165.125","1.82M","-0.56%"
"Mar 20, 2018","169.247","159.823","171.529","156.386","1.94M","5.38%"
"Mar 19, 2018","160.607","152.386","161.827","150.583","2.14M","5.39%"
"Mar 18, 2018","152.398","152.018","155.337","139.184","2.68M","0.24%"
"Mar 17, 2018","152.039","165.938","166.332","150.574","1.79M","-8.41%"
"Mar 16, 2018","166.008","163.664","171.690","157.780","1.78M","1.41%"
"Mar 15, 2018","163.693","160.523","166.296","151.082","2.33M","1.93%"
"Mar 14, 2018","160.589","175.432","176.842","120.080","1.98M","-8.47%"
"Mar 13, 2018","175.454","177.510","189.239","172.547","1.75M","-1.15%"
"Mar 12, 2018","177.501","187.870","196.486","174.946","2.10M","-5.51%"
"Mar 11, 2018","187.855","176.796","191.981","172.589","2.36M","6.28%"
"Mar 10, 2018","176.751","142.019","190.633","138.588","2.53M","24.45%"
"Mar 09, 2018","142.030","176.168","188.198","141.507","3.86M","-19.38%"
"Mar 08, 2018","176.180","184.919","188.723","174.751","2.29M","-4.72%"
"Mar 07, 2018","184.907","196.190","200.529","177.498","2.63M","-5.75%"
"Mar 06, 2018","196.182","211.250","211.378","190.404","2.00M","-7.13%"
"Mar 05, 2018","211.240","213.301","215.753","209.407","1.44M","-0.98%"
"Mar 04, 2018","213.332","210.266","214.313","205.300","1.37M","1.46%"
"Mar 03, 2018","210.271","212.427","217.881","209.232","1.73M","-1.00%"
"Mar 02, 2018","212.399","209.626","213.223","204.306","1.50M","1.32%"
"Mar 01, 2018","209.633","202.227","214.852","200.552","1.61M","3.77%"
"Feb 28, 2018","202.010","215.073","223.217","201.838","1.91M","-6.10%"
"Feb 27, 2018","215.138","218.456","223.106","212.809","1.93M","-1.51%"
"Feb 26, 2018","218.439","217.863","231.202","215.029","2.79M","0.34%"
"Feb 25, 2018","217.700","206.412","222.782","199.691","2.27M","5.47%"
"Feb 24, 2018","206.412","206.670","217.987","194.573","2.32M","-0.26%"
"Feb 23, 2018","206.945","193.091","215.314","182.445","2.82M","7.20%"
"Feb 22, 2018","193.049","209.980","221.208","188.976","2.86M","-8.08%"
"Feb 21, 2018","210.010","228.877","231.864","204.716","3.16M","-8.17%"
"Feb 20, 2018","228.696","222.087","251.122","221.662","3.68M","2.97%"
"Feb 19, 2018","222.097","214.010","226.457","213.267","1.66M","3.87%"
"Feb 18, 2018","213.821","228.753","231.329","211.385","2.24M","-6.40%"
"Feb 17, 2018","228.445","228.137","232.494","223.861","1.65M","0.10%"
"Feb 16, 2018","228.217","221.311","234.716","209.848","2.68M","3.11%"
"Feb 15, 2018","221.337","212.021","236.507","207.044","4.16M","4.36%"
"Feb 14, 2018","212.082","159.264","217.091","159.264","5.19M","33.16%"
"Feb 13, 2018","159.267","161.507","162.211","152.871","1.23M","-1.36%"
"Feb 12, 2018","161.459","148.907","163.299","148.907","1.44M","8.50%"
"Feb 11, 2018","148.808","155.025","155.808","141.683","1.42M","-4.01%"
"Feb 10, 2018","155.029","163.955","169.121","148.091","1.74M","-5.47%"
"Feb 09, 2018","163.998","148.929","164.175","142.125","1.45M","10.14%"
"Feb 08, 2018","148.903","137.972","150.384","137.910","1.51M","7.91%"
"Feb 07, 2018","137.993","142.017","158.499","130.963","2.47M","-2.97%"
"Feb 06, 2018","142.219","125.187","146.861","106.386","4.82M","13.51%"
"Feb 05, 2018","125.292","147.951","154.089","116.370","3.81M","-15.28%"
"Feb 04, 2018","147.886","160.960","174.553","137.767","3.45M","-8.13%"
"Feb 03, 2018","160.974","131.585","166.182","121.009","2.20M","22.30%"
"Feb 02, 2018","131.625","142.496","142.947","104.906","3.42M","-7.65%"
"Feb 01, 2018","142.528","163.880","166.254","130.041","2.01M","-13.03%"
"Jan 31, 2018","163.879","166.364","167.225","157.317","1.05M","-1.49%"
"Jan 30, 2018","166.365","181.299","181.370","161.049","1.22M","-7.35%"
"Jan 29, 2018","179.570","191.120","191.120","175.560","908.18K","-6.04%"
"Jan 28, 2018","191.120","179.650","192.470","178.650","984.83K","6.38%"
"Jan 27, 2018","179.650","175.710","182.000","173.960","748.73K","2.24%"
"Jan 26, 2018","175.710","178.860","181.710","166.150","1.17M","-1.76%"
"Jan 25, 2018","178.860","180.590","184.780","175.000","998.43K","-0.96%"
"Jan 24, 2018","180.600","178.270","184.690","172.230","1.13M","1.31%"
