"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","0.33750","0.32171","0.34745","0.32127","1.33M","4.73%"
"Jun 29, 2018","0.32225","0.30699","0.32383","0.29100","1.80M","5.10%"
"Jun 28, 2018","0.30662","0.31260","0.33143","0.30644","2.19M","-1.87%"
"Jun 27, 2018","0.31246","0.29945","0.31554","0.29596","1.81M","4.37%"
"Jun 26, 2018","0.29937","0.31800","0.32070","0.29754","1.47M","-5.86%"
"Jun 25, 2018","0.31800","0.30729","0.32200","0.30049","1.42M","2.99%"
"Jun 24, 2018","0.30878","0.32352","0.32642","0.28798","1.90M","-4.44%"
"Jun 23, 2018","0.32311","0.32118","0.33175","0.31589","1.30M","0.48%"
"Jun 22, 2018","0.32156","0.37148","0.37532","0.31151","1.93M","-13.76%"
"Jun 21, 2018","0.37285","0.36886","0.38114","0.36722","1.65M","1.11%"
"Jun 20, 2018","0.36875","0.35713","0.37107","0.34937","1.10M","2.75%"
"Jun 19, 2018","0.35887","0.36011","0.36475","0.35048","1.68M","0.02%"
"Jun 18, 2018","0.35879","0.33805","0.36609","0.32469","1.69M","6.47%"
"Jun 17, 2018","0.33699","0.33153","0.33817","0.32719","1.52M","1.46%"
"Jun 16, 2018","0.33215","0.32494","0.33548","0.32011","1.60M","2.04%"
"Jun 15, 2018","0.32550","0.34435","0.34435","0.32210","1.55M","-5.06%"
"Jun 14, 2018","0.34287","0.30244","0.35100","0.30078","2.21M","13.86%"
"Jun 13, 2018","0.30113","0.32689","0.33458","0.29634","1.66M","-7.16%"
"Jun 12, 2018","0.32434","0.36496","0.36759","0.31750","1.65M","-11.27%"
"Jun 11, 2018","0.36554","0.34004","0.36643","0.33182","1.41M","6.94%"
"Jun 10, 2018","0.34183","0.42417","0.42599","0.32640","1.60M","-19.25%"
"Jun 09, 2018","0.42334","0.44642","0.44985","0.42004","1.31M","-5.42%"
"Jun 08, 2018","0.44759","0.47676","0.47825","0.44430","1.28M","-5.95%"
"Jun 07, 2018","0.47589","0.47140","0.47919","0.46123","1.18M","0.93%"
"Jun 06, 2018","0.47149","0.49479","0.50233","0.45012","1.35M","-4.32%"
"Jun 05, 2018","0.49276","0.48467","0.50485","0.45528","1.32M","1.67%"
"Jun 04, 2018","0.48467","0.49843","0.50445","0.47551","1.10M","-2.76%"
"Jun 03, 2018","0.49843","0.46234","0.50430","0.45458","335.22K","7.85%"
"Jun 02, 2018","0.46214","0.45228","0.47048","0.43206","319.69K","2.64%"
"Jun 01, 2018","0.45027","0.45444","0.46967","0.43738","284.03K","-1.00%"
"May 31, 2018","0.45480","0.45000","0.46965","0.42253","342.69K","1.07%"
"May 30, 2018","0.45000","0.42202","0.45577","0.41336","148.80K","6.26%"
"May 29, 2018","0.42351","0.40177","0.43478","0.39416","392.44K","5.41%"
"May 28, 2018","0.40177","0.44596","0.46042","0.39885","404.13K","-9.71%"
"May 27, 2018","0.44499","0.43422","0.47909","0.42325","325.95K","2.48%"
"May 26, 2018","0.43422","0.48950","0.49120","0.43414","427.55K","-11.74%"
"May 25, 2018","0.49200","0.41416","0.50000","0.40805","438.43K","18.51%"
"May 24, 2018","0.41514","0.39574","0.43376","0.36180","498.48K","5.24%"
"May 23, 2018","0.39445","0.40928","0.42469","0.35726","525.45K","-3.62%"
"May 22, 2018","0.40928","0.37244","0.43660","0.36867","448.88K","10.17%"
"May 21, 2018","0.37150","0.38882","0.39157","0.36574","394.55K","-4.45%"
"May 20, 2018","0.38882","0.34899","0.39088","0.34441","487.87K","11.41%"
"May 19, 2018","0.34899","0.34743","0.35294","0.34234","412.45K","0.45%"
"May 18, 2018","0.34743","0.32291","0.34919","0.31167","325.57K","6.67%"
"May 17, 2018","0.32570","0.33060","0.35043","0.32195","390.21K","-1.49%"
"May 16, 2018","0.33063","0.37375","0.37696","0.31525","320.91K","-12.09%"
"May 15, 2018","0.37611","0.38003","0.38978","0.37611","194.16K","-0.83%"
"May 14, 2018","0.37926","0.37548","0.39528","0.35529","361.65K","1.01%"
"May 13, 2018","0.37548","0.36333","0.37979","0.35701","282.01K","3.92%"
"May 12, 2018","0.36131","0.34175","0.37924","0.34000","376.78K","5.72%"
"May 11, 2018","0.34175","0.35912","0.37412","0.33280","295.26K","-4.84%"
"May 10, 2018","0.35912","0.34437","0.39721","0.34382","283.92K","4.21%"
"May 09, 2018","0.34462","0.34837","0.35382","0.33401","331.62K","-1.09%"
"May 08, 2018","0.34843","0.35372","0.35465","0.34023","375.90K","-1.19%"
"May 07, 2018","0.35263","0.36659","0.36659","0.34685","299.05K","-3.54%"
"May 06, 2018","0.36556","0.37908","0.38157","0.35641","325.85K","-3.98%"
"May 05, 2018","0.38072","0.38554","0.39880","0.37500","355.67K","-1.42%"
"May 04, 2018","0.38619","0.39031","0.39178","0.38014","297.68K","-1.06%"
"May 03, 2018","0.39031","0.37430","0.39468","0.36915","284.58K","4.11%"
"May 02, 2018","0.37489","0.38602","0.39012","0.36210","369.24K","-2.88%"
"May 01, 2018","0.38602","0.38408","0.39778","0.36646","148.44K","0.51%"
"Apr 30, 2018","0.38408","0.37914","0.39068","0.36410","136.70K","1.31%"
"Apr 29, 2018","0.37911","0.37654","0.38933","0.36463","138.69K","0.68%"
"Apr 28, 2018","0.37654","0.36420","0.38099","0.35348","103.84K","3.71%"
"Apr 27, 2018","0.36306","0.37815","0.39660","0.36260","137.99K","-4.45%"
"Apr 26, 2018","0.37995","0.36400","0.37995","0.34862","126.90K","4.38%"
"Apr 25, 2018","0.36400","0.40607","0.40753","0.34616","116.71K","-10.36%"
"Apr 24, 2018","0.40607","0.38670","0.41632","0.38342","119.66K","5.01%"
"Apr 23, 2018","0.38670","0.37985","0.39161","0.37662","111.92K","1.80%"
"Apr 22, 2018","0.37985","0.37941","0.38500","0.36506","113.58K","0.23%"
"Apr 21, 2018","0.37899","0.39500","0.39737","0.36017","94.96K","-4.05%"
"Apr 20, 2018","0.39500","0.37424","0.40493","0.37121","128.09K","5.57%"
"Apr 19, 2018","0.37417","0.36916","0.38351","0.36279","109.51K","1.73%"
