"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","0.085130","0.084458","0.090564","0.083777","559.57K","0.86%"
"Jun 29, 2018","0.084399","0.084724","0.086614","0.077361","714.06K","-0.39%"
"Jun 28, 2018","0.084727","0.093580","0.093902","0.084356","720.79K","-9.46%"
"Jun 27, 2018","0.093579","0.092741","0.095353","0.091119","604.77K","0.90%"
"Jun 26, 2018","0.092742","0.097857","0.099085","0.092308","661.19K","-5.23%"
"Jun 25, 2018","0.097858","0.096626","0.098509","0.093128","555.09K","1.27%"
"Jun 24, 2018","0.096626","0.094831","0.099562","0.092191","680.00K","1.89%"
"Jun 23, 2018","0.094831","0.095385","0.095392","0.089779","642.95K","-0.54%"
"Jun 22, 2018","0.095343","0.099782","0.099782","0.092563","942.02K","-4.45%"
"Jun 21, 2018","0.099783","0.105319","0.106646","0.099349","675.41K","-5.26%"
"Jun 20, 2018","0.105322","0.102720","0.107339","0.098706","829.90K","2.54%"
"Jun 19, 2018","0.102716","0.107166","0.107705","0.099496","1.27M","-4.15%"
"Jun 18, 2018","0.107167","0.113629","0.117013","0.104034","1.18M","-5.69%"
"Jun 17, 2018","0.113629","0.100242","0.115580","0.100242","1.12M","13.35%"
"Jun 16, 2018","0.100242","0.098599","0.100519","0.096609","689.02K","2.26%"
"Jun 15, 2018","0.098027","0.101746","0.101747","0.096962","460.39K","-3.66%"
"Jun 14, 2018","0.101749","0.100393","0.102984","0.094338","629.54K","1.35%"
"Jun 13, 2018","0.100392","0.092923","0.100712","0.092923","703.91K","8.04%"
"Jun 12, 2018","0.092925","0.097392","0.099590","0.092118","772.67K","-4.54%"
"Jun 11, 2018","0.097343","0.096061","0.097343","0.092886","750.39K","1.33%"
"Jun 10, 2018","0.096061","0.105029","0.105083","0.090787","1.02M","-8.54%"
"Jun 09, 2018","0.105031","0.104751","0.105989","0.103893","651.86K","0.27%"
"Jun 08, 2018","0.104752","0.106065","0.106214","0.102235","577.02K","-1.24%"
"Jun 07, 2018","0.106067","0.104727","0.109098","0.102156","842.67K","1.28%"
