"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","7.4023","6.4155","7.4199","6.3299","10.97K","15.38%"
"Jun 29, 2018","6.4155","5.5095","6.4863","5.3054","6.68K","16.68%"
"Jun 28, 2018","5.4986","6.5775","6.7487","5.4886","13.37K","-16.40%"
"Jun 27, 2018","6.5774","5.2531","6.8756","5.1100","18.24K","25.22%"
"Jun 26, 2018","5.2527","5.0251","5.5138","4.9811","7.32K","4.53%"
"Jun 25, 2018","5.0251","4.7458","5.0441","4.7129","6.63K","5.89%"
"Jun 24, 2018","4.7458","4.7996","4.8308","4.4291","4.56K","-1.12%"
"Jun 23, 2018","4.7997","4.8491","4.9200","4.7417","2.66K","-1.31%"
"Jun 22, 2018","4.8636","5.0901","5.2190","4.7586","4.32K","-4.45%"
"Jun 21, 2018","5.0901","5.1380","5.2153","5.0693","2.59K","-1.45%"
"Jun 20, 2018","5.1651","5.2448","5.2601","5.0093","3.07K","-1.52%"
"Jun 19, 2018","5.2448","5.2279","5.3288","5.1695","3.81K","0.32%"
"Jun 18, 2018","5.2279","5.2056","5.2370","5.0511","1.82K","0.43%"
"Jun 17, 2018","5.2056","5.1330","5.2338","5.1115","4.42K","1.41%"
"Jun 16, 2018","5.1330","5.0231","5.1930","5.0138","5.32K","2.19%"
"Jun 15, 2018","5.0231","5.1113","5.1278","5.0123","4.21K","-1.73%"
"Jun 14, 2018","5.1116","4.8472","5.1520","4.8416","4.83K","5.52%"
"Jun 13, 2018","4.8441","5.1674","5.2384","4.8039","4.60K","-6.26%"
"Jun 12, 2018","5.1674","5.4622","5.5571","5.1510","5.49K","-5.40%"
"Jun 11, 2018","5.4622","5.5279","5.5737","5.2309","6.23K","-1.20%"
"Jun 10, 2018","5.5283","6.4603","6.4603","5.4594","6.72K","-14.43%"
"Jun 09, 2018","6.4603","6.6548","6.6786","6.4345","6.17K","-2.93%"
"Jun 08, 2018","6.6550","6.8432","6.8739","6.5862","6.27K","-2.75%"
"Jun 07, 2018","6.8433","6.8557","6.9167","6.7774","6.12K","-0.18%"
"Jun 06, 2018","6.8558","6.8646","6.8868","6.7796","5.85K","-0.13%"
"Jun 05, 2018","6.8646","6.9195","7.0728","6.6132","7.16K","-0.79%"
"Jun 04, 2018","6.9195","7.5010","7.5256","6.8797","7.20K","-7.75%"
"Jun 03, 2018","7.5009","6.9229","7.5915","6.8794","6.25K","8.35%"
"Jun 02, 2018","6.9228","6.6717","6.9447","6.6481","5.60K","3.76%"
"Jun 01, 2018","6.6717","6.7638","6.7746","6.6102","6.02K","-1.12%"
"May 31, 2018","6.7474","6.3181","6.8408","6.3150","5.24K","6.84%"
"May 30, 2018","6.3153","6.5993","6.7147","6.2890","4.66K","-4.30%"
"May 29, 2018","6.5993","6.1350","6.6522","6.0069","4.24K","7.57%"
"May 28, 2018","6.1351","6.8795","6.8850","6.1231","4.93K","-10.82%"
"May 27, 2018","6.8798","7.0880","7.0880","6.8611","4.44K","-2.93%"
"May 26, 2018","7.0875","7.1030","7.2420","7.0597","4.62K","-0.22%"
"May 25, 2018","7.1032","7.6867","7.8382","7.0983","4.20K","-7.59%"
"May 24, 2018","7.6864","7.4416","7.7081","7.1062","3.77K","3.29%"
"May 23, 2018","7.4415","8.3424","8.3571","7.2580","7.61K","-10.80%"
"May 22, 2018","8.3426","9.0321","9.0649","8.3282","8.09K","-7.63%"
"May 21, 2018","9.0319","9.2309","9.2626","8.9912","4.05K","-2.16%"
"May 20, 2018","9.2309","9.1628","9.2894","9.0295","5.16K","0.74%"
"May 19, 2018","9.1628","9.1099","9.5556","9.1064","4.93K","0.58%"
"May 18, 2018","9.1099","9.1005","9.1424","8.8615","4.07K","0.10%"
"May 17, 2018","9.1006","10.0189","10.2033","9.0861","4.88K","-9.17%"
"May 16, 2018","10.0188","10.7733","11.0050","9.7388","4.45K","-7.26%"
"May 15, 2018","10.8032","10.8658","11.5101","10.5612","5.67K","-0.58%"
"May 14, 2018","10.8659","10.5547","11.3178","9.5917","7.16K","2.95%"
"May 13, 2018","10.5547","9.0339","10.8399","8.7907","7.15K","16.36%"
"May 12, 2018","9.0708","8.9943","9.7059","8.4602","5.92K","0.85%"
"May 11, 2018","8.9943","10.5329","10.5734","8.5625","5.84K","-14.61%"
"May 10, 2018","10.5329","10.9257","11.2545","10.5329","4.44K","-3.59%"
"May 09, 2018","10.9256","11.0978","11.1366","10.3765","4.50K","-1.55%"
"May 08, 2018","11.0979","11.7388","11.7388","10.9552","4.39K","-5.04%"
"May 07, 2018","11.6864","11.2139","12.1341","10.4233","7.53K","4.21%"
"May 06, 2018","11.2139","11.8845","12.1410","10.9936","5.73K","-5.82%"
"May 05, 2018","11.9064","11.3656","12.4921","11.3650","6.26K","4.76%"
"May 04, 2018","11.3656","12.1184","12.2179","11.3637","5.55K","-6.21%"
"May 03, 2018","12.1184","11.7608","12.3941","11.5345","3.91K","3.04%"
"May 02, 2018","11.7608","11.6105","11.7640","11.4420","7.11K","1.29%"
"May 01, 2018","11.6105","11.8711","11.8711","11.1127","4.38K","-2.19%"
"Apr 30, 2018","11.8711","12.2042","12.7264","11.4220","7.79K","-2.73%"
"Apr 29, 2018","12.2042","12.6445","12.8175","11.7116","6.51K","-3.48%"
"Apr 28, 2018","12.6445","11.6787","12.6771","11.6433","5.24K","8.27%"
"Apr 27, 2018","11.6786","12.0420","12.8953","11.6627","9.78K","-3.02%"
"Apr 26, 2018","12.0417","11.5350","12.0417","10.8373","5.33K","4.39%"
"Apr 25, 2018","11.5350","13.4189","13.4192","10.5342","8.49K","-14.04%"
"Apr 24, 2018","13.4189","12.8712","13.4189","12.8528","6.84K","3.01%"
"Apr 23, 2018","13.0269","12.7001","13.3770","12.6788","5.83K","2.57%"
"Apr 22, 2018","12.7001","12.2680","13.1267","12.1867","9.57K","3.52%"
"Apr 21, 2018","12.2680","13.5823","13.8178","11.4200","15.21K","-9.68%"
"Apr 20, 2018","13.5823","14.3099","14.3431","12.4369","28.89K","-5.08%"
"Apr 19, 2018","14.3099","9.0010","20.9296","8.9026","53.79K","58.98%"
"Apr 18, 2018","9.0010","7.9690","9.5529","7.9687","9.69K","12.95%"
"Apr 17, 2018","7.9690","7.5426","8.6180","7.5122","8.38K","5.65%"
"Apr 16, 2018","7.5426","8.1507","8.1758","7.5034","5.72K","-7.46%"
"Apr 15, 2018","8.1507","7.2259","8.2701","7.2035","6.13K","11.44%"
"Apr 14, 2018","7.3137","6.5226","7.4600","6.4945","8.32K","12.13%"
"Apr 13, 2018","6.5226","6.1693","6.9711","6.1552","7.18K","5.73%"
"Apr 12, 2018","6.1693","5.5401","6.2164","5.3443","4.63K","11.36%"
"Apr 11, 2018","5.5401","5.4066","5.5401","5.2646","5.78K","2.47%"
"Apr 10, 2018","5.4066","4.8672","5.4666","4.8672","5.99K","11.08%"
"Apr 09, 2018","4.8672","5.2220","5.3639","4.8205","6.78K","-6.79%"
"Apr 08, 2018","5.2220","5.1870","5.3176","5.1573","6.83K","0.68%"
"Apr 07, 2018","5.1870","4.7303","5.3674","4.7078","6.04K","9.65%"
"Apr 06, 2018","4.7303","4.9225","4.9225","4.6725","6.43K","-3.90%"
