"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","0.19239","0.19818","0.20431","0.19103","169.81K","-2.92%"
"Jun 29, 2018","0.19818","0.19234","0.19888","0.18856","177.18K","3.04%"
"Jun 28, 2018","0.19234","0.19914","0.19914","0.19140","136.61K","-3.41%"
"Jun 27, 2018","0.19914","0.19818","0.19914","0.19428","160.29K","0.48%"
"Jun 26, 2018","0.19818","0.20224","0.20264","0.19721","164.26K","-2.01%"
"Jun 25, 2018","0.20224","0.19864","0.20339","0.19721","165.73K","1.81%"
"Jun 24, 2018","0.19864","0.20715","0.20715","0.18856","181.17K","-4.11%"
"Jun 23, 2018","0.20715","0.21494","0.21917","0.20471","190.10K","-3.63%"
"Jun 22, 2018","0.21494","0.21776","0.22242","0.19972","168.93K","-1.29%"
"Jun 21, 2018","0.21776","0.22398","0.22541","0.21410","206.60K","-2.77%"
"Jun 20, 2018","0.22398","0.23019","0.23170","0.22346","181.97K","-2.70%"
"Jun 19, 2018","0.23019","0.22630","0.23252","0.22585","171.93K","1.72%"
"Jun 18, 2018","0.22630","0.22155","0.22729","0.21895","146.14K","2.14%"
"Jun 17, 2018","0.22155","0.22135","0.22354","0.22059","199.20K","0.09%"
"Jun 16, 2018","0.22135","0.21934","0.22414","0.21840","180.61K","0.92%"
"Jun 15, 2018","0.21934","0.22481","0.22481","0.21733","141.90K","-2.43%"
"Jun 14, 2018","0.22481","0.21034","0.22582","0.21034","150.72K","6.88%"
"Jun 13, 2018","0.21034","0.22819","0.23973","0.20017","177.92K","-7.82%"
"Jun 12, 2018","0.22819","0.23124","0.24476","0.22819","175.26K","-1.32%"
"Jun 11, 2018","0.23124","0.22945","0.23135","0.22355","167.39K","0.78%"
"Jun 10, 2018","0.22945","0.25696","0.25696","0.22884","177.39K","-10.71%"
"Jun 09, 2018","0.25696","0.27135","0.27260","0.25573","190.10K","-5.31%"
"Jun 08, 2018","0.27135","0.27804","0.27804","0.26946","181.83K","-2.41%"
"Jun 07, 2018","0.27804","0.27050","0.27804","0.26946","183.72K","2.79%"
"Jun 06, 2018","0.27050","0.27785","0.27979","0.26745","190.37K","-2.65%"
"Jun 05, 2018","0.27785","0.27272","0.27862","0.26989","170.43K","1.88%"
"Jun 04, 2018","0.27272","0.27912","0.28103","0.27148","176.88K","-2.29%"
"Jun 03, 2018","0.27912","0.27809","0.28153","0.27462","169.92K","0.37%"
"Jun 02, 2018","0.27809","0.28209","0.29065","0.27702","178.07K","-1.42%"
