"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","1.01006","0.96085","1.03058","0.96024","18.69M","5.10%"
"Jun 29, 2018","0.96101","0.91717","0.97567","0.89355","21.70M","4.91%"
"Jun 28, 2018","0.91605","0.98675","0.99795","0.90347","15.73M","-7.16%"
"Jun 27, 2018","0.98673","0.93848","1.00607","0.92465","18.26M","5.03%"
"Jun 26, 2018","0.93944","1.01698","1.02458","0.93148","19.82M","-7.60%"
"Jun 25, 2018","1.01672","0.97514","1.05240","0.95747","22.45M","4.26%"
"Jun 24, 2018","0.97519","1.03648","1.04193","0.88816","33.29M","-6.08%"
"Jun 23, 2018","1.03829","0.97685","1.06937","0.96124","23.01M","6.27%"
"Jun 22, 2018","0.97704","1.15675","1.17077","0.93334","39.61M","-15.48%"
"Jun 21, 2018","1.15593","1.16107","1.17721","1.13894","12.74M","-0.50%"
"Jun 20, 2018","1.16171","1.17385","1.17692","1.11074","19.55M","-1.03%"
"Jun 19, 2018","1.17386","1.17918","1.24962","1.15892","22.75M","-0.44%"
"Jun 18, 2018","1.17909","1.15649","1.20892","1.08250","28.32M","1.91%"
"Jun 17, 2018","1.15702","1.19378","1.21046","1.15702","15.56M","-3.07%"
"Jun 16, 2018","1.19362","1.18004","1.22410","1.15667","16.23M","1.25%"
"Jun 15, 2018","1.17888","1.27296","1.29461","1.15865","22.88M","-7.33%"
"Jun 14, 2018","1.27210","1.20098","1.31693","1.17118","31.23M","5.94%"
"Jun 13, 2018","1.20076","1.25073","1.28572","1.13137","35.02M","-3.98%"
"Jun 12, 2018","1.25048","1.44014","1.44188","1.21675","27.01M","-13.13%"
"Jun 11, 2018","1.43949","1.36422","1.45055","1.31647","21.37M","5.46%"
"Jun 10, 2018","1.36499","1.62034","1.62034","1.30629","43.03M","-15.77%"
"Jun 09, 2018","1.62062","1.70461","1.74159","1.61540","16.59M","-5.03%"
"Jun 08, 2018","1.70644","1.69646","1.72602","1.66525","12.31M","0.56%"
"Jun 07, 2018","1.69689","1.69800","1.74441","1.67725","14.09M","-0.07%"
"Jun 06, 2018","1.69806","1.74846","1.75972","1.63710","16.06M","-2.82%"
"Jun 05, 2018","1.74738","1.71821","1.77847","1.66108","18.01M","1.81%"
"Jun 04, 2018","1.71624","1.80825","1.84691","1.69056","23.50M","-4.99%"
"Jun 03, 2018","1.80645","1.88971","2.00676","1.77241","35.35M","-4.47%"
"Jun 02, 2018","1.89105","1.91976","1.94480","1.85027","21.61M","-1.42%"
"Jun 01, 2018","1.91822","1.75307","1.94072","1.71451","30.77M","9.46%"
"May 31, 2018","1.75246","1.56669","1.81394","1.55377","32.09M","11.75%"
"May 30, 2018","1.56819","1.58526","1.64221","1.51011","23.19M","-1.08%"
"May 29, 2018","1.58527","1.34634","1.65337","1.33072","32.25M","17.60%"
"May 28, 2018","1.34800","1.45747","1.47081","1.34003","16.03M","-7.53%"
"May 27, 2018","1.45782","1.47218","1.47502","1.41352","13.85M","-1.09%"
"May 26, 2018","1.47382","1.48598","1.54058","1.45638","12.22M","-0.81%"
"May 25, 2018","1.48588","1.53228","1.57925","1.44353","16.94M","-2.87%"
"May 24, 2018","1.52983","1.46255","1.54674","1.37976","22.00M","4.53%"
"May 23, 2018","1.46348","1.62471","1.64237","1.39204","31.02M","-9.93%"
"May 22, 2018","1.62484","1.72187","1.74245","1.61242","15.91M","-5.64%"
"May 21, 2018","1.72187","1.82093","1.83559","1.71311","13.98M","-5.44%"
"May 20, 2018","1.82093","1.74160","1.84168","1.73031","13.30M","4.55%"
"May 19, 2018","1.74160","1.75356","1.81056","1.70454","14.74M","-0.68%"
"May 18, 2018","1.75356","1.70359","1.77519","1.64561","17.12M","2.83%"
"May 17, 2018","1.70522","1.89146","1.95141","1.67196","22.62M","-9.81%"
"May 16, 2018","1.89061","1.99052","1.99160","1.79657","22.24M","-4.86%"
"May 15, 2018","1.98722","1.93092","2.08563","1.90389","24.65M","2.99%"
"May 14, 2018","1.92959","1.99877","2.01058","1.80773","20.54M","-3.37%"
