"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","533.03","510.67","533.03","510.67","0.01K","4.82%"
"Jun 29, 2018","508.54","480.00","508.54","480.00","0.01K","5.95%"
"Jun 28, 2018","480.00","479.61","480.00","479.61","0.00K","0.08%"
"Jun 27, 2018","479.61","495.00","495.00","479.61","0.00K","-3.11%"
"Jun 26, 2018","495.00","511.67","526.38","495.00","0.00K","-3.26%"
"Jun 25, 2018","511.67","516.59","521.28","500.20","0.00K","-0.95%"
"Jun 24, 2018","516.59","521.85","548.71","494.79","0.01K","-1.01%"
"Jun 23, 2018","521.85","537.09","537.10","521.85","0.00K","-0.60%"
"Jun 22, 2018","525.00","560.50","560.50","525.00","0.00K","-6.33%"
"Jun 21, 2018","560.50","562.75","569.87","560.50","-","-0.40%"
"Jun 20, 2018","562.75","554.31","568.83","548.74","-","1.52%"
"Jun 19, 2018","554.31","525.00","570.79","525.00","-","5.58%"
"Jun 18, 2018","525.00","526.13","526.13","525.00","0.00K","-3.88%"
"Jun 17, 2018","546.17","548.62","548.62","546.17","0.00K","-3.74%"
"Jun 16, 2018","567.39","567.27","577.99","550.00","0.00K","0.02%"
"Jun 15, 2018","567.27","615.60","615.60","567.27","0.01K","-6.70%"
"Jun 14, 2018","608.00","599.47","616.48","567.27","0.02K","-1.35%"
"Jun 13, 2018","616.31","660.35","661.01","604.81","0.00K","-3.75%"
"Jun 12, 2018","640.35","683.34","683.34","0.00","0.00K","-6.29%"
"Jun 11, 2018","683.34","666.88","708.79","666.88","-","2.47%"
"Jun 10, 2018","666.88","792.13","792.13","666.88","0.00K","-17.19%"
"Jun 09, 2018","805.31","784.67","815.55","0.00","-","2.63%"
"Jun 08, 2018","784.67","809.39","809.39","784.67","-","-3.47%"
"Jun 07, 2018","812.91","804.94","812.91","804.94","-","0.99%"
"Jun 06, 2018","804.94","790.26","817.84","0.00","0.00K","1.86%"
"Jun 05, 2018","790.26","790.42","790.42","789.47","0.00K","0.50%"
"Jun 04, 2018","786.30","787.40","787.40","784.88","-","-1.32%"
"Jun 03, 2018","796.81","768.44","796.81","768.44","0.01K","3.69%"
"Jun 02, 2018","768.44","771.47","795.88","763.92","0.01K","-0.30%"
"Jun 01, 2018","770.78","771.91","771.91","0.00","0.00K","-0.15%"
"May 31, 2018","771.91","746.85","771.91","746.85","0.00K","3.36%"
"May 30, 2018","746.85","755.20","755.20","740.38","0.03K","1.04%"
"May 29, 2018","739.14","729.36","752.05","726.35","0.01K","1.34%"
"May 28, 2018","729.36","747.58","747.58","729.36","0.01K","-2.44%"
"May 27, 2018","747.58","752.50","781.75","747.58","0.01K","-4.06%"
