"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","2.1070","2.0419","2.2611","2.0400","-","3.31%"
"Jun 29, 2018","2.0394","1.9553","2.0729","1.8996","-","3.36%"
"Jun 28, 2018","1.9730","2.0636","2.0918","1.9612","-","-4.60%"
"Jun 27, 2018","2.0681","2.1084","2.1394","2.0548","-","-2.22%"
"Jun 26, 2018","2.1151","2.1500","2.2416","2.0862","-","-1.56%"
"Jun 25, 2018","2.1486","2.0993","2.2215","2.0719","-","2.35%"
"Jun 24, 2018","2.0992","2.2336","2.2814","1.9858","-","-6.14%"
"Jun 23, 2018","2.2365","2.3480","2.3656","2.2171","-","-4.75%"
"Jun 22, 2018","2.3480","2.6016","2.6224","2.2918","-","-9.71%"
"Jun 21, 2018","2.6006","2.6645","2.6758","2.5853","-","-2.40%"
"Jun 20, 2018","2.6644","2.6733","2.6976","2.6086","-","-0.45%"
"Jun 19, 2018","2.6763","2.6395","2.7044","2.5948","-","0.99%"
"Jun 18, 2018","2.6500","2.6225","2.7032","2.5794","-","1.14%"
"Jun 17, 2018","2.6203","2.6562","2.7005","2.6053","-","-1.33%"
"Jun 16, 2018","2.6557","2.6396","2.7052","2.6171","-","0.72%"
"Jun 15, 2018","2.6369","2.7538","2.7854","2.6267","-","-4.11%"
"Jun 14, 2018","2.7499","2.5961","2.7754","2.5906","-","5.99%"
"Jun 13, 2018","2.5946","2.8586","2.8788","2.5596","-","-9.21%"
"Jun 12, 2018","2.8579","2.9265","3.0298","2.7895","-","-2.48%"
"Jun 11, 2018","2.9306","2.9128","3.0282","2.8391","-","0.73%"
"Jun 10, 2018","2.9094","3.2196","3.2214","2.8499","-","-9.59%"
"Jun 09, 2018","3.2180","3.2609","3.3040","3.1943","-","-1.31%"
"Jun 08, 2018","3.2607","3.3034","3.3083","3.2255","-","-1.34%"
"Jun 07, 2018","3.3048","3.2700","3.3095","3.2511","-","1.07%"
"Jun 06, 2018","3.2699","3.3038","3.3264","3.2299","-","-0.94%"
"Jun 05, 2018","3.3010","3.2877","3.3274","3.2392","-","0.31%"
"Jun 04, 2018","3.2906","3.3698","3.4080","3.2704","-","-2.43%"
"Jun 03, 2018","3.3726","3.3555","3.4275","3.3435","-","0.50%"
"Jun 02, 2018","3.3557","3.3622","3.4115","3.3214","-","-0.11%"
"Jun 01, 2018","3.3595","3.3488","3.3702","3.2682","-","0.37%"
"May 31, 2018","3.3470","3.3025","3.4127","3.2758","-","1.31%"
"May 30, 2018","3.3038","3.3457","3.4205","3.0256","-","-1.20%"
"May 29, 2018","3.3441","3.1258","3.4008","3.0137","-","7.05%"
"May 28, 2018","3.1238","3.3132","3.3991","3.1205","-","-5.68%"
"May 27, 2018","3.3118","3.1978","3.3342","3.0878","-","3.51%"
"May 26, 2018","3.1995","3.1907","3.3661","3.1596","-","0.29%"
"May 25, 2018","3.1904","3.3866","3.4319","3.1038","-","-5.75%"
"May 24, 2018","3.3852","3.3346","3.4739","3.2323","-","1.44%"
