"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","2.4032","2.3254","2.5163","2.2980","18.76K","6.43%"
"Jun 29, 2018","2.2580","2.1762","2.2993","2.1049","5.00K","3.76%"
"Jun 28, 2018","2.1762","2.3115","2.3237","2.1720","4.23K","-5.85%"
"Jun 27, 2018","2.3113","2.1956","2.3402","2.1465","6.39K","4.92%"
"Jun 26, 2018","2.2029","2.4095","2.4135","2.2029","4.33K","-9.08%"
"Jun 25, 2018","2.4230","2.4818","2.4905","2.2407","26.01K","-2.37%"
"Jun 24, 2018","2.4817","2.5165","2.9981","2.0771","50.54K","-1.39%"
"Jun 23, 2018","2.5167","2.5172","2.6705","2.4593","14.31K","0.41%"
"Jun 22, 2018","2.5064","2.9434","3.0301","2.4845","32.44K","-14.85%"
"Jun 21, 2018","2.9435","2.8421","3.3217","2.8180","33.99K","3.57%"
"Jun 20, 2018","2.8420","2.7787","2.8545","2.6258","7.03K","2.28%"
"Jun 19, 2018","2.7786","2.7490","3.5219","2.7236","18.79K","1.97%"
"Jun 18, 2018","2.7249","2.5923","2.7997","2.5649","10.03K","5.11%"
"Jun 17, 2018","2.5923","2.7069","2.7900","2.5923","3.44K","-4.23%"
"Jun 16, 2018","2.7069","2.6222","2.7069","2.5215","6.02K","3.23%"
"Jun 15, 2018","2.6222","2.9304","2.9370","2.5748","14.00K","-10.52%"
"Jun 14, 2018","2.9305","2.5746","3.0403","2.4704","24.70K","13.80%"
"Jun 13, 2018","2.5750","2.6955","3.0592","2.4016","24.06K","-6.53%"
"Jun 12, 2018","2.7550","3.1681","3.2034","2.6706","13.80K","-13.05%"
"Jun 11, 2018","3.1684","3.1208","3.2363","3.0104","14.18K","3.23%"
"Jun 10, 2018","3.0693","3.7766","3.7766","3.0693","21.96K","-18.75%"
"Jun 09, 2018","3.7775","3.9313","4.0074","3.7775","4.11K","-2.56%"
"Jun 08, 2018","3.8767","4.0930","4.0934","3.8030","10.10K","-5.28%"
"Jun 07, 2018","4.0930","3.9393","4.5668","3.9275","16.02K","3.90%"
"Jun 06, 2018","3.9392","4.0734","4.0734","3.7057","13.52K","-3.29%"
"Jun 05, 2018","4.0734","3.8874","4.1837","3.2131","15.96K","3.74%"
"Jun 04, 2018","3.9267","4.3146","4.5188","3.9267","11.08K","-8.38%"
"Jun 03, 2018","4.2861","4.2424","4.5452","4.1419","5.65K","1.04%"
"Jun 02, 2018","4.2422","4.1149","4.4133","4.1149","3.71K","3.10%"
"Jun 01, 2018","4.1147","4.2455","4.2706","3.9675","6.57K","-2.27%"
"May 31, 2018","4.2101","4.0269","4.4059","3.9016","11.62K","4.55%"
"May 30, 2018","4.0269","4.1534","4.3229","3.8153","12.71K","-3.03%"
"May 29, 2018","4.1529","3.7403","4.3617","3.6314","16.14K","11.03%"
"May 28, 2018","3.7402","4.2053","4.2120","3.6535","11.94K","-11.06%"
"May 27, 2018","4.2055","4.2405","4.5375","4.0874","11.38K","-0.82%"
"May 26, 2018","4.2403","4.3237","4.6400","4.2266","12.85K","-1.99%"
"May 25, 2018","4.3263","4.5484","4.6255","4.3263","8.70K","-4.88%"
"May 24, 2018","4.5484","4.2979","4.7236","4.1962","12.99K","5.83%"
"May 23, 2018","4.2979","4.8915","5.0652","4.2505","21.76K","-11.88%"
"May 22, 2018","4.8776","5.3443","5.4088","4.5497","15.06K","-8.73%"
"May 21, 2018","5.3443","5.7168","5.8127","5.2836","14.39K","-6.52%"
"May 20, 2018","5.7168","5.4888","5.8127","5.4377","8.44K","4.16%"
"May 19, 2018","5.4888","5.6559","5.6962","5.3940","5.56K","-2.95%"
"May 18, 2018","5.6559","5.5128","5.8260","5.2903","6.10K","2.60%"
"May 17, 2018","5.5128","5.9382","6.2874","5.4832","7.67K","-7.16%"
"May 16, 2018","5.9382","6.1271","6.1271","5.8046","6.44K","-3.08%"
"May 15, 2018","6.1271","6.4251","6.5663","6.0793","4.13K","-4.64%"
"May 14, 2018","6.4253","6.6936","6.7125","6.0534","7.84K","-4.01%"
"May 13, 2018","6.6936","6.3492","6.8291","6.0665","3.27K","5.42%"
"May 12, 2018","6.3492","6.2180","6.8948","5.6832","15.15K","2.11%"
"May 11, 2018","6.2180","7.0412","7.1471","5.9478","17.14K","-11.69%"
"May 10, 2018","7.0412","7.7922","8.0860","7.0006","6.62K","-9.64%"
"May 09, 2018","7.7922","8.1284","8.1284","7.3092","7.84K","-4.14%"
"May 08, 2018","8.1284","8.5842","8.5847","7.8686","7.09K","-4.22%"
"May 07, 2018","8.4867","8.8519","8.8519","8.0109","17.25K","-4.13%"
"May 06, 2018","8.8519","9.2810","9.3325","8.4005","11.91K","-4.64%"
"May 05, 2018","9.2830","9.4381","9.8856","9.1074","20.43K","-1.64%"
"May 04, 2018","9.4381","9.9516","10.6509","9.1494","33.44K","-5.16%"
"May 03, 2018","9.9516","8.6556","10.4555","8.3589","40.88K","14.97%"
"May 02, 2018","8.6555","8.3146","8.8092","7.9131","15.54K","4.11%"
"May 01, 2018","8.3142","8.7157","8.7157","7.5400","29.18K","-4.61%"
"Apr 30, 2018","8.7157","8.9687","10.1879","8.2410","53.79K","-2.82%"
"Apr 29, 2018","8.9687","7.4561","10.4662","7.4451","56.12K","20.29%"
"Apr 28, 2018","7.4561","7.3759","7.8225","7.0597","27.71K","1.09%"
"Apr 27, 2018","7.3759","7.7589","7.7783","6.9824","22.12K","-4.94%"
"Apr 26, 2018","7.7589","6.7031","7.7611","6.4435","27.30K","15.75%"
"Apr 25, 2018","6.7031","8.1521","8.1890","6.3661","46.24K","-17.77%"
"Apr 24, 2018","8.1521","7.8122","8.3579","7.5762","49.65K","4.35%"
