"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","30.876","29.591","32.116","29.591","780.72K","4.33%"
"Jun 29, 2018","29.594","28.296","30.206","27.174","717.46K","4.64%"
"Jun 28, 2018","28.282","30.385","30.620","28.101","507.47K","-6.92%"
"Jun 27, 2018","30.386","30.048","30.590","29.454","417.42K","1.12%"
"Jun 26, 2018","30.048","31.630","31.732","30.001","435.56K","-5.01%"
"Jun 25, 2018","31.633","31.126","32.743","30.588","531.95K","1.65%"
"Jun 24, 2018","31.120","33.934","34.120","28.885","1.05M","-8.29%"
"Jun 23, 2018","33.934","33.002","34.738","32.710","452.51K","2.81%"
"Jun 22, 2018","33.006","37.652","37.713","32.180","827.42K","-12.36%"
"Jun 21, 2018","37.663","38.890","39.556","37.296","414.98K","-3.19%"
"Jun 20, 2018","38.903","39.904","39.956","37.754","448.03K","-2.49%"
"Jun 19, 2018","39.896","39.527","41.319","38.957","445.83K","0.92%"
"Jun 18, 2018","39.534","38.557","40.746","36.956","550.74K","2.57%"
"Jun 17, 2018","38.542","37.965","39.699","37.546","396.13K","1.52%"
"Jun 16, 2018","37.963","37.866","38.552","36.445","419.62K","0.21%"
"Jun 15, 2018","37.885","40.690","40.783","37.859","431.48K","-6.88%"
"Jun 14, 2018","40.684","37.946","41.653","37.618","843.75K","7.22%"
"Jun 13, 2018","37.945","41.216","41.537","35.829","858.52K","-7.94%"
"Jun 12, 2018","41.216","45.609","46.570","40.443","584.26K","-9.63%"
"Jun 11, 2018","45.606","45.304","45.680","42.714","486.83K","0.67%"
"Jun 10, 2018","45.304","50.854","50.854","43.981","698.94K","-10.91%"
"Jun 09, 2018","50.853","52.306","53.356","50.571","291.68K","-2.79%"
"Jun 08, 2018","52.310","53.482","53.889","51.814","276.32K","-2.19%"
"Jun 07, 2018","53.482","53.810","54.948","52.907","274.12K","-0.61%"
"Jun 06, 2018","53.809","54.475","54.641","52.543","336.70K","-1.23%"
"Jun 05, 2018","54.479","53.457","54.924","51.850","492.30K","1.91%"
"Jun 04, 2018","53.458","56.383","57.193","52.275","512.64K","-5.21%"
"Jun 03, 2018","56.398","56.769","58.254","55.766","443.90K","-0.66%"
"Jun 02, 2018","56.773","55.626","57.439","54.784","505.02K","2.06%"
"Jun 01, 2018","55.627","53.072","56.229","52.924","488.55K","4.76%"
"May 31, 2018","53.098","51.485","54.195","50.823","428.90K","3.14%"
"May 30, 2018","51.483","52.119","53.471","50.353","434.29K","-1.20%"
"May 29, 2018","52.107","47.745","53.611","47.455","608.40K","9.12%"
"May 28, 2018","47.751","52.908","52.931","47.591","474.60K","-9.77%"
"May 27, 2018","52.924","52.186","52.949","51.198","322.73K","1.42%"
"May 26, 2018","52.183","52.814","54.428","51.575","362.83K","-1.19%"
"May 25, 2018","52.812","55.131","56.317","51.810","470.45K","-4.22%"
"May 24, 2018","55.138","51.731","55.189","49.949","593.94K","6.59%"
"May 23, 2018","51.731","56.951","57.621","51.289","693.27K","-9.17%"
