"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","0.005081","0.005618","0.005974","0.004773","-","-8.55%"
"Jun 29, 2018","0.005556","0.005060","0.005608","0.004804","-","9.64%"
"Jun 28, 2018","0.005068","0.005673","0.005695","0.005035","-","-9.69%"
"Jun 27, 2018","0.005612","0.004944","0.005863","0.004852","-","14.56%"
"Jun 26, 2018","0.004899","0.005344","0.005352","0.004899","-","-8.28%"
"Jun 25, 2018","0.005341","0.006484","0.006563","0.005102","-","-17.66%"
"Jun 24, 2018","0.006486","0.006499","0.006582","0.006092","-","-0.06%"
"Jun 23, 2018","0.006490","0.006375","0.006593","0.006347","-","1.80%"
"Jun 22, 2018","0.006375","0.007083","0.007101","0.006263","-","-9.99%"
"Jun 21, 2018","0.007083","0.007132","0.007159","0.007059","-","-0.68%"
"Jun 20, 2018","0.007132","0.007103","0.007186","0.006921","-","0.29%"
"Jun 19, 2018","0.007111","0.007081","0.007203","0.007037","-","0.47%"
"Jun 18, 2018","0.007078","0.006797","0.007159","0.006739","-","4.20%"
"Jun 17, 2018","0.006792","0.006844","0.006931","0.006780","-","-0.74%"
"Jun 16, 2018","0.006843","0.006736","0.006910","0.006678","-","1.63%"
"Jun 15, 2018","0.006733","0.007007","0.007007","0.006710","-","-3.73%"
"Jun 14, 2018","0.006994","0.006641","0.007066","0.006618","-","5.37%"
"Jun 13, 2018","0.006637","0.006904","0.006969","0.006465","-","-3.84%"
"Jun 12, 2018","0.006902","0.007248","0.007248","0.006795","-","-4.82%"
"Jun 11, 2018","0.007252","0.007129","0.007276","0.007004","-","1.83%"
"Jun 10, 2018","0.007121","0.007911","0.007911","0.007007","-","-9.96%"
"Jun 09, 2018","0.007909","0.007691","0.008309","0.007471","-","2.32%"
"Jun 08, 2018","0.007729","0.007878","0.008128","0.007268","-","-2.87%"
"Jun 07, 2018","0.007958","0.008955","0.009068","0.007690","-","-11.13%"
"Jun 06, 2018","0.008955","0.009459","0.009548","0.008726","-","-5.25%"
"Jun 05, 2018","0.009451","0.008875","0.009483","0.008388","-","6.42%"
"Jun 04, 2018","0.008881","0.009841","0.009859","0.008591","-","-9.04%"
"Jun 03, 2018","0.009763","0.009807","0.010070","0.009027","-","-0.53%"
"Jun 02, 2018","0.009815","0.010049","0.010085","0.009578","-","-2.25%"
"Jun 01, 2018","0.010041","0.009919","0.010218","0.009593","-","1.23%"
"May 31, 2018","0.009920","0.010473","0.011605","0.009705","-","-5.61%"
"May 30, 2018","0.010510","0.010563","0.010910","0.010011","-","-0.39%"
"May 29, 2018","0.010551","0.009697","0.010854","0.009580","-","9.67%"
"May 28, 2018","0.009620","0.011120","0.011777","0.009577","-","-13.48%"
"May 27, 2018","0.011120","0.010774","0.011138","0.010164","-","3.23%"
"May 26, 2018","0.010771","0.009955","0.011378","0.009902","-","8.59%"
"May 25, 2018","0.009919","0.010038","0.010139","0.009369","-","-1.15%"
"May 24, 2018","0.010034","0.009192","0.010175","0.008694","-","9.08%"
"May 23, 2018","0.009199","0.009253","0.010481","0.008699","-","-0.63%"
"May 22, 2018","0.009257","0.011375","0.011551","0.009207","-","-18.63%"
"May 21, 2018","0.011376","0.012571","0.012604","0.010556","-","-9.51%"
"May 20, 2018","0.012572","0.012141","0.012777","0.011989","-","3.44%"
"May 19, 2018","0.012154","0.012976","0.013351","0.012031","-","-6.34%"
"May 18, 2018","0.012976","0.011479","0.013127","0.010965","-","12.50%"
"May 17, 2018","0.011534","0.012314","0.013304","0.011240","-","-6.25%"
"May 16, 2018","0.012303","0.009651","0.012342","0.008024","-","27.48%"
"May 15, 2018","0.009651","0.011483","0.012817","0.008320","-","-16.59%"
"May 14, 2018","0.011571","0.013590","0.015760","0.010787","-","-14.59%"
"May 13, 2018","0.013546","0.009267","0.013585","0.008848","-","46.37%"
"May 12, 2018","0.009255","0.008370","0.009265","0.007697","-","10.83%"
"May 11, 2018","0.008350","0.007659","0.009342","0.007362","-","4.62%"
"May 10, 2018","0.007982","0.008900","0.010345","0.007501","-","-10.31%"
"May 09, 2018","0.008899","0.006291","0.009251","0.005816","-","41.21%"
"May 08, 2018","0.006302","0.005285","0.006414","0.000001","-","18.99%"
"May 07, 2018","0.005296","0.005168","0.005296","0.004773","-","2.41%"
"May 06, 2018","0.005172","0.005029","0.005172","0.004737","-","2.81%"
"May 05, 2018","0.005030","0.004900","0.005747","0.004815","-","2.60%"
"May 04, 2018","0.004902","0.004443","0.005018","0.004159","-","10.14%"
"May 03, 2018","0.004451","0.004571","0.004591","0.004294","-","-2.47%"
"May 02, 2018","0.004564","0.004578","0.004628","0.004374","-","-0.59%"
"May 01, 2018","0.004591","0.004480","0.004686","0.004130","-","2.63%"
