"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","0.095780","0.093464","0.099543","0.093448","4.90M","2.36%"
"Jun 29, 2018","0.093571","0.090133","0.094512","0.087318","5.75M","3.81%"
"Jun 28, 2018","0.090134","0.093677","0.095683","0.089855","6.25M","-3.52%"
"Jun 27, 2018","0.093423","0.093463","0.095327","0.091070","5.57M","-0.02%"
"Jun 26, 2018","0.093444","0.099878","0.103060","0.092979","5.82M","-6.46%"
"Jun 25, 2018","0.099895","0.092939","0.104215","0.092687","8.19M","7.49%"
"Jun 24, 2018","0.092936","0.100921","0.100921","0.089003","7.63M","-7.62%"
"Jun 23, 2018","0.100602","0.098821","0.101105","0.098615","4.33M","1.70%"
"Jun 22, 2018","0.098925","0.112024","0.112294","0.098793","6.33M","-11.78%"
"Jun 21, 2018","0.112128","0.112829","0.114716","0.110735","4.23M","-0.29%"
"Jun 20, 2018","0.112456","0.115527","0.115966","0.110424","3.86M","-2.66%"
"Jun 19, 2018","0.115533","0.116748","0.118950","0.114782","4.52M","-0.58%"
"Jun 18, 2018","0.116213","0.113649","0.118468","0.109493","4.69M","2.36%"
"Jun 17, 2018","0.113532","0.115452","0.116624","0.112413","4.02M","-1.72%"
"Jun 16, 2018","0.115520","0.114134","0.116409","0.112006","5.02M","1.29%"
"Jun 15, 2018","0.114049","0.118367","0.119128","0.113147","4.59M","-3.65%"
"Jun 14, 2018","0.118370","0.110306","0.125818","0.109608","8.56M","7.35%"
"Jun 13, 2018","0.110270","0.117070","0.120770","0.104576","6.83M","-5.92%"
"Jun 12, 2018","0.117205","0.131634","0.135651","0.116153","5.95M","-10.35%"
"Jun 11, 2018","0.130730","0.119698","0.131887","0.117348","6.03M","9.13%"
"Jun 10, 2018","0.119797","0.136540","0.136540","0.117523","7.15M","-12.26%"
"Jun 09, 2018","0.136540","0.139860","0.141475","0.136132","4.05M","-2.39%"
"Jun 08, 2018","0.139884","0.141747","0.141991","0.137819","5.02M","-1.30%"
"Jun 07, 2018","0.141725","0.141584","0.147875","0.140517","6.75M","0.22%"
"Jun 06, 2018","0.141413","0.146686","0.147005","0.137549","6.05M","-3.68%"
"Jun 05, 2018","0.146811","0.142062","0.146951","0.139600","7.38M","3.37%"
"Jun 04, 2018","0.142031","0.147246","0.149196","0.137048","6.39M","-3.56%"
"Jun 03, 2018","0.147275","0.148014","0.151416","0.144473","2.40M","-0.58%"
"Jun 02, 2018","0.148135","0.134714","0.150130","0.131451","5.88M","9.97%"
"Jun 01, 2018","0.134710","0.133851","0.136048","0.131528","2.07M","0.60%"
"May 31, 2018","0.133908","0.134034","0.339924","0.051562","2.77M","-0.09%"
"May 30, 2018","0.134034","0.136346","0.138353","0.130719","2.15M","-1.70%"
"May 29, 2018","0.136346","0.127926","0.138209","0.125503","4.15M","6.58%"
"May 28, 2018","0.127926","0.137947","0.143315","0.127483","2.89M","-7.24%"
"May 27, 2018","0.137915","0.135461","0.138288","0.132616","1.83M","1.81%"
"May 26, 2018","0.135462","0.135339","0.138772","0.133023","2.01M","0.09%"
"May 25, 2018","0.135339","0.140074","0.140985","0.132827","3.10M","-3.42%"
"May 24, 2018","0.140133","0.139054","0.144204","0.131268","3.70M","0.78%"
"May 23, 2018","0.139054","0.152250","0.153475","0.134894","4.22M","-8.74%"
"May 22, 2018","0.152374","0.164961","0.173025","0.152210","5.05M","-7.63%"
"May 21, 2018","0.164961","0.164577","0.166965","0.162045","3.25M","0.23%"
"May 20, 2018","0.164577","0.156195","0.166395","0.155652","2.49M","5.37%"
"May 19, 2018","0.156195","0.160630","0.163309","0.154834","2.14M","-2.75%"
"May 18, 2018","0.160607","0.156656","0.161900","0.153011","2.84M","2.65%"
"May 17, 2018","0.156461","0.165122","0.169139","0.156366","3.33M","-5.27%"
"May 16, 2018","0.165165","0.170625","0.171041","0.160402","3.44M","-3.19%"
"May 15, 2018","0.170609","0.179796","0.184249","0.169133","3.62M","-5.11%"
"May 14, 2018","0.179796","0.184919","0.185602","0.169510","3.84M","-2.53%"
"May 13, 2018","0.184459","0.173539","0.187737","0.171128","3.12M","6.23%"
"May 12, 2018","0.173635","0.172386","0.178368","0.159958","5.64M","0.81%"
"May 11, 2018","0.172236","0.199397","0.199459","0.164629","8.09M","-13.62%"
"May 10, 2018","0.199397","0.213095","0.218469","0.199109","2.87M","-6.06%"
"May 09, 2018","0.212261","0.216283","0.216288","0.203007","3.05M","-1.86%"
"May 08, 2018","0.216286","0.228873","0.230325","0.208413","3.53M","-2.94%"
"May 07, 2018","0.222828","0.231794","0.236507","0.210496","4.95M","-3.93%"
"May 06, 2018","0.231938","0.241743","0.242651","0.225112","5.36M","-3.99%"
"May 05, 2018","0.241589","0.248551","0.249873","0.239976","5.09M","-2.80%"
"May 04, 2018","0.248551","0.252112","0.256681","0.239510","4.89M","-1.41%"
"May 03, 2018","0.252112","0.250478","0.260136","0.240513","7.63M","0.68%"
"May 02, 2018","0.250407","0.237544","0.262772","0.237295","8.79M","5.40%"
"May 01, 2018","0.237580","0.219047","0.238894","0.205796","8.48M","8.40%"
"Apr 30, 2018","0.219170","0.212683","0.232611","0.208478","7.73M","3.14%"
"Apr 29, 2018","0.212494","0.211144","0.217190","0.204377","4.13M","0.64%"
"Apr 28, 2018","0.211144","0.200584","0.215333","0.199130","4.32M","5.26%"
"Apr 27, 2018","0.200584","0.206077","0.220222","0.199899","8.70M","-2.67%"
"Apr 26, 2018","0.206085","0.185711","0.206444","0.180216","5.52M","10.97%"
