"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","7.6222","7.2001","7.7867","7.1125","741.11K","5.85%"
"Jun 29, 2018","7.2010","6.7352","7.2682","6.6909","697.03K","6.92%"
"Jun 28, 2018","6.7352","7.2592","7.3131","6.7103","555.29K","-7.22%"
"Jun 27, 2018","7.2593","7.2397","7.3112","7.1321","386.52K","0.16%"
"Jun 26, 2018","7.2478","7.8302","7.8611","7.2291","369.18K","-7.45%"
"Jun 25, 2018","7.8315","7.7865","8.0527","7.5302","541.94K","0.58%"
"Jun 24, 2018","7.7864","8.2054","8.2229","7.1707","853.62K","-5.05%"
"Jun 23, 2018","8.2009","8.2087","8.3859","7.9394","554.92K","-0.09%"
"Jun 22, 2018","8.2087","8.9272","8.9704","8.0967","1.19M","-8.05%"
"Jun 21, 2018","8.9273","9.1104","9.2179","8.8943","328.33K","-2.00%"
"Jun 20, 2018","9.1095","9.2241","9.2318","8.9210","479.28K","-1.24%"
"Jun 19, 2018","9.2242","9.4000","9.5742","9.1328","529.09K","-1.87%"
"Jun 18, 2018","9.3999","9.0231","9.6166","8.9222","505.77K","4.18%"
"Jun 17, 2018","9.0231","9.1495","9.3194","8.9848","341.42K","-1.34%"
"Jun 16, 2018","9.1455","8.9195","9.4194","8.8868","532.45K","2.53%"
"Jun 15, 2018","8.9195","9.4292","9.4894","8.8605","504.23K","-5.44%"
"Jun 14, 2018","9.4331","8.7941","9.6499","8.7670","1.01M","7.25%"
"Jun 13, 2018","8.7957","9.0468","9.2822","8.6586","1.16M","-2.78%"
"Jun 12, 2018","9.0474","9.9717","10.1242","8.9858","931.37K","-9.25%"
"Jun 11, 2018","9.9699","9.4457","9.9889","9.2590","733.24K","5.55%"
"Jun 10, 2018","9.4460","10.7400","10.7468","9.2710","1.40M","-12.08%"
"Jun 09, 2018","10.7437","11.1055","11.2341","10.7118","545.84K","-3.26%"
"Jun 08, 2018","11.1055","11.4476","11.5371","10.9787","571.55K","-2.96%"
"Jun 07, 2018","11.4445","11.0609","12.0102","11.0535","915.76K","3.47%"
"Jun 06, 2018","11.0610","11.3119","11.3849","10.7910","981.71K","-2.22%"
"Jun 05, 2018","11.3119","11.0972","11.5348","10.5997","970.89K","1.93%"
"Jun 04, 2018","11.0976","11.8068","12.0192","10.8851","1.36M","-6.01%"
"Jun 03, 2018","11.8068","11.5556","12.3545","11.5469","1.43M","2.21%"
"Jun 02, 2018","11.5512","10.8016","11.8619","10.6786","2.18M","6.94%"
"Jun 01, 2018","10.8018","10.5785","10.8549","10.3704","1.65M","2.11%"
"May 31, 2018","10.5786","10.3041","10.8938","10.2410","1.01M","2.67%"
"May 30, 2018","10.3040","10.5055","10.8524","9.9292","754.25K","-1.96%"
"May 29, 2018","10.5103","9.5960","10.8041","9.5075","815.15K","9.52%"
"May 28, 2018","9.5967","10.4200","10.5925","9.5415","808.66K","-7.90%"
"May 27, 2018","10.4200","10.7882","10.7966","10.2344","1.11M","-3.41%"
"May 26, 2018","10.7882","10.6991","11.1597","10.5277","564.56K","0.83%"
"May 25, 2018","10.6993","11.1493","11.4785","10.5562","671.10K","-4.04%"
"May 24, 2018","11.1492","10.5698","11.3400","10.0554","1.05M","5.68%"
"May 23, 2018","10.5498","11.4579","11.5875","10.0565","1.16M","-7.91%"
"May 22, 2018","11.4560","12.5434","12.9924","11.4043","527.20K","-8.66%"
"May 21, 2018","12.5422","13.0439","13.1220","12.2758","403.08K","-3.84%"
"May 20, 2018","13.0428","12.4956","13.2844","12.3648","775.00K","4.24%"
"May 19, 2018","12.5123","12.5380","12.9061","12.3179","838.95K","-0.21%"
"May 18, 2018","12.5386","12.3333","12.8186","11.9965","1.11M","1.66%"
"May 17, 2018","12.3333","13.1447","13.5642","12.0992","961.32K","-6.24%"
"May 16, 2018","13.1543","13.5384","13.5526","12.7564","549.70K","-2.84%"
"May 15, 2018","13.5394","14.1806","14.5506","13.4888","487.01K","-4.52%"
"May 14, 2018","14.1806","14.2042","14.6066","13.2035","1.02M","-0.17%"
"May 13, 2018","14.2042","13.6771","14.6929","13.3224","979.61K","3.82%"
"May 12, 2018","13.6815","13.2941","14.1278","12.4476","846.07K","2.91%"
"May 11, 2018","13.2941","15.3454","15.3454","13.0631","1.46M","-13.35%"
"May 10, 2018","15.3417","16.1147","16.4134","15.3146","1.00M","-4.74%"
"May 09, 2018","16.1053","16.0153","16.7404","15.3282","720.05K","0.56%"
"May 08, 2018","16.0153","16.6586","16.8270","15.7618","749.92K","-5.28%"
"May 07, 2018","16.9085","16.9708","17.0298","15.7938","930.36K","-0.37%"
"May 06, 2018","16.9708","17.4476","17.7487","16.5655","773.31K","-2.84%"
