"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","5.2832","5.1624","5.6749","5.0989","-","2.29%"
"Jun 29, 2018","5.1652","4.7622","5.3162","4.6801","-","8.56%"
"Jun 28, 2018","4.7577","5.4149","5.4915","4.5478","-","-12.08%"
"Jun 27, 2018","5.4113","5.0502","5.5006","4.9956","-","6.66%"
"Jun 26, 2018","5.0736","5.6104","5.8123","5.0414","-","-9.55%"
"Jun 25, 2018","5.6092","5.0954","5.8739","4.8211","-","10.29%"
"Jun 24, 2018","5.0860","5.1119","5.4784","4.1679","-","-0.20%"
"Jun 23, 2018","5.0961","5.3100","5.4648","4.9302","-","-3.74%"
"Jun 22, 2018","5.2941","6.3443","6.3611","5.2015","-","-16.76%"
"Jun 21, 2018","6.3604","6.6103","6.6816","6.2396","-","-3.70%"
"Jun 20, 2018","6.6049","6.7481","6.7734","6.3532","-","-2.11%"
"Jun 19, 2018","6.7472","6.6847","6.8160","6.4623","-","1.01%"
"Jun 18, 2018","6.6798","6.1494","6.8245","6.0292","-","8.71%"
"Jun 17, 2018","6.1446","6.0972","6.2974","6.0730","-","0.80%"
"Jun 16, 2018","6.0960","5.9578","6.1864","5.8247","-","2.29%"
"Jun 15, 2018","5.9598","6.3186","6.3321","5.9089","-","-5.48%"
"Jun 14, 2018","6.3054","5.9149","6.4574","5.7937","-","6.51%"
"Jun 13, 2018","5.9203","6.2977","6.4216","5.4649","-","-5.80%"
"Jun 12, 2018","6.2848","7.0151","7.0151","6.1396","-","-10.39%"
"Jun 11, 2018","7.0139","6.8135","7.0204","6.2718","-","2.29%"
"Jun 10, 2018","6.8566","8.0366","8.0366","6.3851","-","-14.59%"
"Jun 09, 2018","8.0279","8.2960","8.4977","8.0279","-","-3.30%"
"Jun 08, 2018","8.3017","8.3281","8.5896","8.0228","-","-0.43%"
"Jun 07, 2018","8.3379","8.5330","8.8889","8.0844","-","-2.81%"
"Jun 06, 2018","8.5792","8.1447","8.6590","7.9203","-","5.89%"
"Jun 05, 2018","8.1018","7.5078","8.2359","7.1463","-","7.79%"
"Jun 04, 2018","7.5161","8.1153","8.1723","7.3083","-","-7.35%"
"Jun 03, 2018","8.1120","7.9019","8.3234","7.6198","-","2.93%"
"Jun 02, 2018","7.8809","7.0720","8.0080","6.9862","-","11.44%"
"Jun 01, 2018","7.0722","7.1201","7.3292","6.9223","-","-1.05%"
"May 31, 2018","7.1471","6.4775","7.2893","6.3605","-","10.32%"
"May 30, 2018","6.4785","6.6600","6.8811","6.1858","-","-2.58%"
"May 29, 2018","6.6499","5.7988","6.8938","5.5315","-","14.65%"
"May 28, 2018","5.8004","6.4524","6.5444","5.6136","-","-10.11%"
"May 27, 2018","6.4524","6.5078","6.5501","6.2720","-","-0.86%"
"May 26, 2018","6.5085","6.5670","6.6670","6.3799","-","-0.72%"
"May 25, 2018","6.5559","6.8333","6.8952","6.3003","-","-3.90%"
"May 24, 2018","6.8222","6.3146","6.9813","5.9246","-","7.75%"
"May 23, 2018","6.3317","6.9053","7.1288","5.9833","-","-7.96%"
"May 22, 2018","6.8794","7.6522","7.7188","6.7516","-","-10.12%"
"May 21, 2018","7.6542","7.9657","8.3390","7.4131","-","-3.91%"
"May 20, 2018","7.9660","7.2338","8.0755","7.0561","-","10.00%"
"May 19, 2018","7.2417","6.9335","7.6232","6.5898","-","4.36%"
"May 18, 2018","6.9392","6.7862","6.9877","6.5546","-","2.30%"
"May 17, 2018","6.7835","7.3388","7.7442","6.7089","-","-7.23%"
"May 16, 2018","7.3119","7.7786","7.8263","7.1199","-","-6.10%"
"May 15, 2018","7.7870","7.9181","8.4254","7.7189","-","-1.83%"
"May 14, 2018","7.9319","8.2093","8.3455","7.5190","-","-3.45%"
"May 13, 2018","8.2155","7.2670","8.5907","7.0360","-","12.91%"
"May 12, 2018","7.2761","7.0525","7.7012","5.9089","-","3.13%"
"May 11, 2018","7.0555","8.1778","8.3302","6.9844","-","-13.77%"
"May 10, 2018","8.1820","8.8155","9.0117","8.1488","-","-7.02%"
"May 09, 2018","8.7996","8.8862","9.0856","8.4048","-","-1.09%"
"May 08, 2018","8.8963","9.4383","9.5514","0.0010","-","-5.80%"
"May 07, 2018","9.4444","9.3451","9.7065","8.3729","-","0.96%"
