"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","1.2531","1.2173","1.2594","1.2161","-","2.95%"
"Jun 29, 2018","1.2171","1.2458","1.2523","0.8617","-","-2.41%"
"Jun 28, 2018","1.2472","1.2837","1.2921","1.2424","-","-2.84%"
"Jun 27, 2018","1.2837","1.2347","1.2994","1.2213","-","3.82%"
"Jun 26, 2018","1.2364","2.0000","2.0000","1.2250","-","-38.18%"
"Jun 25, 2018","2.0000","2.0000","2.0000","1.2743","0.00K","0.00%"
"Jun 24, 2018","2.0000","2.0920","2.0920","2.0000","0.13K","-4.40%"
"Jun 23, 2018","2.0920","2.5290","2.5290","2.0920","0.03K","-17.28%"
"Jun 22, 2018","2.5290","1.6413","2.5353","1.5520","0.02K","54.15%"
"Jun 21, 2018","1.6406","1.6602","1.6735","1.2176","-","-1.19%"
"Jun 20, 2018","1.6604","2.9143","2.9153","1.6482","-","-43.06%"
"Jun 19, 2018","2.9159","1.7975","2.9169","1.6567","-","62.25%"
"Jun 18, 2018","1.7972","1.7745","1.8043","1.7240","-","1.32%"
"Jun 17, 2018","1.7738","1.7644","1.7846","1.3378","-","0.54%"
"Jun 16, 2018","1.7642","1.8058","1.8156","1.3140","-","-2.29%"
"Jun 15, 2018","1.8055","1.8302","1.8669","1.3304","-","-1.25%"
"Jun 14, 2018","1.8285","2.7560","2.7560","1.8014","-","-33.66%"
"Jun 13, 2018","2.7560","1.8509","2.9300","1.7715","0.05K","48.92%"
"Jun 12, 2018","1.8507","3.0137","3.0137","1.8398","-","-38.59%"
"Jun 11, 2018","3.0137","3.6750","3.6750","3.0017","0.04K","-11.36%"
"Jun 10, 2018","3.4000","3.3004","3.4000","3.1487","0.01K","3.02%"
"Jun 09, 2018","3.3004","3.6765","3.7157","3.3004","0.02K","-10.23%"
"Jun 08, 2018","3.6765","3.6972","3.7011","1.7595","-","-0.58%"
"Jun 07, 2018","3.6980","2.4782","3.7175","1.8430","-","49.23%"
"Jun 06, 2018","2.4780","3.7586","3.7789","2.4651","-","-34.05%"
"Jun 05, 2018","3.7575","4.0000","4.0000","2.5019","-","-6.06%"
"Jun 04, 2018","4.0000","4.2712","4.2712","1.8273","0.01K","-6.35%"
"Jun 03, 2018","4.2712","2.6033","4.2712","2.5969","0.00K","64.05%"
"Jun 02, 2018","2.6037","4.0311","4.0670","1.9547","-","-35.40%"
"Jun 01, 2018","4.0301","2.6165","4.0608","1.8878","-","54.02%"
"May 31, 2018","2.6167","2.5323","2.6323","2.5233","-","3.33%"
"May 30, 2018","2.5323","4.4260","4.4260","2.5225","-","-42.79%"
"May 29, 2018","4.4260","2.3649","4.4260","2.3649","0.02K","86.99%"
"May 28, 2018","2.3670","2.5530","2.5630","1.7869","-","-7.27%"
"May 27, 2018","2.5527","4.4213","4.4213","2.5224","-","-42.26%"
"May 26, 2018","4.4213","2.5083","4.4213","2.5047","0.00K","76.25%"
"May 25, 2018","2.5086","3.8600","3.8600","1.8590","-","-35.01%"
"May 24, 2018","3.8600","3.9600","3.9600","3.8600","0.39K","-2.53%"
"May 23, 2018","3.9600","4.3000","4.3259","2.7211","0.11K","-7.91%"
"May 22, 2018","4.3000","4.7000","4.7000","4.3000","0.04K","-8.51%"
"May 21, 2018","4.7000","0.0000","4.7000","0.0000","0.03K","0.00%"
"May 20, 2018","0.0000","4.7700","4.7701","0.0000","-","-100.00%"
"May 19, 2018","4.7701","4.7700","4.7701","0.0000","0.01K","0.00%"
"May 18, 2018","4.7700","5.0000","5.0000","4.7700","0.01K","-4.60%"
"May 17, 2018","5.0000","5.3000","5.3000","5.0000","0.01K","-5.66%"
"May 16, 2018","5.3000","5.8750","5.8750","5.3000","0.40K","-9.79%"
"May 15, 2018","5.8750","5.9763","6.2624","0.0000","0.16K","-1.69%"
"May 14, 2018","5.9763","0.0000","5.9763","0.0000","0.01K","0.00%"
"May 13, 2018","0.0000","6.0204","6.0204","0.0000","-","-100.00%"
