"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","0.33961","0.28665","0.35189","0.28265","-","18.48%"
"Jun 29, 2018","0.28663","0.27016","0.29055","0.25883","-","5.17%"
"Jun 28, 2018","0.27255","0.27959","0.28463","0.26645","-","-2.50%"
"Jun 27, 2018","0.27955","0.26864","0.28467","0.26618","-","3.85%"
"Jun 26, 2018","0.26919","0.30430","0.31548","0.26910","-","-11.65%"
"Jun 25, 2018","0.30469","0.30659","0.31539","0.29619","-","-0.70%"
"Jun 24, 2018","0.30682","0.32150","0.32197","0.27335","-","-4.36%"
"Jun 23, 2018","0.32080","0.30613","0.32976","0.30058","-","5.14%"
"Jun 22, 2018","0.30511","0.36367","0.36375","0.29496","-","-16.12%"
"Jun 21, 2018","0.36375","0.36551","0.37763","0.35439","-","-0.73%"
"Jun 20, 2018","0.36642","0.38939","0.38978","0.35586","-","-5.93%"
"Jun 19, 2018","0.38953","0.39574","0.40211","0.38236","-","-1.59%"
"Jun 18, 2018","0.39584","0.38786","0.40636","0.37561","-","2.31%"
"Jun 17, 2018","0.38691","0.38447","0.41520","0.38380","-","0.86%"
"Jun 16, 2018","0.38362","0.38456","0.40772","0.38194","-","-0.38%"
"Jun 15, 2018","0.38507","0.42425","0.42708","0.37850","-","-8.92%"
"Jun 14, 2018","0.42278","0.41566","0.44207","0.38402","-","2.19%"
"Jun 13, 2018","0.41373","0.42358","0.45034","0.37125","-","-2.31%"
"Jun 12, 2018","0.42353","0.49134","0.50913","0.41560","-","-13.87%"
"Jun 11, 2018","0.49173","0.47925","0.51933","0.45344","-","2.64%"
"Jun 10, 2018","0.47907","0.58943","0.58943","0.46556","-","-18.76%"
"Jun 09, 2018","0.58972","0.61694","0.62401","0.58911","-","-4.41%"
"Jun 08, 2018","0.61691","0.65802","0.65961","0.60725","-","-6.54%"
"Jun 07, 2018","0.66006","0.66664","0.67814","0.64640","-","-0.77%"
"Jun 06, 2018","0.66521","0.67395","0.68578","0.64941","-","-1.12%"
"Jun 05, 2018","0.67275","0.68073","0.68829","0.63856","-","-1.30%"
"Jun 04, 2018","0.68162","0.73770","0.74215","0.67296","-","-7.62%"
"Jun 03, 2018","0.73785","0.71408","0.74373","0.71189","-","3.40%"
"Jun 02, 2018","0.71361","0.70180","0.73252","0.69074","-","1.71%"
"Jun 01, 2018","0.70160","0.73979","0.74664","0.67744","-","-5.44%"
"May 31, 2018","0.74199","0.74974","0.76193","0.72136","-","-1.09%"
"May 30, 2018","0.75017","0.78306","0.91478","0.73933","-","-3.73%"
"May 29, 2018","0.77925","0.72673","0.80666","0.72066","-","7.24%"
"May 28, 2018","0.72667","0.73844","0.80294","0.70232","-","-1.60%"
"May 27, 2018","0.73847","0.72675","0.74971","0.70183","-","1.61%"
"May 26, 2018","0.72675","0.71544","0.76667","0.70596","-","1.55%"
"May 25, 2018","0.71568","0.74155","0.75439","0.68136","-","-3.31%"
"May 24, 2018","0.74019","0.73220","0.78607","0.64781","-","1.25%"
"May 23, 2018","0.73109","0.81777","0.85149","0.70149","-","-11.14%"
"May 22, 2018","0.82274","0.94674","0.94928","0.81739","-","-12.96%"
"May 21, 2018","0.94519","0.96471","0.98869","0.87162","-","-2.00%"
"May 20, 2018","0.96451","0.98215","1.00042","0.94692","-","-1.73%"
"May 19, 2018","0.98147","0.91195","1.01213","0.89075","-","7.65%"
"May 18, 2018","0.91170","0.83961","0.91340","0.80141","-","8.37%"
"May 17, 2018","0.84127","1.01318","1.04116","0.81938","-","-16.88%"
"May 16, 2018","1.01217","0.99958","1.03904","0.86530","-","1.58%"
"May 15, 2018","0.99638","1.14884","1.16622","0.91603","-","-13.28%"
"May 14, 2018","1.14892","1.06301","1.17884","0.95392","-","8.08%"
"May 13, 2018","1.06300","0.91128","1.07382","0.91128","-","16.96%"
"May 12, 2018","0.90887","0.86043","0.92378","0.80260","-","6.06%"
"May 11, 2018","0.85690","0.89688","0.91256","0.75023","-","-4.41%"
"May 10, 2018","0.89640","0.85355","0.99880","0.85228","-","5.06%"
"May 09, 2018","0.85325","0.77163","0.86948","0.68862","-","10.35%"
"May 08, 2018","0.77321","0.78678","0.80882","0.00107","-","-1.66%"
"May 07, 2018","0.78626","0.85117","0.85565","0.74852","-","-7.68%"
"May 06, 2018","0.85166","0.93247","0.97673","0.78725","-","-8.76%"
"May 05, 2018","0.93343","0.84813","0.95933","0.84511","-","10.05%"
"May 04, 2018","0.84821","0.75580","0.90631","0.71800","-","11.92%"
"May 03, 2018","0.75788","0.67372","0.79698","0.67049","-","12.93%"
"May 02, 2018","0.67110","0.57757","0.70881","0.56587","-","16.33%"
"May 01, 2018","0.57687","0.52585","0.57710","0.49195","-","9.82%"
"Apr 30, 2018","0.52529","0.51761","0.54887","0.50170","-","1.49%"
"Apr 29, 2018","0.51757","0.51585","0.52840","0.49849","-","0.35%"
"Apr 28, 2018","0.51575","0.50180","0.52630","0.49729","-","2.70%"
"Apr 27, 2018","0.50220","0.52101","0.53056","0.49678","-","-3.82%"
