"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","0.28880","0.23160","0.35930","0.23160","144.04K","42.62%"
"Jun 29, 2018","0.20250","0.18800","0.20730","0.18550","60.98K","8.75%"
"Jun 28, 2018","0.18620","0.18630","0.22190","0.09513","4.40K","-0.05%"
"Jun 27, 2018","0.18630","0.19470","0.19470","0.18620","2.65K","-4.31%"
"Jun 26, 2018","0.19470","0.19200","0.20530","0.19200","0.45K","-7.02%"
"Jun 25, 2018","0.20940","0.19230","0.20950","0.18330","1.59K","8.89%"
"Jun 24, 2018","0.19230","0.20470","0.21010","0.17470","1.80K","-6.06%"
"Jun 23, 2018","0.20470","0.21220","0.22700","0.20310","5.74K","-3.53%"
"Jun 22, 2018","0.21220","0.25000","0.26830","0.16770","17.32K","-19.56%"
"Jun 21, 2018","0.26380","0.25970","0.27090","0.25470","1.00K","1.58%"
"Jun 20, 2018","0.25970","0.26300","0.26300","0.25200","15.14K","-1.25%"
"Jun 19, 2018","0.26300","0.26280","0.29740","0.25400","25.70K","0.08%"
"Jun 18, 2018","0.26280","0.26770","0.26770","0.24030","11.57K","2.54%"
"Jun 17, 2018","0.25630","0.26440","0.30100","0.23540","5.00K","-3.06%"
"Jun 16, 2018","0.26440","0.23880","0.26880","0.23700","2.62K","7.57%"
"Jun 15, 2018","0.24580","0.26030","0.26030","0.24580","3.53K","-5.57%"
"Jun 14, 2018","0.26030","0.23760","0.26370","0.23760","1.59K","9.55%"
"Jun 13, 2018","0.23760","0.25720","0.27860","0.22940","6.50K","-7.66%"
"Jun 12, 2018","0.25730","0.28460","0.30450","0.25730","20.76K","-8.11%"
"Jun 11, 2018","0.28000","0.26260","0.28000","0.26030","22.87K","6.63%"
"Jun 10, 2018","0.26260","0.29960","0.30930","0.25620","14.60K","-19.82%"
"Jun 09, 2018","0.32750","0.32540","0.33750","0.32130","4.77K","-1.06%"
"Jun 08, 2018","0.33100","0.33620","0.33620","0.31390","2.74K","-1.55%"
"Jun 07, 2018","0.33620","0.33980","0.34220","0.26095","4.50K","-0.44%"
"Jun 06, 2018","0.33770","0.33600","0.37000","0.32890","21.78K","0.51%"
"Jun 05, 2018","0.33600","0.32660","0.33960","0.29130","9.95K","2.88%"
"Jun 04, 2018","0.32660","0.34330","0.34850","0.32210","17.86K","-4.89%"
"Jun 03, 2018","0.34340","0.34310","0.35650","0.34010","13.71K","0.09%"
"Jun 02, 2018","0.34310","0.32930","0.34310","0.32830","9.87K","4.19%"
"Jun 01, 2018","0.32930","0.33300","0.34270","0.32070","3.31K","-1.11%"
"May 31, 2018","0.33300","0.31600","0.34260","0.30770","7.10K","5.45%"
"May 30, 2018","0.31580","0.32760","0.33590","0.31000","18.67K","-3.63%"
"May 29, 2018","0.32770","0.30870","0.33530","0.29140","26.51K","6.15%"
"May 28, 2018","0.30870","0.31220","0.32730","0.28550","26.53K","-0.84%"
"May 27, 2018","0.31130","0.33510","0.34650","0.30700","6.25K","-7.10%"
"May 26, 2018","0.33510","0.33020","0.35230","0.31690","21.97K","6.62%"
"May 25, 2018","0.31430","0.33820","0.35540","0.31430","7.37K","-7.07%"
"May 24, 2018","0.33820","0.33470","0.34970","0.31470","16.61K","1.05%"
"May 23, 2018","0.33470","0.36010","0.36010","0.32130","103.59K","-5.16%"
"May 22, 2018","0.35290","0.39380","0.40230","0.35290","29.18K","-10.39%"
"May 21, 2018","0.39380","0.42030","0.42740","0.38690","36.66K","-6.31%"
"May 20, 2018","0.42030","0.41730","0.42740","0.40670","13.97K","0.72%"
"May 19, 2018","0.41730","0.41410","0.42250","0.40920","8.93K","0.77%"
"May 18, 2018","0.41410","0.41610","0.43000","0.38960","41.05K","-0.48%"
"May 17, 2018","0.41610","0.44830","0.50000","0.41610","124.17K","-7.18%"
"May 16, 2018","0.44830","0.50580","0.55600","0.43000","202.45K","-11.60%"
"May 15, 2018","0.50710","0.46010","0.50850","0.44650","51.87K","10.22%"
"May 14, 2018","0.46010","0.46360","0.46960","0.40960","22.69K","-0.75%"
"May 13, 2018","0.46360","0.40000","0.47300","0.38720","11.12K","15.90%"
"May 12, 2018","0.40000","0.40010","0.43590","0.34430","40.00K","-0.02%"
"May 11, 2018","0.40010","0.44250","0.44300","0.35720","55.00K","-9.58%"
"May 10, 2018","0.44250","0.48980","0.50660","0.44250","18.57K","-9.66%"
"May 09, 2018","0.48980","0.48300","0.50900","0.46640","21.46K","1.41%"
"May 08, 2018","0.48300","0.49920","0.52480","0.46650","17.63K","-2.33%"
"May 07, 2018","0.49450","0.50820","0.50830","0.47800","11.50K","-2.70%"
"May 06, 2018","0.50820","0.55200","0.57260","0.50510","52.39K","-7.93%"
"May 05, 2018","0.55200","0.55910","0.59610","0.53600","13.31K","-1.27%"
"May 04, 2018","0.55910","0.59520","0.59540","0.53490","38.15K","-6.07%"
"May 03, 2018","0.59520","0.57010","0.59520","0.55380","60.01K","4.40%"
"May 02, 2018","0.57010","0.54680","0.57010","0.54170","34.36K","4.26%"
"May 01, 2018","0.54680","0.56040","0.56850","0.50520","20.67K","-2.43%"
"Apr 30, 2018","0.56040","0.58510","0.61210","0.46640","64.25K","-4.22%"
"Apr 29, 2018","0.58510","0.56400","0.61230","0.50100","125.32K","3.74%"
"Apr 28, 2018","0.56400","0.53210","0.56400","0.51630","30.13K","6.00%"
"Apr 27, 2018","0.53210","0.54510","0.56250","0.51180","19.23K","-2.38%"
"Apr 26, 2018","0.54510","0.51530","0.54610","0.48290","20.30K","5.78%"
"Apr 25, 2018","0.51530","0.63900","0.63900","0.48000","62.22K","-19.36%"
"Apr 24, 2018","0.63900","0.49500","0.70000","0.48000","70.26K","29.09%"
"Apr 23, 2018","0.49500","0.50950","0.51890","0.49500","11.43K","-2.85%"
"Apr 22, 2018","0.50950","0.47430","0.53480","0.47430","37.09K","7.42%"
"Apr 21, 2018","0.47430","0.50420","0.54000","0.44150","40.57K","-5.93%"
"Apr 20, 2018","0.50420","0.48430","0.51470","0.45700","35.07K","4.11%"
"Apr 19, 2018","0.48430","0.46600","0.49100","0.44460","32.25K","3.93%"
"Apr 18, 2018","0.46600","0.42870","0.46600","0.41300","59.54K","8.70%"
"Apr 17, 2018","0.42870","0.41680","0.44870","0.40130","10.22K","2.86%"
"Apr 16, 2018","0.41680","0.42600","0.43510","0.39660","20.38K","-2.16%"
"Apr 15, 2018","0.42600","0.45250","0.45250","0.41280","44.66K","-5.86%"
"Apr 14, 2018","0.45250","0.38220","0.45250","0.36890","99.64K","18.39%"
"Apr 13, 2018","0.38220","0.37150","0.47990","0.35160","182.25K","2.88%"
"Apr 12, 2018","0.37150","0.31630","0.37150","0.30080","125.91K","17.45%"
"Apr 11, 2018","0.31630","0.29460","0.32740","0.29460","43.60K","7.37%"
"Apr 10, 2018","0.29460","0.29610","0.31840","0.29350","8.20K","-0.51%"
"Apr 09, 2018","0.29610","0.34220","0.34230","0.29230","30.80K","-13.47%"
"Apr 08, 2018","0.34220","0.30430","0.34240","0.29230","9.50K","12.45%"
"Apr 07, 2018","0.30430","0.30450","0.30450","0.29820","1.46K","-0.07%"
"Apr 06, 2018","0.30450","0.33450","0.33450","0.00000","1.65K","-8.97%"
