"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","7.9607","6.4025","8.0616","6.4025","-","24.45%"
"Jun 29, 2018","6.3969","5.6008","7.0409","5.6008","-","13.71%"
"Jun 28, 2018","5.6256","6.0690","6.1431","5.5917","-","-7.29%"
"Jun 27, 2018","6.0680","5.4877","6.2127","5.4160","-","10.28%"
"Jun 26, 2018","5.5024","6.1281","6.4813","5.4379","-","-10.15%"
"Jun 25, 2018","6.1241","5.6408","6.3057","5.3728","-","8.54%"
"Jun 24, 2018","5.6421","5.4700","5.6900","4.6613","-","3.40%"
"Jun 23, 2018","5.4565","5.9026","6.1376","5.4565","-","-7.59%"
"Jun 22, 2018","5.9045","7.3533","7.3855","5.8203","-","-19.63%"
"Jun 21, 2018","7.3462","7.7054","7.9897","7.2788","-","-4.64%"
"Jun 20, 2018","7.7038","7.9581","7.9649","7.2436","-","-3.19%"
"Jun 19, 2018","7.9576","7.8671","8.1904","7.5770","-","1.47%"
"Jun 18, 2018","7.8427","7.8908","8.3411","7.4471","-","-0.50%"
"Jun 17, 2018","7.8822","8.2363","8.3209","7.8569","-","-4.28%"
"Jun 16, 2018","8.2348","8.2449","8.3785","8.0053","-","-0.09%"
"Jun 15, 2018","8.2423","8.8463","9.0173","8.0942","-","-6.65%"
"Jun 14, 2018","8.8294","7.8471","8.9509","7.7955","-","12.59%"
"Jun 13, 2018","7.8419","7.9754","8.6246","7.2929","-","-1.45%"
"Jun 12, 2018","7.9571","8.7786","8.8752","7.3700","-","-9.43%"
"Jun 11, 2018","8.7859","8.9324","9.2377","8.2916","-","-1.37%"
"Jun 10, 2018","8.9082","10.5865","10.5865","8.6593","-","-16.05%"
"Jun 09, 2018","10.6113","11.2009","11.2293","10.5663","-","-5.29%"
"Jun 08, 2018","11.2046","10.9987","11.9078","10.5813","-","1.72%"
"Jun 07, 2018","11.0156","11.8475","12.0182","10.7109","-","-7.02%"
"Jun 06, 2018","11.8469","12.2462","12.3158","11.4670","-","-3.18%"
"Jun 05, 2018","12.2358","11.9754","12.3539","11.5472","-","1.77%"
"Jun 04, 2018","12.0235","12.8926","13.0498","11.9065","-","-6.73%"
"Jun 03, 2018","12.8911","12.6780","13.2986","12.6114","-","1.70%"
"Jun 02, 2018","12.6761","12.3608","12.8733","12.2325","-","2.51%"
"Jun 01, 2018","12.3654","12.6997","12.7528","11.9708","-","-2.55%"
"May 31, 2018","12.6886","12.4002","12.8598","12.3297","-","2.31%"
