"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","0.23335","0.21575","0.25165","0.21396","331.90K","7.86%"
"Jun 29, 2018","0.21634","0.21603","0.22276","0.20167","308.57K","0.15%"
"Jun 28, 2018","0.21601","0.22823","0.22880","0.21207","248.14K","-5.08%"
"Jun 27, 2018","0.22758","0.23265","0.23265","0.22170","160.66K","-0.17%"
"Jun 26, 2018","0.22797","0.24507","0.28196","0.22557","270.44K","-6.99%"
"Jun 25, 2018","0.24509","0.24385","0.24993","0.23553","208.52K","0.51%"
"Jun 24, 2018","0.24385","0.26446","0.26547","0.23217","404.47K","-8.29%"
"Jun 23, 2018","0.26589","0.24662","0.27301","0.24616","490.12K","7.81%"
"Jun 22, 2018","0.24662","0.31401","0.31506","0.24289","1.11M","-21.47%"
"Jun 21, 2018","0.31402","0.33929","0.34424","0.30095","756.51K","-7.46%"
"Jun 20, 2018","0.33932","0.34143","0.34949","0.32176","248.15K","-0.62%"
"Jun 19, 2018","0.34143","0.34256","0.35262","0.33175","265.24K","-0.32%"
"Jun 18, 2018","0.34255","0.31563","0.34565","0.30147","439.22K","8.53%"
"Jun 17, 2018","0.31563","0.32295","0.33270","0.31563","200.44K","-2.24%"
"Jun 16, 2018","0.32287","0.32315","0.33441","0.31313","229.18K","-0.08%"
"Jun 15, 2018","0.32312","0.36497","0.37470","0.31768","573.97K","-8.58%"
"Jun 14, 2018","0.35344","0.34078","0.37480","0.33527","617.88K","3.68%"
"Jun 13, 2018","0.34088","0.39245","0.39366","0.33954","413.96K","-13.14%"
"Jun 12, 2018","0.39246","0.41959","0.43144","0.37427","385.34K","-6.48%"
"Jun 11, 2018","0.41964","0.41635","0.42320","0.40066","222.27K","1.05%"
"Jun 10, 2018","0.41527","0.47760","0.47760","0.40785","314.11K","-13.05%"
"Jun 09, 2018","0.47760","0.47729","0.48917","0.47436","91.29K","0.09%"
"Jun 08, 2018","0.47717","0.49421","0.49847","0.47425","230.39K","-3.40%"
"Jun 07, 2018","0.49395","0.50205","0.51492","0.49311","120.13K","-1.61%"
"Jun 06, 2018","0.50205","0.50970","0.51882","0.49139","263.81K","-1.50%"
"Jun 05, 2018","0.50970","0.50458","0.51161","0.48664","184.86K","1.01%"
"Jun 04, 2018","0.50459","0.52749","0.54126","0.48783","404.63K","-4.98%"
"Jun 03, 2018","0.53101","0.52843","0.54621","0.52003","165.68K","0.49%"
"Jun 02, 2018","0.52843","0.50879","0.53144","0.50014","201.51K","4.20%"
"Jun 01, 2018","0.50713","0.49444","0.50750","0.49104","233.52K","2.57%"
"May 31, 2018","0.49443","0.48935","0.51297","0.48820","173.09K","1.95%"
"May 30, 2018","0.48498","0.50206","0.51229","0.47995","207.33K","-2.85%"
"May 29, 2018","0.49918","0.47276","0.51786","0.47185","129.16K","5.15%"
"May 28, 2018","0.47473","0.50637","0.51098","0.46537","303.30K","-6.23%"
"May 27, 2018","0.50628","0.50694","0.51159","0.48642","162.20K","-0.13%"
"May 26, 2018","0.50694","0.51880","0.52963","0.50423","224.39K","-2.29%"
"May 25, 2018","0.51880","0.51477","0.53365","0.50051","216.97K","0.61%"
"May 24, 2018","0.51565","0.48476","0.51573","0.47156","467.63K","6.37%"
"May 23, 2018","0.48477","0.51182","0.52483","0.47720","737.91K","-5.29%"
"May 22, 2018","0.51183","0.58253","0.58253","0.49777","1.49M","-12.14%"
"May 21, 2018","0.58253","0.60758","0.60758","0.58253","629.59K","-4.12%"
"May 20, 2018","0.60758","0.58381","0.61073","0.57063","209.01K","4.07%"
"May 19, 2018","0.58381","0.56607","0.60053","0.56606","101.60K","3.13%"
"May 18, 2018","0.56607","0.55513","0.57606","0.52844","444.85K","1.71%"
"May 17, 2018","0.55657","0.59756","0.60928","0.55552","430.18K","-6.86%"
"May 16, 2018","0.59756","0.61403","0.61403","0.58198","562.36K","-2.73%"
"May 15, 2018","0.61435","0.62850","0.65669","0.60357","301.53K","-2.25%"
"May 14, 2018","0.62849","0.65740","0.66471","0.60977","398.60K","-4.40%"
"May 13, 2018","0.65740","0.62356","0.66821","0.60527","646.26K","5.43%"
"May 12, 2018","0.62354","0.61845","0.66885","0.58579","368.10K","0.82%"
"May 11, 2018","0.61845","0.68406","0.70227","0.60003","553.04K","-9.59%"
"May 10, 2018","0.68406","0.73898","0.75472","0.68115","521.85K","-7.43%"
"May 09, 2018","0.73898","0.73641","0.73898","0.70245","344.01K","0.35%"
"May 08, 2018","0.73641","0.78349","0.78349","0.72742","273.78K","-1.98%"
"May 07, 2018","0.75129","0.78560","0.78602","0.72410","324.79K","-4.37%"
"May 06, 2018","0.78560","0.81020","0.82584","0.75533","502.71K","-2.90%"
"May 05, 2018","0.80908","0.81379","0.88616","0.80586","607.31K","-0.58%"
"May 04, 2018","0.81379","0.84194","0.86933","0.80492","461.41K","-3.47%"
"May 03, 2018","0.84301","0.85444","0.86453","0.83083","452.79K","-1.34%"
"May 02, 2018","0.85444","0.86327","0.88874","0.84132","344.98K","-1.02%"
"May 01, 2018","0.86327","0.87626","0.87626","0.82120","328.66K","-1.48%"
"Apr 30, 2018","0.87626","0.93088","0.93984","0.85823","1.12M","-5.87%"
"Apr 29, 2018","0.93088","0.74263","0.93697","0.74169","1.03M","25.35%"
"Apr 28, 2018","0.74263","0.73811","0.76472","0.71274","711.87K","0.61%"
"Apr 27, 2018","0.73811","0.78403","0.78650","0.73325","416.89K","-5.87%"
"Apr 26, 2018","0.78416","0.72452","0.79767","0.71311","561.62K","8.23%"
"Apr 25, 2018","0.72452","0.87198","0.88820","0.71307","1.11M","-17.64%"
"Apr 24, 2018","0.87974","0.74135","0.88858","0.73601","781.62K","18.67%"
"Apr 23, 2018","0.74135","0.76658","0.79197","0.73367","327.06K","-3.29%"
"Apr 22, 2018","0.76658","0.75791","0.79477","0.73722","385.30K","1.14%"
"Apr 21, 2018","0.75791","0.77634","0.79802","0.71369","554.86K","-2.37%"
"Apr 20, 2018","0.77634","0.72560","0.78052","0.68838","574.01K","7.02%"
"Apr 19, 2018","0.72539","0.64861","0.72678","0.64440","694.24K","11.84%"
"Apr 18, 2018","0.64861","0.62221","0.64861","0.61404","258.12K","4.24%"
"Apr 17, 2018","0.62221","0.62884","0.64989","0.62088","124.82K","-1.06%"
"Apr 16, 2018","0.62886","0.65644","0.66290","0.61160","344.00K","-4.20%"
"Apr 15, 2018","0.65644","0.63170","0.66199","0.62697","188.33K","3.92%"
"Apr 14, 2018","0.63170","0.62164","0.64483","0.59670","313.76K","1.62%"
"Apr 13, 2018","0.62164","0.61409","0.64791","0.59484","571.25K","1.23%"
"Apr 12, 2018","0.61409","0.55466","0.61833","0.52809","737.23K","10.71%"
"Apr 11, 2018","0.55466","0.52641","0.56130","0.52588","354.33K","5.37%"
"Apr 10, 2018","0.52641","0.52993","0.54131","0.51635","332.82K","-0.66%"
"Apr 09, 2018","0.52993","0.55994","0.57549","0.52685","255.17K","-5.36%"
"Apr 08, 2018","0.55994","0.53946","0.57073","0.52938","205.09K","3.80%"
"Apr 07, 2018","0.53946","0.49911","0.57209","0.49844","642.74K","8.08%"
"Apr 06, 2018","0.49911","0.53831","0.58168","0.48661","628.41K","-7.28%"
"Apr 05, 2018","0.53831","0.56092","0.56160","0.52165","318.07K","-4.03%"
"Apr 04, 2018","0.56092","0.62100","0.62159","0.54020","164.10K","-9.67%"
"Apr 03, 2018","0.62100","0.59856","0.63541","0.58620","187.68K","3.75%"
"Apr 02, 2018","0.59856","0.58864","0.60685","0.57165","106.92K","1.69%"
"Apr 01, 2018","0.58864","0.60805","0.61681","0.54101","218.72K","-3.19%"
"Mar 31, 2018","0.60805","0.59181","0.69154","0.59181","262.31K","2.75%"
"Mar 30, 2018","0.59181","0.59081","0.61019","0.56212","311.15K","0.17%"
"Mar 29, 2018","0.59081","0.63664","0.65316","0.57804","394.03K","-7.20%"
"Mar 28, 2018","0.63664","0.59002","0.68388","0.57639","569.76K","7.90%"
"Mar 27, 2018","0.59002","0.63821","0.64276","0.58949","478.88K","-7.55%"
"Mar 26, 2018","0.63821","0.71529","0.72073","0.59299","1.07M","-10.78%"
"Mar 25, 2018","0.71529","0.72333","0.73852","0.70863","274.88K","-1.11%"
"Mar 24, 2018","0.72333","0.72904","0.78047","0.71675","766.87K","-0.78%"
"Mar 23, 2018","0.72904","0.68319","0.72994","0.60803","573.49K","6.71%"
"Mar 22, 2018","0.68319","0.70536","0.71576","0.59670","989.52K","-3.15%"
"Mar 21, 2018","0.70539","0.56283","0.71818","0.55950","873.13K","25.33%"
"Mar 20, 2018","0.56283","0.52898","0.57138","0.51059","614.54K","6.40%"
"Mar 19, 2018","0.52898","0.52098","0.53981","0.49082","328.60K","1.54%"
"Mar 18, 2018","0.52098","0.49986","0.52638","0.41445","598.77K","4.23%"
"Mar 17, 2018","0.49986","0.57055","0.57055","0.49986","416.08K","-12.39%"
"Mar 16, 2018","0.57055","0.58447","0.58447","0.55555","143.35K","-2.38%"
"Mar 15, 2018","0.58447","0.57455","0.58824","0.53654","398.78K","1.73%"
"Mar 14, 2018","0.57455","0.65488","0.66322","0.56602","367.60K","-12.27%"
"Mar 13, 2018","0.65488","0.65192","0.67129","0.62684","216.58K","0.46%"
"Mar 12, 2018","0.65192","0.67476","0.70974","0.63108","304.74K","-3.38%"
"Mar 11, 2018","0.67476","0.66499","0.69271","0.60074","177.47K","1.47%"
"Mar 10, 2018","0.66499","0.65707","0.69550","0.61169","594.74K","-0.99%"
"Mar 09, 2018","0.67165","0.63886","0.67523","0.58239","517.35K","5.13%"
"Mar 08, 2018","0.63886","0.68987","0.70460","0.61827","712.16K","-7.39%"
"Mar 07, 2018","0.68987","0.76528","0.78221","0.65220","632.93K","-9.85%"
"Mar 06, 2018","0.76528","0.81669","0.81669","0.75550","406.96K","-6.30%"
"Mar 05, 2018","0.81669","0.80726","0.82610","0.79700","249.75K","1.17%"
"Mar 04, 2018","0.80726","0.82814","0.83441","0.79232","619.49K","-2.52%"
"Mar 03, 2018","0.82814","0.82917","0.84066","0.82200","789.28K","-0.12%"
"Mar 02, 2018","0.82917","0.82379","0.84309","0.81945","1.13M","0.65%"
"Mar 01, 2018","0.82379","0.81613","0.83057","0.80215","193.29K","0.94%"
"Feb 28, 2018","0.81613","0.84675","0.86703","0.80111","528.94K","-3.62%"
"Feb 27, 2018","0.84675","0.84052","0.88634","0.83071","532.24K","0.74%"
"Feb 26, 2018","0.84052","0.81123","0.84465","0.78426","527.80K","3.61%"
"Feb 25, 2018","0.81123","0.81971","0.85764","0.78012","299.00K","-1.04%"
"Feb 24, 2018","0.81971","0.83998","0.86944","0.79577","323.39K","-2.41%"
"Feb 23, 2018","0.83998","0.80701","0.87561","0.80068","677.23K","4.09%"
"Feb 22, 2018","0.80701","0.86506","0.89944","0.80614","817.02K","-6.71%"
"Feb 21, 2018","0.86506","0.95866","0.96283","0.82940","1.10M","-9.76%"
"Feb 20, 2018","0.95866","1.02286","1.06416","0.95718","759.89K","-6.28%"
"Feb 19, 2018","1.02286","0.97506","1.06429","0.97224","770.74K","5.24%"
"Feb 18, 2018","0.97191","1.06443","1.07230","0.95621","910.67K","-8.69%"
"Feb 17, 2018","1.06443","0.97210","1.06444","0.96359","1.16M","9.50%"
"Feb 16, 2018","0.97210","0.95407","0.97577","0.92986","790.72K","1.89%"
"Feb 15, 2018","0.95407","0.93915","0.96056","0.89992","970.91K","1.59%"
"Feb 14, 2018","0.93915","0.84657","0.93916","0.84642","1.02M","10.94%"
"Feb 13, 2018","0.84657","0.89138","0.89574","0.81794","458.58K","-5.03%"
"Feb 12, 2018","0.89138","0.83858","0.90520","0.83518","640.60K","6.30%"
"Feb 11, 2018","0.83858","0.87003","0.88878","0.78330","600.82K","-3.62%"
"Feb 10, 2018","0.87003","0.95609","0.98554","0.80895","1.08M","-9.00%"
"Feb 09, 2018","0.95609","0.83865","0.95609","0.79503","756.77K","14.00%"
"Feb 08, 2018","0.83865","0.76622","0.86740","0.75594","761.11K","9.45%"
"Feb 07, 2018","0.76622","0.79803","0.89570","0.71238","1.66M","-3.99%"
"Feb 06, 2018","0.79803","0.66794","0.80340","0.53856","2.68M","19.48%"
"Feb 05, 2018","0.66794","0.84757","0.85514","0.62951","2.32M","-21.19%"
"Feb 04, 2018","0.84751","1.03979","1.06918","0.81402","1.35M","-18.49%"
"Feb 03, 2018","1.03979","0.92954","1.07412","0.87979","958.01K","11.87%"
"Feb 02, 2018","0.92949","1.02364","1.02798","0.74268","2.86M","-9.20%"
"Feb 01, 2018","1.02364","1.21631","1.24068","0.99059","2.16M","-15.84%"
"Jan 31, 2018","1.21631","1.24576","1.24600","1.15408","973.30K","-2.36%"
"Jan 30, 2018","1.24576","1.45098","3.18835","1.17909","2.40M","-14.32%"
"Jan 29, 2018","1.45390","1.61080","1.61080","1.40900","834.62K","-9.74%"
"Jan 28, 2018","1.61080","1.51090","1.64280","1.47300","1.35M","6.61%"
"Jan 27, 2018","1.51090","1.40190","1.55690","1.35600","1.12M","7.78%"
"Jan 26, 2018","1.40190","1.44000","1.49000","1.20200","3.19M","-2.65%"
"Jan 25, 2018","1.44000","1.48900","1.53400","1.37200","1.73M","-3.29%"
"Jan 24, 2018","1.48900","1.36750","1.50000","1.27500","3.08M","8.88%"
"Jan 23, 2018","1.36750","1.44990","1.50000","1.18000","9.05M","-5.68%"
"Jan 22, 2018","1.44990","1.65060","1.70000","1.27000","4.13M","-12.16%"
"Jan 21, 2018","1.65060","1.81750","1.84900","1.52000","2.69M","-9.18%"
"Jan 20, 2018","1.81750","1.59510","1.87900","1.59510","2.20M","13.94%"
"Jan 19, 2018","1.59510","1.64490","1.73990","1.54300","3.56M","-3.03%"
"Jan 18, 2018","1.64490","1.68400","1.87000","1.56600","3.70M","-2.32%"
"Jan 17, 2018","1.68400","1.57280","1.75250","1.13100","7.49M","7.07%"
"Jan 16, 2018","1.57280","2.20900","2.22910","1.28880","11.66M","-28.80%"
"Jan 15, 2018","2.20900","2.38970","2.45270","2.14220","3.36M","-7.77%"
"Jan 14, 2018","2.39500","2.38820","2.44000","2.00100","6.47M","0.28%"
"Jan 13, 2018","2.38820","1.85080","2.39000","1.80900","10.19M","29.04%"
"Jan 12, 2018","1.85080","1.76300","1.93900","1.70100","4.35M","4.98%"
"Jan 11, 2018","1.76300","1.83900","1.88000","1.50000","6.31M","-4.18%"
"Jan 10, 2018","1.84000","1.79000","1.96000","1.45000","7.03M","2.79%"
"Jan 09, 2018","1.79000","1.77000","1.89000","1.64000","4.68M","1.13%"
"Jan 08, 2018","1.77000","2.06000","2.07000","1.52000","9.62M","-14.08%"
"Jan 07, 2018","2.06000","2.06000","2.20000","1.72000","9.07M","0.00%"
"Jan 06, 2018","2.06000","1.60000","2.22000","1.51000","13.61M","28.75%"
"Jan 05, 2018","1.60000","1.17000","1.91000","1.12000","29.95M","36.75%"
"Jan 04, 2018","1.17000","1.06000","1.17000","0.97950","7.53M","10.38%"
"Jan 03, 2018","1.06000","0.98320","1.15000","0.91470","9.20M","7.81%"
"Jan 02, 2018","0.98320","0.87120","1.03000","0.86780","6.33M","12.86%"
"Jan 01, 2018","0.87120","0.83810","0.90000","0.82000","2.57M","3.95%"
"Dec 31, 2017","0.83810","0.80300","0.87000","0.77000","2.08M","4.37%"
"Dec 30, 2017","0.80300","0.87250","0.88000","0.73000","2.68M","-7.97%"
"Dec 29, 2017","0.87250","0.87380","0.89000","0.81900","3.55M","-0.15%"
"Dec 28, 2017","0.87380","0.97600","0.98970","0.82020","4.32M","-10.47%"
"Dec 27, 2017","0.97600","0.86990","1.03000","0.85000","9.45M","12.20%"
"Dec 26, 2017","0.86990","0.86500","0.89800","0.84000","3.30M","0.57%"
"Dec 25, 2017","0.86500","0.82500","0.89880","0.78700","4.69M","4.85%"
"Dec 24, 2017","0.82500","0.83400","0.88000","0.69580","6.20M","-1.08%"
"Dec 23, 2017","0.83400","0.73300","0.91400","0.73000","7.70M","13.78%"
"Dec 22, 2017","0.73300","0.94300","0.95080","0.58930","14.80M","-22.27%"
"Dec 21, 2017","0.94300","0.96790","1.13000","0.87400","15.23M","-2.57%"
"Dec 20, 2017","0.96790","0.96000","1.02000","0.85670","9.74M","0.82%"
"Dec 19, 2017","0.96000","1.07000","1.12000","0.87800","18.28M","-10.28%"
"Dec 18, 2017","1.07000","0.97280","1.14000","0.85500","20.75M","9.99%"
"Dec 17, 2017","0.97280","1.23000","1.27000","0.93000","25.81M","-20.91%"
"Dec 16, 2017","1.23000","0.69500","1.24000","0.69020","42.73M","76.98%"
"Dec 15, 2017","0.69500","0.73760","0.78000","0.58000","11.80M","-5.78%"
"Dec 14, 2017","0.73760","0.68360","0.79000","0.66020","11.44M","8.47%"
"Dec 13, 2017","0.68000","0.61480","0.81970","0.56080","22.98M","10.61%"
"Dec 12, 2017","0.61480","0.62700","0.64730","0.55000","16.77M","-1.95%"
"Dec 11, 2017","0.62700","0.68000","0.72500","0.51500","21.01M","-7.79%"
"Dec 10, 2017","0.68000","0.74600","0.74710","0.61370","5.94M","-8.85%"
"Dec 09, 2017","0.74600","0.77500","0.77500","0.68700","10.65M","-3.74%"
"Dec 08, 2017","0.77500","0.78800","0.83000","0.66000","12.76M","-1.65%"
"Dec 07, 2017","0.78800","0.92100","0.95200","0.72000","9.80M","-14.44%"
"Dec 06, 2017","0.92100","0.99400","1.04000","0.90000","10.51M","-7.34%"
"Dec 05, 2017","0.99400","1.04000","1.07000","0.93000","11.75M","-4.42%"
"Dec 04, 2017","1.04000","0.93700","1.11000","0.81990","10.81M","10.99%"
"Dec 03, 2017","0.93700","1.08000","1.09000","0.85000","5.31M","-13.24%"
"Dec 02, 2017","1.08000","1.18000","1.20000","0.97780","7.72M","-8.47%"
"Dec 01, 2017","1.18000","1.35000","1.38000","0.83000","14.54M","-12.59%"
