"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","8.4972","8.1474","8.7524","8.1412","1.48M","4.16%"
"Jun 29, 2018","8.1576","7.7823","8.3028","7.5766","1.69M","4.82%"
"Jun 28, 2018","7.7823","8.8054","8.8410","7.7282","1.41M","-11.65%"
"Jun 27, 2018","8.8083","8.2031","9.3765","8.1185","2.41M","7.35%"
"Jun 26, 2018","8.2056","8.3008","9.4034","7.9403","2.26M","-1.16%"
"Jun 25, 2018","8.3021","8.0245","8.4469","7.7750","1.76M","3.33%"
"Jun 24, 2018","8.0343","8.8226","8.8403","7.4358","2.20M","-8.90%"
"Jun 23, 2018","8.8195","8.8488","9.0415","8.5287","1.48M","-0.33%"
"Jun 22, 2018","8.8488","10.2185","10.2415","8.7210","1.87M","-13.41%"
"Jun 21, 2018","10.2190","10.4066","10.6399","10.1307","1.31M","-1.79%"
"Jun 20, 2018","10.4051","10.6843","10.7042","10.0228","1.58M","-2.63%"
"Jun 19, 2018","10.6857","10.5880","10.8521","10.3203","1.53M","0.89%"
"Jun 18, 2018","10.5910","10.4248","10.7341","10.0562","1.52M","1.59%"
"Jun 17, 2018","10.4254","10.5934","10.6933","10.4172","1.15M","-1.58%"
"Jun 16, 2018","10.5929","10.5711","10.6929","10.2759","1.40M","0.14%"
"Jun 15, 2018","10.5784","11.0783","11.0955","10.5267","1.28M","-4.49%"
"Jun 14, 2018","11.0753","10.4957","11.2464","10.3362","1.44M","5.49%"
"Jun 13, 2018","10.4989","11.1447","11.3084","10.0472","1.73M","-5.79%"
"Jun 12, 2018","11.1447","11.9179","12.6575","10.9432","1.68M","-6.49%"
"Jun 11, 2018","11.9178","11.3758","11.9268","11.1339","1.60M","4.84%"
"Jun 10, 2018","11.3672","13.0641","13.0863","11.1317","1.74M","-12.98%"
"Jun 09, 2018","13.0626","13.3203","13.4514","13.0417","1.20M","-1.91%"
"Jun 08, 2018","13.3166","13.5247","13.6688","13.1320","1.26M","-1.54%"
"Jun 07, 2018","13.5242","13.6233","13.8638","13.4941","1.22M","-0.55%"
"Jun 06, 2018","13.5994","13.8859","13.9306","13.3958","1.28M","-2.13%"
"Jun 05, 2018","13.8948","13.5929","13.9488","13.1023","1.47M","2.22%"
"Jun 04, 2018","13.5929","14.6297","14.7881","13.3835","1.53M","-7.09%"
"Jun 03, 2018","14.6297","14.5284","14.8547","14.3469","1.56M","0.72%"
"Jun 02, 2018","14.5253","14.3801","14.7655","14.2585","1.68M","1.31%"
