"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","0.32440","0.31423","0.34824","0.31381","-","3.26%"
"Jun 29, 2018","0.31416","0.32221","0.33025","0.29216","-","-2.64%"
"Jun 28, 2018","0.32267","0.32094","0.36031","0.30868","-","0.57%"
"Jun 27, 2018","0.32085","0.31250","0.32375","0.30798","-","2.13%"
"Jun 26, 2018","0.31416","0.32650","0.33274","0.31094","-","-3.71%"
"Jun 25, 2018","0.32626","0.34058","0.34479","0.30894","-","-4.28%"
"Jun 24, 2018","0.34085","0.36906","0.37017","0.31489","-","-7.70%"
"Jun 23, 2018","0.36930","0.36059","0.37382","0.35681","-","2.42%"
"Jun 22, 2018","0.36056","0.37010","0.38036","0.33609","-","-2.56%"
"Jun 21, 2018","0.37005","0.36619","0.38935","0.36441","-","0.87%"
"Jun 20, 2018","0.36685","0.37089","0.38084","0.35850","-","-1.20%"
"Jun 19, 2018","0.37131","0.39608","0.40093","0.36870","-","-6.09%"
"Jun 18, 2018","0.39540","0.37067","0.39947","0.36379","-","6.30%"
"Jun 17, 2018","0.37198","0.36801","0.38641","0.36462","-","1.09%"
"Jun 16, 2018","0.36797","0.35768","0.37752","0.34975","-","2.93%"
"Jun 15, 2018","0.35748","0.36201","0.37266","0.35017","-","-1.08%"
"Jun 14, 2018","0.36139","0.31862","0.36351","0.31794","-","13.14%"
"Jun 13, 2018","0.31941","0.35753","0.36041","0.31314","-","-10.64%"
"Jun 12, 2018","0.35744","0.36818","0.39403","0.35216","-","-2.93%"
"Jun 11, 2018","0.36822","0.36762","0.40634","0.35769","-","0.28%"
"Jun 10, 2018","0.36720","0.42431","0.44387","0.36228","-","-13.28%"
"Jun 09, 2018","0.42344","0.45322","0.45336","0.42161","-","-5.74%"
"Jun 08, 2018","0.44922","0.46184","0.47439","0.44636","-","-2.29%"
"Jun 07, 2018","0.45976","0.44864","0.47325","0.44106","-","2.45%"
"Jun 06, 2018","0.44877","0.46196","0.46748","0.43647","-","-2.88%"
"Jun 05, 2018","0.46206","0.49461","0.49461","0.45261","-","-6.53%"
"Jun 04, 2018","0.49434","0.48010","0.50748","0.46421","-","2.69%"
"Jun 03, 2018","0.48137","0.48043","0.49213","0.46658","-","0.21%"
"Jun 02, 2018","0.48036","0.47149","0.48563","0.45801","-","1.52%"
"Jun 01, 2018","0.47315","0.52300","0.52637","0.44922","-","-9.57%"
"May 31, 2018","0.52323","0.52622","0.54281","0.51755","-","-0.57%"
"May 30, 2018","0.52622","0.52051","0.56292","0.51979","-","0.91%"
"May 29, 2018","0.52147","0.49875","0.53262","0.48635","-","4.33%"
"May 28, 2018","0.49982","0.55367","0.55886","0.49755","-","-9.73%"
"May 27, 2018","0.55367","0.59311","0.59311","0.54967","-","-6.89%"
"May 26, 2018","0.59462","0.60872","0.62715","0.58961","-","-2.45%"
"May 25, 2018","0.60958","0.66162","0.66907","0.59769","-","-7.76%"
"May 24, 2018","0.66088","0.64488","0.67418","0.62364","-","2.40%"
"May 23, 2018","0.64537","0.73848","0.74473","0.63373","-","-12.54%"
"May 22, 2018","0.73791","0.84437","0.84492","0.73515","-","-12.64%"
"May 21, 2018","0.84470","0.83782","0.87240","0.80955","-","0.82%"
"May 20, 2018","0.83786","0.80565","0.84336","0.79744","-","3.94%"
"May 19, 2018","0.80611","0.84181","0.84716","0.77768","-","-4.17%"
"May 18, 2018","0.84120","0.80733","0.85134","0.79436","-","4.06%"
"May 17, 2018","0.80838","0.84068","0.84999","0.80098","-","-3.86%"
"May 16, 2018","0.84083","0.85802","0.86325","0.79427","-","-2.20%"
"May 15, 2018","0.85977","0.86863","0.88882","0.85179","-","-1.02%"
"May 14, 2018","0.86861","0.87655","0.89299","0.82059","-","-0.91%"
"May 13, 2018","0.87660","0.87081","0.89001","0.84822","-","0.79%"
"May 12, 2018","0.86972","0.85656","0.91503","0.83632","-","1.79%"
"May 11, 2018","0.85443","0.94153","0.95362","0.85287","-","-9.33%"
"May 10, 2018","0.94237","0.93266","1.03916","0.88826","-","1.06%"
"May 09, 2018","0.93251","0.92444","0.94202","0.90077","-","0.80%"
"May 08, 2018","0.92510","0.95702","0.98150","0.00010","-","-3.57%"
"May 07, 2018","0.95932","0.97068","0.97578","0.89368","-","-1.12%"
"May 06, 2018","0.97017","0.99832","1.01650","0.94422","-","-2.77%"
"May 05, 2018","0.99783","0.98069","1.00709","0.97658","-","2.03%"
"May 04, 2018","0.97801","0.99688","1.01242","0.97503","-","-2.08%"
"May 03, 2018","0.99883","0.93940","1.01100","0.93629","-","6.30%"
"May 02, 2018","0.93962","0.92974","0.94694","0.90644","-","1.13%"
"May 01, 2018","0.92915","0.92452","0.93357","0.88684","-","0.54%"
"Apr 30, 2018","0.92418","0.96119","0.97490","0.91724","-","-4.00%"
"Apr 29, 2018","0.96264","0.93653","0.99538","0.93567","-","2.72%"
"Apr 28, 2018","0.93712","0.91771","0.98068","0.91283","-","2.01%"
"Apr 27, 2018","0.91870","0.99587","1.04601","0.91616","-","-8.01%"
"Apr 26, 2018","0.99865","0.91049","0.99865","0.88248","-","9.52%"
"Apr 25, 2018","0.91181","1.06957","1.08382","0.89783","-","-14.74%"
"Apr 24, 2018","1.06944","1.10488","1.15352","1.02096","-","-3.34%"
"Apr 23, 2018","1.10642","1.11815","1.12473","1.06803","-","-0.98%"
"Apr 22, 2018","1.11737","1.05165","1.14932","1.04466","-","6.71%"
"Apr 21, 2018","1.04713","1.09715","1.16804","1.03824","-","-4.47%"
"Apr 20, 2018","1.09608","0.93550","1.13091","0.93442","-","16.94%"
"Apr 19, 2018","0.93729","0.88300","0.94296","0.87624","-","6.34%"
"Apr 18, 2018","0.88141","0.86470","0.88245","0.83394","-","1.94%"
"Apr 17, 2018","0.86465","0.87082","0.90104","0.84814","-","-0.57%"
"Apr 16, 2018","0.86963","0.90762","0.90921","0.84141","-","-4.10%"
"Apr 15, 2018","0.90683","0.87191","0.92538","0.87191","-","4.09%"
"Apr 14, 2018","0.87115","0.87655","0.90968","0.75566","-","-0.71%"
"Apr 13, 2018","0.87735","0.85097","0.92276","0.82839","-","3.08%"
"Apr 12, 2018","0.85111","0.78281","0.88945","0.75379","-","8.81%"
"Apr 11, 2018","0.78223","0.77681","0.81276","0.75945","-","0.68%"
"Apr 10, 2018","0.77692","0.78898","0.79391","0.75330","-","-1.40%"
"Apr 09, 2018","0.78799","0.79234","0.82968","0.75597","-","-0.42%"
"Apr 08, 2018","0.79132","0.77299","0.79938","0.69403","-","2.45%"
"Apr 07, 2018","0.77240","0.76012","0.81067","0.75865","-","1.64%"
"Apr 06, 2018","0.75993","0.73551","0.76745","0.70540","-","3.54%"
"Apr 05, 2018","0.73392","0.76884","0.76960","0.68339","-","-4.54%"
"Apr 04, 2018","0.76886","0.81180","0.82564","0.74052","-","-5.23%"
"Apr 03, 2018","0.81132","0.81737","0.89508","0.79247","-","-0.74%"
"Apr 02, 2018","0.81737","0.82192","0.84945","0.77524","-","-0.48%"
"Apr 01, 2018","0.82130","0.88695","0.90598","0.76834","-","-7.31%"
"Mar 31, 2018","0.88609","0.80703","1.04110","0.74605","-","9.68%"
"Mar 30, 2018","0.80785","0.85201","0.89275","0.75562","-","-5.01%"
"Mar 29, 2018","0.85050","0.93789","0.96105","0.83200","-","-9.34%"
"Mar 28, 2018","0.93809","0.84839","0.98704","0.83872","-","10.67%"
"Mar 27, 2018","0.84763","0.94391","0.94391","0.81466","-","-9.90%"
"Mar 26, 2018","0.94081","0.96686","1.02008","0.87152","-","-2.61%"
"Mar 25, 2018","0.96607","0.97020","0.98238","0.91519","-","-0.10%"
"Mar 24, 2018","0.96699","1.04727","1.05199","0.96063","-","-7.79%"
"Mar 23, 2018","1.04866","1.04035","1.05000","0.93831","-","0.62%"
"Mar 22, 2018","1.04219","1.09203","1.13216","0.98759","-","-4.79%"
"Mar 21, 2018","1.09465","1.10253","1.22013","1.06590","-","-0.63%"
"Mar 20, 2018","1.10164","1.12483","1.14677","1.02200","-","-2.20%"
"Mar 19, 2018","1.12638","0.99413","1.16044","0.97136","-","13.40%"
"Mar 18, 2018","0.99332","0.95214","1.02071","0.84934","-","4.05%"
"Mar 17, 2018","0.95469","1.03416","1.15586","0.94862","-","-8.14%"
"Mar 16, 2018","1.03930","1.05828","1.11739","0.99332","-","-1.61%"
"Mar 15, 2018","1.05627","1.06475","1.08720","0.99309","-","-0.92%"
"Mar 14, 2018","1.06605","1.24829","1.26572","1.02290","-","-14.61%"
"Mar 13, 2018","1.24845","1.12135","1.24845","1.06441","-","11.46%"
"Mar 12, 2018","1.12011","1.06440","1.17472","1.00404","-","5.46%"
"Mar 11, 2018","1.06209","1.01262","1.10737","0.95809","-","5.10%"
"Mar 10, 2018","1.01057","1.08424","1.12657","1.00877","-","-6.83%"
"Mar 09, 2018","1.08464","1.08951","1.11051","0.99671","-","-0.39%"
"Mar 08, 2018","1.08888","1.10419","1.24090","1.03672","-","-1.21%"
"Mar 07, 2018","1.10216","1.22250","1.23717","1.00967","-","-9.99%"
"Mar 06, 2018","1.22443","1.33180","1.40478","1.17783","-","-8.98%"
"Mar 05, 2018","1.34520","1.58897","1.59023","1.34520","-","-14.95%"
"Mar 04, 2018","1.58170","1.68966","1.70572","1.52596","-","-6.45%"
