"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","0.005081","0.004621","0.005103","0.004621","-","9.86%"
"Jun 29, 2018","0.004625","0.004475","0.004799","0.004174","-","3.19%"
"Jun 28, 2018","0.004482","0.004753","0.004800","0.004402","-","-6.91%"
"Jun 27, 2018","0.004814","0.004641","0.004851","0.004581","-","3.42%"
"Jun 26, 2018","0.004655","0.005032","0.005039","0.004630","-","-7.42%"
"Jun 25, 2018","0.005028","0.005439","0.005465","0.004668","-","-7.58%"
"Jun 24, 2018","0.005441","0.005513","0.005531","0.004867","-","-1.18%"
"Jun 23, 2018","0.005506","0.005227","0.005608","0.005225","-","5.33%"
"Jun 22, 2018","0.005227","0.006076","0.006091","0.005152","-","-13.96%"
"Jun 21, 2018","0.006076","0.006388","0.006481","0.005887","-","-4.90%"
"Jun 20, 2018","0.006389","0.006093","0.006389","0.005632","-","4.72%"
"Jun 19, 2018","0.006100","0.006275","0.006285","0.005915","-","-2.74%"
"Jun 18, 2018","0.006273","0.005702","0.006291","0.005552","-","10.09%"
"Jun 17, 2018","0.005697","0.005092","0.005803","0.005053","-","11.90%"
"Jun 16, 2018","0.005091","0.004948","0.005158","0.004908","-","2.94%"
"Jun 15, 2018","0.004946","0.005214","0.005337","0.004935","-","-4.96%"
"Jun 14, 2018","0.005204","0.004627","0.005249","0.004522","-","12.54%"
"Jun 13, 2018","0.004624","0.005137","0.005251","0.004320","-","-9.96%"
"Jun 12, 2018","0.005136","0.005805","0.005805","0.005088","-","-11.58%"
"Jun 11, 2018","0.005808","0.005643","0.005828","0.005511","-","3.05%"
"Jun 10, 2018","0.005636","0.006636","0.006636","0.005538","-","-15.05%"
"Jun 09, 2018","0.006634","0.006663","0.006833","0.006537","-","-1.56%"
"Jun 08, 2018","0.006739","0.006725","0.006791","0.006515","-","0.17%"
"Jun 07, 2018","0.006728","0.006927","0.007019","0.006617","-","-2.86%"
"Jun 06, 2018","0.006926","0.006598","0.006938","0.006520","-","5.05%"
"Jun 05, 2018","0.006593","0.006178","0.006595","0.006087","-","6.63%"
"Jun 04, 2018","0.006183","0.006528","0.006632","0.006153","-","-5.19%"
"Jun 03, 2018","0.006522","0.006449","0.006721","0.006444","-","1.05%"
"Jun 02, 2018","0.006454","0.006210","0.006486","0.006150","-","4.01%"
"Jun 01, 2018","0.006205","0.006326","0.006422","0.006061","-","-1.90%"
"May 31, 2018","0.006326","0.006306","0.006496","0.006202","-","0.31%"
"May 30, 2018","0.006306","0.006457","0.006688","0.006152","-","-2.23%"
"May 29, 2018","0.006450","0.006003","0.006656","0.005898","-","7.51%"
"May 28, 2018","0.005999","0.006569","0.006596","0.005903","-","-8.67%"
"May 27, 2018","0.006569","0.006669","0.006738","0.006536","-","-2.03%"
"May 26, 2018","0.006705","0.006674","0.007061","0.006527","-","0.45%"
"May 25, 2018","0.006675","0.006781","0.006984","0.006425","-","-1.52%"
"May 24, 2018","0.006778","0.006190","0.007214","0.006066","-","9.41%"
"May 23, 2018","0.006195","0.006980","0.007017","0.006156","-","-11.28%"
"May 22, 2018","0.006982","0.007597","0.007603","0.006876","-","-8.10%"
"May 21, 2018","0.007598","0.007798","0.007883","0.007350","-","-2.58%"
"May 20, 2018","0.007799","0.007614","0.007939","0.007446","-","2.32%"
"May 19, 2018","0.007622","0.007621","0.007737","0.007408","-","0.01%"
"May 18, 2018","0.007621","0.007290","0.007737","0.007030","-","4.40%"
"May 17, 2018","0.007300","0.008140","0.008252","0.007257","-","-10.24%"
"May 16, 2018","0.008133","0.008254","0.008296","0.007415","-","-1.48%"
"May 15, 2018","0.008254","0.008623","0.009327","0.008254","-","-4.28%"
"May 14, 2018","0.008624","0.008033","0.009745","0.007506","-","7.36%"
"May 13, 2018","0.008032","0.007405","0.008176","0.007320","-","8.61%"
"May 12, 2018","0.007396","0.007529","0.007803","0.006852","-","-1.54%"
"May 11, 2018","0.007511","0.008605","0.008866","0.006915","-","-12.79%"
"May 10, 2018","0.008613","0.009646","0.009794","0.008547","-","-10.69%"
"May 09, 2018","0.009644","0.009686","0.009760","0.009053","-","-0.53%"
"May 08, 2018","0.009696","0.009775","0.010132","0.000001","-","-1.02%"
"May 07, 2018","0.009796","0.010193","0.010208","0.009338","-","-3.90%"
"May 06, 2018","0.010193","0.010502","0.010611","0.009672","-","-2.83%"
"May 05, 2018","0.010491","0.010916","0.010999","0.010309","-","-4.08%"
"May 04, 2018","0.010937","0.010975","0.011480","0.010643","-","-0.57%"
"May 03, 2018","0.011000","0.010208","0.011028","0.009847","-","7.79%"
"May 02, 2018","0.010205","0.008845","0.010939","0.008775","-","15.34%"
"May 01, 2018","0.008848","0.009008","0.009008","0.008392","-","-1.75%"
"Apr 30, 2018","0.009005","0.009080","0.009467","0.008795","-","-0.83%"
"Apr 29, 2018","0.009081","0.008827","0.009371","0.008319","-","2.77%"
"Apr 28, 2018","0.008836","0.008340","0.009277","0.008296","-","5.83%"
"Apr 27, 2018","0.008349","0.008214","0.009462","0.008076","-","1.67%"
"Apr 26, 2018","0.008212","0.007124","0.008309","0.006888","-","14.97%"
"Apr 25, 2018","0.007143","0.008352","0.008372","0.006854","-","-14.43%"
"Apr 24, 2018","0.008348","0.007913","0.008752","0.007698","-","5.54%"
"Apr 23, 2018","0.007910","0.007780","0.008011","0.007730","-","1.73%"
"Apr 22, 2018","0.007775","0.007537","0.008244","0.007357","-","3.22%"
"Apr 21, 2018","0.007533","0.008026","0.008026","0.007056","-","-6.09%"
"Apr 20, 2018","0.008021","0.007984","0.008172","0.007484","-","0.42%"
"Apr 19, 2018","0.007987","0.007315","0.008434","0.007162","-","9.28%"
"Apr 18, 2018","0.007309","0.005798","0.007559","0.005788","-","26.10%"
"Apr 17, 2018","0.005796","0.005841","0.006112","0.005640","-","-0.70%"
"Apr 16, 2018","0.005836","0.006229","0.006258","0.005582","-","-6.26%"
"Apr 15, 2018","0.006226","0.005802","0.006231","0.005745","-","7.44%"
"Apr 14, 2018","0.005795","0.005477","0.006207","0.005358","-","7.37%"
"Apr 13, 2018","0.005397","0.005505","0.005863","0.005241","-","-1.99%"
"Apr 12, 2018","0.005507","0.004965","0.005546","0.004632","-","10.82%"
"Apr 11, 2018","0.004969","0.004548","0.006332","0.004487","-","8.43%"
"Apr 10, 2018","0.004583","0.004028","0.004659","0.003938","-","13.87%"
"Apr 09, 2018","0.004025","0.004039","0.004325","0.003869","-","-0.22%"
"Apr 08, 2018","0.004033","0.004032","0.004157","0.003976","-","0.08%"
"Apr 07, 2018","0.004030","0.003868","0.004110","0.003861","-","4.31%"
"Apr 06, 2018","0.003864","0.003895","0.004049","0.003742","-","-0.81%"
"Apr 05, 2018","0.003895","0.003969","0.004030","0.003742","-","-2.03%"
"Apr 04, 2018","0.003976","0.004553","0.004561","0.003889","-","-12.77%"
"Apr 03, 2018","0.004558","0.004267","0.004754","0.004107","-","8.62%"
"Apr 02, 2018","0.004196","0.003714","0.004419","0.003659","-","13.06%"
"Apr 01, 2018","0.003712","0.003913","0.003972","0.003423","-","-5.12%"
"Mar 31, 2018","0.003912","0.003865","0.004153","0.003838","-","1.09%"
"Mar 30, 2018","0.003870","0.004078","0.004105","0.003682","-","-4.95%"
"Mar 29, 2018","0.004071","0.004567","0.004573","0.003964","-","-10.71%"
"Mar 28, 2018","0.004560","0.004394","0.004660","0.004367","-","3.86%"
"Mar 27, 2018","0.004390","0.004685","0.004801","0.004378","-","-6.03%"
"Mar 26, 2018","0.004672","0.005277","0.005308","0.004435","-","-11.44%"
"Mar 25, 2018","0.005275","0.005072","0.005468","0.004907","-","4.34%"
"Mar 24, 2018","0.005056","0.005079","0.005417","0.005003","-","0.50%"
"Mar 23, 2018","0.005030","0.005435","0.005442","0.004902","-","-7.67%"
"Mar 22, 2018","0.005448","0.005562","0.005679","0.005045","-","-2.07%"
"Mar 21, 2018","0.005563","0.005654","0.006039","0.005500","-","-1.57%"
"Mar 20, 2018","0.005651","0.005453","0.005886","0.004990","-","3.49%"
"Mar 19, 2018","0.005461","0.004720","0.005848","0.004531","-","15.72%"
"Mar 18, 2018","0.004719","0.004673","0.004835","0.003706","-","0.70%"
"Mar 17, 2018","0.004687","0.005157","0.005424","0.004641","-","-9.57%"
"Mar 16, 2018","0.005182","0.005494","0.005625","0.005160","-","-5.55%"
"Mar 15, 2018","0.005487","0.005601","0.005663","0.005021","-","-2.32%"
"Mar 14, 2018","0.005617","0.006718","0.006757","0.005348","-","-15.19%"
"Mar 13, 2018","0.006623","0.006341","0.007083","0.006148","-","4.57%"
"Mar 12, 2018","0.006333","0.006621","0.007073","0.006030","-","-4.16%"
"Mar 11, 2018","0.006608","0.006004","0.006738","0.005736","-","10.13%"
"Mar 10, 2018","0.006000","0.006129","0.006684","0.005967","-","-2.14%"
"Mar 09, 2018","0.006131","0.006463","0.006596","0.005386","-","-5.13%"
"Mar 08, 2018","0.006463","0.006874","0.007050","0.006196","-","-5.84%"
"Mar 07, 2018","0.006864","0.007988","0.008119","0.006398","-","-14.16%"
"Mar 06, 2018","0.007996","0.008595","0.008710","0.007884","-","-7.81%"
"Mar 05, 2018","0.008673","0.008460","0.009384","0.008417","-","2.40%"
"Mar 04, 2018","0.008470","0.008751","0.009273","0.008287","-","-3.18%"
"Mar 03, 2018","0.008748","0.009095","0.009170","0.008508","-","-3.86%"
"Mar 02, 2018","0.009099","0.009228","0.009533","0.008569","-","-1.28%"
"Mar 01, 2018","0.009217","0.008405","0.009783","0.008152","-","11.01%"
"Feb 28, 2018","0.008302","0.009457","0.009569","0.008302","-","-12.50%"
"Feb 27, 2018","0.009489","0.010170","0.010182","0.009352","-","-6.56%"
"Feb 26, 2018","0.010155","0.010106","0.010871","0.009758","-","0.75%"
"Feb 25, 2018","0.010079","0.010777","0.011919","0.009528","-","-5.62%"
"Feb 24, 2018","0.010679","0.009890","0.011226","0.009588","-","7.90%"
"Feb 23, 2018","0.009897","0.008595","0.010549","0.007926","-","14.97%"
"Feb 22, 2018","0.008609","0.009457","0.010067","0.008328","-","-8.98%"
"Feb 21, 2018","0.009459","0.010027","0.011122","0.008808","-","-5.76%"
"Feb 20, 2018","0.010037","0.007540","0.012507","0.007114","-","33.10%"
"Feb 19, 2018","0.007541","0.007425","0.007928","0.007370","-","1.73%"
"Feb 18, 2018","0.007413","0.008343","0.008475","0.007342","-","-10.31%"
"Feb 17, 2018","0.008265","0.007774","0.008343","0.007623","-","6.25%"
"Feb 16, 2018","0.007779","0.007942","0.008133","0.007518","-","-2.27%"
"Feb 15, 2018","0.007960","0.007608","0.008089","0.007441","-","4.58%"
"Feb 14, 2018","0.007611","0.006429","0.007814","0.006429","-","18.37%"
"Feb 13, 2018","0.006430","0.006721","0.006751","0.006309","-","-4.12%"
"Feb 12, 2018","0.006706","0.006094","0.006882","0.006092","-","10.18%"
"Feb 11, 2018","0.006087","0.006551","0.006567","0.005771","-","-6.94%"
"Feb 10, 2018","0.006541","0.006647","0.007116","0.006155","-","-1.68%"
