"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2018","35.485","32.792","35.646","32.792","4.72K","8.21%"
"Jun 29, 2018","32.792","30.465","33.609","29.973","9.30K","7.64%"
"Jun 28, 2018","30.465","30.137","35.191","29.806","9.67K","1.09%"
"Jun 27, 2018","30.137","30.245","30.353","29.101","2.45K","-0.36%"
"Jun 26, 2018","30.246","32.144","32.211","30.027","5.70K","-5.91%"
"Jun 25, 2018","32.144","30.696","32.258","30.193","3.50K","4.72%"
"Jun 24, 2018","30.696","30.656","30.788","28.031","3.97K","0.13%"
"Jun 23, 2018","30.656","30.355","31.295","30.333","3.08K","0.99%"
"Jun 22, 2018","30.356","35.475","35.587","29.507","4.47K","-14.43%"
"Jun 21, 2018","35.474","36.004","36.502","35.418","1.56K","-1.47%"
"Jun 20, 2018","36.003","36.371","36.579","34.206","2.92K","-1.01%"
"Jun 19, 2018","36.371","34.367","36.693","34.079","3.41K","5.83%"
"Jun 18, 2018","34.367","33.636","34.699","32.566","3.23K","2.17%"
"Jun 17, 2018","33.636","33.179","34.029","33.015","4.22K","1.38%"
"Jun 16, 2018","33.179","32.936","33.409","32.248","2.05K","0.74%"
"Jun 15, 2018","32.936","34.152","34.298","32.234","3.14K","-3.56%"
"Jun 14, 2018","34.153","30.608","35.110","30.158","9.72K","11.58%"
"Jun 13, 2018","30.608","30.877","31.060","29.302","6.21K","-0.87%"
"Jun 12, 2018","30.878","33.319","34.125","30.571","11.96K","-7.33%"
"Jun 11, 2018","33.319","32.623","33.911","32.243","4.48K","2.13%"
"Jun 10, 2018","32.623","37.472","37.559","32.604","7.99K","-12.94%"
"Jun 09, 2018","37.472","38.558","38.801","37.262","1.88K","-2.81%"
"Jun 08, 2018","38.558","39.147","39.243","37.742","2.28K","-1.43%"
"Jun 07, 2018","39.116","38.352","40.066","38.289","3.41K","2.07%"
"Jun 06, 2018","38.323","38.492","38.616","37.348","3.95K","-0.44%"
"Jun 05, 2018","38.492","37.962","38.981","36.585","3.44K","1.39%"
"Jun 04, 2018","37.962","40.666","41.048","37.373","6.71K","-6.65%"
